Date,Open,High,Low,Close,Volume,Adj Close
2009-12-24,10.00,10.23,9.94,10.23,5459500,9.77
2009-12-23,10.25,10.26,9.86,9.93,8758300,9.49
2009-12-22,10.18,10.30,10.05,10.20,10341400,9.75
2009-12-21,10.00,10.18,9.83,10.18,15442600,9.73
2009-12-18,9.63,9.85,9.43,9.82,15881300,9.38
2009-12-17,9.52,9.85,9.51,9.55,10889400,9.12
2009-12-16,9.87,9.91,9.60,9.62,15758100,9.19
2009-12-15,10.14,10.24,9.68,9.80,20154900,9.36
2009-12-14,10.28,10.36,10.00,10.33,16263400,9.87
2009-12-11,10.18,10.29,10.05,10.18,11168200,9.73
2009-12-10,10.33,10.43,10.06,10.08,10551600,9.63
2009-12-09,10.22,10.45,10.20,10.29,10758100,9.83
2009-12-08,10.20,10.40,10.16,10.19,10921100,9.74
2009-12-07,10.28,10.51,10.22,10.30,19878600,9.84
2009-12-04,10.54,10.72,10.23,10.44,19225400,9.97
2009-12-03,10.75,10.89,10.32,10.32,21794300,9.86
2009-12-02,10.33,10.60,10.28,10.51,19738700,10.04
2009-12-01,10.25,10.33,10.10,10.18,19936300,9.73
2009-11-30,9.72,10.08,9.69,10.08,21329500,9.63
2009-11-27,9.64,9.89,9.56,9.57,6134300,9.14
2009-11-25,10.08,10.10,9.88,9.94,6536900,9.50
2009-11-24,10.11,10.17,9.74,10.01,19570300,9.56
2009-11-23,10.04,10.17,9.96,10.17,18773600,9.72
2009-11-20,9.99,10.10,9.86,9.97,18004800,9.53
2009-11-19,10.01,10.14,9.85,10.05,21648000,9.60
2009-11-18,9.90,10.19,9.83,10.16,24321900,9.71
2009-11-17,9.74,9.92,9.66,9.90,9342600,9.46
2009-11-16,9.82,10.12,9.74,9.76,14520300,9.33
2009-11-13,9.80,9.85,9.57,9.74,14843500,9.31
2009-11-12,9.70,9.84,9.52,9.54,15404200,9.12
2009-11-11,9.57,9.85,9.42,9.73,14619800,9.30
2009-11-10,9.63,9.82,9.30,9.42,21638800,9.00
2009-11-09,9.31,9.75,9.22,9.73,21447700,9.30
2009-11-06,8.97,9.24,8.91,9.17,13345700,8.76
2009-11-05,9.08,9.25,8.87,9.22,20081600,8.81
2009-11-04,9.21,9.42,8.82,8.87,15916900,8.47
