Date,Open,High,Low,Close,Volume,Adj Close
2006-09-15,64.12,64.12,64.12,64.12,000,5.18
2006-09-14,64.12,64.12,64.12,64.12,000,5.18
2006-09-13,64.12,64.12,64.12,64.12,000,5.18
2006-09-12,64.12,64.12,64.12,64.12,000,5.18
2006-09-11,64.12,64.12,64.12,64.12,000,5.18
2006-09-08,64.12,64.12,64.12,64.12,000,5.18
2006-09-07,64.12,64.12,64.12,64.12,000,5.18
2006-09-06,64.12,64.12,64.12,64.12,000,5.18
2006-09-05,64.12,64.12,64.12,64.12,000,5.18
2006-09-04,64.12,64.12,64.12,64.12,000,5.18
2006-09-01,64.12,64.12,64.12,64.12,000,5.18
2006-08-31,64.12,64.12,64.12,64.12,000,5.18
2006-08-30,64.12,64.12,64.12,64.12,000,5.18
2006-08-29,64.12,64.12,64.12,64.12,000,5.18
2006-08-28,64.12,64.12,64.12,64.12,000,5.18
2006-08-25,64.12,64.12,64.12,64.12,000,5.18
2006-08-24,64.12,64.12,64.12,64.12,000,5.18
2006-08-23,64.12,64.12,64.12,64.12,000,5.18
2006-08-22,64.12,64.12,64.12,64.12,000,5.18
2006-08-21,64.12,64.12,64.12,64.12,000,5.18
2006-08-18,64.12,64.12,64.12,64.12,000,5.18
2006-08-17,64.12,64.12,64.12,64.12,000,5.18
2006-08-16,64.12,64.12,64.12,64.12,000,5.18
2006-08-15,64.12,64.12,64.12,64.12,000,5.18
2006-08-14,64.12,64.12,64.12,64.12,000,5.18
2006-08-11,64.12,64.12,64.12,64.12,000,5.18
2006-08-10,64.12,64.12,64.12,64.12,000,5.18
2006-08-09,64.12,64.12,64.12,64.12,000,5.18
2006-08-08,64.12,64.12,64.12,64.12,000,5.18
2006-08-07,64.12,64.12,64.12,64.12,000,5.18
2006-08-04,64.12,64.12,64.12,64.12,000,5.18
2006-08-03,64.12,64.12,64.12,64.12,000,5.18
2006-08-02,64.12,64.12,64.12,64.12,000,5.18
2006-08-01,64.12,64.12,64.12,64.12,000,5.18
2006-07-31,64.12,64.12,64.12,64.12,000,5.18
2006-07-28,64.12,64.12,64.12,64.12,000,5.18
2006-07-27,64.12,64.12,64.12,64.12,000,5.18
2006-07-26,64.12,64.12,64.12,64.12,000,5.16
2006-07-25,64.12,64.12,64.12,64.12,000,5.16
2006-07-24,64.12,64.12,64.12,64.12,000,5.16
2006-07-21,64.12,64.12,64.12,64.12,000,5.16
2006-07-20,64.12,64.12,64.12,64.12,000,5.16
2006-07-19,64.12,64.12,64.12,64.12,000,5.16
2006-07-18,64.12,64.12,64.12,64.12,000,5.16
2006-07-17,64.12,64.12,64.12,64.12,000,5.16
2006-07-14,64.12,64.12,64.12,64.12,000,5.16
2006-07-13,64.12,64.12,64.12,64.12,000,5.16
2006-07-12,64.12,64.12,64.12,64.12,000,5.16
2006-07-11,64.12,64.12,64.12,64.12,000,5.16
2006-07-10,64.12,64.12,64.12,64.12,000,5.16
2006-07-07,64.12,64.12,64.12,64.12,000,5.16
2006-07-06,64.12,64.12,64.12,64.12,000,5.16
2006-07-05,64.12,64.12,64.12,64.12,000,5.16
2006-07-04,64.12,64.12,64.12,64.12,000,5.16
2006-07-03,64.12,64.12,64.12,64.12,000,5.16
2006-06-30,64.12,64.12,64.12,64.12,000,5.16
2006-06-29,64.12,64.12,64.12,64.12,000,5.16
2006-06-28,64.12,64.12,64.12,64.12,000,5.16
2006-06-27,64.12,64.12,64.12,64.12,000,5.16
2006-06-26,64.12,64.12,64.12,64.12,000,5.16
2006-06-23,64.12,64.12,64.12,64.12,000,5.16
2006-06-22,64.12,64.12,64.12,64.12,000,5.16
2006-06-21,64.12,64.12,64.12,64.12,000,5.16
2006-06-20,64.12,64.12,64.12,64.12,000,5.16
2006-06-19,64.12,64.12,64.12,64.12,000,5.16
2006-06-16,64.12,64.12,64.12,64.12,000,5.16
2006-06-15,64.12,64.12,64.12,64.12,000,5.16
2006-06-14,64.12,64.12,64.12,64.12,000,5.16
2006-06-13,64.12,64.12,64.12,64.12,000,5.16
2006-06-12,64.12,64.12,64.12,64.12,000,5.16
2006-06-09,64.12,64.12,64.12,64.12,000,5.16
2006-06-08,64.12,64.12,64.12,64.12,000,5.16
2006-06-07,64.12,64.12,64.12,64.12,000,5.16
2006-06-06,64.12,64.12,64.12,64.12,000,5.16
2006-06-05,64.12,64.12,64.12,64.12,000,5.16
2006-06-02,64.12,64.12,64.12,64.12,000,5.16
2006-06-01,64.12,64.12,64.12,64.12,000,5.16
2006-05-31,64.12,64.12,64.12,64.12,000,5.16
2006-05-30,64.12,64.12,64.12,64.12,000,5.16
2006-05-29,64.12,64.12,64.12,64.12,000,5.16
2006-05-26,64.12,64.12,64.12,64.12,000,5.16
2006-05-25,64.12,64.12,64.12,64.12,000,5.16
2006-05-24,64.12,64.12,64.12,64.12,000,5.16
2006-05-23,64.12,64.12,64.12,64.12,000,5.16
2006-05-22,64.12,64.12,64.12,64.12,000,5.16
2006-05-19,64.12,64.12,64.12,64.12,000,5.16
2006-05-18,64.12,64.12,64.12,64.12,000,5.16
2006-05-17,64.12,64.12,64.12,64.12,000,5.16
2006-05-16,64.12,64.12,64.12,64.12,000,5.16
2006-05-15,64.12,64.12,64.12,64.12,000,5.16
2006-05-12,64.12,64.12,64.12,64.12,000,5.16
2006-05-11,64.12,64.12,64.12,64.12,000,5.16
2006-05-10,64.12,64.12,64.12,64.12,000,5.16
2006-05-09,64.12,64.12,64.12,64.12,000,5.16
2006-05-08,64.12,64.12,64.12,64.12,000,5.16
2006-05-05,64.12,64.12,64.12,64.12,000,5.16
2006-05-04,64.12,64.12,64.12,64.12,000,5.16
2006-05-03,64.12,64.12,64.12,64.12,000,5.16
2006-05-02,64.12,64.12,64.12,64.12,000,5.16
2006-05-01,64.12,64.12,64.12,64.12,000,5.16
2006-04-28,64.12,64.12,64.12,64.12,000,5.16
2006-04-27,64.12,64.12,64.12,64.12,000,5.16
2006-04-26,64.12,64.12,64.12,64.12,000,5.16
2006-04-25,64.12,64.12,64.12,64.12,000,5.14
2006-04-24,64.12,64.12,64.12,64.12,000,5.14
2006-04-21,64.12,64.12,64.12,64.12,000,5.14
2006-04-20,64.12,64.12,64.12,64.12,000,5.14
2006-04-19,64.12,64.12,64.12,64.12,000,5.14
2006-04-18,64.12,64.12,64.12,64.12,000,5.14
2006-04-17,64.12,64.12,64.12,64.12,000,5.14
2006-04-14,64.12,64.12,64.12,64.12,000,5.14
2006-04-13,64.12,64.12,64.12,64.12,000,5.14
2006-04-12,64.12,64.12,64.12,64.12,000,5.14
2006-04-11,64.12,64.12,64.12,64.12,000,5.14
2006-04-10,64.12,64.12,64.12,64.12,000,5.14
2006-04-07,64.12,64.12,64.12,64.12,000,5.14
2006-04-06,64.12,64.12,64.12,64.12,000,5.14
2006-04-05,64.12,64.12,64.12,64.12,000,5.14
2006-04-04,64.12,64.12,64.12,64.12,000,5.14
2006-04-03,64.12,64.12,64.12,64.12,000,5.14
2006-03-31,64.12,64.12,64.12,64.12,000,5.14
2006-03-30,64.12,64.12,64.12,64.12,000,5.14
2006-03-29,64.12,64.12,64.12,64.12,000,5.14
2006-03-28,64.12,64.12,64.12,64.12,000,5.14
2006-03-27,64.12,64.12,64.12,64.12,000,5.14
2006-03-24,64.12,64.12,64.12,64.12,000,5.14
2006-03-23,64.12,64.12,64.12,64.12,000,5.14
2006-03-22,64.12,64.12,64.12,64.12,000,5.14
2006-03-21,64.12,64.12,64.12,64.12,000,5.14
2006-03-20,64.12,64.12,64.12,64.12,000,5.14
2006-03-17,64.12,64.12,64.12,64.12,000,5.14
2006-03-16,64.12,64.12,64.12,64.12,000,5.14
2006-03-15,64.12,64.12,64.12,64.12,000,5.14
2006-03-14,64.12,64.12,64.12,64.12,000,5.14
2006-03-13,64.12,64.12,64.12,64.12,000,5.14
2006-03-10,64.12,64.12,64.12,64.12,000,5.14
2006-03-09,64.12,64.12,64.12,64.12,000,5.14
2006-03-08,64.12,64.12,64.12,64.12,000,5.14
2006-03-07,64.12,64.12,64.12,64.12,000,5.14
2006-03-06,64.12,64.12,64.12,64.12,000,5.14
2006-03-03,64.12,64.12,64.12,64.12,000,5.14
2006-03-02,64.12,64.12,64.12,64.12,000,5.14
2006-03-01,64.12,64.12,64.12,64.12,000,5.14
2006-02-28,64.12,64.12,64.12,64.12,000,5.14
2006-02-27,64.12,64.12,64.12,64.12,000,5.14
2006-02-24,64.12,64.12,64.12,64.12,000,5.14
2006-02-23,64.12,64.12,64.12,64.12,000,5.14
2006-02-22,64.12,64.12,64.12,64.12,000,5.14
2006-02-21,64.12,64.12,64.12,64.12,000,5.14
2006-02-20,64.12,64.12,64.12,64.12,000,5.14
2006-02-17,64.12,64.12,64.12,64.12,000,5.14
2006-02-16,64.12,64.12,64.12,64.12,000,5.14
2006-02-15,64.12,64.12,64.12,64.12,000,5.14
2006-02-14,64.12,64.12,64.12,64.12,000,5.14
2006-02-13,64.12,64.12,64.12,64.12,000,5.14
2006-02-10,64.12,64.12,64.12,64.12,000,5.14
2006-02-09,64.12,64.12,64.12,64.12,000,5.14
2006-02-08,64.12,64.12,64.12,64.12,000,5.14
2006-02-07,64.12,64.12,64.12,64.12,000,5.14
2006-02-06,64.12,64.12,64.12,64.12,000,5.14
2006-02-03,64.12,64.12,64.12,64.12,000,5.14
2006-02-02,64.12,64.12,64.12,64.12,000,5.14
2006-02-01,64.12,64.12,64.12,64.12,000,5.14
2006-01-31,64.12,64.12,64.12,64.12,000,5.14
2006-01-30,64.12,64.12,64.12,64.12,000,5.14
2006-01-27,64.12,64.12,64.12,64.12,000,5.14
2006-01-26,64.12,64.12,64.12,64.12,000,5.12
2006-01-25,64.12,64.12,64.12,64.12,000,5.12
2006-01-24,64.12,64.12,64.12,64.12,000,5.12
2006-01-23,64.12,64.12,64.12,64.12,000,5.12
2006-01-20,64.12,64.12,64.12,64.12,000,5.12
2006-01-19,64.12,64.12,64.12,64.12,000,5.12
2006-01-18,64.12,64.12,64.12,64.12,000,5.12
2006-01-17,64.12,64.12,64.12,64.12,000,5.12
2006-01-16,64.12,64.12,64.12,64.12,000,5.12
2006-01-13,64.12,64.12,64.12,64.12,000,5.12
2006-01-12,64.12,64.12,64.12,64.12,000,5.12
2006-01-11,64.12,64.12,64.12,64.12,000,5.12
2006-01-10,64.12,64.12,64.12,64.12,000,5.12
2006-01-09,64.12,64.12,64.12,64.12,000,5.12
2006-01-06,64.12,64.12,64.12,64.12,000,5.12
2006-01-05,64.12,64.12,64.12,64.12,000,5.12
2006-01-04,64.12,64.12,64.12,64.12,000,5.12
2006-01-03,64.12,64.12,64.12,64.12,000,5.12
2006-01-02,64.12,64.12,64.12,64.12,000,5.12
2005-12-30,64.12,64.12,64.12,64.12,000,5.12
2005-12-29,64.12,64.12,64.12,64.12,000,5.12
2005-12-28,64.12,64.12,64.12,64.12,000,5.12
2005-12-27,64.12,64.12,64.12,64.12,000,5.12
