Date,Open,High,Low,Close,Volume,Adj Close
2012-12-24,35.08,35.48,34.93,35.20,459400,35.20
2012-12-21,35.44,35.62,35.09,35.19,2251400,35.19
2012-12-20,35.75,35.85,35.49,35.63,1702900,35.63
2012-12-19,35.93,36.00,35.54,35.54,1020400,35.54
2012-12-18,35.85,36.11,35.65,36.00,1029000,36.00
2012-12-17,35.73,36.12,35.73,35.85,1050300,35.85
2012-12-14,35.78,35.99,35.29,35.70,1107700,35.70
2012-12-13,36.21,36.52,35.84,35.90,1022600,35.90
2012-12-12,36.85,36.94,36.24,36.31,1734800,36.31
2012-12-11,36.74,37.06,36.66,36.82,2172600,36.82
2012-12-10,35.90,36.75,35.90,36.69,2486900,36.69
2012-12-07,35.78,35.97,35.61,35.72,1328800,35.72
2012-12-06,36.09,36.09,35.56,35.74,1511400,35.74
2012-12-05,35.49,36.25,35.45,36.12,1968000,36.12
2012-12-04,35.16,35.54,35.02,35.44,2054500,35.44
2012-12-03,35.58,36.00,35.26,35.35,3189300,35.35
2012-11-30,34.85,35.46,34.68,35.46,9376900,35.46
2012-11-29,33.96,34.62,33.89,34.58,2199900,34.58
2012-11-28,33.37,33.80,33.13,33.79,1833800,33.79
2012-11-27,33.38,33.74,33.15,33.52,2306900,33.52
2012-11-26,32.84,33.49,32.84,33.49,1232200,33.49
2012-11-23,32.94,33.32,32.89,33.32,480700,33.32
2012-11-21,32.78,32.92,32.61,32.89,979700,32.89
2012-11-20,32.44,32.82,32.24,32.81,1316100,32.81
2012-11-19,32.57,32.69,32.25,32.46,1134000,32.46
2012-11-16,32.22,32.43,32.01,32.32,1601800,32.32
2012-11-15,32.04,32.30,31.71,32.23,2631800,32.23
2012-11-14,32.41,32.50,31.83,32.07,2155100,32.07
2012-11-13,32.45,32.83,32.40,32.42,1418300,32.42
2012-11-12,33.17,33.32,32.59,32.60,1856800,32.60
2012-11-09,32.91,33.45,32.81,33.15,1091200,33.15
2012-11-08,33.35,33.46,32.96,32.96,1519800,32.96
2012-11-07,33.86,33.94,33.19,33.34,1672300,33.34
2012-11-06,33.92,34.25,33.89,34.03,1103200,34.03
2012-11-05,33.89,34.13,33.76,34.02,1375100,34.02
2012-11-02,34.55,34.57,34.13,34.14,1386900,34.14
2012-11-01,33.85,34.47,33.76,34.35,1767600,34.35
2012-10-31,34.84,34.84,33.62,33.71,1523200,33.71
2012-10-26,34.66,34.74,34.09,34.17,1362100,34.17
2012-10-25,34.38,34.75,34.38,34.62,1370900,34.62
2012-10-24,34.50,34.69,34.05,34.21,1176600,34.21
2012-10-23,34.58,34.69,34.02,34.32,1439500,34.32
2012-10-22,34.84,35.07,34.45,34.62,1073100,34.62
2012-10-19,35.21,35.54,34.90,34.90,1964100,34.90
2012-10-18,35.14,35.57,35.03,35.32,1594900,35.32
2012-10-17,37.34,37.34,35.15,35.30,2274200,35.30
2012-10-16,35.93,36.20,34.61,35.43,4684500,35.43
2012-10-15,36.40,36.65,36.23,36.60,1780500,36.60
2012-10-12,36.65,36.71,36.21,36.28,848400,36.28
2012-10-11,36.73,36.73,36.43,36.52,1090500,36.52
2012-10-10,36.54,36.84,36.35,36.40,1481000,36.40
2012-10-09,37.28,37.30,36.58,36.60,1778300,36.60
2012-10-08,37.32,37.39,36.98,37.37,912800,37.37
2012-10-05,37.49,37.70,37.26,37.42,2083700,37.42
2012-10-04,36.91,37.62,36.85,37.40,3525700,37.40
2012-10-03,36.05,36.98,35.89,36.61,3984800,36.61
2012-10-02,36.01,36.17,35.68,36.05,1980600,36.05
2012-10-01,35.78,36.17,35.78,36.00,2111500,36.00
2012-09-28,35.62,35.69,34.93,35.61,3572500,35.61
2012-09-27,36.07,36.22,35.54,35.55,3094600,35.55
2012-09-26,36.07,36.45,35.91,35.91,2140700,35.91
2012-09-25,36.74,37.31,36.10,36.10,2544800,36.10
2012-09-24,35.56,36.68,35.32,36.49,3054300,36.49
2012-09-21,35.75,35.89,35.50,35.69,5318100,35.69
2012-09-20,34.84,35.51,34.83,35.35,1795300,35.35
2012-09-19,35.40,35.42,34.88,34.90,1526100,34.90
2012-09-18,35.29,35.57,35.21,35.36,1499200,35.36
2012-09-17,34.95,35.32,34.86,35.26,1480700,35.26
2012-09-14,35.12,35.20,34.74,34.87,1686600,34.87
2012-09-13,34.55,35.42,34.47,35.16,3950700,35.16
2012-09-12,34.82,34.97,34.50,34.65,1372200,34.65
2012-09-11,34.89,34.92,34.62,34.67,2139100,34.67
2012-09-10,35.59,35.59,34.81,34.82,2201000,34.82
2012-09-07,35.60,35.80,35.26,35.37,1575200,35.37
2012-09-06,35.07,35.71,35.02,35.67,1988700,35.67
2012-09-05,35.11,35.11,34.63,34.92,2059500,34.92
2012-09-04,34.60,35.16,34.60,35.06,2260600,35.06
2012-08-31,35.28,35.41,34.64,34.69,1644200,34.69
2012-08-30,34.66,35.45,34.55,35.04,3416900,35.04
2012-08-29,34.79,34.93,34.63,34.66,1580000,34.66
2012-08-28,34.72,34.90,34.58,34.74,1126100,34.74
2012-08-27,34.68,34.77,34.59,34.69,1487700,34.69
2012-08-24,34.62,34.85,34.56,34.68,1792400,34.68
2012-08-23,34.56,34.68,34.40,34.62,1993400,34.62
2012-08-22,34.31,34.76,34.29,34.53,2335300,34.53
2012-08-21,34.33,34.51,34.15,34.42,1909600,34.42
2012-08-20,34.24,34.31,33.96,34.25,1386400,34.25
2012-08-17,33.94,34.24,33.90,34.21,3158000,34.21
2012-08-16,33.68,34.00,33.57,33.96,2109600,33.96
2012-08-15,33.97,34.52,33.82,33.88,2002000,33.88
2012-08-14,33.95,34.15,33.88,33.98,1342300,33.98
2012-08-13,33.60,34.08,33.54,33.95,1875300,33.95
2012-08-10,33.30,33.78,33.22,33.76,1316700,33.76
2012-08-09,32.91,33.58,32.88,33.47,1860600,33.47
2012-08-08,33.72,33.72,33.24,33.40,1638300,33.40
2012-08-07,33.61,33.90,33.40,33.63,1557300,33.63
2012-08-06,33.50,33.75,33.37,33.59,1530800,33.59
2012-08-03,33.12,33.55,32.60,33.54,3081300,33.54
2012-08-02,32.58,32.88,32.32,32.64,2279700,32.64
2012-08-01,33.75,33.75,31.28,32.97,6659500,32.97
2012-07-31,33.77,33.87,33.44,33.55,1204600,33.55
2012-07-30,33.98,34.07,33.77,33.83,1281300,33.83
2012-07-27,33.75,34.18,33.68,34.04,2177400,34.04
2012-07-26,34.02,34.11,33.38,33.51,1668400,33.51
2012-07-25,33.70,34.17,33.37,33.43,1141700,33.43
2012-07-24,34.45,34.49,33.31,33.71,2049300,33.71
2012-07-23,34.55,34.70,34.10,34.28,2035300,34.28
2012-07-20,35.37,35.40,34.83,34.90,1308600,34.90
2012-07-19,35.78,35.89,35.38,35.41,924300,35.41
2012-07-18,35.65,36.14,35.16,35.77,1413600,35.77
2012-07-17,35.40,36.01,34.98,35.82,2032400,35.82
2012-07-16,35.46,35.48,35.11,35.18,1633900,35.18
2012-07-13,35.33,35.67,35.20,35.36,1574900,35.36
2012-07-12,35.09,35.49,34.86,35.32,1934100,35.32
2012-07-11,35.65,35.69,35.16,35.31,1596100,35.31
2012-07-10,36.01,36.13,35.58,35.71,1256500,35.71
2012-07-09,35.50,35.96,35.38,35.93,1290900,35.93
2012-07-06,35.29,35.74,35.29,35.48,1302400,35.48
2012-07-05,36.09,36.13,35.21,35.57,2659500,35.57
2012-07-03,35.68,36.44,35.12,36.13,1298000,36.13
2012-07-02,34.73,35.97,34.73,35.79,2840600,35.79
2012-06-29,34.93,35.03,34.52,34.99,1818900,34.99
2012-06-28,33.73,34.14,33.54,34.12,1450800,34.12
2012-06-27,33.04,34.11,33.04,34.05,1325400,34.05
2012-06-26,33.41,33.57,33.22,33.22,1380400,33.22
2012-06-25,33.84,33.84,33.37,33.41,1368900,33.41
2012-06-22,34.26,34.37,33.96,34.09,1587500,34.09
2012-06-21,34.50,34.66,33.82,33.84,2028200,33.84
2012-06-20,34.70,34.70,34.37,34.57,1502800,34.57
2012-06-19,34.74,35.00,34.40,34.67,1660700,34.67
2012-06-18,34.42,34.79,34.28,34.71,1192900,34.71
2012-06-15,34.96,35.00,34.06,34.45,2882700,34.45
2012-06-14,34.61,35.04,34.52,34.89,1455000,34.89
2012-06-13,34.59,34.95,34.41,34.56,2248800,34.56
2012-06-12,34.38,34.68,34.16,34.54,1928400,34.54
2012-06-11,34.89,35.69,34.32,34.43,4191200,34.43
