Date,Open,High,Low,Close,Volume,Adj Close
2012-12-24,18.47,18.55,18.26,18.37,729400,18.37
2012-12-21,18.81,18.85,18.51,18.55,3897100,18.55
2012-12-20,18.63,19.01,18.61,18.97,2352000,18.97
2012-12-19,18.71,18.82,18.57,18.68,2652100,18.68
2012-12-18,18.11,18.89,17.96,18.66,8991200,18.66
2012-12-17,17.66,18.07,17.63,18.05,1634900,18.05
2012-12-14,17.68,17.75,17.48,17.60,1585500,17.60
2012-12-13,18.08,18.14,17.57,17.69,2472700,17.69
2012-12-12,18.01,18.36,17.94,18.08,3528500,18.08
2012-12-11,17.98,18.05,17.82,17.97,2214100,17.97
2012-12-10,17.82,18.02,17.56,17.85,2551200,17.85
2012-12-07,18.00,18.06,17.83,17.90,2471700,17.90
2012-12-06,17.90,18.04,17.84,17.88,2649300,17.88
2012-12-05,17.56,18.08,17.12,17.99,5862600,17.99
2012-12-04,18.04,18.10,17.61,17.64,2602300,17.44
2012-12-03,17.92,18.11,17.86,18.04,2068000,17.84
2012-11-30,18.22,18.23,17.82,17.90,2653200,17.70
2012-11-29,17.90,18.20,17.81,18.17,3658000,17.96
2012-11-28,17.52,17.81,17.40,17.79,2619600,17.59
2012-11-27,17.61,17.81,17.51,17.57,2151400,17.37
2012-11-26,17.75,17.91,17.58,17.66,2272400,17.46
2012-11-23,17.65,17.83,17.48,17.83,945900,17.63
2012-11-21,17.55,17.68,17.45,17.59,1741800,17.39
2012-11-20,17.35,17.54,17.26,17.54,2548000,17.34
2012-11-19,17.15,17.38,17.01,17.37,2673900,17.17
2012-11-16,16.79,16.99,16.51,16.98,2974300,16.79
2012-11-15,16.76,16.98,16.65,16.84,3657600,16.65
2012-11-14,17.05,17.12,16.63,16.76,4128900,16.57
2012-11-13,16.80,17.12,16.69,17.04,3146700,16.85
2012-11-12,17.12,17.19,16.70,16.79,1965500,16.60
2012-11-09,16.53,17.25,16.35,17.11,3574900,16.92
2012-11-08,16.91,17.10,16.53,16.63,2861600,16.44
2012-11-07,17.44,17.51,16.85,16.88,3023800,16.69
2012-11-06,17.19,17.75,17.16,17.63,4016800,17.43
2012-11-05,17.02,17.30,16.96,17.04,2899400,16.85
2012-11-02,17.42,17.46,16.93,17.15,8155100,16.96
2012-11-01,17.01,17.27,16.92,17.26,2660200,17.06
2012-10-31,16.96,17.08,16.70,16.90,2689600,16.71
2012-10-26,16.84,16.99,16.60,16.75,3065400,16.56
2012-10-25,17.87,17.88,16.76,16.84,5398700,16.65
2012-10-24,17.90,17.90,17.60,17.76,2669300,17.56
2012-10-23,17.87,17.93,17.45,17.84,2722300,17.64
2012-10-22,17.93,18.39,17.88,18.13,2406600,17.92
2012-10-19,18.62,18.68,17.99,18.24,3913800,18.03
2012-10-18,18.69,18.72,18.54,18.62,3853400,18.41
2012-10-17,18.50,18.75,18.47,18.70,2781800,18.49
2012-10-16,17.95,18.69,17.72,18.63,4679700,18.42
2012-10-15,18.18,18.45,16.76,17.85,6679400,17.65
2012-10-12,17.83,18.10,17.48,17.90,3322900,17.70
2012-10-11,17.84,18.03,17.68,17.74,1891600,17.54
2012-10-10,17.78,18.01,17.61,17.72,3005800,17.52
2012-10-09,18.17,18.22,17.78,17.89,2709900,17.69
2012-10-08,18.40,18.43,18.06,18.16,2348900,17.95
2012-10-05,18.48,18.66,18.34,18.41,2721900,18.20
2012-10-04,18.24,18.49,18.08,18.33,3396200,18.12
2012-10-03,18.06,18.24,18.01,18.10,3139400,17.89
2012-10-02,18.01,18.24,17.85,18.05,4453000,17.85
2012-10-01,18.05,18.38,17.88,17.97,4869000,17.77
2012-09-28,18.01,18.04,17.69,17.75,4140600,17.55
2012-09-27,17.99,18.20,17.90,18.08,3153500,17.88
2012-09-26,18.15,18.31,17.84,17.91,3897600,17.71
2012-09-25,18.51,18.51,18.14,18.15,4037900,17.94
2012-09-24,19.31,19.99,18.25,18.39,5847300,18.18
2012-09-21,18.90,18.90,18.23,18.75,7885900,18.54
2012-09-20,18.19,19.09,18.15,18.74,10388800,18.53
2012-09-19,17.64,18.43,17.53,18.29,8880100,18.08
2012-09-18,17.77,18.05,17.34,17.53,4510100,17.33
2012-09-17,17.56,17.85,17.37,17.72,8940100,17.52
2012-09-14,17.50,17.87,17.40,17.58,4081100,17.38
2012-09-13,17.18,17.61,16.99,17.46,4523700,17.26
2012-09-12,17.10,17.15,16.85,17.13,4768300,16.94
2012-09-11,16.35,17.35,16.30,17.00,10666700,16.81
2012-09-10,16.05,16.33,16.05,16.30,4556600,16.12
2012-09-07,16.08,16.20,15.93,16.06,2758300,15.88
2012-09-06,15.67,16.10,15.59,16.06,3210800,15.88
2012-09-05,15.55,15.71,15.25,15.56,3085400,15.38
2012-09-04,15.18,15.71,15.14,15.69,7245400,15.31
2012-08-31,15.24,15.31,15.05,15.26,6483400,14.89
2012-08-30,15.10,15.23,15.04,15.14,8996800,14.78
2012-08-29,15.08,15.18,15.02,15.18,2105300,14.82
2012-08-28,15.05,15.15,14.99,15.03,1960100,14.67
2012-08-27,15.41,15.47,15.05,15.07,2301500,14.71
2012-08-24,15.26,15.48,15.17,15.41,1775500,15.04
2012-08-23,15.33,15.41,15.23,15.36,1941400,14.99
2012-08-22,15.42,15.56,15.17,15.32,4084900,14.95
2012-08-21,15.58,15.77,15.49,15.49,2814700,15.12
2012-08-20,15.63,15.80,15.54,15.58,3271700,15.21
2012-08-17,15.65,15.71,15.57,15.68,2343800,15.30
2012-08-16,15.14,15.59,15.11,15.52,2862700,15.15
2012-08-15,15.29,15.35,15.02,15.10,2445000,14.74
2012-08-14,15.32,15.45,15.27,15.35,2975200,14.98
2012-08-13,15.04,15.27,14.97,15.26,1990000,14.89
2012-08-10,14.99,15.10,14.92,15.08,2280900,14.72
2012-08-09,15.01,15.23,14.77,15.08,3730500,14.72
2012-08-08,14.71,15.02,14.70,14.97,3025900,14.61
2012-08-07,14.69,14.82,14.62,14.73,3276700,14.38
2012-08-06,14.50,14.67,14.46,14.59,2222000,14.24
2012-08-03,14.21,14.67,14.19,14.46,3335400,14.11
2012-08-02,14.05,14.17,13.76,14.00,4872200,13.66
2012-08-01,14.18,14.25,14.07,14.16,8795600,13.82
2012-07-31,14.18,14.20,14.04,14.11,2778600,13.77
2012-07-30,14.49,14.53,14.09,14.16,3319300,13.82
2012-07-27,14.25,14.52,14.09,14.38,4372900,14.04
2012-07-26,14.30,14.36,13.99,14.15,3933400,13.81
2012-07-25,14.18,14.31,14.02,14.04,3177200,13.70
2012-07-24,14.34,14.35,13.91,14.06,3115100,13.72
2012-07-23,14.59,14.65,14.19,14.30,3386000,13.96
2012-07-20,14.75,14.92,14.65,14.81,2614300,14.46
2012-07-19,14.87,15.25,14.76,14.86,3660100,14.50
2012-07-18,14.65,14.83,14.53,14.78,3174900,14.43
2012-07-17,14.78,14.87,14.51,14.65,4308300,14.30
2012-07-16,14.47,15.40,13.91,14.69,9910300,14.34
2012-07-13,14.37,14.61,14.29,14.31,3290700,13.97
2012-07-12,14.21,14.37,14.11,14.24,3228800,13.90
2012-07-11,14.56,14.56,14.09,14.29,4779300,13.95
2012-07-10,14.71,14.76,14.35,14.54,3739000,14.19
2012-07-09,14.66,14.68,14.47,14.66,2578300,14.31
2012-07-06,14.55,14.78,14.54,14.73,2434700,14.38
2012-07-05,14.77,14.81,14.45,14.74,3084100,14.39
2012-07-03,14.91,15.05,14.71,14.82,1898700,14.47
2012-07-02,14.96,15.01,14.54,14.85,2801000,14.49
2012-06-29,14.95,14.96,14.61,14.73,3069100,14.38
2012-06-28,14.35,14.73,14.25,14.66,4013900,14.31
2012-06-27,14.08,14.52,14.00,14.41,4659900,14.07
2012-06-26,13.35,14.23,13.35,14.04,6912700,13.70
2012-06-25,13.32,13.34,13.16,13.20,3099600,12.88
