Date,Open,High,Low,Close,Volume,Adj Close
2013-01-07,70.78,72.01,70.76,71.86,1941700,71.86
2013-01-04,71.65,71.66,71.00,71.07,2406300,71.07
2013-01-03,71.12,71.75,70.59,71.49,1740800,71.49
2013-01-02,70.67,71.21,70.24,71.21,2021500,71.21
2012-12-31,67.54,69.31,67.14,69.27,1581900,69.27
2012-12-28,68.42,68.79,67.84,67.88,1010100,67.88
2012-12-27,69.14,69.47,68.21,69.02,1057300,69.02
2012-12-26,69.61,70.18,69.00,69.04,1129900,69.04
2012-12-24,70.59,70.59,68.94,69.47,1096900,69.47
2012-12-21,69.34,70.43,69.31,70.40,3458400,70.40
2012-12-20,69.61,70.28,69.17,70.28,1811000,70.28
2012-12-19,68.94,69.77,68.77,69.52,1713400,69.52
2012-12-18,68.08,69.05,67.82,69.01,1714500,69.01
2012-12-17,67.63,68.38,67.50,68.00,1626800,68.00
2012-12-14,67.66,67.97,67.36,67.49,1445200,67.49
2012-12-13,68.90,68.99,67.90,68.00,1861400,67.49
2012-12-12,69.13,69.57,68.79,68.90,1646700,68.38
2012-12-11,68.50,69.20,68.30,68.97,1864600,68.45
2012-12-10,67.19,68.30,66.91,68.25,1713700,67.74
2012-12-07,67.08,67.22,66.40,67.19,1174400,66.69
2012-12-06,66.80,66.85,65.87,66.70,1530600,66.20
2012-12-05,66.45,67.15,65.74,66.88,1760400,66.38
2012-12-04,65.68,66.52,65.58,66.44,1535900,65.94
2012-12-03,66.78,66.98,65.29,65.69,1151700,65.20
2012-11-30,66.50,66.61,66.10,66.50,1935000,66.00
2012-11-29,66.00,66.61,65.50,66.53,1946900,66.03
2012-11-28,64.48,65.72,64.41,65.71,1435200,65.22
2012-11-27,64.97,65.50,64.73,64.96,1668800,64.47
2012-11-26,65.00,65.19,64.64,65.06,1392600,64.57
2012-11-23,64.59,65.41,64.34,65.41,553500,64.92
2012-11-21,63.80,64.57,63.59,64.36,1005500,63.88
2012-11-20,63.83,63.85,63.12,63.75,1833100,63.27
2012-11-19,62.81,63.91,62.64,63.91,2273800,63.43
2012-11-16,62.18,62.59,61.70,62.13,2340400,61.66
2012-11-15,62.10,62.55,61.84,62.14,1705500,61.67
2012-11-14,63.92,63.94,62.02,62.20,1964600,61.73
2012-11-13,63.65,64.64,63.60,63.75,1376100,63.27
2012-11-12,64.48,64.56,63.87,64.18,1416800,63.70
2012-11-09,64.31,65.16,64.14,64.45,2200900,63.97
2012-11-08,66.45,66.58,64.14,64.33,3382900,63.85
2012-11-07,68.07,68.10,65.77,66.59,3075200,66.09
2012-11-06,68.60,69.95,68.30,69.26,1635500,68.74
2012-11-05,68.81,68.81,67.97,68.37,1679900,67.86
2012-11-02,69.74,69.88,68.65,68.81,1866900,68.29
2012-11-01,68.29,69.74,68.02,69.42,2200600,68.90
