Date,Open,High,Low,Close,Volume,Adj Close
2012-12-24,19.60,19.74,19.57,19.65,1214700,19.65
2012-12-21,19.73,19.83,19.59,19.65,3557700,19.65
2012-12-20,19.71,19.93,19.67,19.86,2582800,19.86
2012-12-19,19.90,20.01,19.70,19.70,4327900,19.70
2012-12-18,19.93,19.95,19.78,19.90,4317700,19.90
2012-12-17,19.97,20.06,19.74,19.86,4418300,19.86
2012-12-14,19.96,20.07,19.86,19.95,9260500,19.95
2012-12-13,20.09,20.13,19.77,19.99,11347100,19.99
2012-12-12,20.05,20.26,19.81,20.19,6229500,20.19
2012-12-11,20.43,20.43,20.02,20.10,6011700,19.99
2012-12-10,20.19,20.49,20.15,20.27,5732600,20.16
2012-12-07,20.04,20.55,20.04,20.20,6518700,20.09
2012-12-06,19.75,20.14,19.69,20.02,6810100,19.91
2012-12-05,19.47,19.57,19.37,19.56,5809600,19.45
2012-12-04,19.45,19.60,19.33,19.42,2077300,19.31
2012-12-03,19.45,19.70,19.42,19.51,1882800,19.40
2012-11-30,19.08,19.63,19.08,19.37,5643000,19.26
2012-11-29,18.86,19.13,18.79,19.11,2662000,19.01
2012-11-28,18.78,18.78,18.55,18.78,2660300,18.68
2012-11-27,19.10,19.15,18.72,18.80,3148600,18.70
2012-11-26,18.90,19.18,18.90,19.16,2527200,19.06
2012-11-23,18.93,19.04,18.82,19.02,468500,18.92
2012-11-21,18.74,18.90,18.67,18.84,2188800,18.74
2012-11-20,18.97,19.04,18.70,18.74,3934900,18.64
2012-11-19,18.83,19.08,18.79,18.95,2690900,18.85
2012-11-16,18.54,18.76,18.41,18.67,2618600,18.57
2012-11-15,18.47,18.70,18.24,18.53,3534600,18.43
2012-11-14,18.99,18.99,18.39,18.47,3488700,18.37
2012-11-13,18.65,18.93,18.65,18.75,1782100,18.65
2012-11-12,18.86,19.02,18.73,18.82,1962600,18.72
2012-11-09,18.83,19.00,18.72,18.88,1985700,18.78
2012-11-08,18.88,19.15,18.84,18.93,3261000,18.83
2012-11-07,18.90,19.07,18.80,18.89,4298200,18.79
2012-11-06,19.03,19.13,18.77,18.97,2758200,18.87
2012-11-05,19.34,19.34,19.00,19.00,1819900,18.90
2012-11-02,19.37,19.50,19.22,19.34,2696400,19.23
2012-11-01,19.07,19.30,18.82,19.22,6047900,19.11
2012-10-31,19.26,19.66,18.94,19.66,4152800,19.55
2012-10-26,19.14,19.26,18.92,19.14,2413000,19.04
2012-10-25,19.41,19.41,18.96,19.16,2533700,19.06
2012-10-24,19.10,19.31,19.09,19.14,2288800,19.04
2012-10-23,19.21,19.21,18.89,19.01,2771400,18.91
2012-10-22,19.44,19.45,19.16,19.34,3218600,19.23
2012-10-19,19.74,19.90,19.43,19.47,2619600,19.36
2012-10-18,19.68,19.79,19.57,19.74,2332800,19.63
2012-10-17,19.67,19.83,19.49,19.74,3271900,19.63
2012-10-16,19.63,19.80,19.62,19.73,2088500,19.62
2012-10-15,19.34,19.59,19.19,19.59,2415800,19.48
2012-10-12,19.35,19.41,19.26,19.32,2317900,19.21
2012-10-11,19.47,19.48,19.33,19.36,3977400,19.25
2012-10-10,19.30,19.49,19.27,19.41,2514900,19.19
2012-10-09,19.32,19.59,19.29,19.29,3732000,19.08
2012-10-08,19.26,19.38,19.20,19.29,3641500,19.08
2012-10-05,19.31,19.46,19.24,19.35,3457800,19.14
2012-10-04,19.25,19.33,18.90,19.24,4416200,19.03
2012-10-03,19.10,19.53,19.08,19.19,4133300,18.98
2012-10-02,19.27,19.28,18.75,19.09,7302900,18.88
2012-10-01,19.53,19.58,18.94,19.17,5368100,18.96
2012-09-28,19.34,19.57,19.23,19.48,5428200,19.26
2012-09-27,19.23,19.71,19.18,19.47,4137600,19.25
2012-09-26,19.18,19.34,19.12,19.26,5317000,19.05
2012-09-25,19.41,19.59,19.14,19.19,5191600,18.98
2012-09-24,19.42,19.59,19.32,19.32,3706000,19.11
2012-09-21,19.75,19.81,19.45,19.45,9822100,19.23
2012-09-20,19.86,19.86,19.54,19.68,5848200,19.46
2012-09-19,19.76,19.95,19.75,19.87,3031300,19.65
2012-09-18,19.99,20.08,19.76,19.90,3357300,19.68
2012-09-17,19.93,20.17,19.87,20.00,2775800,19.78
2012-09-14,19.99,20.23,19.98,20.07,4911800,19.85
2012-09-13,20.00,20.12,19.87,20.00,4710800,19.78
2012-09-12,19.78,20.00,19.50,19.91,8703200,19.69
2012-09-11,19.83,20.16,19.55,20.09,12362400,19.87
2012-09-10,20.92,20.96,20.60,20.60,3417700,20.37
2012-09-07,21.02,21.25,20.88,20.99,4710400,20.76
2012-09-06,21.00,21.23,20.76,20.86,6924600,20.63
2012-09-05,20.75,21.25,20.45,20.98,11227900,20.75
2012-09-04,20.65,20.77,20.54,20.76,7005000,20.53
2012-08-31,20.55,20.81,20.43,20.58,4828500,20.35
2012-08-30,20.32,20.54,20.28,20.54,4254500,20.31
2012-08-29,20.49,20.52,20.22,20.40,5485100,20.17
2012-08-28,20.08,20.47,20.05,20.35,8657700,20.12
2012-08-27,19.75,20.38,19.57,20.02,12256600,19.80
2012-08-24,19.42,19.79,19.32,19.76,20441400,19.54
2012-08-23,18.48,21.12,18.35,20.32,43753400,20.09
2012-08-22,18.46,18.55,18.34,18.52,2025800,18.31
2012-08-21,18.45,18.56,18.39,18.56,2956200,18.35
2012-08-20,18.58,18.58,18.40,18.49,2787300,18.28
2012-08-17,18.50,18.56,18.48,18.55,9092100,18.34
2012-08-16,18.71,18.73,18.49,18.73,3322600,18.52
2012-08-15,18.67,18.74,18.50,18.65,3345300,18.44
2012-08-14,18.70,18.71,18.41,18.53,4166300,18.32
2012-08-13,18.62,18.75,18.50,18.63,2999100,18.42
2012-08-10,18.52,18.75,18.50,18.70,1924000,18.49
2012-08-09,18.59,18.85,18.51,18.58,2769600,18.37
2012-08-08,18.67,18.74,18.53,18.69,3456200,18.48
2012-08-07,18.81,18.84,18.56,18.61,4337500,18.40
2012-08-06,18.82,18.97,18.70,18.71,2517500,18.50
2012-08-03,18.72,18.85,18.42,18.79,7809500,18.58
2012-08-02,18.27,18.72,18.27,18.52,3850900,18.31
2012-08-01,18.29,18.42,18.10,18.21,3433100,18.01
2012-07-31,18.15,18.21,17.97,18.12,3957300,17.92
2012-07-30,18.00,18.23,17.97,18.23,2433600,18.03
2012-07-27,17.96,18.24,17.91,18.10,3129600,17.90
2012-07-26,17.64,17.88,17.61,17.87,3257800,17.67
2012-07-25,17.32,17.54,17.19,17.44,3442100,17.25
2012-07-24,17.26,17.41,16.99,17.22,4036500,17.03
2012-07-23,17.05,17.25,16.95,17.20,4176100,17.01
2012-07-20,17.31,17.45,17.19,17.23,3832800,17.04
2012-07-19,17.96,17.97,17.43,17.51,3873200,17.32
2012-07-18,17.97,18.21,17.81,17.85,2847300,17.65
2012-07-17,18.16,18.23,17.92,18.07,3030600,17.87
2012-07-16,17.78,18.12,17.68,18.07,2442500,17.87
2012-07-13,18.00,18.18,17.95,18.07,2069800,17.87
2012-07-12,17.90,18.10,17.79,17.96,6092200,17.76
2012-07-11,18.28,18.40,18.06,18.18,2471700,17.88
2012-07-10,18.65,18.66,18.18,18.29,2723400,17.99
2012-07-09,18.39,18.53,18.39,18.50,2458400,18.19
2012-07-06,18.09,18.49,18.07,18.49,2401800,18.18
2012-07-05,18.32,18.43,18.19,18.30,1990500,18.00
2012-07-03,18.35,18.42,18.22,18.30,2301300,18.00
2012-07-02,18.15,18.41,18.07,18.36,7079200,18.06
2012-06-29,18.27,18.43,17.87,18.09,7737800,17.79
2012-06-28,17.50,17.63,17.31,17.58,5799900,17.29
2012-06-27,17.29,17.54,17.24,17.50,2567300,17.21
2012-06-26,17.19,17.45,17.18,17.30,5606500,17.01
2012-06-25,17.10,17.33,17.01,17.18,2849400,16.90
2012-06-22,17.36,17.48,17.08,17.30,5769600,17.01
2012-06-21,17.50,17.52,17.14,17.23,4003300,16.94
2012-06-20,17.35,17.50,17.12,17.50,4204900,17.21
2012-06-19,17.28,17.53,17.18,17.30,3162300,17.01
2012-06-18,17.03,17.41,16.97,17.18,3294500,16.90
2012-06-15,17.15,17.20,16.97,17.10,5498000,16.82
2012-06-14,16.94,17.22,16.89,17.22,4565900,16.94
2012-06-13,16.87,17.09,16.74,16.91,4500900,16.63
2012-06-12,16.74,17.01,16.65,16.99,3746200,16.71
2012-06-11,17.26,17.29,16.71,16.71,6038500,16.43
2012-06-08,16.73,17.13,16.64,17.13,2026900,16.85
2012-06-07,17.27,17.39,16.75,16.75,3851400,16.47
2012-06-06,16.71,17.08,16.54,17.06,4231100,16.78
2012-06-05,15.94,16.59,15.89,16.51,2837800,16.24
2012-06-04,16.26,16.28,15.85,15.96,3322100,15.70
2012-06-01,16.45,16.51,16.08,16.15,3465700,15.88
2012-05-31,16.77,16.91,16.52,16.75,3654400,16.47
2012-05-30,17.10,17.11,16.81,16.81,2868700,16.53
2012-05-29,16.89,17.33,16.86,17.32,2114800,17.03
2012-05-25,16.98,17.03,16.67,16.81,1529700,16.53
2012-05-24,16.94,17.10,16.67,16.98,2382600,16.70
2012-05-23,16.70,16.94,16.44,16.94,2600000,16.66
