Date,Open,High,Low,Close,Volume,Adj Close
2012-12-24,12.62,12.75,12.54,12.74,5056800,12.74
2012-12-21,12.60,12.74,12.53,12.60,26681400,12.60
2012-12-20,12.79,12.87,12.74,12.79,18189100,12.79
2012-12-19,12.95,13.09,12.77,12.77,12591500,12.77
2012-12-18,12.61,13.02,12.60,12.99,13479400,12.99
2012-12-17,12.59,12.73,12.54,12.65,11315900,12.65
2012-12-14,12.77,12.78,12.52,12.62,11541200,12.62
2012-12-13,12.76,12.90,12.69,12.74,11309000,12.74
2012-12-12,12.63,12.85,12.59,12.73,12867000,12.73
2012-12-11,12.67,12.70,12.54,12.60,9951100,12.60
2012-12-10,12.50,12.70,12.46,12.63,10185600,12.63
2012-12-07,12.52,12.56,12.37,12.54,9532100,12.54
2012-12-06,12.33,12.71,12.24,12.48,10528000,12.48
2012-12-05,12.19,12.47,12.19,12.38,12400600,12.38
2012-12-04,12.22,12.38,12.10,12.22,19057200,12.22
2012-12-03,12.31,12.35,12.10,12.15,12425900,12.15
2012-11-30,12.34,12.40,12.21,12.23,13340800,12.23
2012-11-29,12.24,12.41,12.20,12.33,12865300,12.33
2012-11-28,12.18,12.28,12.06,12.22,20754100,12.22
2012-11-27,12.09,12.33,12.00,12.13,42190800,12.13
2012-11-26,11.26,11.36,11.09,11.35,10625900,11.35
2012-11-23,11.23,11.30,11.16,11.29,3553700,11.29
2012-11-21,11.18,11.22,11.01,11.12,13965600,11.12
2012-11-20,11.13,11.33,11.11,11.18,13041100,11.18
2012-11-19,11.02,11.06,10.95,11.05,8436900,11.05
2012-11-16,10.89,10.95,10.71,10.90,17996000,10.90
2012-11-15,10.95,11.02,10.83,10.88,17840000,10.88
2012-11-14,11.14,11.19,10.91,10.94,14158500,10.94
2012-11-13,11.25,11.32,11.13,11.16,10156600,11.07
2012-11-12,11.36,11.40,11.22,11.27,9372500,11.18
2012-11-09,11.47,11.47,11.30,11.34,11424700,11.25
2012-11-08,11.56,11.60,11.38,11.40,17099900,11.31
2012-11-07,11.83,11.87,11.50,11.51,15489300,11.42
2012-11-06,11.89,11.97,11.82,11.90,12010200,11.80
2012-11-05,11.68,11.91,11.64,11.85,8402200,11.75
2012-11-02,11.88,11.88,11.65,11.70,13538700,11.61
2012-11-01,11.80,12.01,11.65,11.74,22118500,11.65
2012-10-31,12.04,12.08,11.70,11.75,14112900,11.66
2012-10-26,12.05,12.16,11.81,11.82,17641500,11.72
2012-10-25,12.30,12.31,12.04,12.09,23049600,11.99
2012-10-24,12.70,12.80,11.96,12.15,45331900,12.05
2012-10-23,13.39,13.44,13.15,13.41,12071600,13.30
2012-10-22,13.38,13.57,13.32,13.52,14609300,13.41
2012-10-19,13.70,13.77,13.49,13.52,10704500,13.41
2012-10-18,13.75,13.85,13.67,13.74,14220600,13.63
2012-10-17,13.55,13.96,13.49,13.83,19216500,13.72
2012-10-16,13.22,13.62,13.19,13.56,17817700,13.45
2012-10-15,13.00,13.10,12.96,13.08,8027900,12.97
2012-10-12,13.00,13.06,12.78,12.98,14550300,12.88
2012-10-11,13.11,13.16,12.94,13.02,13726400,12.92
2012-10-10,13.07,13.10,12.91,12.95,15865700,12.85
2012-10-09,13.20,13.33,12.98,13.04,14052600,12.93
2012-10-08,13.24,13.34,13.18,13.29,10628200,13.18
2012-10-05,13.46,13.61,13.26,13.30,11522600,13.19
2012-10-04,13.43,13.50,13.34,13.40,16050000,13.29
2012-10-03,13.25,13.55,13.17,13.38,19302600,13.27
2012-10-02,13.12,13.25,13.09,13.24,10347900,13.13
2012-10-01,13.23,13.33,13.06,13.09,11512700,12.98
2012-09-28,13.21,13.26,13.02,13.15,12530200,13.04
2012-09-27,12.95,13.40,12.89,13.30,18517800,13.19
2012-09-26,12.91,12.99,12.68,12.86,12394000,12.76
2012-09-25,13.28,13.31,12.92,12.93,14167500,12.83
2012-09-24,13.09,13.38,13.03,13.25,12566100,13.14
2012-09-21,13.19,13.37,13.17,13.22,16536100,13.11
2012-09-20,12.95,13.13,12.91,13.10,14683400,12.99
2012-09-19,13.16,13.25,12.87,12.88,27779900,12.78
2012-09-18,12.88,12.95,12.72,12.73,10748300,12.63
2012-09-17,13.12,13.15,12.84,12.88,11933000,12.78
2012-09-14,12.93,13.14,12.88,13.12,14289400,13.01
2012-09-13,12.71,12.90,12.57,12.86,9882100,12.76
2012-09-12,12.78,12.87,12.64,12.70,8826000,12.60
2012-09-11,12.58,12.86,12.53,12.77,12140200,12.67
2012-09-10,12.55,12.70,12.50,12.58,13382700,12.48
2012-09-07,12.29,12.57,12.26,12.55,12994400,12.45
2012-09-06,11.91,12.40,11.91,12.30,17891700,12.20
2012-09-05,11.90,11.92,11.75,11.85,6979800,11.75
2012-09-04,12.02,12.10,11.77,11.91,9507400,11.81
2012-08-31,11.98,12.17,11.93,11.99,16633200,11.89
2012-08-30,11.69,11.71,11.52,11.62,8658600,11.53
2012-08-29,11.67,11.82,11.56,11.76,8533000,11.67
2012-08-28,11.55,11.75,11.54,11.68,7625600,11.51
2012-08-27,11.53,11.62,11.47,11.59,7423100,11.42
2012-08-24,11.52,11.53,11.34,11.52,11073500,11.35
2012-08-23,11.66,11.67,11.50,11.55,10385300,11.38
2012-08-22,11.85,11.86,11.57,11.73,10452700,11.56
2012-08-21,12.02,12.13,11.80,11.86,10853100,11.69
2012-08-20,11.95,12.00,11.81,11.99,11822800,11.82
2012-08-17,11.86,12.00,11.84,11.99,14798900,11.82
2012-08-16,11.60,11.75,11.59,11.75,11858400,11.58
2012-08-15,11.53,11.62,11.47,11.59,11361400,11.42
2012-08-14,11.58,11.62,11.48,11.52,12799200,11.35
2012-08-13,11.58,11.72,11.45,11.52,11593800,11.35
2012-08-10,11.55,11.60,11.47,11.57,6677500,11.40
2012-08-09,11.56,11.64,11.43,11.59,13746100,11.42
2012-08-08,11.48,11.73,11.48,11.61,17502200,11.44
2012-08-07,11.32,11.58,11.32,11.53,14378800,11.36
2012-08-06,11.41,11.42,11.26,11.28,10397800,11.12
2012-08-03,11.36,11.43,11.23,11.34,9517600,11.18
2012-08-02,11.14,11.31,11.06,11.23,10391200,11.07
2012-08-01,11.43,11.45,10.62,11.31,26498400,11.15
2012-07-31,11.40,11.49,11.31,11.41,11245600,11.25
2012-07-30,11.50,11.55,11.35,11.42,9473800,11.26
2012-07-27,11.25,11.63,11.18,11.53,12643900,11.36
2012-07-26,11.12,11.34,11.05,11.23,22636600,11.07
2012-07-25,11.99,12.02,11.05,11.14,38346400,10.98
2012-07-24,12.17,12.19,11.94,12.07,11258900,11.90
