Date,Open,High,Low,Close,Volume,Adj Close
2012-12-24,7.05,7.11,6.98,7.09,3030100,7.09
2012-12-21,7.22,7.22,7.00,7.05,13667000,7.05
2012-12-20,7.34,7.40,7.20,7.35,9401100,7.35
2012-12-19,7.41,7.47,7.24,7.32,8719900,7.32
2012-12-18,7.16,7.36,6.99,7.34,18953100,7.34
2012-12-17,7.01,7.12,7.00,7.12,8240600,7.12
2012-12-14,6.96,7.03,6.90,6.96,7692400,6.96
2012-12-13,7.01,7.19,6.96,6.96,10899500,6.96
2012-12-12,6.96,7.03,6.88,6.97,10247400,6.97
2012-12-11,6.90,7.13,6.80,6.90,18373700,6.90
2012-12-10,6.60,6.74,6.51,6.72,11460100,6.72
2012-12-07,6.50,6.69,6.48,6.61,15765800,6.61
2012-12-06,6.07,6.43,6.04,6.41,16237200,6.41
2012-12-05,5.99,6.12,5.92,6.08,12203200,6.08
2012-12-04,5.90,6.01,5.86,5.99,11905200,5.99
2012-12-03,5.98,6.01,5.85,5.89,8285400,5.89
2012-11-30,5.92,5.96,5.85,5.95,26440100,5.95
2012-11-29,5.91,5.96,5.85,5.87,10336600,5.87
2012-11-28,5.53,5.85,5.50,5.85,10485000,5.85
2012-11-27,5.59,5.75,5.56,5.62,8198000,5.62
2012-11-26,5.60,5.63,5.46,5.58,9387300,5.58
2012-11-23,5.69,5.74,5.60,5.65,3182200,5.65
2012-11-21,5.60,5.69,5.54,5.66,7302900,5.66
2012-11-20,5.56,5.61,5.44,5.60,7358600,5.60
2012-11-19,5.51,5.63,5.41,5.57,9426000,5.57
2012-11-16,5.30,5.42,5.21,5.38,12162300,5.38
2012-11-15,5.19,5.40,5.10,5.29,12977200,5.29
2012-11-14,5.41,5.50,5.22,5.29,9414400,5.29
2012-11-13,5.50,5.58,5.40,5.40,10527000,5.40
2012-11-12,5.64,5.71,5.54,5.54,5680900,5.54
2012-11-09,5.54,5.73,5.54,5.61,13382100,5.61
2012-11-08,5.67,5.81,5.54,5.56,10739100,5.56
2012-11-07,5.83,5.91,5.64,5.65,15154300,5.65
2012-11-06,6.09,6.18,5.96,6.00,13291600,6.00
2012-11-05,6.06,6.12,5.94,5.98,10471300,5.98
2012-11-02,6.28,6.30,5.92,6.06,10681000,6.06
2012-11-01,6.02,6.30,6.00,6.22,15518400,6.22
2012-10-31,5.76,6.04,5.71,5.96,13500100,5.96
2012-10-26,5.61,5.70,5.45,5.48,6172000,5.48
2012-10-25,5.53,5.66,5.48,5.64,5667900,5.64
2012-10-24,5.54,5.55,5.40,5.41,5140300,5.41
2012-10-23,5.56,5.57,5.42,5.49,8851700,5.49
2012-10-22,5.59,5.75,5.52,5.71,6923900,5.71
2012-10-19,5.79,5.83,5.53,5.63,9418000,5.63
2012-10-18,5.80,5.92,5.74,5.81,7676300,5.81
2012-10-17,5.71,5.86,5.70,5.79,7999400,5.79
2012-10-16,5.57,5.74,5.57,5.70,6276900,5.70
2012-10-15,5.47,5.57,5.44,5.51,6344800,5.51
2012-10-12,5.45,5.55,5.21,5.47,13396500,5.47
2012-10-11,5.55,5.64,5.40,5.49,8364000,5.49
2012-10-10,5.43,5.50,5.37,5.47,9342600,5.47
2012-10-09,5.43,5.50,5.36,5.44,7748400,5.44
2012-10-08,5.37,5.45,5.31,5.42,4465200,5.42
2012-10-05,5.35,5.48,5.26,5.39,9708400,5.39
2012-10-04,5.19,5.33,5.12,5.21,11526300,5.21
2012-10-03,5.16,5.19,5.07,5.16,6177000,5.16
2012-10-02,5.18,5.22,5.08,5.16,6297000,5.16
2012-10-01,5.25,5.26,5.11,5.13,10415800,5.13
2012-09-28,5.19,5.28,5.10,5.23,11943600,5.23
2012-09-27,5.29,5.33,5.15,5.23,8821800,5.23
2012-09-26,5.16,5.30,5.07,5.23,7658900,5.23
2012-09-25,5.57,5.60,5.16,5.17,12134000,5.17
2012-09-24,5.62,5.64,5.51,5.55,6602900,5.55
2012-09-21,5.90,5.92,5.61,5.66,11040900,5.66
2012-09-20,5.82,5.87,5.66,5.83,8639000,5.83
2012-09-19,5.91,5.98,5.84,5.89,9886400,5.89
2012-09-18,6.00,6.00,5.82,5.87,7763100,5.87
2012-09-17,6.07,6.15,5.95,6.00,7067300,6.00
2012-09-14,5.76,6.13,5.60,6.12,13253000,6.12
2012-09-13,5.73,5.90,5.61,5.89,11137900,5.89
2012-09-12,5.80,5.89,5.70,5.71,8387600,5.71
2012-09-11,5.71,5.84,5.66,5.76,6005200,5.76
2012-09-10,5.65,5.82,5.63,5.72,8903500,5.72
2012-09-07,5.47,5.67,5.45,5.65,7900400,5.65
2012-09-06,5.23,5.49,5.21,5.45,10708200,5.45
2012-09-05,5.23,5.28,5.14,5.17,5071500,5.17
