Date,Open,High,Low,Close,Volume,Adj Close
2012-12-24,63.99,64.11,62.89,63.82,219600,63.82
2012-12-21,63.68,64.93,63.68,64.11,1391200,64.11
2012-12-20,64.00,64.69,63.68,64.67,584100,64.67
2012-12-19,63.73,64.23,63.58,64.00,531800,64.00
2012-12-18,63.39,63.84,63.27,63.66,967200,63.66
2012-12-17,62.99,63.60,62.63,63.32,827400,63.32
2012-12-14,62.87,63.22,62.46,62.51,891600,62.51
2012-12-13,63.19,63.60,62.90,63.00,632000,63.00
2012-12-12,63.79,64.22,62.99,63.15,771200,63.15
2012-12-11,64.04,64.04,63.35,63.48,609700,63.48
2012-12-10,63.95,64.24,63.49,63.65,618700,63.65
2012-12-07,64.04,64.22,63.66,64.05,531900,64.05
2012-12-06,64.21,64.29,63.68,63.99,459300,63.99
2012-12-05,64.52,64.60,63.52,64.23,829200,64.23
2012-12-04,64.30,64.88,64.06,64.64,1106900,64.14
2012-12-03,65.55,66.90,64.39,64.65,1227600,64.15
2012-11-30,64.47,65.15,64.29,65.09,1042500,64.59
2012-11-29,63.84,64.41,63.53,64.39,722500,63.90
2012-11-28,62.37,63.87,62.37,63.84,482900,63.35
2012-11-27,62.86,63.32,62.41,62.75,935300,62.27
2012-11-26,62.74,62.96,62.23,62.77,446200,62.29
2012-11-23,62.45,62.97,61.82,62.94,156400,62.46
2012-11-21,61.98,62.30,61.71,62.25,332800,61.77
2012-11-20,61.36,61.86,60.99,61.85,540600,61.38
2012-11-19,61.13,61.33,60.65,61.33,517300,60.86
2012-11-16,60.50,60.76,59.93,60.34,817100,59.88
2012-11-15,60.10,60.96,60.01,60.41,666400,59.95
2012-11-14,61.15,61.30,60.20,60.34,827700,59.88
2012-11-13,61.11,61.77,60.82,60.86,519900,60.39
2012-11-12,61.80,62.10,61.30,61.36,475200,60.89
2012-11-09,61.55,62.57,61.51,61.78,603800,61.31
2012-11-08,62.72,62.86,61.75,61.76,938100,61.29
2012-11-07,63.40,63.57,62.48,62.86,717600,62.38
2012-11-06,63.19,64.30,62.88,63.92,714500,63.43
2012-11-05,62.61,63.30,62.53,63.12,443600,62.64
2012-11-02,63.76,64.39,62.71,62.82,560200,62.34
2012-11-01,62.50,64.34,62.31,63.60,1519800,63.11
2012-10-31,61.25,62.66,60.97,62.58,682900,62.10
2012-10-26,60.78,61.54,60.53,61.24,692200,60.77
2012-10-25,61.05,61.46,60.62,60.88,758000,60.41
2012-10-24,61.71,61.79,60.50,60.59,640500,60.13
2012-10-23,60.50,61.61,60.14,61.46,1260500,60.99
2012-10-22,60.99,61.36,60.39,60.94,1586400,60.47
2012-10-19,62.06,62.36,61.05,61.55,1211800,61.08
2012-10-18,64.00,64.58,59.53,61.87,3368200,61.40
2012-10-17,62.18,62.31,61.49,62.06,979800,61.58
2012-10-16,61.53,62.15,61.37,61.97,784300,61.50
2012-10-15,61.42,61.59,60.80,61.36,627900,60.89
2012-10-12,61.44,62.11,61.24,61.29,439400,60.82
2012-10-11,61.77,62.20,61.34,61.34,570800,60.87
2012-10-10,61.77,61.89,61.15,61.32,545800,60.85
2012-10-09,62.39,62.61,61.70,61.84,507700,61.37
2012-10-08,62.40,63.01,62.26,62.42,397700,61.94
2012-10-05,62.85,63.18,62.49,62.57,925600,62.09
2012-10-04,61.20,63.02,61.01,62.56,997500,62.08
2012-10-03,61.14,61.41,60.96,61.00,758000,60.53
2012-10-02,61.00,61.05,60.75,60.99,475100,60.52
2012-10-01,61.10,61.18,60.58,60.81,938900,60.34
2012-09-28,60.75,61.12,60.39,61.03,989100,60.56
2012-09-27,61.77,61.77,60.75,60.99,797500,60.52
2012-09-26,61.96,62.12,61.37,61.47,602700,61.00
2012-09-25,62.54,62.58,61.82,61.88,541200,61.41
2012-09-24,62.00,62.53,61.81,62.34,842600,61.86
2012-09-21,62.65,62.79,62.10,62.12,1071000,61.64
2012-09-20,62.32,62.61,61.98,62.53,714900,62.05
2012-09-19,61.92,62.61,61.65,62.34,872900,61.86
2012-09-18,61.99,62.10,61.60,61.92,671300,61.45
2012-09-17,62.76,62.99,61.85,62.09,819900,61.61
2012-09-14,63.00,64.11,62.90,63.16,912200,62.68
2012-09-13,62.46,63.21,62.00,63.01,616100,62.53
2012-09-12,62.45,62.82,62.19,62.50,374300,62.02
