Date,Open,High,Low,Close,Volume,Adj Close
2012-12-24,41.19,41.36,40.55,40.66,546100,40.66
2012-12-21,40.96,41.39,39.72,41.07,2229000,41.07
2012-12-20,41.99,42.10,41.32,41.43,799600,41.43
2012-12-19,42.56,42.99,41.98,42.05,1617600,42.05
2012-12-18,41.42,42.65,41.09,42.62,1889100,42.62
2012-12-17,40.70,41.44,40.70,41.42,2647200,41.42
2012-12-14,41.00,41.21,40.53,40.68,1694300,40.68
2012-12-13,41.01,41.68,40.64,41.16,1506300,41.16
2012-12-12,42.23,42.34,40.53,41.08,3443300,41.08
2012-12-11,42.26,42.71,42.07,42.40,23668800,41.95
2012-12-10,41.69,42.17,41.47,42.16,2460100,41.71
2012-12-07,42.04,42.24,41.42,41.70,1721300,41.26
2012-12-06,41.65,42.19,41.30,41.99,3700800,41.54
2012-12-05,39.73,40.15,39.66,39.71,817700,39.29
2012-12-04,39.95,40.21,39.74,39.90,1702700,39.48
2012-12-03,39.39,39.91,38.71,39.88,1290500,39.46
2012-11-30,39.00,39.38,38.77,38.89,1033900,38.48
2012-11-29,38.87,39.13,38.60,38.78,501000,38.37
2012-11-28,37.89,38.82,37.75,38.74,593600,38.33
2012-11-27,38.25,38.53,37.83,37.89,788400,37.49
2012-11-26,38.49,38.76,38.27,38.39,595300,37.98
2012-11-23,38.29,38.78,38.10,38.61,237600,38.20
2012-11-21,38.05,38.53,37.88,38.05,949400,37.65
2012-11-20,37.59,38.14,37.36,38.12,705800,37.72
2012-11-19,37.79,38.00,37.19,37.73,918900,37.33
2012-11-16,37.09,37.46,36.73,37.18,873100,36.79
2012-11-15,36.06,37.17,36.04,37.15,1686400,36.76
2012-11-14,36.46,37.00,36.02,36.12,1043700,35.74
2012-11-13,36.25,36.55,35.96,36.40,983000,36.01
2012-11-12,35.77,36.57,35.77,36.52,1101300,36.13
2012-11-09,36.31,37.32,35.86,37.01,884000,36.62
2012-11-08,37.19,37.20,36.40,36.41,795400,36.02
2012-11-07,37.44,37.67,37.00,37.21,651800,36.82
2012-11-06,37.79,38.07,37.28,37.90,808400,37.50
2012-11-05,37.40,37.68,37.06,37.50,843100,37.10
2012-11-02,38.17,38.29,37.48,37.50,1136500,37.10
2012-11-01,38.10,38.50,37.88,38.10,1343400,37.70
2012-10-31,39.33,42.00,36.71,38.00,2240800,37.60
2012-10-26,39.11,39.56,38.64,38.99,708300,38.58
2012-10-25,39.51,40.02,39.10,39.26,376800,38.84
2012-10-24,39.47,39.68,38.92,39.29,504100,38.87
2012-10-23,39.13,39.46,38.56,39.21,441700,38.79
2012-10-22,38.82,39.38,38.61,39.38,778100,38.96
2012-10-19,39.84,39.97,38.43,38.93,1209100,38.52
2012-10-18,39.51,39.80,38.95,39.75,1216000,39.33
2012-10-17,40.04,40.10,39.19,39.60,1015200,39.18
2012-10-16,40.21,40.40,39.74,39.97,584900,39.55
2012-10-15,40.30,40.61,39.88,40.11,435200,39.68
2012-10-12,40.44,40.63,39.86,40.17,400600,39.74
2012-10-11,40.50,40.77,40.28,40.44,401200,40.01
2012-10-10,40.77,40.89,40.00,40.06,512500,39.63
2012-10-09,42.34,42.47,40.56,40.72,854200,40.29
2012-10-08,42.38,42.73,42.25,42.40,359500,41.95
2012-10-05,42.84,43.33,42.65,42.73,2118300,42.28
2012-10-04,41.64,42.68,41.59,42.57,944000,42.12
2012-10-03,41.82,41.97,41.30,41.68,506200,41.24
2012-10-02,41.99,41.99,41.37,41.57,408600,41.13
2012-10-01,41.78,41.99,41.26,41.78,873100,41.34
2012-09-28,41.90,42.24,41.49,41.74,973400,41.30
2012-09-27,41.27,42.11,40.97,41.99,756500,41.54
2012-09-26,41.25,41.38,40.71,40.85,532700,40.42
2012-09-25,42.17,42.17,41.05,41.05,809300,40.61
2012-09-24,41.99,42.41,41.77,42.09,802300,41.64
2012-09-21,41.82,42.43,41.82,41.94,1813900,41.49
2012-09-20,41.89,42.12,41.60,41.81,910700,41.37
2012-09-19,41.98,42.35,41.66,42.06,747500,41.61
2012-09-18,42.19,42.29,41.67,41.89,661400,41.45
2012-09-17,42.50,42.50,42.11,42.30,659900,41.85
2012-09-14,41.50,42.54,41.42,42.45,1533800,42.00
2012-09-13,40.37,41.88,40.28,41.42,1299000,40.98
2012-09-12,40.23,41.22,39.64,40.99,2000800,40.55
2012-09-11,40.26,40.74,40.12,40.29,873200,39.42
2012-09-10,41.47,41.59,40.25,40.35,847400,39.48
2012-09-07,40.97,41.54,40.83,41.52,961000,40.62
2012-09-06,40.35,40.80,40.07,40.74,995400,39.86
2012-09-05,39.70,40.35,39.69,39.99,1157500,39.12
2012-09-04,40.28,40.40,39.46,39.85,805300,38.99
2012-08-31,40.25,40.70,40.21,40.35,985200,39.48
2012-08-30,40.26,40.55,39.68,39.97,539700,39.10
2012-08-29,40.60,40.86,40.23,40.66,750900,39.78
2012-08-28,40.37,40.94,40.24,40.50,597800,39.62
2012-08-27,40.60,40.65,40.08,40.28,564900,39.41
2012-08-24,40.50,40.92,40.10,40.50,619500,39.62
2012-08-23,41.62,41.68,40.63,40.72,1026900,39.84
2012-08-22,41.61,41.77,41.37,41.59,491800,40.69
2012-08-21,41.85,42.09,41.40,41.66,461000,40.76
2012-08-20,41.29,42.85,41.29,41.84,949000,40.93
2012-08-17,41.39,41.50,41.03,41.18,539700,40.29
2012-08-16,41.14,41.39,40.95,41.15,594300,40.26
2012-08-15,40.99,41.33,40.89,40.97,664500,40.08
2012-08-14,41.64,41.76,40.66,41.08,766000,40.19
2012-08-13,41.66,41.85,41.01,41.43,712400,40.53
2012-08-10,41.39,41.90,41.32,41.80,1065200,40.89
2012-08-09,40.92,41.47,40.71,41.44,978600,40.54
2012-08-08,40.65,41.00,40.52,40.98,812400,40.09
2012-08-07,40.38,40.75,40.00,40.73,832000,39.85
2012-08-06,40.53,40.55,40.00,40.04,694800,39.17
2012-08-03,40.77,40.90,40.20,40.26,808200,39.39
2012-08-02,39.94,40.42,39.64,40.35,1604700,39.48
2012-08-01,41.76,41.87,38.31,39.37,4047400,38.52
2012-07-31,38.36,39.11,38.32,38.61,1420900,37.77
2012-07-30,38.50,38.77,38.22,38.56,626200,37.72
2012-07-27,37.62,38.85,37.55,38.64,773600,37.80
2012-07-26,37.84,38.20,37.24,37.37,913000,36.56
2012-07-25,37.14,37.85,37.07,37.50,1088500,36.69
2012-07-24,36.00,37.46,35.88,37.03,1880900,36.23
2012-07-23,36.47,36.47,35.73,35.84,1046300,35.06
2012-07-20,37.30,37.69,36.77,36.86,773900,36.06
2012-07-19,37.45,37.65,37.19,37.28,586700,36.47
2012-07-18,36.35,37.82,36.29,37.29,587100,36.48
2012-07-17,36.36,36.58,35.76,36.46,565100,35.67
2012-07-16,36.20,36.35,35.73,36.21,735600,35.43
2012-07-13,36.09,36.50,35.82,36.32,668100,35.53
2012-07-12,36.36,36.36,35.55,36.06,1285800,35.28
2012-07-11,36.70,36.95,36.21,36.64,760300,35.85
2012-07-10,37.50,37.66,36.45,36.71,1123400,35.91
2012-07-09,37.47,37.50,37.10,37.46,496400,36.65
2012-07-06,37.90,38.00,37.20,37.38,875100,36.57
2012-07-05,38.54,38.65,37.84,37.92,1086100,37.10
2012-07-03,38.60,38.69,38.26,38.64,581900,37.80
2012-07-02,38.19,38.70,37.62,38.31,1288000,37.48
