Date,Open,High,Low,Close,Volume,Adj Close
2009-12-24,164.00,164.90,163.31,163.97,1858100,157.95
2009-12-23,165.06,165.80,163.39,163.63,4052600,157.62
2009-12-22,165.50,166.30,164.50,164.60,4190700,158.55
2009-12-21,163.79,166.75,163.42,165.45,9392900,159.37
2009-12-18,161.81,163.38,160.20,163.19,8687100,157.20
2009-12-17,162.31,163.62,160.83,160.93,8943800,155.02
2009-12-16,163.85,165.89,163.07,164.99,8637700,158.93
2009-12-15,164.81,166.00,162.11,162.74,7539800,156.76
2009-12-14,166.48,166.50,163.86,166.10,6652900,160.00
2009-12-11,167.54,167.95,165.42,166.00,6425000,159.90
2009-12-10,166.69,167.94,164.16,166.73,11930700,160.61
2009-12-09,162.13,167.05,160.72,166.44,10975800,160.33
2009-12-08,163.12,164.10,161.05,161.84,11693900,155.90
2009-12-07,166.52,167.36,163.76,163.85,6654600,157.83
2009-12-04,167.50,167.80,163.53,167.24,10410300,161.10
2009-12-03,167.95,169.16,163.94,164.30,8020400,158.27
2009-12-02,167.65,167.81,165.57,166.66,7500200,160.54
2009-12-01,171.25,171.33,167.07,167.63,13489100,161.47
2009-11-30,165.47,169.99,164.77,169.66,10699200,163.43
2009-11-27,164.27,166.30,163.22,164.16,6883200,157.79
2009-11-25,171.97,172.10,168.05,168.92,6984800,162.37
2009-11-24,171.64,172.00,170.28,171.13,6143700,164.49
2009-11-23,171.67,173.63,171.25,172.00,7930000,165.33
2009-11-20,171.40,172.44,170.01,170.01,8825400,163.42
2009-11-19,175.53,176.20,171.43,172.83,8893100,166.13
2009-11-18,176.47,177.45,175.01,176.90,5959000,170.04
2009-11-17,177.01,178.25,175.50,176.60,7680500,169.75
2009-11-16,177.99,179.38,176.43,177.25,8748500,170.38
2009-11-13,178.89,178.99,175.64,176.76,7630900,169.90
2009-11-12,179.70,181.43,177.79,178.48,7404200,171.56
2009-11-11,178.03,180.84,177.95,179.85,8187800,172.87
2009-11-10,176.40,177.74,175.32,176.51,7244700,169.66
2009-11-09,173.68,176.75,173.50,176.57,10329200,169.72
2009-11-06,171.96,173.95,171.00,171.78,6274200,165.12
2009-11-05,170.98,173.50,169.21,173.40,9017500,166.67
2009-11-04,173.47,174.60,169.02,169.50,11143300,162.93
2009-11-03,168.98,172.16,168.74,171.61,11150300,164.95
2009-11-02,171.59,173.36,165.30,170.68,15802400,164.06
2009-10-30,177.22,177.62,169.68,170.17,13323700,163.57
2009-10-29,174.57,178.58,173.44,178.58,9342900,171.65
2009-10-28,177.91,178.40,171.67,172.16,13586400,165.48
2009-10-27,179.25,180.10,177.40,178.61,10505700,171.68
2009-10-26,180.52,182.45,177.82,179.37,9427400,172.41
2009-10-23,184.03,184.89,179.04,180.36,9221900,173.36
2009-10-22,180.04,183.94,179.56,183.69,10666200,176.57
2009-10-21,185.20,185.50,179.10,179.26,11759300,172.31
2009-10-20,185.19,187.55,184.07,184.96,7387400,177.79
2009-10-19,184.85,186.79,183.01,185.50,7482000,178.31
2009-10-16,186.67,187.65,183.38,184.37,12750800,177.22
2009-10-15,188.62,190.86,187.20,188.63,17834200,181.31
2009-10-14,191.58,193.60,190.40,192.28,15806700,184.82
2009-10-13,186.41,187.80,185.10,187.23,11959300,179.97
2009-10-12,190.86,190.90,188.84,190.15,6189400,182.77
2009-10-09,188.73,189.75,187.92,189.30,6526300,181.96
2009-10-08,191.89,192.17,187.61,188.17,11978100,180.87
2009-10-07,186.51,190.58,186.00,190.48,10579400,183.09
2009-10-06,188.46,189.44,184.60,186.98,13918900,179.73
2009-10-05,180.77,186.65,180.55,186.47,9471200,179.24
2009-10-02,176.45,181.06,175.60,179.61,9232400,172.64
2009-10-01,184.01,184.69,178.60,178.99,11044500,172.05
2009-09-30,184.77,185.48,181.82,184.35,10517900,177.20
2009-09-29,182.99,184.78,182.13,183.58,7539300,176.46
2009-09-28,180.14,182.78,178.66,182.50,7892200,175.42
2009-09-25,182.18,183.10,177.70,179.50,12296200,172.54
2009-09-24,184.92,185.60,181.17,183.06,10982400,175.96
2009-09-23,186.31,188.00,183.64,183.64,10069600,176.52
2009-09-22,183.88,185.80,182.58,185.52,7470700,178.32
2009-09-21,181.69,183.73,181.41,182.39,6368600,175.32
2009-09-18,181.69,183.95,180.65,183.18,8395300,176.08
2009-09-17,179.88,183.00,179.55,181.46,9674300,174.42
2009-09-16,177.82,179.87,176.50,179.87,8706100,172.89
2009-09-15,178.00,178.00,175.46,176.66,8398900,169.81
2009-09-14,173.28,177.90,173.16,177.71,8028100,170.82
2009-09-11,176.80,177.81,174.37,174.70,11094800,167.92
2009-09-10,171.00,175.36,170.13,174.87,13488900,168.09
2009-09-09,167.80,170.56,167.16,170.27,10196500,163.67
2009-09-08,165.25,167.25,165.05,167.22,10066300,160.73
2009-09-04,161.54,163.85,161.36,162.97,6220100,156.65
2009-09-03,159.92,162.25,159.55,161.66,8837800,155.39
2009-09-02,160.13,161.44,158.14,158.54,10751500,152.39
2009-09-01,164.80,166.38,159.93,160.17,12446800,153.96
2009-08-31,162.95,165.59,161.25,165.46,9106500,159.04
2009-08-28,165.87,166.25,163.40,164.42,7029800,158.04
2009-08-27,165.69,165.90,163.25,165.02,7890600,158.62
2009-08-26,164.29,166.41,163.70,165.95,8325600,159.51
2009-08-25,163.33,165.30,163.04,164.94,9118900,158.54
2009-08-24,164.36,166.26,162.58,162.58,9148800,156.27
2009-08-21,163.76,164.90,162.02,163.51,10417200,157.17
2009-08-20,160.20,162.84,160.10,162.33,7619200,155.70
2009-08-19,159.11,160.50,158.00,159.93,8838900,153.40
2009-08-18,159.67,160.90,159.49,160.48,8090000,153.92
2009-08-17,159.32,159.61,157.20,157.25,10146100,150.83
2009-08-14,163.97,164.39,160.79,162.73,6756800,156.08
2009-08-13,165.24,165.49,162.61,164.48,8922600,157.76
2009-08-12,159.87,164.39,159.57,163.76,9842700,157.07
2009-08-11,159.94,162.22,159.15,159.22,9785100,152.71
2009-08-10,163.20,163.88,159.40,160.36,8909700,153.81
2009-08-07,168.30,168.30,162.73,163.65,10771800,156.96
2009-08-06,169.40,170.94,165.81,166.75,8201800,159.94
2009-08-05,165.75,168.96,164.61,168.64,9593900,161.75
2009-08-04,162.99,165.47,162.96,165.17,8808900,158.42
2009-08-03,165.20,166.29,163.30,164.10,8361800,157.40
