Date,Open,High,Low,Close,Volume,Adj Close
2009-12-24,14.35,14.60,14.25,14.58,871900,14.58
2009-12-23,14.46,14.54,14.10,14.29,2593000,14.29
2009-12-22,14.52,14.56,14.25,14.44,1775900,14.44
2009-12-21,14.38,14.65,14.37,14.45,2138600,14.45
2009-12-18,14.19,14.39,14.03,14.34,3274400,14.34
2009-12-17,14.40,14.53,14.07,14.07,3119700,14.07
2009-12-16,14.78,14.90,14.49,14.54,2830600,14.54
2009-12-15,14.82,14.88,14.66,14.71,1968900,14.71
2009-12-14,14.94,15.03,14.65,14.91,1803800,14.91
2009-12-11,14.75,14.92,14.59,14.89,1690100,14.89
2009-12-10,14.33,14.74,14.10,14.72,3525500,14.72
2009-12-09,14.38,14.42,13.98,14.13,2944100,14.13
2009-12-08,14.46,14.60,14.22,14.42,2205600,14.42
2009-12-07,14.46,14.85,14.36,14.51,3513500,14.51
2009-12-04,14.35,14.62,13.88,14.56,8071900,14.56
2009-12-03,14.11,14.26,13.64,13.66,3361900,13.66
2009-12-02,14.16,14.55,13.99,14.05,3163100,14.05
2009-12-01,13.92,14.31,13.87,14.11,3141200,14.11
2009-11-30,13.70,13.89,13.54,13.71,2339700,13.71
2009-11-27,13.19,13.81,13.19,13.69,1293800,13.69
2009-11-25,13.77,14.07,13.75,14.00,2129500,14.00
2009-11-24,13.93,14.04,13.55,13.75,3497800,13.75
2009-11-23,14.47,14.50,13.82,13.94,3268000,13.94
2009-11-20,14.33,14.48,13.81,14.11,3991700,14.11
2009-11-19,14.54,14.54,14.10,14.45,3923200,14.45
2009-11-18,14.59,14.72,14.43,14.69,2876600,14.69
2009-11-17,14.52,14.70,14.35,14.59,3679900,14.59
2009-11-16,14.59,14.75,14.38,14.57,4863500,14.57
2009-11-13,14.41,14.92,14.12,14.34,10621200,14.34
2009-11-12,13.54,14.15,13.54,13.74,5094800,13.74
2009-11-11,13.79,13.85,13.44,13.53,4018000,13.53
2009-11-10,13.54,13.78,13.26,13.67,4602300,13.67
2009-11-09,13.21,13.60,13.08,13.59,5198400,13.59
2009-11-06,12.85,13.25,12.63,13.13,4352000,13.13
2009-11-05,12.81,13.10,12.70,13.07,5451600,13.07
2009-11-04,13.54,13.54,12.48,12.54,8122800,12.54
2009-11-03,12.75,13.52,12.60,13.36,7675400,13.36
2009-11-02,13.15,13.34,12.60,12.86,6877000,12.86
