Date,Open,High,Low,Close,Volume,Adj Close
2012-12-26,199.34,199.99,198.41,198.88,450500,198.88
2012-12-24,198.16,199.84,197.25,199.44,227200,199.44
2012-12-21,195.03,200.24,194.75,200.00,880900,200.00
2012-12-20,197.77,198.70,195.71,196.94,476700,196.94
2012-12-19,195.22,198.98,194.31,197.95,650300,197.95
2012-12-18,192.45,195.49,191.26,195.16,589500,195.16
2012-12-17,191.34,191.99,190.06,191.66,327800,191.66
2012-12-14,190.80,191.22,189.94,190.26,454700,190.26
2012-12-13,191.93,192.29,189.92,190.49,730700,190.49
2012-12-12,194.19,194.72,191.85,192.09,1086400,192.09
2012-12-11,193.56,193.97,191.63,193.81,419500,193.81
2012-12-10,191.27,193.37,191.09,193.05,363300,193.05
2012-12-07,190.79,191.91,190.09,191.09,317300,191.09
2012-12-06,186.84,190.80,186.59,190.62,467100,190.62
2012-12-05,191.88,194.36,191.59,192.21,429500,192.21
2012-12-04,192.15,193.56,191.71,192.08,404200,192.08
2012-12-03,194.69,194.99,192.20,192.41,431800,192.41
2012-11-30,193.95,194.91,192.91,194.02,1472400,194.02
2012-11-29,192.69,194.79,191.90,194.00,547500,194.00
2012-11-28,189.30,191.92,188.80,191.59,467400,191.59
2012-11-27,189.14,191.43,188.47,190.64,458700,190.64
2012-11-26,191.27,191.94,189.11,190.42,982100,190.42
2012-11-23,190.87,192.04,189.98,191.51,247400,191.51
2012-11-21,191.48,192.45,189.87,190.39,626400,190.39
2012-11-20,190.89,192.48,190.58,191.54,769700,191.54
2012-11-19,189.40,191.27,189.00,191.20,763300,191.20
2012-11-16,188.38,190.96,187.04,187.83,1252400,187.83
2012-11-15,188.48,190.70,184.78,187.08,1817300,187.08
2012-11-14,192.96,192.96,185.58,188.77,1403000,188.77
2012-11-13,192.79,195.33,190.94,192.80,998800,192.80
2012-11-12,192.96,195.73,191.32,193.42,774900,193.42
2012-11-09,195.68,197.12,192.83,194.61,1135100,194.61
2012-11-08,198.38,199.41,195.02,195.25,590200,195.25
2012-11-07,200.93,203.80,198.28,198.44,487400,198.44
2012-11-06,200.76,204.41,199.84,203.08,848200,202.28
2012-11-05,200.00,202.78,198.82,202.49,687800,201.69
2012-11-02,201.53,204.00,200.88,201.06,515300,200.27
2012-11-01,201.83,204.58,200.35,200.52,796800,199.73
2012-10-31,200.94,206.00,199.61,201.41,846400,200.62
2012-10-26,199.96,200.00,196.20,197.48,976900,196.70
2012-10-25,200.85,202.11,198.63,199.63,636800,198.84
2012-10-24,204.95,206.16,198.94,199.37,773900,198.58
2012-10-23,202.88,206.20,202.34,204.22,503000,203.42
2012-10-22,200.47,206.67,200.47,205.32,527300,204.51
2012-10-19,209.44,210.28,205.53,205.80,826600,204.99
2012-10-18,209.76,210.68,208.39,209.60,840400,208.77
2012-10-17,210.00,211.20,208.74,209.27,748400,208.45
2012-10-16,202.06,210.60,197.18,209.58,2143600,208.75
2012-10-15,215.56,215.95,213.37,215.86,524200,215.01
2012-10-12,216.09,216.60,213.33,214.63,366800,213.78
2012-10-11,212.17,218.23,211.50,216.72,794400,215.87
2012-10-10,210.99,211.11,208.70,209.57,264100,208.74
2012-10-09,213.84,213.84,210.14,210.99,387700,210.16
2012-10-08,214.27,214.54,212.87,213.62,257400,212.78
2012-10-05,215.00,216.62,213.44,215.49,470100,214.64
2012-10-04,213.33,215.45,212.26,213.76,413600,212.92
2012-10-03,213.49,213.58,211.15,212.12,411600,211.28
2012-10-02,211.78,213.13,210.73,212.76,496700,211.92
2012-10-01,208.90,214.40,207.57,211.11,725600,210.28
2012-09-28,207.53,209.57,206.19,208.37,469500,207.55
2012-09-27,208.67,208.67,204.53,207.84,486200,207.02
2012-09-26,206.32,208.47,205.48,207.24,712700,206.42
2012-09-25,204.22,208.71,203.74,206.66,656600,205.85
2012-09-24,202.23,204.34,201.53,203.52,290000,202.72
2012-09-21,205.23,205.63,202.83,203.03,328000,202.23
2012-09-20,203.20,204.49,200.97,204.26,374100,203.46
2012-09-19,204.90,205.11,203.46,203.75,259400,202.95
2012-09-18,206.17,206.64,204.31,204.85,224600,204.04
2012-09-17,205.12,207.53,205.12,206.13,301600,205.32
2012-09-14,207.10,209.84,205.85,206.01,709100,205.20
2012-09-13,202.70,209.79,202.11,205.92,752900,205.11
2012-09-12,204.35,206.83,203.37,206.78,501500,205.97
2012-09-11,202.98,204.34,202.05,203.67,431100,202.87
2012-09-10,204.67,205.16,202.80,202.99,414500,202.19
2012-09-07,203.79,206.43,203.48,203.74,509700,202.94
2012-09-06,204.17,205.05,202.00,203.65,723800,202.85
2012-09-05,208.48,209.24,203.44,203.44,544100,202.64
2012-09-04,206.13,211.31,205.78,209.25,735500,208.43
2012-08-31,206.21,207.83,205.00,205.96,361000,205.15
2012-08-30,202.54,205.27,202.45,204.27,330300,203.47
2012-08-29,206.37,206.57,203.43,204.41,291700,203.60
2012-08-28,205.34,209.11,204.54,205.98,514400,205.17
2012-08-27,205.48,207.66,204.54,206.34,319200,205.53
2012-08-24,203.67,206.30,202.78,204.99,187700,204.18
2012-08-23,203.52,205.21,202.87,204.13,271500,203.33
2012-08-22,202.47,206.82,202.31,205.06,259600,204.25
2012-08-21,205.93,206.50,203.35,203.62,331800,202.82
2012-08-20,207.74,207.74,204.07,205.80,195700,204.99
2012-08-17,206.97,207.70,204.47,207.28,313000,206.46
2012-08-16,202.25,206.63,201.06,206.10,308500,205.29
2012-08-15,201.00,203.11,200.82,202.39,247200,201.59
2012-08-14,202.91,204.04,200.74,201.20,250800,200.41
2012-08-13,199.67,201.35,198.49,201.28,262600,200.49
2012-08-10,200.22,200.98,197.16,200.74,647300,199.95
2012-08-09,205.13,206.10,203.71,204.51,321000,203.70
2012-08-08,207.88,208.00,205.41,206.47,284300,204.86
2012-08-07,208.53,209.97,207.55,208.22,309000,206.60
2012-08-06,206.35,208.10,204.82,206.55,298600,204.94
2012-08-03,204.91,206.09,202.41,205.29,386100,203.69
2012-08-02,202.62,205.22,199.26,201.27,485100,199.70
2012-08-01,205.81,205.95,202.20,203.01,424800,201.43
2012-07-31,207.96,207.96,204.34,204.83,415800,203.23
2012-07-30,208.16,208.71,205.67,207.55,497000,205.93
2012-07-27,203.49,207.94,202.61,207.76,499600,206.14
2012-07-26,202.33,208.71,199.13,202.26,382600,200.68
2012-07-25,199.83,201.53,197.50,199.22,424100,197.67
2012-07-24,205.00,205.49,195.78,198.75,834300,197.20
2012-07-23,200.99,205.35,198.26,204.24,442800,202.65
2012-07-20,204.77,205.50,202.16,204.80,1043000,203.20
2012-07-19,210.50,210.57,204.79,205.72,1155600,204.12
2012-07-18,189.94,211.36,189.94,210.57,2344300,208.93
2012-07-17,188.50,190.33,186.91,188.97,666500,187.50
2012-07-16,189.71,190.22,186.14,188.09,541700,186.62
2012-07-13,185.20,189.99,185.20,189.76,531000,188.28
2012-07-12,176.80,186.24,176.50,185.43,1208000,183.98
2012-07-11,184.89,185.43,177.97,179.02,1215300,177.62
2012-07-10,188.66,189.99,183.29,184.55,489800,183.11
2012-07-09,187.73,189.55,184.22,188.03,550800,186.56
2012-07-06,189.02,191.26,187.39,187.77,422800,186.31
2012-07-05,193.40,193.40,191.34,191.87,389600,190.37
2012-07-03,189.61,194.40,188.68,193.38,450000,191.87
2012-07-02,190.69,191.60,187.07,190.10,464300,188.62
2012-06-29,184.84,191.66,184.84,191.24,758400,189.75
2012-06-28,182.85,184.05,180.11,182.45,769300,181.03
2012-06-27,179.78,186.17,179.78,184.61,464600,183.17
2012-06-26,184.52,184.52,181.00,183.45,459100,182.02
2012-06-25,185.86,185.86,181.73,183.74,755200,182.31
2012-06-22,184.43,187.07,183.08,186.81,717000,185.35
2012-06-21,190.35,191.02,183.16,184.16,806100,182.72
2012-06-20,190.09,191.59,187.08,189.40,971300,187.92
2012-06-19,183.90,189.50,183.90,189.02,1140800,187.55
2012-06-18,178.00,181.70,177.33,181.38,602300,179.97
2012-06-15,177.15,180.52,177.15,180.52,615900,179.11
2012-06-14,177.68,179.58,175.52,177.10,636100,175.72
2012-06-13,182.41,182.41,175.93,177.22,977000,175.84
2012-06-12,180.73,182.34,178.36,181.58,1100200,180.16
2012-06-11,189.24,190.67,180.38,180.88,1199800,179.47
2012-06-08,187.62,190.33,186.71,189.98,920700,188.50
2012-06-07,184.64,187.74,184.22,185.74,934000,184.29
2012-06-06,179.38,183.87,178.52,182.38,1292100,180.96
2012-06-05,183.78,183.78,172.50,177.95,2428700,176.56
2012-06-04,188.59,189.41,185.42,187.50,781000,186.04
2012-06-01,189.87,191.13,188.24,188.25,797100,186.78
2012-05-31,195.38,196.07,189.76,193.65,643200,192.14
2012-05-30,195.74,196.95,194.03,195.66,429400,194.13
2012-05-29,194.66,196.52,194.46,196.34,485500,194.81
2012-05-25,195.38,195.99,193.51,193.90,278600,192.39
2012-05-24,196.00,198.75,193.85,194.84,523100,193.32
2012-05-23,192.06,195.63,190.47,195.45,925000,193.93
2012-05-22,190.29,194.28,188.98,193.57,844200,192.06
2012-05-21,186.71,189.36,186.25,188.99,570200,187.52
2012-05-18,189.54,190.29,185.73,186.23,784900,184.78
2012-05-17,191.77,192.15,187.44,188.40,873300,186.93
2012-05-16,193.11,193.99,191.77,191.77,445700,190.27
2012-05-15,192.16,193.49,190.14,191.77,543100,190.27
2012-05-14,195.35,195.35,190.32,191.25,832500,189.76
2012-05-11,201.42,201.48,194.44,194.57,1377500,193.05
2012-05-10,203.70,204.90,201.99,202.40,461400,200.82
2012-05-09,199.50,203.54,198.01,201.76,396100,199.39
2012-05-08,203.34,203.96,199.85,203.27,622600,200.89
2012-05-07,200.70,205.94,200.00,204.70,416400,202.30
2012-05-04,202.24,204.13,201.66,201.75,452400,199.38
2012-05-03,209.98,209.98,204.79,205.66,487100,203.25
2012-05-02,204.84,209.21,203.30,209.03,564300,206.58
2012-05-01,208.43,209.62,205.79,207.83,460200,205.39
2012-04-30,209.25,210.84,207.26,207.82,520500,205.38
2012-04-27,210.00,213.00,208.92,212.83,985700,210.33
2012-04-26,208.98,210.01,206.44,209.46,772200,207.00
2012-04-25,204.88,209.57,204.01,208.44,1196100,205.99
2012-04-24,210.87,210.87,199.54,204.01,2017100,201.62
2012-04-23,218.99,218.99,210.92,211.24,818300,208.76
2012-04-20,213.74,221.00,213.14,219.90,637300,217.32
2012-04-19,216.84,216.84,211.96,213.26,507000,210.76
2012-04-18,216.08,218.57,213.34,216.75,587600,214.21
2012-04-17,211.01,216.49,210.00,215.63,1014100,213.10
2012-04-16,213.15,217.47,213.15,215.59,526800,213.06
2012-04-13,209.46,214.90,209.46,213.18,383900,210.68
2012-04-12,210.00,216.04,209.04,214.00,453200,211.49
2012-04-11,213.92,213.92,208.68,211.61,440100,209.13
2012-04-10,213.02,213.79,207.54,207.62,392700,205.18
2012-04-09,214.25,214.79,212.09,213.80,162700,211.29
2012-04-05,216.47,217.90,215.94,217.27,175000,214.72
2012-04-04,218.24,218.34,216.18,217.43,311500,214.88
2012-04-03,218.23,219.96,216.75,219.48,260100,216.90
2012-04-02,214.65,219.07,213.63,218.19,264600,215.63
2012-03-30,218.04,218.29,214.81,214.81,327800,212.29
2012-03-29,215.16,217.79,214.26,217.55,254600,215.00
2012-03-28,218.88,218.88,214.03,216.27,257600,213.73
2012-03-27,218.26,221.84,217.71,219.36,435600,216.79
2012-03-26,216.57,218.27,216.11,218.00,298300,215.44
2012-03-23,212.63,215.42,210.16,214.72,450500,212.20
2012-03-22,213.71,214.07,211.28,213.61,307300,211.10
2012-03-21,212.59,216.00,211.95,214.71,269100,212.19
2012-03-20,211.70,212.68,209.72,212.19,486000,209.70
2012-03-19,214.00,214.09,211.66,212.68,366700,210.18
2012-03-16,216.45,216.45,214.09,214.09,394800,211.58
2012-03-15,216.18,216.77,213.81,216.48,217600,213.94
2012-03-14,216.08,217.09,215.03,216.11,283200,213.57
2012-03-13,214.55,216.62,213.40,216.45,358600,213.91
2012-03-12,212.26,214.69,211.87,213.43,301100,210.93
2012-03-09,208.50,213.00,208.09,211.77,363900,209.29
2012-03-08,207.98,209.28,206.86,207.56,344500,205.12
2012-03-07,206.20,207.42,205.92,206.12,298800,203.70
2012-03-06,207.68,207.72,204.67,205.54,321500,203.13
2012-03-05,208.11,209.33,207.11,208.96,210900,206.51
2012-03-02,207.84,208.33,206.50,208.10,270200,205.66
2012-03-01,208.01,209.59,206.70,207.82,367500,205.38
2012-02-29,209.19,210.00,207.05,207.73,320900,205.29
2012-02-28,209.86,212.00,207.73,209.04,205100,206.59
2012-02-27,205.79,210.92,205.60,210.18,234600,207.71
2012-02-24,208.34,208.57,206.53,207.29,175900,204.86
2012-02-23,205.99,208.07,205.50,207.97,161100,205.53
2012-02-22,205.35,207.65,205.35,206.34,149100,203.92
2012-02-21,209.90,209.90,205.98,206.82,244200,204.39
2012-02-17,209.90,209.90,207.19,208.88,244200,206.43
2012-02-16,208.00,209.43,207.51,208.88,210300,206.43
2012-02-15,209.57,209.89,207.57,207.83,350300,205.39
2012-02-14,207.85,209.90,207.18,209.10,350200,206.65
2012-02-13,202.00,209.57,202.00,208.46,528300,206.01
2012-02-10,199.94,200.45,197.70,200.16,282600,197.81
2012-02-09,201.03,202.00,198.83,201.54,204200,199.18
2012-02-08,202.00,202.24,200.52,201.75,324400,198.73
