Date,Open,High,Low,Close,Volume,Adj Close
2013-01-07,36.40,36.89,36.30,36.65,7676400,36.65
2013-01-04,36.39,36.79,36.27,36.65,8152700,36.65
2013-01-03,35.68,36.73,35.47,36.31,16641200,36.31
2013-01-02,35.48,35.73,35.07,35.71,10230700,35.71
2012-12-31,33.88,34.75,33.74,34.69,8671800,34.69
2012-12-28,34.23,34.34,33.90,34.01,5808200,34.01
2012-12-27,34.65,34.70,34.12,34.60,7843300,34.60
2012-12-26,34.67,34.90,34.45,34.71,6315700,34.71
2012-12-24,34.57,34.65,34.45,34.52,3874600,34.52
2012-12-21,34.86,34.99,34.38,34.71,14700600,34.71
2012-12-20,34.57,35.22,34.55,35.13,11044000,35.13
2012-12-19,34.94,35.38,34.57,34.61,9900600,34.61
2012-12-18,33.07,35.09,33.02,34.80,16580300,34.80
2012-12-17,33.49,33.67,33.19,33.54,8022200,33.54
2012-12-14,32.91,33.57,32.82,33.39,12903600,33.39
2012-12-13,33.98,34.06,33.30,33.51,8355700,33.51
2012-12-12,34.18,34.36,33.91,34.05,8656900,34.05
2012-12-11,33.78,34.13,33.59,33.99,7754700,33.99
2012-12-10,33.80,34.09,33.62,33.66,6998900,33.66
2012-12-07,33.67,33.94,33.51,33.78,8211600,33.78
2012-12-06,33.34,33.65,33.19,33.58,10541400,33.58
2012-12-05,33.18,33.59,33.00,33.50,10149800,33.50
2012-12-04,32.94,33.49,32.88,33.06,9296400,33.06
2012-12-03,33.50,33.69,32.99,33.08,7689600,32.99
2012-11-30,32.96,33.45,32.83,33.35,11729700,33.26
2012-11-29,32.52,33.18,32.52,32.92,11756700,32.83
2012-11-28,31.80,32.44,31.41,32.41,11387800,32.32
2012-11-27,32.02,32.40,31.91,32.04,8547500,31.95
2012-11-26,31.91,32.20,31.69,32.04,9348400,31.95
2012-11-23,31.86,32.12,31.68,32.08,3973200,31.99
2012-11-21,31.66,31.84,31.42,31.70,7361300,31.61
2012-11-20,31.36,31.74,31.24,31.71,11821400,31.62
2012-11-19,31.17,31.75,31.07,31.71,12401700,31.62
2012-11-16,30.41,30.55,29.91,30.46,14452300,30.38
2012-11-15,30.34,30.93,30.00,30.36,13322500,30.28
2012-11-14,30.57,30.70,29.83,29.95,18150600,29.87
