Date,Open,High,Low,Close,Volume,Adj Close
2009-12-24,3.70,3.72,3.69,3.72,2183900,3.54
2009-12-23,3.72,3.75,3.67,3.68,9401100,3.50
2009-12-22,3.73,3.74,3.70,3.73,4617300,3.54
2009-12-21,3.73,3.75,3.68,3.74,8908600,3.55
2009-12-18,3.69,3.76,3.63,3.72,19867400,3.54
2009-12-17,3.61,3.79,3.60,3.68,14433200,3.50
2009-12-16,3.73,3.76,3.61,3.62,16600100,3.44
2009-12-15,3.83,3.92,3.69,3.73,20517100,3.54
2009-12-14,3.78,3.90,3.74,3.89,14036100,3.69
2009-12-11,3.73,3.76,3.68,3.73,9132500,3.54
2009-12-10,3.78,3.80,3.70,3.72,10134600,3.53
2009-12-09,3.79,3.82,3.72,3.73,19767800,3.54
2009-12-08,3.67,3.81,3.65,3.79,21075200,3.59
2009-12-07,3.70,3.76,3.66,3.68,21730200,3.49
2009-12-04,3.78,3.80,3.65,3.69,24144300,3.50
2009-12-03,3.90,3.91,3.67,3.68,26952600,3.49
2009-12-02,3.83,3.89,3.78,3.87,20224700,3.67
2009-12-01,3.88,3.89,3.73,3.82,22746200,3.62
2009-11-30,3.62,3.83,3.60,3.82,27762000,3.62
2009-11-27,3.61,3.68,3.59,3.59,8150400,3.40
2009-11-25,3.83,3.83,3.71,3.72,10565800,3.53
2009-11-24,3.82,3.82,3.71,3.76,15119900,3.56
2009-11-23,3.85,3.88,3.78,3.80,19312700,3.60
2009-11-20,3.82,3.86,3.74,3.78,18678800,3.58
2009-11-19,3.86,3.90,3.76,3.83,22501000,3.63
2009-11-18,3.80,3.99,3.76,3.92,30491600,3.72
2009-11-17,3.75,3.82,3.69,3.81,24766100,3.61
2009-11-16,3.82,3.88,3.70,3.78,26799800,3.58
2009-11-13,3.79,3.85,3.73,3.80,15589600,3.60
2009-11-12,3.85,3.90,3.75,3.75,14379400,3.55
2009-11-11,3.87,3.93,3.82,3.86,11240400,3.66
2009-11-10,3.92,3.93,3.76,3.80,15412500,3.60
2009-11-09,3.93,3.99,3.86,3.94,22444800,3.73
2009-11-06,3.70,3.90,3.68,3.87,27848200,3.67
2009-11-05,3.75,3.82,3.67,3.77,25912700,3.57
2009-11-04,3.92,3.99,3.66,3.69,26107600,3.50
2009-11-03,3.53,3.86,3.50,3.82,28656700,3.62
2009-11-02,3.91,3.93,3.53,3.61,27857900,3.42
2009-10-30,4.02,4.03,3.68,3.81,29790100,3.61
2009-10-29,3.96,4.09,3.83,4.07,24758000,3.86
2009-10-28,4.03,4.08,3.80,3.81,29543600,3.61
2009-10-27,4.11,4.17,3.95,4.04,32866900,3.83
2009-10-26,4.22,4.25,4.05,4.09,21155000,3.88
2009-10-23,4.41,4.43,4.15,4.20,19394300,3.98
2009-10-22,4.25,4.42,4.18,4.42,27788600,4.19
2009-10-21,4.35,4.47,4.30,4.31,17893000,4.09
2009-10-20,4.42,4.49,4.32,4.37,16005900,4.14
2009-10-19,4.59,4.62,4.39,4.41,19015500,4.18
2009-10-16,4.65,4.67,4.56,4.58,15715700,4.34
2009-10-15,4.66,4.77,4.58,4.77,23720200,4.52
2009-10-14,4.65,4.68,4.56,4.68,18386500,4.44
2009-10-13,4.57,4.62,4.52,4.53,18774400,4.29
2009-10-12,4.57,4.67,4.50,4.58,15247100,4.34
2009-10-09,4.52,4.57,4.48,4.55,15211900,4.31
