Date,Open,High,Low,Close,Volume,Adj Close
2012-12-24,8.14,8.16,8.05,8.09,1124200,8.09
2012-12-21,8.19,8.21,8.09,8.16,10858100,8.16
2012-12-20,8.20,8.28,8.19,8.27,5947800,8.27
2012-12-19,8.22,8.30,8.18,8.22,4885000,8.22
2012-12-18,8.14,8.24,8.14,8.24,20490300,8.24
2012-12-17,8.01,8.18,7.99,8.15,8754100,8.15
2012-12-14,8.04,8.04,7.97,7.99,5961800,7.99
2012-12-13,8.00,8.10,8.00,8.04,3045100,8.04
2012-12-12,8.03,8.10,8.00,8.02,3439400,8.02
2012-12-11,8.10,8.14,7.96,8.04,3668400,8.04
2012-12-10,7.97,8.14,7.96,8.06,2534500,8.06
2012-12-07,7.98,8.09,7.97,7.99,3606100,7.99
2012-12-06,7.98,8.05,7.94,7.99,3761800,7.99
2012-12-05,7.95,8.00,7.91,7.98,2152200,7.98
2012-12-04,8.01,8.06,7.91,7.91,4027700,7.91
2012-12-03,8.10,8.12,7.99,8.01,3698300,8.01
2012-11-30,7.98,8.08,7.88,8.06,4601000,8.06
2012-11-29,8.06,8.09,7.94,7.95,3222800,7.95
2012-11-28,8.03,8.10,7.93,8.04,4082100,8.04
2012-11-27,8.05,8.12,7.99,8.06,2505800,8.06
2012-11-26,8.09,8.15,8.05,8.07,2444300,8.07
2012-11-23,8.05,8.16,8.01,8.16,597900,8.16
2012-11-21,8.05,8.06,7.97,8.03,2134500,8.03
2012-11-20,8.03,8.10,7.95,8.05,2691200,8.05
2012-11-19,8.03,8.11,7.96,8.03,4286000,8.03
2012-11-16,7.87,7.96,7.81,7.95,5554900,7.95
2012-11-15,7.89,7.92,7.79,7.86,8170300,7.86
2012-11-14,7.96,8.04,7.83,7.85,9580800,7.85
2012-11-13,8.07,8.12,7.94,7.94,5749500,7.94
2012-11-12,8.09,8.17,8.03,8.11,4428000,8.11
2012-11-09,8.20,8.21,8.00,8.03,10692500,8.03
2012-11-08,8.25,8.34,8.21,8.21,4859000,8.21
2012-11-07,8.47,8.49,8.19,8.25,4805500,8.25
2012-11-06,8.53,8.67,8.50,8.64,3180500,8.56
2012-11-05,8.48,8.54,8.38,8.51,2791500,8.43
2012-11-02,8.66,8.70,8.51,8.57,11226100,8.49
2012-11-01,8.41,8.66,8.41,8.62,7109100,8.54
2012-10-31,8.65,8.69,8.29,8.49,19985600,8.41
2012-10-26,8.71,8.71,8.56,8.62,3589800,8.54
2012-10-25,8.63,8.74,8.61,8.69,2873600,8.61
2012-10-24,8.54,8.74,8.36,8.66,3905800,8.58
2012-10-23,8.55,8.65,8.55,8.62,8835900,8.54
2012-10-22,8.69,8.71,8.57,8.70,3143400,8.62
2012-10-19,8.73,8.75,8.57,8.64,4186300,8.56
2012-10-18,8.55,8.79,8.51,8.75,8549600,8.67
2012-10-17,8.17,8.62,8.17,8.56,9171000,8.48
2012-10-16,8.13,8.16,8.05,8.09,9213100,8.02
2012-10-15,7.99,8.17,7.99,8.09,3364800,8.02
2012-10-12,8.19,8.19,7.93,8.00,9168700,7.93
2012-10-11,8.24,8.24,8.17,8.18,1988400,8.10
2012-10-10,8.10,8.22,8.08,8.19,2974400,8.11
2012-10-09,8.14,8.15,8.04,8.06,3554500,7.99
2012-10-08,8.17,8.18,8.10,8.13,1750400,8.05
2012-10-05,8.16,8.23,8.14,8.19,2852700,8.11
2012-10-04,8.05,8.18,8.03,8.16,5217200,8.08
2012-10-03,7.97,8.08,7.93,8.05,13302400,7.98
2012-10-02,7.95,8.00,7.89,7.96,3119500,7.89
2012-10-01,7.95,8.08,7.93,7.96,4029400,7.89
2012-09-28,7.80,8.00,7.79,7.95,8431500,7.88
2012-09-27,7.86,7.90,7.79,7.86,4449200,7.79
2012-09-26,7.93,7.93,7.78,7.82,3609200,7.75
2012-09-25,8.00,8.00,7.89,7.92,7616700,7.85
2012-09-24,7.87,7.98,7.82,7.97,4790900,7.90
2012-09-21,7.90,7.95,7.86,7.91,10615400,7.84
2012-09-20,7.76,7.85,7.71,7.85,3757400,7.78
2012-09-19,7.84,7.89,7.82,7.85,3202600,7.78
2012-09-18,7.86,7.90,7.83,7.86,3874400,7.79
2012-09-17,7.91,7.94,7.84,7.88,13524800,7.81
2012-09-14,7.79,7.95,7.78,7.94,9595700,7.87
2012-09-13,7.66,7.86,7.62,7.82,7564800,7.75
2012-09-12,7.65,7.72,7.60,7.67,4382200,7.60
2012-09-11,7.51,7.69,7.49,7.68,8003300,7.61
2012-09-10,7.55,7.56,7.48,7.54,7927500,7.47
2012-09-07,7.48,7.55,7.45,7.55,9912100,7.48
2012-09-06,7.43,7.48,7.37,7.46,10705100,7.39
2012-09-05,7.23,7.40,7.23,7.39,14980700,7.32
2012-09-04,7.19,7.26,7.16,7.25,9707000,7.18
2012-08-31,7.23,7.29,7.16,7.19,12316900,7.12
2012-08-30,7.28,7.28,7.16,7.23,26365800,7.16
2012-08-29,7.26,7.30,7.26,7.29,24985800,7.22
2012-08-28,7.37,7.44,7.25,7.26,64759300,7.19
2012-08-27,7.36,7.54,7.35,7.45,84799800,7.38
2012-08-24,6.43,6.52,6.42,6.44,2799200,6.38
2012-08-23,6.55,6.56,6.43,6.43,2115900,6.37
2012-08-22,6.51,6.63,6.47,6.57,3464900,6.51
2012-08-21,6.66,6.72,6.53,6.57,3221600,6.51
2012-08-20,6.62,6.71,6.59,6.66,2491500,6.60
2012-08-17,6.68,6.69,6.60,6.65,2222600,6.59
2012-08-16,6.65,6.74,6.60,6.68,4946400,6.62
2012-08-15,6.55,6.67,6.54,6.64,3404400,6.58
2012-08-14,6.60,6.67,6.52,6.55,2694900,6.49
2012-08-13,6.60,6.63,6.49,6.58,3137700,6.52
2012-08-10,6.56,6.66,6.50,6.61,3201600,6.55
2012-08-09,6.55,6.64,6.49,6.57,3746800,6.51
2012-08-08,6.43,6.61,6.38,6.54,3310900,6.48
2012-08-07,6.36,6.56,6.28,6.48,5914900,6.42
2012-08-06,6.28,6.36,6.22,6.32,2904500,6.26
2012-08-03,6.64,6.64,6.23,6.34,4565400,6.20
2012-08-02,6.21,6.26,6.07,6.14,3931400,6.01
2012-08-01,6.40,6.43,6.25,6.28,8775900,6.14
2012-07-31,6.17,6.38,6.11,6.35,8440600,6.21
2012-07-30,6.03,6.07,5.97,6.05,2000000,5.92
2012-07-27,5.96,6.08,5.89,6.02,3235400,5.89
2012-07-26,5.95,5.97,5.81,5.90,3713000,5.77
2012-07-25,5.81,5.97,5.70,5.85,9905600,5.72
2012-07-24,5.77,5.80,5.69,5.74,3485500,5.62
2012-07-23,5.78,5.82,5.75,5.77,2492300,5.64
2012-07-20,5.97,5.98,5.81,5.87,4621000,5.74
2012-07-19,6.17,6.25,5.94,6.02,4577800,5.89
2012-07-18,6.12,6.21,6.09,6.14,2426200,6.01
2012-07-17,6.11,6.18,6.01,6.16,1727100,6.03
2012-07-16,6.12,6.14,6.07,6.10,2183000,5.97
2012-07-13,5.94,6.16,5.93,6.15,4010800,6.02
2012-07-12,6.05,6.06,5.93,5.93,3327400,5.80
2012-07-11,6.05,6.16,5.97,6.12,3695700,5.99
2012-07-10,6.13,6.14,6.00,6.05,2776100,5.92
2012-07-09,6.25,6.27,6.06,6.07,2997000,5.94
2012-07-06,6.25,6.29,6.21,6.24,2276100,6.10
2012-07-05,6.38,6.38,6.25,6.31,2673900,6.17
2012-07-03,6.35,6.40,6.30,6.39,1199000,6.25
2012-07-02,6.44,6.45,6.28,6.33,3094400,6.19
2012-06-29,6.41,6.42,6.31,6.37,3621700,6.23
2012-06-28,6.31,6.37,6.08,6.24,6051600,6.10
2012-06-27,6.18,6.39,6.11,6.36,4049900,6.22
2012-06-26,6.05,6.23,6.01,6.15,3944300,6.02
2012-06-25,6.25,6.25,6.02,6.02,4633000,5.89
2012-06-22,6.27,6.36,6.22,6.34,6210900,6.20
2012-06-21,6.38,6.43,6.19,6.25,4541300,6.11
