Date,Open,High,Low,Close,Volume,Adj Close
2009-12-24,59.35,60.69,59.19,60.37,1778000,59.15
2009-12-23,59.42,59.69,58.50,59.41,2822900,58.21
2009-12-22,59.00,59.16,58.68,58.78,2201300,57.59
2009-12-21,58.04,59.18,58.04,58.88,3128100,57.69
2009-12-18,57.58,57.77,57.01,57.61,4090300,56.44
2009-12-17,56.70,56.80,56.00,56.40,2498800,55.26
2009-12-16,57.05,58.10,56.71,57.20,2943300,55.94
2009-12-15,56.29,57.06,55.74,56.50,2625900,55.26
2009-12-14,56.42,56.65,55.91,56.28,3130800,55.04
2009-12-11,56.16,56.35,55.18,55.63,2837300,54.41
2009-12-10,55.00,56.43,54.77,55.91,3868500,54.68
2009-12-09,54.83,55.48,53.20,54.63,6447500,53.43
2009-12-08,56.83,56.92,54.44,54.67,5040400,53.47
2009-12-07,57.05,57.80,56.70,57.00,3865100,55.75
2009-12-04,59.99,60.33,56.60,57.10,5479100,55.85
2009-12-03,59.23,59.98,59.11,59.22,3094200,57.92
2009-12-02,60.15,60.15,59.03,59.37,2859200,58.07
2009-12-01,58.76,60.05,58.23,59.80,4092300,58.49
2009-11-30,57.60,58.86,57.24,57.96,3020700,56.69
2009-11-27,57.21,58.10,56.38,57.80,2700700,56.53
2009-11-25,58.77,59.45,58.29,59.39,2576900,58.09
2009-11-24,58.71,59.05,58.00,58.73,3770600,57.44
2009-11-23,59.68,60.50,58.48,58.73,4368400,57.44
2009-11-20,57.93,59.11,57.60,58.84,5824200,57.55
2009-11-19,58.36,58.36,57.08,57.56,3415300,56.30
2009-11-18,58.84,59.10,57.88,58.78,4214100,57.49
2009-11-17,58.47,58.80,57.60,58.38,3779000,57.10
2009-11-16,56.92,58.35,56.92,57.62,3454700,56.36
2009-11-13,56.04,57.00,55.85,56.38,3276400,55.14
2009-11-12,56.94,58.16,55.71,55.95,4301600,54.72
2009-11-11,58.92,59.23,57.13,57.40,2666300,56.14
2009-11-10,58.22,58.92,57.53,58.25,2146600,56.97
2009-11-09,58.22,58.50,57.86,58.33,2352600,57.05
2009-11-06,56.34,58.04,56.01,56.98,3227300,55.73
2009-11-05,56.55,57.49,56.11,56.98,2408500,55.73
2009-11-04,55.87,57.46,55.86,56.24,3840700,55.01
2009-11-03,53.81,56.00,53.24,55.59,4636600,54.37
2009-11-02,55.25,56.50,53.90,54.75,5316000,53.55
2009-10-30,56.03,56.80,54.41,54.74,4988300,53.54
2009-10-29,55.36,56.66,54.84,56.57,4848800,55.33
2009-10-28,58.63,58.63,54.41,54.72,10052300,53.52
2009-10-27,57.75,59.40,56.27,57.81,5788600,56.54
2009-10-26,58.97,60.77,57.05,57.44,4912500,56.18
