Date,Open,High,Low,Close,Volume,Adj Close
2012-12-24,22.13,22.38,22.13,22.32,1199400,22.32
2012-12-21,22.23,22.70,22.06,22.24,6894900,22.24
2012-12-20,22.52,22.88,22.42,22.88,4291600,22.88
2012-12-19,22.63,22.78,22.49,22.52,5911200,22.52
2012-12-18,22.12,22.56,22.10,22.50,4076000,22.50
2012-12-17,21.48,22.08,21.39,22.05,8104700,22.05
2012-12-14,21.49,21.52,21.11,21.29,4041000,21.29
2012-12-13,21.93,22.09,21.47,21.50,5029600,21.50
2012-12-12,22.12,22.25,21.90,21.93,4413000,21.93
2012-12-11,21.92,22.11,21.77,22.08,5052700,22.08
2012-12-10,21.75,21.98,21.66,21.82,2445000,21.82
2012-12-07,21.70,21.97,21.63,21.89,3406000,21.89
2012-12-06,21.49,21.67,21.38,21.64,3876000,21.64
2012-12-05,21.02,21.64,20.92,21.54,5469200,21.54
2012-12-04,21.05,21.11,20.81,20.93,4208500,20.93
2012-12-03,21.29,21.33,21.09,21.12,2810900,21.12
2012-11-30,21.07,21.30,21.01,21.18,4110800,21.18
2012-11-29,21.15,21.20,20.92,21.14,3673300,21.14
2012-11-28,20.80,21.06,20.54,21.06,4343100,20.96
2012-11-27,21.17,21.33,20.85,20.89,4001300,20.79
2012-11-26,21.15,21.34,21.00,21.20,3184000,21.10
2012-11-23,21.27,21.37,21.13,21.31,1369800,21.21
2012-11-21,21.01,21.25,20.84,21.18,4642700,21.08
2012-11-20,20.78,21.06,20.59,20.95,3177400,20.85
2012-11-19,20.72,20.95,20.54,20.86,4820200,20.76
2012-11-16,20.42,20.48,20.12,20.36,5647900,20.26
2012-11-15,20.29,20.75,20.22,20.44,6923600,20.34
2012-11-14,20.65,20.74,20.14,20.23,4710300,20.13
2012-11-13,20.64,20.99,20.51,20.55,4446300,20.45
2012-11-12,20.96,20.98,20.68,20.89,4680500,20.79
2012-11-09,20.46,21.02,20.31,20.81,5939700,20.71
2012-11-08,20.86,21.24,20.44,20.44,5425600,20.34
2012-11-07,21.32,21.33,20.76,20.78,7960400,20.68
2012-11-06,21.50,21.91,21.48,21.72,5286300,21.62
2012-11-05,21.25,21.52,20.98,21.44,4877900,21.34
2012-11-02,21.41,22.10,20.85,21.26,12750400,21.16
2012-11-01,21.87,22.20,21.73,21.92,7059900,21.82
2012-10-31,21.50,21.85,21.28,21.71,7283500,21.61
2012-10-26,22.42,22.42,21.58,21.71,10027300,21.61
2012-10-25,22.43,22.67,22.09,22.48,7156700,22.37
2012-10-24,22.11,22.40,21.95,22.09,6560200,21.99
2012-10-23,21.62,21.94,21.48,21.85,7263200,21.75
2012-10-22,22.07,22.21,21.70,22.07,4624100,21.97
2012-10-19,22.48,22.52,21.89,22.08,8601900,21.98
2012-10-18,22.02,22.63,22.01,22.52,9632300,22.41
2012-10-17,21.92,22.24,21.82,22.09,7697500,21.99
2012-10-16,21.75,22.05,21.65,21.90,7107600,21.80
2012-10-15,21.47,21.59,21.28,21.56,4573000,21.46
2012-10-12,21.34,21.55,21.07,21.33,7260000,21.23
2012-10-11,21.31,21.69,21.16,21.50,8768500,21.40
2012-10-10,21.00,21.20,20.87,21.02,8741400,20.92
2012-10-09,21.30,21.41,20.90,20.98,8054400,20.88
2012-10-08,21.03,21.36,20.94,21.29,5614400,21.19
2012-10-05,21.02,21.68,21.02,21.20,17406600,21.10
2012-10-04,19.95,20.78,19.95,20.75,12944200,20.65
2012-10-03,19.72,19.87,19.57,19.85,6372400,19.76
2012-10-02,19.54,19.71,19.45,19.69,7566300,19.60
2012-10-01,19.69,19.99,19.37,19.41,12254400,19.32
2012-09-28,19.58,19.90,19.38,19.44,19134600,19.35
2012-09-27,19.21,19.45,19.00,19.30,12411700,19.21
2012-09-26,18.81,18.88,18.57,18.68,5278100,18.59
2012-09-25,19.39,19.49,18.76,18.81,6878900,18.72
2012-09-24,19.27,19.53,19.27,19.35,5721000,19.26
2012-09-21,19.45,19.53,19.23,19.39,8435200,19.30
2012-09-20,19.44,19.47,19.14,19.25,7208000,19.16
2012-09-19,19.80,19.98,19.65,19.67,4412300,19.58
2012-09-18,19.93,20.00,19.56,19.68,7071800,19.59
2012-09-17,20.24,20.33,19.91,20.02,4635200,19.92
2012-09-14,20.00,20.69,19.96,20.34,9032900,20.24
2012-09-13,19.32,19.99,18.96,19.91,11524800,19.82
2012-09-12,19.37,19.56,19.27,19.33,7233400,19.24
2012-09-11,19.10,19.30,19.06,19.22,5892800,19.13
2012-09-10,19.35,19.47,19.02,19.04,7935200,18.95
2012-09-07,18.77,19.64,18.75,19.47,10917900,19.38
2012-09-06,18.20,18.84,18.15,18.62,9080400,18.53
2012-09-05,18.11,18.45,18.03,18.05,11341100,17.96
2012-09-04,17.89,18.04,17.64,17.70,6679600,17.62
2012-08-31,17.88,18.07,17.77,17.93,6101500,17.84
2012-08-30,17.58,17.85,17.42,17.75,5588600,17.67
2012-08-29,17.78,17.91,17.69,17.81,4185500,17.63
2012-08-28,17.84,18.15,17.80,17.80,3748100,17.62
2012-08-27,18.20,18.23,17.90,17.94,3684900,17.75
2012-08-24,17.91,18.22,17.90,18.15,4011200,17.96
2012-08-23,18.17,18.34,17.99,18.01,3907800,17.82
2012-08-22,18.45,18.65,18.12,18.23,6377200,18.04
2012-08-21,18.20,18.74,18.13,18.55,11851700,18.36
2012-08-20,17.61,18.15,17.61,18.12,7399600,17.93
2012-08-17,17.80,17.95,17.64,17.71,4317100,17.53
2012-08-16,17.52,17.88,17.50,17.78,6148800,17.60
2012-08-15,17.24,17.59,17.15,17.54,4302600,17.36
2012-08-14,17.29,17.54,17.17,17.28,5578900,17.10
2012-08-13,17.33,17.56,17.26,17.36,4236600,17.18
2012-08-10,17.15,17.48,17.11,17.41,4728700,17.23
2012-08-09,17.09,17.57,17.07,17.30,5428000,17.12
2012-08-08,17.08,17.24,17.03,17.07,6973800,16.89
2012-08-07,17.26,17.59,17.14,17.16,8094400,16.98
2012-08-06,16.98,17.37,16.96,17.12,8046400,16.94
2012-08-03,16.45,17.03,16.45,16.91,10376900,16.74
2012-08-02,15.78,16.90,15.65,16.16,12547900,15.99
2012-08-01,16.66,16.89,16.25,16.32,9313900,16.15
2012-07-31,16.35,16.56,16.24,16.45,9082900,16.28
2012-07-30,16.40,16.62,16.27,16.38,7338900,16.21
2012-07-27,16.37,16.57,16.18,16.45,8527400,16.28
2012-07-26,16.33,16.39,16.00,16.16,7037600,15.99
2012-07-25,16.03,16.17,15.86,15.97,6511000,15.80
2012-07-24,16.07,16.15,15.66,15.93,5121700,15.77
2012-07-23,15.95,16.15,15.65,16.08,8292600,15.91
2012-07-20,16.69,16.70,16.22,16.27,5820300,16.10
2012-07-19,16.88,16.95,16.68,16.86,5032900,16.69
2012-07-18,16.73,17.09,16.69,16.88,6893900,16.71
2012-07-17,16.62,16.84,16.12,16.84,9526100,16.67
2012-07-16,16.74,16.82,16.41,16.55,3329700,16.38
2012-07-13,16.44,16.94,16.40,16.88,4996800,16.71
2012-07-12,16.52,16.55,16.14,16.36,7254300,16.19
2012-07-11,16.68,16.85,16.57,16.70,5241200,16.53
2012-07-10,16.95,17.16,16.59,16.69,6387800,16.52
2012-07-09,16.97,17.00,16.61,16.82,3911900,16.65
2012-07-06,17.02,17.05,16.70,17.01,5850000,16.83
2012-07-05,17.58,17.65,17.24,17.26,4456500,17.08
2012-07-03,17.46,17.97,17.38,17.79,3236100,17.61
2012-07-02,17.70,17.84,17.25,17.45,4632800,17.27
2012-06-29,17.45,17.64,17.33,17.63,6109500,17.45
2012-06-28,16.73,17.00,16.56,16.96,5137600,16.78
2012-06-27,16.59,16.99,16.49,16.94,3768500,16.76
2012-06-26,16.44,16.64,16.30,16.53,4686100,16.36
2012-06-25,16.79,16.79,16.29,16.35,5001000,16.18
2012-06-22,16.87,17.07,16.77,17.02,4794600,16.84
2012-06-21,17.41,17.57,16.72,16.75,4307800,16.58
2012-06-20,17.27,17.57,17.17,17.36,4872700,17.18
2012-06-19,16.83,17.34,16.83,17.27,4157400,17.09
2012-06-18,16.82,16.93,16.60,16.68,5345300,16.51
2012-06-15,17.02,17.02,16.78,17.01,5528800,16.83
2012-06-14,16.83,17.04,16.74,16.88,4789300,16.71
2012-06-13,16.88,17.14,16.67,16.76,5354400,16.59
2012-06-12,16.74,17.05,16.74,16.99,4789600,16.81
2012-06-11,17.47,17.52,16.66,16.69,4342900,16.52
2012-06-08,17.15,17.24,16.91,17.17,5880400,16.99
2012-06-07,17.44,17.77,17.23,17.29,9778000,17.11
2012-06-06,16.47,17.19,16.42,17.16,7782000,16.98
2012-06-05,16.03,16.47,16.02,16.29,4731500,16.12
2012-06-04,16.30,16.39,16.02,16.10,4550900,15.93
2012-06-01,16.33,16.49,16.16,16.18,7844300,16.01
2012-05-31,16.97,17.00,16.54,16.82,7300400,16.65
2012-05-30,17.36,17.36,16.92,16.93,6340100,16.76
2012-05-29,17.38,17.73,17.36,17.73,5146900,17.45
2012-05-25,17.14,17.47,17.07,17.33,5570000,17.05
2012-05-24,17.33,17.38,16.95,17.24,4745300,16.97
2012-05-23,16.90,17.35,16.74,17.26,6500000,16.99
2012-05-22,17.28,17.48,16.95,17.10,8109300,16.83
2012-05-21,16.92,17.30,16.62,17.19,6689700,16.92
2012-05-18,17.33,17.48,16.68,17.07,15766400,16.80
2012-05-17,18.23,18.24,17.30,17.30,12277400,17.02
2012-05-16,19.10,19.20,18.24,18.26,10871600,17.97
2012-05-15,19.28,19.40,18.83,18.90,10582300,18.60
2012-05-14,19.43,19.52,19.05,19.09,7527700,18.79
2012-05-11,19.39,19.94,19.28,19.73,5372000,19.42
2012-05-10,19.94,20.19,19.70,19.75,5237800,19.44
2012-05-09,19.39,19.93,19.26,19.72,8844100,19.41
2012-05-08,19.50,19.74,19.27,19.70,5875100,19.39
2012-05-07,19.54,19.81,19.29,19.67,4621700,19.36
2012-05-04,19.79,19.84,19.31,19.66,6425500,19.35
2012-05-03,20.35,20.62,19.70,19.93,9043600,19.61
2012-05-02,20.70,20.72,20.26,20.43,4513000,20.10
2012-05-01,20.54,21.17,20.41,20.86,5375100,20.53
2012-04-30,20.66,20.70,20.36,20.55,2546500,20.22
2012-04-27,20.89,20.94,20.50,20.77,3962100,20.44
2012-04-26,20.63,20.86,20.50,20.78,5224200,20.45
2012-04-25,20.62,20.84,20.30,20.75,4732900,20.42
2012-04-24,20.19,20.57,20.12,20.37,4030000,20.05
2012-04-23,19.65,20.17,19.58,20.14,5010000,19.82
2012-04-20,20.24,20.33,19.98,20.04,5135800,19.72
2012-04-19,20.10,20.20,19.82,20.07,5055600,19.75
2012-04-18,20.29,20.34,19.98,20.06,5645900,19.74
2012-04-17,20.33,20.68,20.21,20.54,4037300,20.21
2012-04-16,20.39,20.39,19.78,20.10,5225000,19.78
2012-04-13,20.44,20.50,20.03,20.15,5246300,19.83
2012-04-12,20.11,20.62,20.00,20.57,4237500,20.24
2012-04-11,20.11,20.32,19.84,19.95,4776000,19.63
2012-04-10,20.37,20.46,19.73,19.80,6841300,19.48
2012-04-09,20.46,20.63,20.30,20.40,4523600,20.08
2012-04-05,21.02,21.19,20.70,21.04,8599800,20.71
2012-04-04,21.32,21.40,20.80,21.20,7510900,20.86
2012-04-03,21.83,21.95,21.29,21.66,8470500,21.32
2012-04-02,21.21,22.37,21.07,21.95,13622500,21.60
2012-03-30,21.33,21.34,20.87,21.08,4161300,20.74
2012-03-29,21.06,21.15,20.65,21.03,7398700,20.70
2012-03-28,21.44,21.74,20.83,21.35,9473900,21.01
2012-03-27,22.14,22.14,21.49,21.50,5118900,21.16
2012-03-26,21.68,22.04,21.54,22.01,6605300,21.66
2012-03-23,21.44,21.54,21.17,21.41,6924400,21.07
2012-03-22,21.75,21.92,21.13,21.30,12812300,20.96
2012-03-21,22.93,23.29,21.93,22.02,35275200,21.67
2012-03-20,21.50,21.75,21.21,21.71,4593100,21.36
2012-03-19,21.82,22.00,21.57,21.70,6779000,21.35
2012-03-16,21.71,21.87,21.46,21.83,8730700,21.48
2012-03-15,20.83,21.83,20.76,21.69,10215500,21.34
2012-03-14,20.80,21.15,20.62,20.80,6322600,20.47
2012-03-13,20.21,20.90,20.15,20.86,6565500,20.53
2012-03-12,20.04,20.20,19.67,20.05,5087800,19.73
2012-03-09,19.87,20.37,19.84,20.07,7009200,19.75
2012-03-08,19.69,19.95,19.34,19.92,7963200,19.60
2012-03-07,19.48,19.63,19.30,19.49,6139900,19.18
2012-03-06,19.90,19.97,19.27,19.35,9779900,19.04
2012-03-05,20.36,20.43,20.05,20.13,5894500,19.81
2012-03-02,20.53,20.84,20.31,20.42,5718000,20.09
2012-03-01,20.69,20.97,20.51,20.66,7460400,20.33
2012-02-29,20.68,20.93,20.46,20.71,8582100,20.28
2012-02-28,20.50,20.68,20.30,20.63,7708600,20.20
2012-02-27,20.22,20.58,20.08,20.49,5700800,20.07
