Date,Open,High,Low,Close,Volume,Adj Close
2012-12-24,58.60,58.61,58.27,58.36,800900,58.36
2012-12-21,59.09,59.22,58.58,58.71,2914900,58.71
2012-12-20,59.20,59.50,58.93,59.49,1320300,59.49
2012-12-19,59.80,59.83,59.02,59.04,1579600,59.04
2012-12-18,59.99,60.00,59.43,59.65,2337500,59.65
2012-12-17,59.12,59.89,59.06,59.86,2350300,59.86
2012-12-14,58.65,59.31,58.65,59.12,1997900,59.12
2012-12-13,58.65,58.92,58.56,58.86,1427400,58.86
2012-12-12,58.65,58.98,58.46,58.66,1401600,58.66
2012-12-11,58.38,58.95,58.33,58.55,1858700,58.55
2012-12-10,58.12,58.28,57.84,58.15,1717000,58.15
2012-12-07,58.33,58.56,58.02,58.25,1491600,58.25
2012-12-06,58.53,58.61,58.26,58.57,1548800,58.06
2012-12-05,58.49,58.69,58.29,58.50,1686000,57.99
2012-12-04,58.37,58.53,58.18,58.49,1697600,57.98
2012-12-03,58.53,58.68,58.27,58.39,1362200,57.88
2012-11-30,58.52,58.62,58.30,58.46,2201500,57.95
2012-11-29,58.10,58.54,58.02,58.50,1510700,57.99
2012-11-28,57.84,58.10,57.51,58.06,1556100,57.55
2012-11-27,57.64,58.10,57.57,57.83,1909000,57.32
2012-11-26,57.66,57.80,57.28,57.54,2094000,57.03
2012-11-23,57.86,58.47,57.69,58.43,853900,57.92
2012-11-21,57.56,57.69,57.05,57.62,1345100,57.11
2012-11-20,57.19,58.13,56.79,57.43,4104500,56.93
2012-11-19,58.32,58.86,58.01,58.72,3269400,58.20
2012-11-16,57.89,58.10,57.29,58.07,1887600,57.56
2012-11-15,57.68,58.05,57.25,57.91,1883000,57.40
2012-11-14,58.09,58.37,57.59,57.78,1605400,57.27
2012-11-13,57.54,58.41,57.32,58.07,1273200,57.56
2012-11-12,57.50,57.81,57.17,57.68,1449500,57.17
2012-11-09,57.12,58.15,57.03,57.47,2271700,56.96
2012-11-08,57.59,57.93,57.27,57.27,1447400,56.77
2012-11-07,57.80,58.01,56.95,57.66,1908200,57.15
2012-11-06,57.34,58.13,57.23,58.09,1453300,57.58
2012-11-05,57.21,57.35,56.87,57.21,1128400,56.71
2012-11-02,57.94,58.12,57.21,57.28,1240700,56.78
2012-11-01,57.60,57.75,57.45,57.69,1277100,57.18
2012-10-31,57.57,58.08,57.32,57.51,1742000,57.00
2012-10-26,57.46,57.53,56.86,57.20,1101000,56.70
2012-10-25,57.35,57.65,57.12,57.36,1102800,56.86
2012-10-24,57.30,57.50,56.87,56.92,1119400,56.42
2012-10-23,57.32,57.48,56.86,57.08,1058700,56.58
2012-10-22,57.65,57.75,57.31,57.71,1188200,57.20
2012-10-19,58.43,58.56,57.56,57.71,1803200,57.20
2012-10-18,57.45,58.50,57.45,58.42,1738800,57.91
2012-10-17,57.45,57.72,57.26,57.57,1276900,57.06
2012-10-16,57.06,57.33,57.00,57.20,1129300,56.70
2012-10-15,56.50,57.06,56.29,56.99,1201300,56.49
2012-10-12,56.76,56.95,56.13,56.34,1235300,55.84
2012-10-11,56.86,56.94,56.45,56.61,1433000,56.11
2012-10-10,56.90,57.47,56.34,56.50,1269300,56.00
2012-10-09,56.99,57.14,56.63,56.76,1296200,56.26
2012-10-08,57.00,57.11,56.88,57.00,911600,56.50
2012-10-05,56.94,57.21,56.66,57.09,1222400,56.59
2012-10-04,56.73,56.91,56.61,56.80,1078000,56.30
2012-10-03,56.41,56.78,56.26,56.57,1606300,56.07
2012-10-02,56.31,56.67,56.16,56.36,1705100,55.86
2012-10-01,56.11,56.52,55.93,56.30,1779900,55.80
2012-09-28,55.72,56.00,55.35,55.95,1527700,55.46
2012-09-27,55.95,56.06,55.50,55.89,990700,55.40
2012-09-26,55.77,56.13,55.68,55.85,1196000,55.36
2012-09-25,56.46,56.54,55.80,55.82,1744300,55.33
2012-09-24,56.16,56.48,56.09,56.34,1488700,55.84
2012-09-21,56.67,56.69,56.15,56.25,3037300,55.76
2012-09-20,56.38,56.75,56.38,56.47,2248500,55.97
2012-09-19,56.31,56.70,56.12,56.49,1607900,55.99
2012-09-18,56.12,56.34,56.03,56.16,2209900,55.67
2012-09-17,56.11,56.37,56.04,56.14,1663500,55.65
2012-09-14,56.60,56.65,55.96,56.20,3139200,55.71
2012-09-13,55.83,56.75,55.83,56.68,2614000,56.18
2012-09-12,56.20,56.45,56.02,56.25,2840500,55.24
2012-09-11,56.15,56.28,55.91,56.09,1804200,55.09
2012-09-10,55.80,56.30,55.80,56.15,1535500,55.15
2012-09-07,56.30,56.57,55.58,55.76,2092100,54.76
2012-09-06,55.80,56.29,55.76,56.28,2268000,55.27
2012-09-05,56.00,56.05,55.36,55.49,2157800,54.50
2012-09-04,55.86,56.02,55.60,55.96,1992700,54.96
2012-08-31,55.90,56.15,55.17,55.72,2167500,54.72
2012-08-30,56.07,56.20,55.54,55.85,2357100,54.85
2012-08-29,56.53,57.37,55.75,56.12,3781700,55.12
2012-08-28,57.02,58.31,57.01,57.41,6181300,56.38
2012-08-27,56.26,56.59,56.16,56.46,1240200,55.45
2012-08-24,55.49,56.33,55.42,56.27,1519500,55.26
2012-08-23,55.55,55.70,55.38,55.51,941100,54.52
2012-08-22,55.49,55.80,55.24,55.49,994600,54.50
2012-08-21,55.64,56.00,55.44,55.49,1081700,54.50
2012-08-20,55.64,55.76,55.34,55.61,1370800,54.62
2012-08-17,55.54,55.75,55.32,55.64,1489900,54.65
2012-08-16,55.70,55.95,55.13,55.54,1927700,54.55
2012-08-15,55.53,55.96,55.44,55.83,1161800,54.83
2012-08-14,55.19,55.96,55.11,55.50,1955900,54.51
2012-08-13,54.96,55.25,54.94,55.07,1116500,54.09
2012-08-10,55.00,55.14,54.81,55.06,1236000,54.08
2012-08-09,55.26,55.32,55.01,55.12,1279100,54.14
2012-08-08,55.36,55.42,55.17,55.27,1447100,54.28
2012-08-07,55.57,55.76,55.32,55.36,1393600,54.37
2012-08-06,55.75,55.84,55.38,55.38,959500,54.39
2012-08-03,55.16,55.77,55.15,55.54,1337000,54.55
2012-08-02,54.95,55.12,54.37,54.73,1596800,53.75
2012-08-01,55.30,55.35,54.84,55.04,1199900,54.06
2012-07-31,55.44,55.50,55.14,55.21,1199700,54.22
2012-07-30,55.27,55.58,54.95,55.49,1906400,54.50
2012-07-27,55.29,55.45,55.15,55.27,3023900,54.28
2012-07-26,54.91,55.48,54.91,55.03,1906900,54.05
2012-07-25,54.53,55.00,54.19,54.37,1245600,53.40
2012-07-24,54.67,54.80,54.20,54.34,1852500,53.37
2012-07-23,54.82,54.92,54.28,54.72,1910100,53.74
2012-07-20,55.18,55.21,54.89,54.97,1708000,53.99
2012-07-19,55.18,55.30,54.90,55.25,1568700,54.26
2012-07-18,54.98,55.26,54.95,55.22,1425500,54.23
2012-07-17,55.17,55.33,54.90,55.15,1986600,54.16
2012-07-16,55.24,55.28,54.84,54.98,1247900,54.00
2012-07-13,54.87,55.43,54.87,55.22,1334400,54.23
2012-07-12,54.88,55.04,54.65,54.67,2343300,53.69
2012-07-11,55.12,55.48,54.87,55.05,3158700,54.07
2012-07-10,54.63,55.20,54.56,55.08,2114000,54.10
2012-07-09,54.74,54.85,54.00,54.36,1416500,53.39
2012-07-06,54.44,54.95,54.40,54.85,1265700,53.87
2012-07-05,54.89,55.00,54.56,54.77,1562700,53.79
2012-07-03,54.82,55.00,54.65,54.98,689500,54.00
2012-07-02,54.38,54.73,54.22,54.72,1665700,53.74
2012-06-29,53.95,54.42,53.61,54.38,2421900,53.41
2012-06-28,52.93,53.32,52.71,53.32,1715000,52.37
2012-06-27,53.02,53.42,52.95,53.11,1347000,52.16
2012-06-26,53.23,53.30,52.95,52.95,1401400,52.00
2012-06-25,53.23,53.51,53.03,53.23,1281000,52.28
2012-06-22,53.61,53.79,53.46,53.56,1797300,52.60
2012-06-21,54.25,54.29,53.41,53.41,2398300,52.46
2012-06-20,54.79,54.80,53.92,54.14,2701300,53.17
2012-06-19,54.90,55.32,54.65,55.20,2024100,53.71
2012-06-18,54.55,55.07,54.49,54.99,1749500,53.50
2012-06-15,54.44,54.65,54.26,54.55,1832700,53.08
2012-06-14,53.82,54.43,53.77,54.33,1692300,52.86
2012-06-13,53.65,53.96,53.48,53.75,2334200,52.30
2012-06-12,53.47,53.64,53.28,53.55,1476000,52.10
2012-06-11,53.68,53.81,53.34,53.39,6077200,51.95
2012-06-08,53.34,53.67,53.27,53.59,5803700,52.14
2012-06-07,53.76,53.85,53.20,53.43,6640300,51.99
2012-06-06,52.92,53.50,52.81,53.50,1500600,52.05
2012-06-05,52.45,52.89,52.34,52.73,1967600,51.30
2012-06-04,52.90,52.90,52.29,52.62,1658700,51.20
2012-06-01,52.55,52.96,52.29,52.51,2465900,51.09
2012-05-31,53.27,53.33,52.96,53.08,1515700,51.65
2012-05-30,53.70,53.70,53.01,53.20,1759900,51.76
2012-05-29,53.69,53.99,53.31,53.59,2264300,52.14
2012-05-25,53.00,53.63,52.96,53.50,2228400,52.05
2012-05-24,52.95,53.64,52.50,53.55,3549300,52.10
2012-05-23,53.96,54.22,53.35,53.86,2146400,52.40
2012-05-22,53.98,54.36,53.84,54.06,2148400,52.60
2012-05-21,54.18,54.23,53.68,53.97,2101900,52.51
2012-05-18,54.58,55.09,53.98,54.10,3112000,52.64
2012-05-17,55.19,55.23,54.54,54.69,2496700,53.21
2012-05-16,55.35,55.47,55.00,55.27,1658500,53.78
2012-05-15,55.00,55.23,54.71,54.87,1523200,53.39
2012-05-14,54.58,55.18,54.35,54.92,2083000,53.44
2012-05-11,54.60,55.07,54.52,54.82,2135900,53.34
2012-05-10,54.23,54.90,54.23,54.82,3172600,53.34
2012-05-09,53.86,54.28,53.66,53.94,1899800,52.48
2012-05-08,53.67,54.11,53.58,54.08,3045600,52.62
2012-05-07,53.30,54.00,53.26,53.76,2272400,52.31
2012-05-04,53.33,53.69,53.29,53.31,1560900,51.87
2012-05-03,53.60,53.67,53.19,53.37,1509000,51.93
2012-05-02,53.37,53.51,53.23,53.46,1324700,52.01
2012-05-01,53.40,53.76,53.18,53.49,1973400,52.04
2012-04-30,53.08,53.34,52.75,53.31,1723200,51.87
2012-04-27,52.95,53.38,52.84,53.16,2160000,51.72
2012-04-26,52.41,53.01,52.23,52.92,1669700,51.49
2012-04-25,52.51,52.60,52.27,52.34,1693000,50.93
2012-04-24,52.14,52.73,52.03,52.33,2032000,50.92
2012-04-23,52.78,52.83,51.91,51.95,2777400,50.55
2012-04-20,53.09,53.46,53.05,53.29,1721000,51.85
2012-04-19,52.90,53.15,52.63,53.01,1407100,51.58
2012-04-18,52.78,52.94,52.61,52.83,1634700,51.40
2012-04-17,52.80,53.09,52.42,52.96,1891000,51.53
2012-04-16,52.83,53.02,52.56,52.62,1982600,51.20
2012-04-13,52.79,53.13,52.65,52.65,1495700,51.23
2012-04-12,52.71,52.96,52.54,52.86,1516800,51.43
2012-04-11,53.03,53.17,52.58,52.71,2028100,51.29
2012-04-10,53.03,53.03,52.57,52.57,1893700,51.15
2012-04-09,52.82,53.19,52.76,52.98,2035900,51.55
2012-04-05,53.10,53.29,52.91,53.26,1758600,51.82
2012-04-04,53.38,53.60,53.19,53.29,1662400,51.85
2012-04-03,53.56,53.83,53.41,53.51,1780600,52.06
2012-04-02,53.38,53.62,53.12,53.56,1699800,52.11
2012-03-30,53.41,53.75,53.35,53.55,1971400,52.10
2012-03-29,52.75,53.38,52.70,53.28,2753200,51.84
2012-03-28,53.08,53.16,52.88,53.07,1060800,51.64
2012-03-27,53.16,53.30,53.10,53.16,1359000,51.72
2012-03-26,52.95,53.27,52.88,53.20,1390000,51.76
2012-03-23,53.11,53.14,52.72,52.77,1351300,51.34
2012-03-22,52.66,52.98,52.52,52.93,1243200,51.50
2012-03-21,52.76,53.00,52.68,52.73,1665200,51.30
2012-03-20,53.25,53.41,53.05,53.07,2218700,51.17
2012-03-19,53.36,53.52,53.16,53.43,1680800,51.52
2012-03-16,53.15,53.51,53.10,53.43,2066300,51.52
2012-03-15,52.81,53.27,52.70,53.27,2036200,51.36
2012-03-14,53.30,53.43,52.80,52.82,1327800,50.93
2012-03-13,53.25,53.34,53.03,53.25,1884100,51.34
2012-03-12,52.97,53.45,52.96,53.19,5819700,51.28
2012-03-09,52.92,53.16,52.75,53.06,6243800,51.16
2012-03-08,52.84,53.20,52.80,52.97,5460100,51.07
2012-03-07,52.56,52.65,52.25,52.63,1457400,50.74
2012-03-06,52.80,53.08,52.52,52.53,1447700,50.65
2012-03-05,52.90,53.25,52.84,53.09,1239300,51.19
2012-03-02,52.83,53.03,52.74,52.98,1493900,51.08
2012-03-01,52.87,53.04,52.62,52.97,1686200,51.07
2012-02-29,52.92,53.14,52.70,52.71,2438500,50.82
2012-02-28,53.36,53.50,52.74,52.78,2326800,50.89
2012-02-27,53.17,53.58,52.95,53.21,1663700,51.30
2012-02-24,53.77,53.97,53.28,53.43,1995400,51.52
2012-02-23,53.55,53.88,53.40,53.76,1677400,51.83
2012-02-22,53.69,53.82,53.36,53.63,1760600,51.71
2012-02-21,54.49,54.49,53.50,53.62,2455500,51.70
2012-02-17,53.76,54.83,53.75,54.47,6222700,52.52
2012-02-16,51.61,52.32,51.51,52.10,3405000,50.23
2012-02-15,51.91,52.11,51.67,51.70,2248400,49.85
2012-02-14,51.73,51.87,51.60,51.69,3011500,49.84
2012-02-13,52.05,52.31,51.80,52.03,1673600,50.17
2012-02-10,51.86,52.03,51.69,51.87,1229400,50.01
2012-02-09,51.88,52.23,51.83,52.10,1516100,50.23
2012-02-08,51.82,52.10,51.77,51.87,1991900,50.01
2012-02-07,51.97,52.10,51.74,51.82,1781600,49.96
2012-02-06,51.92,52.18,51.80,52.16,1597000,50.29
2012-02-03,52.65,52.73,51.52,51.94,2663000,50.08
2012-02-02,52.34,52.53,52.13,52.19,1795600,50.32
2012-02-01,52.10,52.42,52.00,52.07,1810800,50.20
2012-01-31,51.98,52.14,51.60,51.85,1939500,49.99
2012-01-30,51.49,52.11,51.36,51.92,1556400,50.06
2012-01-27,52.00,52.25,51.65,51.73,1758100,49.88
2012-01-26,52.30,52.96,51.94,52.10,2220900,50.23
2012-01-25,51.73,52.35,51.60,52.32,1896000,50.45
2012-01-24,51.45,51.99,51.36,51.91,2712400,50.05
2012-01-23,51.96,52.24,51.58,51.65,2823200,49.80
2012-01-20,53.12,53.12,51.41,51.95,5522900,50.09
2012-01-19,53.63,53.80,53.07,53.46,2233500,51.54
2012-01-18,52.97,53.62,52.96,53.53,1959800,51.61
2012-01-17,53.08,53.61,52.91,53.04,1913000,51.14
2012-01-13,52.77,53.04,52.71,52.72,1765300,50.83
2012-01-12,53.02,53.10,52.85,52.94,1212600,51.04
2012-01-11,53.09,53.09,52.71,52.81,1732100,50.92
2012-01-10,53.33,53.34,52.69,53.11,2601200,51.21
2012-01-09,53.33,53.38,52.96,53.24,1169800,51.33
2012-01-06,53.19,53.28,52.92,53.02,1333800,51.12
2012-01-05,53.28,53.42,53.05,53.24,1727900,51.33
2012-01-04,53.47,53.68,53.25,53.25,1804400,51.34
2012-01-03,54.48,54.82,53.46,53.49,1947100,51.57
2011-12-30,54.35,54.40,54.03,54.04,911900,52.10
2011-12-29,54.12,54.35,53.88,54.31,1032300,52.36
2011-12-28,54.42,54.42,53.92,53.93,929800,52.00
2011-12-27,54.22,54.49,54.13,54.31,816100,52.36
