Date,Open,High,Low,Close,Volume,Adj Close
2013-01-07,66.07,66.80,66.00,66.36,4264600,66.36
2013-01-04,65.25,66.45,65.25,66.33,4139300,66.33
2013-01-03,64.60,65.50,64.54,65.00,2974200,65.00
2013-01-02,64.67,65.09,64.16,64.75,5208600,64.75
2012-12-31,62.72,63.53,62.21,63.47,3990300,63.47
2012-12-28,63.24,63.64,62.85,62.92,2090800,62.92
2012-12-27,63.73,63.93,62.98,63.74,2839500,63.74
2012-12-26,63.78,64.28,63.65,63.81,2781800,63.81
2012-12-24,63.71,64.49,63.40,63.67,2237600,63.67
2012-12-21,63.40,64.31,63.40,64.21,5749800,64.21
2012-12-20,63.85,64.49,63.78,64.29,4411600,64.29
2012-12-19,64.00,64.35,63.76,63.77,5222100,63.77
2012-12-18,62.50,64.05,62.39,63.96,5355700,63.96
2012-12-17,61.69,62.47,61.57,62.39,3929400,62.39
2012-12-14,61.63,61.90,61.44,61.55,3242000,61.55
2012-12-13,61.16,62.00,61.01,61.74,4355500,61.74
2012-12-12,61.95,62.00,61.05,61.10,3740400,61.10
2012-12-11,62.00,62.28,61.51,61.65,4562800,61.65
2012-12-10,61.82,62.00,61.50,61.86,2946600,61.86
2012-12-07,61.77,62.00,61.35,61.97,2249700,61.97
2012-12-06,61.41,61.54,60.94,61.52,2276000,61.52
2012-12-05,60.77,61.71,60.38,61.57,3195900,61.57
2012-12-04,60.54,60.95,60.24,60.52,2296300,60.52
2012-12-03,61.56,61.70,60.55,60.59,2598800,60.59
2012-11-30,61.42,61.50,61.06,61.33,3525100,61.33
2012-11-29,61.45,61.71,60.88,61.34,2242900,61.34
2012-11-28,60.25,61.29,59.85,61.24,3031900,61.24
2012-11-27,60.65,61.18,60.54,60.62,3069200,60.62
2012-11-26,60.60,60.88,60.22,60.66,2382600,60.66
2012-11-23,60.77,61.26,60.70,61.26,910600,61.26
2012-11-21,60.60,60.82,60.36,60.59,1751100,60.59
2012-11-20,60.30,60.81,60.12,60.61,3020200,60.61
2012-11-19,59.82,60.49,59.72,60.44,3661900,60.44
2012-11-16,59.08,59.30,58.29,59.15,4774400,59.15
2012-11-15,59.91,60.32,59.05,59.33,5440500,58.92
2012-11-14,61.30,61.49,59.83,59.96,3846000,59.55
2012-11-13,61.01,61.99,61.00,61.24,2543100,60.82
2012-11-12,60.94,61.66,60.80,61.44,2938900,61.02
2012-11-09,60.92,61.53,60.63,60.83,4905400,60.41
2012-11-08,62.05,62.49,61.29,61.30,3164000,60.88
2012-11-07,62.74,62.91,61.72,62.12,3422000,61.69
2012-11-06,62.74,63.89,62.74,63.53,4032900,63.09
2012-11-05,62.36,62.97,62.18,62.80,2348600,62.37
2012-11-02,63.05,63.18,62.26,62.43,3748600,62.00
2012-11-01,61.26,63.03,61.26,62.63,5618200,62.20
2012-10-31,61.73,61.93,60.86,61.24,3579300,60.82
2012-10-26,61.39,61.84,61.03,61.49,3227100,61.07
2012-10-25,62.26,62.27,61.08,61.43,3027000,61.01
2012-10-24,61.47,61.76,60.84,61.02,3522100,60.60
2012-10-23,61.49,61.69,60.98,61.55,3383600,61.12
2012-10-22,62.14,63.48,61.62,62.28,5475500,61.85
2012-10-19,60.80,63.48,60.80,62.49,9846900,62.06
2012-10-18,61.80,61.87,60.92,61.42,5661400,61.00
2012-10-17,61.17,61.95,61.17,61.89,3008700,61.46
2012-10-16,61.20,61.60,61.03,61.52,2144200,61.09
2012-10-15,60.37,60.92,60.17,60.85,2235800,60.43
2012-10-12,60.58,61.06,60.05,60.20,2515900,59.78
2012-10-11,60.70,60.98,60.29,60.29,2735400,59.87
2012-10-10,60.59,60.77,60.17,60.24,3370500,59.82
2012-10-09,61.31,61.36,60.51,60.68,3114500,60.26
2012-10-08,61.04,61.42,60.64,61.28,2722600,60.86
2012-10-05,61.70,61.93,61.22,61.43,3544500,61.01
2012-10-04,61.41,61.67,61.14,61.27,2844300,60.85
2012-10-03,61.47,61.73,60.89,60.96,4713400,60.54
2012-10-02,61.21,61.56,60.89,61.45,4418400,61.03
2012-10-01,60.37,61.30,60.10,60.80,4546900,60.38
2012-09-28,59.84,60.15,59.32,59.75,3050700,59.34
2012-09-27,59.90,60.49,59.69,60.24,3002200,59.82
2012-09-26,59.41,59.66,58.64,59.44,3841400,59.03
2012-09-25,60.24,60.50,59.29,59.31,2915500,58.90
2012-09-24,60.15,60.33,59.60,60.13,2286800,59.71
2012-09-21,60.95,61.16,60.50,60.52,5212400,60.10
2012-09-20,60.75,60.95,60.25,60.55,3421300,60.13
2012-09-19,61.30,61.52,60.93,61.28,3104200,60.86
2012-09-18,61.63,61.80,60.93,61.39,3266000,60.97
2012-09-17,60.77,61.76,60.72,61.72,3648000,61.29
2012-09-14,61.08,61.95,60.70,61.02,4471300,60.60
2012-09-13,59.85,61.25,59.43,61.12,3854200,60.70
2012-09-12,59.89,60.28,59.64,60.10,2579200,59.68
2012-09-11,59.72,60.17,59.48,59.79,3077000,59.38
2012-09-10,59.77,59.86,59.47,59.56,3043300,59.15
2012-09-07,59.23,59.92,59.17,59.90,2942200,59.49
2012-09-06,57.87,59.26,57.87,59.02,3508800,58.61
2012-09-05,57.50,57.80,57.23,57.37,2282100,56.97
2012-09-04,58.48,58.50,57.16,57.52,2823400,57.12
2012-08-31,58.57,58.83,58.16,58.45,2742000,58.05
2012-08-30,58.25,58.49,57.96,58.11,2181700,57.71
2012-08-29,58.76,58.77,58.24,58.73,1999600,58.32
2012-08-28,58.22,58.78,58.11,58.56,3206500,58.16
2012-08-27,58.49,58.76,58.08,58.39,1795500,57.99
2012-08-24,58.20,58.54,57.66,58.36,3091100,57.96
2012-08-23,58.66,58.83,58.29,58.48,1778200,58.08
2012-08-22,59.09,59.17,58.60,58.88,2180300,58.47
2012-08-21,59.70,59.98,58.92,59.11,2461500,58.70
2012-08-20,59.35,59.63,59.25,59.50,2234100,59.09
2012-08-17,58.97,59.56,58.60,59.50,3403100,59.09
2012-08-16,58.11,59.01,58.05,58.76,2657500,58.35
2012-08-15,58.40,58.62,58.20,58.47,1704900,57.70
2012-08-14,58.87,58.96,58.17,58.43,1924600,57.66
2012-08-13,58.70,59.01,58.33,58.71,1740400,57.93
2012-08-10,58.70,59.03,58.44,59.01,1824600,58.23
2012-08-09,58.83,59.21,58.63,58.97,1894100,58.19
2012-08-08,58.28,59.11,58.17,58.93,2749500,58.15
2012-08-07,59.00,59.45,58.50,58.57,3913200,57.79
2012-08-06,59.29,59.50,58.64,58.64,2056100,57.86
2012-08-03,58.45,59.14,58.40,58.91,2764000,58.13
2012-08-02,57.60,57.66,56.70,57.32,3189100,56.56
2012-08-01,58.40,58.64,57.77,58.00,3593100,57.23
2012-07-31,58.15,58.60,58.01,58.05,2963400,57.28
2012-07-30,58.80,59.32,58.17,58.39,3126500,57.62
2012-07-27,58.21,59.52,57.82,59.01,3599100,58.23
2012-07-26,57.85,58.67,57.38,57.74,3079000,56.98
2012-07-25,56.97,57.65,56.33,56.80,2998300,56.05
2012-07-24,57.41,57.54,55.93,56.68,3364000,55.93
2012-07-23,56.76,57.71,56.45,57.44,3527900,56.68
2012-07-20,57.74,58.40,57.36,57.74,3563300,56.98
2012-07-19,58.25,58.62,57.46,57.95,5832100,57.18
2012-07-18,56.31,58.49,55.90,58.18,8392900,57.41
2012-07-17,54.62,54.93,53.86,54.54,3449600,53.82
