Date,Open,High,Low,Close,Volume,Adj Close
2012-12-24,18.68,18.80,18.44,18.61,1881100,18.61
2012-12-21,18.90,19.01,18.64,18.64,5643600,18.64
2012-12-20,19.06,19.22,18.82,18.95,4612700,18.95
2012-12-19,19.12,19.33,18.95,19.04,5357100,19.04
2012-12-18,19.12,19.32,19.05,19.19,6638700,19.19
2012-12-17,18.68,19.06,18.64,19.06,2618200,19.06
2012-12-14,18.66,18.78,18.57,18.60,2268100,18.60
2012-12-13,18.60,18.84,18.50,18.68,2999200,18.68
2012-12-12,18.44,18.89,18.44,18.70,2632400,18.70
2012-12-11,18.50,18.59,18.30,18.39,2197600,18.39
2012-12-10,18.61,18.65,18.38,18.45,2292400,18.45
2012-12-07,18.22,18.65,18.20,18.59,2858400,18.59
2012-12-06,17.59,18.40,17.59,18.26,6693700,18.26
2012-12-05,17.86,17.87,17.41,17.57,3563400,17.37
2012-12-04,17.92,18.03,17.73,17.85,2252300,17.65
2012-12-03,18.12,18.15,17.93,17.96,1966000,17.76
2012-11-30,18.18,18.21,17.92,18.03,4344900,17.82
2012-11-29,18.15,18.25,18.03,18.16,1575300,17.95
2012-11-28,18.04,18.12,17.89,18.09,1938700,17.88
2012-11-27,18.12,18.25,18.06,18.12,1650500,17.91
2012-11-26,18.20,18.30,18.04,18.09,1518800,17.88
2012-11-23,18.05,18.24,17.96,18.23,722400,18.02
2012-11-21,17.95,18.04,17.88,17.98,1059200,17.78
2012-11-20,18.04,18.20,17.89,17.97,1864700,17.77
2012-11-19,17.98,18.15,17.89,18.03,1809100,17.82
2012-11-16,17.63,17.89,17.56,17.85,1825100,17.65
2012-11-15,17.62,17.75,17.46,17.62,2419500,17.42
2012-11-14,17.76,17.95,17.59,17.64,1751400,17.44
2012-11-13,17.74,18.05,17.74,17.82,2322800,17.62
2012-11-12,17.77,17.90,17.76,17.82,905800,17.62
2012-11-09,17.79,17.88,17.68,17.77,1349700,17.57
2012-11-08,17.95,18.04,17.79,17.79,1643400,17.59
2012-11-07,18.14,18.29,17.26,17.99,1802900,17.79
2012-11-06,18.11,18.38,18.05,18.28,2081900,18.07
2012-11-05,17.94,18.15,17.90,18.07,1272600,17.86
2012-11-02,18.18,18.28,17.90,17.92,4862400,17.72
2012-11-01,17.84,18.17,17.79,18.13,2861000,17.92
