Date,Open,High,Low,Close,Volume,Adj Close
2012-12-24,81.28,81.67,80.94,81.21,158100,81.21
2012-12-21,80.91,82.44,80.91,80.94,1449900,80.94
2012-12-20,81.49,82.04,81.49,82.01,363000,82.01
2012-12-19,82.38,82.38,81.60,81.61,498800,81.61
2012-12-18,82.36,82.91,82.12,82.23,476700,82.23
2012-12-17,81.04,82.15,80.85,82.04,496600,82.04
2012-12-14,80.44,81.47,78.96,81.32,534200,81.32
2012-12-13,80.69,81.55,80.60,80.86,360700,80.86
2012-12-12,80.85,81.58,80.76,80.90,441200,80.90
2012-12-11,80.00,81.37,79.96,81.02,747700,81.02
2012-12-10,79.79,80.50,79.73,79.94,422700,79.94
2012-12-07,79.65,79.94,79.31,79.89,277000,79.89
2012-12-06,80.39,80.39,79.11,79.70,451600,79.70
2012-12-05,81.00,81.00,79.64,80.04,461300,80.04
2012-12-04,80.75,81.40,79.83,80.61,550800,80.61
2012-12-03,81.00,81.43,80.11,80.67,234700,80.67
2012-11-30,80.96,81.00,80.02,80.77,530400,80.77
2012-11-29,80.51,80.79,80.05,80.76,306400,80.76
2012-11-28,80.04,80.30,79.00,80.12,388600,80.12
2012-11-27,80.50,81.30,79.93,80.04,370800,80.04
2012-11-26,80.67,81.20,80.38,80.58,349100,80.58
2012-11-23,80.06,80.80,79.79,80.75,183800,80.75
2012-11-21,79.85,79.91,79.27,79.89,249400,79.89
2012-11-20,78.30,79.77,78.20,79.69,413600,79.69
2012-11-19,78.93,79.73,78.64,79.49,443600,79.49
2012-11-16,78.19,78.64,77.83,78.35,509900,78.35
2012-11-15,77.26,78.48,77.05,78.31,556600,78.31
2012-11-14,77.86,78.73,77.25,77.65,411900,77.65
2012-11-13,77.04,78.05,76.95,77.63,327200,77.63
2012-11-12,77.18,77.48,76.43,77.07,220700,77.07
2012-11-09,76.81,77.79,76.75,77.10,272600,77.10
2012-11-08,78.10,78.56,76.63,76.72,561500,76.72
2012-11-07,77.20,79.55,76.40,78.30,1065800,78.30
2012-11-06,76.20,77.57,76.04,77.20,677600,77.20
2012-11-05,74.54,76.16,74.27,75.84,555200,75.84
2012-11-02,76.00,76.37,74.48,74.50,459700,74.50
2012-11-01,74.08,76.31,73.98,75.94,667400,75.94
2012-10-31,74.28,74.36,73.47,73.75,429300,73.75
2012-10-26,74.69,75.19,73.78,74.18,359600,74.18
2012-10-25,75.14,75.76,74.50,74.81,261200,74.81
2012-10-24,74.35,75.07,73.35,74.57,477500,74.57
2012-10-23,74.41,74.60,73.66,73.93,632200,73.93
2012-10-22,74.82,75.54,74.45,75.11,316700,75.11
2012-10-19,75.50,75.50,74.52,74.91,423400,74.91
2012-10-18,76.17,76.20,74.28,75.56,1204300,75.56
2012-10-17,76.95,77.65,76.63,77.39,300600,77.39
2012-10-16,77.45,77.54,76.76,77.16,288400,77.16
2012-10-15,77.14,77.35,76.70,77.15,185400,77.15
2012-10-12,77.55,77.99,76.96,77.03,217100,77.03
2012-10-11,77.77,77.99,77.22,77.69,286100,77.69
2012-10-10,77.54,77.76,76.74,77.09,290600,77.09
2012-10-09,79.20,79.46,77.17,77.39,372500,77.39
2012-10-08,78.94,79.61,78.94,79.53,221700,79.53
2012-10-05,79.84,80.28,79.15,79.27,337700,79.27
2012-10-04,79.03,79.76,78.66,79.51,650200,79.51
2012-10-03,79.05,79.44,78.54,78.99,460700,78.99
2012-10-02,79.20,79.43,78.64,79.19,355900,79.19
2012-10-01,79.67,80.42,78.73,79.21,641600,79.21
2012-09-28,79.56,79.65,78.78,79.22,473100,79.22
2012-09-27,79.37,79.66,78.87,79.60,399800,79.60
2012-09-26,80.37,80.47,79.00,79.32,457600,79.32
2012-09-25,79.96,80.75,79.88,80.27,517100,80.27
2012-09-24,79.70,80.12,79.32,79.85,292600,79.85
2012-09-21,79.21,80.21,79.09,79.74,926700,79.74
2012-09-20,78.04,79.36,78.04,79.14,615000,79.14
2012-09-19,77.01,78.55,77.01,78.43,508700,78.43
2012-09-18,77.19,77.51,76.58,77.25,280900,77.25
2012-09-17,76.76,77.57,76.76,76.98,374100,76.98
2012-09-14,77.44,77.72,76.74,77.07,418800,77.07
2012-09-13,76.98,77.82,76.71,77.50,242100,77.50
2012-09-12,77.37,77.84,76.78,76.98,283600,76.98
2012-09-11,77.68,78.02,76.99,77.09,368000,77.09
2012-09-10,78.45,78.77,77.72,77.84,268300,77.84
2012-09-07,77.82,78.64,77.67,78.35,316300,78.35
2012-09-06,77.52,79.06,77.52,77.93,619900,77.93
2012-09-05,77.12,77.52,76.46,76.97,494700,76.97
2012-09-04,76.51,77.42,75.89,77.21,353500,77.21
2012-08-31,77.30,78.39,76.02,76.81,284000,76.81
2012-08-30,76.37,76.68,75.78,76.48,179800,76.48
2012-08-29,76.20,76.79,76.10,76.78,216600,76.78
2012-08-28,75.95,76.39,75.68,76.19,175200,76.19
2012-08-27,76.33,76.63,75.85,76.00,292600,76.00
2012-08-24,76.22,76.54,75.88,76.25,252900,76.25
2012-08-23,77.01,77.38,75.65,76.05,577000,76.05
2012-08-22,77.32,77.92,76.82,77.35,299900,77.35
2012-08-21,77.49,78.50,77.47,77.88,225400,77.88
2012-08-20,78.12,78.32,77.55,77.66,299100,77.66
2012-08-17,77.72,78.30,77.13,78.12,265200,78.12
2012-08-16,77.51,77.81,76.93,77.52,146400,77.52
2012-08-15,76.81,77.86,76.58,77.78,173300,77.78
2012-08-14,77.31,77.31,76.53,76.77,211300,76.77
2012-08-13,76.95,77.23,76.35,77.16,110600,77.16
2012-08-10,76.60,77.32,76.11,77.16,204800,77.16
2012-08-09,76.94,77.36,76.44,76.62,386800,76.62
2012-08-08,77.41,77.43,76.83,77.06,328200,77.06
2012-08-07,76.99,77.89,76.53,77.48,431400,77.48
2012-08-06,76.34,77.10,75.68,76.54,355800,76.54
2012-08-03,75.66,76.98,75.66,76.39,518700,76.39
2012-08-02,75.00,75.19,72.84,74.92,867500,74.92
2012-08-01,75.00,75.19,74.51,75.03,722700,75.03
2012-07-31,76.27,76.90,74.73,74.81,968900,74.81
2012-07-30,78.08,78.38,76.50,76.80,625000,76.80
2012-07-27,76.66,78.33,76.58,78.16,737000,78.16
2012-07-26,76.41,76.71,75.33,76.22,394600,76.22
2012-07-25,74.80,75.77,74.21,75.33,380700,75.33
2012-07-24,76.56,76.56,74.09,74.64,435000,74.64
2012-07-23,76.79,76.83,75.76,76.22,490400,76.22
2012-07-20,79.03,79.06,77.83,77.96,441500,77.96
2012-07-19,78.68,79.25,78.37,79.00,311100,79.00
2012-07-18,77.87,78.99,77.63,78.63,332100,78.63
2012-07-17,78.04,78.40,76.71,78.21,352400,78.21
2012-07-16,77.75,77.75,76.66,77.45,323100,77.45
2012-07-13,76.81,77.94,76.73,77.83,281100,77.83
2012-07-12,78.05,78.16,75.85,76.72,874800,76.72
2012-07-11,78.49,78.93,78.09,78.55,391800,78.55
2012-07-10,78.62,79.27,77.75,78.50,507500,78.50
2012-07-09,78.69,78.69,77.71,78.34,295400,78.34
2012-07-06,78.90,78.96,77.67,77.93,356800,77.93
2012-07-05,78.83,79.42,78.72,79.20,346700,79.20
2012-07-03,78.98,79.66,78.98,79.50,208300,79.50
2012-07-02,79.10,79.33,78.45,78.91,422200,78.91
2012-06-29,78.60,79.48,78.29,78.49,525600,78.49
2012-06-28,76.84,77.71,75.97,77.63,374200,77.63
2012-06-27,76.45,77.74,76.36,77.25,318200,77.25
2012-06-26,76.39,76.39,75.46,75.94,403300,75.94
2012-06-25,76.91,76.91,76.00,76.07,338500,76.07
2012-06-22,76.92,77.56,76.32,77.22,581500,77.22
2012-06-21,78.00,78.46,76.01,76.39,708500,76.39
2012-06-20,79.84,80.05,77.79,78.00,927700,78.00
2012-06-19,79.23,80.38,79.08,79.73,812000,79.73
2012-06-18,77.16,79.33,77.12,79.14,1010500,79.14
