Date,Open,High,Low,Close,Volume,Adj Close
2009-12-24,11.94,12.03,11.80,12.02,2264700,11.71
2009-12-23,11.72,11.92,11.69,11.77,5324500,11.47
2009-12-22,11.62,11.87,11.52,11.77,6324400,11.47
2009-12-21,11.33,11.69,11.26,11.67,7320300,11.37
2009-12-18,11.09,11.31,10.98,11.31,10392700,11.02
2009-12-17,10.92,11.12,10.83,11.07,8818600,10.79
2009-12-16,10.72,11.10,10.65,11.05,26679000,10.77
2009-12-15,10.30,10.86,10.30,10.75,29521700,10.48
2009-12-14,10.56,10.97,10.40,10.97,6812500,10.69
2009-12-11,10.35,10.56,10.33,10.56,8570500,10.29
2009-12-10,10.31,10.47,10.20,10.31,8871500,10.05
2009-12-09,10.32,10.46,10.24,10.29,6845100,10.03
2009-12-08,10.41,10.46,10.24,10.27,8745400,10.01
2009-12-07,10.92,10.94,10.44,10.49,10667800,10.22
2009-12-04,10.93,11.05,10.65,10.95,13786900,10.67
2009-12-03,10.89,11.17,10.52,10.57,8691600,10.30
2009-12-02,10.56,10.98,10.54,10.94,8417600,10.66
2009-12-01,10.64,10.71,10.36,10.58,7190100,10.31
2009-11-30,10.10,10.58,10.00,10.52,15198200,10.25
2009-11-27,9.98,10.14,9.75,10.06,7647800,9.80
2009-11-25,10.04,10.32,10.04,10.31,5167000,10.05
2009-11-24,10.05,10.17,9.91,10.02,6104900,9.76
2009-11-23,10.18,10.39,10.05,10.17,6727300,9.91
2009-11-20,10.07,10.21,10.04,10.06,6210400,9.80
2009-11-19,10.48,10.48,10.14,10.16,7835100,9.90
2009-11-18,10.63,10.73,10.32,10.55,10741800,10.28
2009-11-17,10.90,11.06,10.71,10.71,11063800,10.44
2009-11-16,10.76,11.12,10.71,10.97,9375700,10.69
2009-11-13,10.68,10.78,10.50,10.62,7092100,10.35
2009-11-12,10.61,10.84,10.54,10.64,10100200,10.37
2009-11-11,10.66,10.88,10.55,10.65,10293700,10.38
2009-11-10,10.53,10.65,10.36,10.52,9834000,10.25
2009-11-09,9.86,10.57,9.81,10.57,13869000,10.30
2009-11-06,9.88,10.01,9.71,9.78,10126500,9.53
2009-11-05,9.94,10.11,9.88,10.04,16516000,9.78
2009-11-04,10.33,10.45,9.79,9.84,16687000,9.59
2009-11-03,9.67,10.27,9.67,10.25,14838000,9.96
2009-11-02,10.17,10.36,9.66,9.90,20666300,9.62
