Date,Open,High,Low,Close,Volume,Adj Close
2009-12-24,36.36,36.50,36.20,36.48,190700,33.78
2009-12-23,36.25,36.45,36.05,36.36,476100,33.67
2009-12-22,35.54,36.19,35.50,36.19,1097700,33.52
2009-12-21,35.25,35.70,35.25,35.55,745400,32.92
2009-12-18,35.68,35.93,35.05,35.29,1699800,32.68
2009-12-17,36.07,36.07,35.51,35.67,950200,33.03
2009-12-16,36.15,36.40,36.03,36.09,959700,33.42
2009-12-15,36.26,36.30,36.00,36.08,929600,33.41
2009-12-14,36.75,36.75,36.09,36.13,1014600,33.46
2009-12-11,35.74,36.50,35.74,36.02,1325500,33.36
2009-12-10,35.52,35.91,35.46,35.58,1034100,32.95
2009-12-09,35.65,35.65,35.19,35.33,955100,32.72
2009-12-08,35.81,35.86,35.29,35.58,872700,32.95
2009-12-07,35.95,36.07,35.78,35.92,1159100,33.27
2009-12-04,35.95,36.31,35.80,35.99,1545100,33.33
2009-12-03,35.95,36.20,35.70,35.90,1077100,33.25
2009-12-02,36.05,36.25,35.82,36.05,1314200,33.39
2009-12-01,35.56,35.99,35.56,35.88,1461200,33.23
2009-11-30,35.62,35.62,35.30,35.37,2286100,32.76
2009-11-27,35.60,35.82,35.22,35.60,732200,32.97
2009-11-25,36.76,36.76,35.89,35.94,1846000,33.28
2009-11-24,36.19,36.79,36.17,36.66,1489600,33.95
2009-11-23,37.33,37.33,36.26,36.39,2280300,33.70
2009-11-20,37.21,37.58,37.03,37.18,1611000,34.16
2009-11-19,37.62,37.62,36.97,37.14,1854500,34.12
2009-11-18,38.25,38.25,37.51,37.63,2405300,34.57
2009-11-17,38.67,38.67,37.99,38.41,2479400,35.29
2009-11-16,38.30,38.81,38.17,38.71,1777700,35.56
2009-11-13,37.83,38.26,37.67,38.22,1607500,35.11
2009-11-12,38.04,38.13,37.72,37.78,1257000,34.71
2009-11-11,38.20,38.24,37.86,38.10,1084800,35.00
2009-11-10,37.82,38.23,37.82,38.07,1109500,34.97
2009-11-09,37.76,37.88,37.43,37.85,1483900,34.77
2009-11-06,37.20,37.75,37.17,37.62,1568500,34.56
2009-11-05,37.39,37.73,36.95,37.28,3269200,34.25
2009-11-04,37.43,37.77,37.23,37.28,1498200,34.25
2009-11-03,37.98,37.98,37.02,37.37,2161500,34.33
2009-11-02,37.84,38.27,37.71,37.91,1039200,34.83
2009-10-30,38.47,38.54,37.76,37.79,1684700,34.72
2009-10-29,38.21,38.46,37.84,38.45,1105600,35.32
2009-10-28,38.16,38.62,38.05,38.06,1517400,34.97
2009-10-27,38.17,38.57,37.86,38.26,1874200,35.15
2009-10-26,38.21,38.45,37.58,37.98,1894100,34.89
2009-10-23,39.15,39.26,37.65,38.06,2839800,34.97
2009-10-22,40.92,40.92,37.41,39.33,6154600,36.13
2009-10-21,40.86,41.62,40.61,40.67,2581500,37.36
2009-10-20,39.72,40.95,39.41,40.88,2146700,37.56
2009-10-19,39.66,39.87,39.49,39.61,1643700,36.39
2009-10-16,39.57,39.88,39.27,39.63,1288600,36.41
2009-10-15,39.42,39.78,39.41,39.74,1006500,36.51
2009-10-14,39.69,39.69,39.37,39.57,814800,36.35
2009-10-13,39.56,39.70,39.27,39.40,994200,36.20
2009-10-12,39.89,40.03,39.52,39.72,845300,36.49
2009-10-09,39.57,39.94,39.25,39.90,944400,36.66
2009-10-08,39.50,39.72,39.10,39.67,1541200,36.44
2009-10-07,39.56,39.56,39.06,39.38,907000,36.18
2009-10-06,39.30,39.68,39.10,39.48,964700,36.27
2009-10-05,39.64,39.64,38.82,39.31,1413200,36.11
2009-10-02,39.45,39.77,39.28,39.54,1908200,36.33
2009-10-01,38.65,40.03,38.50,39.84,3317300,36.60
