Date,Open,High,Low,Close,Volume,Adj Close
2012-12-26,13.99,14.08,13.72,13.75,2199200,13.75
2012-12-24,14.13,14.17,13.92,13.96,1075800,13.96
2012-12-21,14.12,14.31,14.08,14.17,3036400,14.17
2012-12-20,14.21,14.27,14.08,14.25,2381900,14.25
2012-12-19,14.59,14.60,14.20,14.24,4327500,14.24
2012-12-18,14.37,14.58,14.36,14.58,3061500,14.58
2012-12-17,14.45,14.52,14.21,14.36,4222600,14.36
2012-12-14,14.46,14.65,14.40,14.43,3470700,14.36
2012-12-13,14.40,14.64,14.33,14.52,4000100,14.45
2012-12-12,14.39,14.57,14.30,14.45,4943400,14.38
2012-12-11,14.46,14.50,14.29,14.36,2439900,14.29
2012-12-10,14.39,14.51,14.31,14.37,2910700,14.30
2012-12-07,14.48,14.59,14.34,14.40,2634700,14.33
2012-12-06,14.54,14.66,14.33,14.45,4749000,14.38
2012-12-05,14.32,14.70,14.26,14.68,5713300,14.61
2012-12-04,14.36,14.64,14.08,14.28,7589700,14.21
2012-12-03,14.11,14.50,14.00,14.32,8398900,14.25
2012-11-30,13.94,14.16,13.67,13.87,6972000,13.80
2012-11-29,13.81,14.01,13.74,13.94,4695900,13.87
2012-11-28,13.31,13.75,13.27,13.74,4747300,13.67
2012-11-27,13.10,13.54,13.10,13.36,7262300,13.30
2012-11-26,13.09,13.29,12.90,12.98,3209600,12.92
2012-11-23,13.31,13.33,13.13,13.13,1246600,13.07
2012-11-21,13.26,13.31,13.15,13.19,2457300,13.13
2012-11-20,12.95,13.28,12.89,13.27,5123100,13.21
2012-11-19,12.87,13.01,12.63,13.01,5392500,12.95
2012-11-16,12.55,12.98,12.37,12.73,7219400,12.67
2012-11-15,12.57,12.75,12.41,12.57,4340700,12.51
2012-11-14,13.01,13.08,12.54,12.60,5101400,12.54
2012-11-13,13.03,13.25,12.96,12.99,4164000,12.93
2012-11-12,13.51,13.55,13.08,13.18,4694800,13.12
2012-11-09,13.48,13.85,13.21,13.50,13528400,13.43
2012-11-08,12.83,13.04,12.56,12.83,8776400,12.77
2012-11-07,12.86,13.03,12.70,12.89,4074100,12.83
2012-11-06,13.03,13.11,12.87,12.99,3972100,12.93
2012-11-05,12.99,13.10,12.84,12.99,2049600,12.93
2012-11-02,13.43,13.43,12.93,12.93,4394300,12.87
2012-11-01,12.81,13.33,12.81,13.32,4346700,13.26
2012-10-31,12.69,12.91,12.67,12.84,2950300,12.78
2012-10-26,12.79,13.08,12.65,12.67,3975600,12.61
2012-10-25,12.77,12.85,12.65,12.79,1974000,12.73
2012-10-24,12.73,12.91,12.64,12.64,3117500,12.58
2012-10-23,12.70,12.82,12.60,12.68,4130900,12.62
2012-10-22,12.94,13.12,12.86,12.87,4833000,12.81
2012-10-19,13.42,13.42,12.93,13.00,4707400,12.94
2012-10-18,13.43,13.53,13.27,13.47,1755400,13.40
2012-10-17,13.30,13.56,13.19,13.44,1940300,13.37
2012-10-16,13.00,13.33,12.96,13.33,3219500,13.27
2012-10-15,12.76,12.99,12.63,12.91,3747400,12.85
