Date,Open,High,Low,Close,Volume,Adj Close
2012-12-26,11.04,11.05,10.88,10.90,2184900,10.90
2012-12-24,11.14,11.15,10.90,11.01,2194000,11.01
2012-12-21,11.27,11.27,11.07,11.15,7791400,11.15
2012-12-20,11.24,11.48,11.17,11.42,4857200,11.42
2012-12-19,11.20,11.38,11.05,11.21,5840500,11.21
2012-12-18,11.00,11.25,10.97,11.24,5469000,11.24
2012-12-17,10.92,11.02,10.90,10.97,6386400,10.97
2012-12-14,10.74,10.94,10.68,10.90,4028000,10.90
2012-12-13,10.87,10.95,10.70,10.79,4923300,10.79
2012-12-12,11.04,11.09,10.86,10.89,7845300,10.89
2012-12-11,10.77,11.05,10.70,11.02,7096000,11.02
2012-12-10,10.73,10.81,10.70,10.71,3280700,10.71
2012-12-07,10.85,10.87,10.69,10.78,4291900,10.78
2012-12-06,10.85,10.88,10.71,10.81,4653400,10.81
2012-12-05,10.72,10.92,10.65,10.90,4957300,10.90
2012-12-04,10.65,10.73,10.51,10.71,5392600,10.71
2012-12-03,10.83,10.88,10.60,10.62,6555600,10.62
2012-11-30,10.72,10.89,10.66,10.82,6452400,10.82
2012-11-29,10.48,10.76,10.40,10.72,9509800,10.72
2012-11-28,10.23,10.54,10.20,10.50,6651900,10.44
2012-11-27,10.41,10.48,10.27,10.27,8193000,10.21
2012-11-26,10.24,10.32,10.14,10.23,4575400,10.17
2012-11-23,10.05,10.32,9.97,10.32,2962200,10.26
2012-11-21,9.91,10.01,9.90,9.97,3991600,9.91
2012-11-20,9.87,10.11,9.76,9.90,8142400,9.84
2012-11-19,9.73,9.92,9.66,9.91,6782400,9.85
2012-11-16,9.44,9.62,9.38,9.59,7112300,9.54
2012-11-15,9.56,9.60,9.39,9.45,13393300,9.40
2012-11-14,9.95,10.08,9.53,9.54,9241900,9.49
2012-11-13,9.87,9.92,9.75,9.76,5753700,9.70
2012-11-12,9.97,10.11,9.92,9.94,4193600,9.88
2012-11-09,9.81,10.04,9.75,9.96,4076900,9.90
2012-11-08,10.01,10.11,9.83,9.84,8417300,9.78
2012-11-07,10.07,10.15,9.96,10.01,5155000,9.95
2012-11-06,10.05,10.21,9.94,10.18,9015800,10.12
2012-11-05,9.92,10.08,9.89,10.06,5753200,10.00
2012-11-02,10.35,10.42,9.92,9.92,8228100,9.86
2012-11-01,10.10,10.43,10.00,10.26,10644900,10.20
2012-10-31,10.30,10.48,10.04,10.10,9120300,10.04
2012-10-26,10.03,10.45,9.92,10.29,15376500,10.23
2012-10-25,10.86,10.87,10.36,10.55,11857000,10.49
2012-10-24,10.91,10.96,10.81,10.82,5659600,10.76
2012-10-23,10.73,10.91,10.62,10.88,6484200,10.82
2012-10-22,10.88,10.97,10.77,10.89,3545900,10.83
2012-10-19,11.07,11.15,10.85,10.90,6365400,10.84
2012-10-18,10.99,11.19,10.95,11.10,7097900,11.04
2012-10-17,11.29,11.35,10.98,11.01,9634700,10.95
2012-10-16,11.45,11.46,11.30,11.33,6329200,11.27
2012-10-15,11.25,11.48,11.22,11.45,2659800,11.38
2012-10-12,11.34,11.40,11.15,11.26,2415900,11.20
2012-10-11,11.37,11.46,11.29,11.31,3643500,11.25
2012-10-10,11.47,11.48,11.24,11.28,4980700,11.22
2012-10-09,11.68,11.77,11.47,11.47,6552800,11.40
2012-10-08,11.42,11.57,11.35,11.43,3091600,11.36
2012-10-05,11.45,11.62,11.39,11.47,5036500,11.40
2012-10-04,11.36,11.48,11.22,11.39,5310900,11.32
2012-10-03,11.25,11.42,11.19,11.31,3164400,11.25
2012-10-02,11.12,11.33,11.11,11.20,6148900,11.14
2012-10-01,11.13,11.41,11.09,11.09,5376900,11.03
2012-09-28,11.10,11.16,10.93,11.12,6334600,11.06
2012-09-27,11.15,11.22,10.95,11.14,5543000,11.08
2012-09-26,11.26,11.30,11.04,11.07,4408100,11.01
2012-09-25,11.51,11.55,11.24,11.25,4153900,11.19
2012-09-24,11.56,11.60,11.36,11.44,4241000,11.37
2012-09-21,11.69,11.87,11.56,11.58,6660000,11.51
2012-09-20,11.59,11.69,11.41,11.61,5782000,11.54
2012-09-19,11.48,11.76,11.48,11.68,5365200,11.61
2012-09-18,11.66,11.69,11.39,11.51,7517100,11.44
2012-09-17,11.64,11.84,11.60,11.66,5669500,11.59
2012-09-14,11.81,11.94,11.62,11.65,10833800,11.58
2012-09-13,11.58,11.83,11.45,11.74,8448200,11.67
2012-09-12,11.29,11.62,11.27,11.59,10812700,11.52
2012-09-11,11.01,11.25,11.01,11.21,4654100,11.15
2012-09-10,10.91,11.25,10.87,11.08,4179100,11.02
2012-09-07,10.98,11.10,10.79,10.98,5411100,10.92
2012-09-06,10.86,11.09,10.85,11.01,5087000,10.95
2012-09-05,10.75,10.85,10.66,10.75,4679200,10.69
2012-09-04,10.60,10.88,10.56,10.71,4683800,10.65
2012-08-31,10.71,10.74,10.56,10.64,3279700,10.52
2012-08-30,10.59,10.66,10.49,10.63,5599300,10.51
2012-08-29,10.68,10.75,10.63,10.70,4215400,10.58
2012-08-28,10.75,10.79,10.62,10.65,5629300,10.53
2012-08-27,10.86,10.94,10.72,10.76,4318900,10.64
2012-08-24,10.85,10.95,10.78,10.81,5605500,10.69
2012-08-23,11.06,11.14,10.83,10.86,6949300,10.74
2012-08-22,11.40,11.44,10.90,11.06,11608600,10.93
2012-08-21,11.38,11.66,11.32,11.44,10831700,11.31
2012-08-20,11.26,11.40,11.14,11.36,8577300,11.23
2012-08-17,11.07,11.34,11.00,11.27,7336400,11.14
2012-08-16,10.77,11.14,10.73,11.08,6798600,10.95
2012-08-15,10.58,10.73,10.57,10.72,3947200,10.60
2012-08-14,10.72,10.79,10.58,10.62,4198400,10.50
2012-08-13,10.72,10.72,10.45,10.64,4913300,10.52
2012-08-10,10.70,10.88,10.61,10.74,5822800,10.62
2012-08-09,10.62,10.83,10.54,10.78,9242400,10.66
2012-08-08,10.38,10.51,10.30,10.36,6396500,10.24
2012-08-07,10.20,10.45,10.20,10.43,8670100,10.31
2012-08-06,9.84,10.26,9.71,10.11,14972100,10.00
2012-08-03,9.82,11.05,9.82,10.97,40445000,10.85
2012-08-02,9.63,9.89,9.60,9.68,6316600,9.57
2012-08-01,9.84,9.89,9.64,9.78,10762100,9.67
2012-07-31,9.85,9.97,9.78,9.87,8004600,9.76
2012-07-30,10.09,10.10,9.67,9.85,10184900,9.74
2012-07-27,10.02,10.15,9.83,10.12,13210500,10.01
2012-07-26,10.19,10.22,9.04,9.90,32270500,9.79
2012-07-25,11.21,11.34,10.97,10.99,10084700,10.87
2012-07-24,11.33,11.44,11.08,11.18,6415600,11.05
2012-07-23,11.36,11.51,11.25,11.34,7157500,11.21
2012-07-20,11.56,11.77,11.51,11.59,6797200,11.46
2012-07-19,11.55,12.05,11.48,11.56,10987900,11.43
2012-07-18,11.49,11.63,11.38,11.50,8379800,11.37
2012-07-17,11.09,11.67,11.08,11.53,15510300,11.40
2012-07-16,10.66,11.01,10.64,10.99,7091400,10.87
2012-07-13,10.53,10.71,10.53,10.70,5893000,10.58
2012-07-12,10.36,10.58,10.32,10.51,7262100,10.39
2012-07-11,10.55,10.57,10.34,10.42,5456800,10.30
2012-07-10,10.74,10.86,10.48,10.55,3764200,10.43
2012-07-09,10.80,10.86,10.64,10.67,3838700,10.55
2012-07-06,11.00,11.06,10.75,10.85,4595900,10.73
2012-07-05,11.30,11.34,11.09,11.16,4108400,11.03
2012-07-03,11.02,11.40,11.01,11.38,4275400,11.25
2012-07-02,10.88,11.04,10.82,11.04,5640700,10.92
