Date,Open,High,Low,Close,Volume,Adj Close
2009-12-24,36.31,36.74,36.31,36.39,289000,35.17
2009-12-23,35.80,36.39,35.66,36.23,992600,35.01
2009-12-22,36.10,36.43,35.90,35.94,1102900,34.73
2009-12-21,35.74,36.50,35.74,36.09,1819100,34.88
2009-12-18,36.16,36.37,35.56,35.62,1892100,34.42
2009-12-17,35.87,36.07,35.69,35.97,1856400,34.76
2009-12-16,36.68,36.75,36.07,36.27,1450300,35.05
2009-12-15,36.31,36.73,36.00,36.42,2291900,35.20
2009-12-14,35.81,36.60,35.61,36.50,2181300,35.27
2009-12-11,35.49,35.82,35.35,35.63,1177800,34.43
2009-12-10,35.32,35.58,35.03,35.35,2727700,34.16
2009-12-09,34.86,35.11,34.37,34.93,1544600,33.76
2009-12-08,35.30,35.49,34.77,34.97,2109500,33.79
2009-12-07,35.64,35.87,35.49,35.64,1954200,34.44
2009-12-04,36.13,36.16,35.05,35.78,2555600,34.58
2009-12-03,36.01,36.53,35.45,35.54,2375600,34.35
2009-12-02,35.78,36.33,35.66,35.91,2918600,34.70
2009-12-01,35.72,36.23,35.68,35.91,2804600,34.70
2009-11-30,35.14,35.54,34.82,35.37,2163400,34.18
2009-11-27,34.59,35.46,34.36,35.24,1835600,34.06
2009-11-25,35.52,36.09,35.39,35.82,2369000,34.62
2009-11-24,36.06,36.25,35.34,35.57,3370900,34.37
2009-11-23,36.41,37.00,36.00,36.18,2666000,34.96
2009-11-20,36.01,36.30,35.85,36.00,2544100,34.79
2009-11-19,36.28,36.65,35.91,36.38,3513600,35.16
2009-11-18,36.64,37.17,36.59,36.70,3226900,35.47
2009-11-17,36.83,37.00,36.48,36.60,4386900,35.37
2009-11-16,36.86,37.60,36.86,37.23,3685300,35.98
2009-11-13,36.03,37.05,35.75,36.86,6403500,35.62
2009-11-12,35.44,36.57,35.37,36.05,6797400,34.84
2009-11-11,35.41,35.71,34.95,35.65,5682500,34.45
2009-11-10,34.86,35.83,34.86,35.21,5014600,34.03
2009-11-09,34.15,35.25,34.01,35.23,4214500,33.98
2009-11-06,33.47,34.00,33.25,33.84,3289600,32.64
2009-11-05,33.08,33.68,33.00,33.67,2939700,32.47
2009-11-04,33.20,33.74,32.61,32.69,3655100,31.53
2009-11-03,31.43,33.07,31.43,32.94,4159500,31.77
2009-11-02,31.61,32.56,31.20,31.86,2854700,30.73
2009-10-30,32.38,32.74,31.33,31.59,3482200,30.47
2009-10-29,32.12,32.75,31.89,32.38,3895100,31.23
2009-10-28,32.38,32.46,31.51,31.63,6003000,30.51
2009-10-27,33.95,34.29,32.45,32.54,6545800,31.38
2009-10-26,35.24,35.26,33.73,33.86,4820600,32.66
2009-10-23,36.71,37.19,34.63,34.81,8653200,33.57
2009-10-22,34.74,35.47,33.93,35.35,6517700,34.09
2009-10-21,34.30,35.37,34.29,34.66,4961200,33.43
2009-10-20,34.25,34.84,33.63,34.48,4677900,33.25
2009-10-19,33.64,34.59,33.64,33.95,4350200,32.74
2009-10-16,33.94,34.59,33.56,33.69,4328600,32.49
2009-10-15,34.62,34.74,33.88,34.27,5259000,33.05
2009-10-14,33.50,35.03,33.50,34.88,7721400,33.64
