Date,Open,High,Low,Close,Volume,Adj Close
2012-12-24,22.61,22.79,22.57,22.75,309800,22.75
2012-12-21,22.59,22.95,22.59,22.79,1537300,22.79
2012-12-20,23.02,23.20,22.94,23.00,695300,23.00
2012-12-19,23.03,23.12,22.86,23.01,1283600,23.01
2012-12-18,22.75,23.10,22.69,23.06,785200,23.06
2012-12-17,22.51,22.84,22.51,22.75,727200,22.75
2012-12-14,22.41,22.64,22.40,22.53,562700,22.53
2012-12-13,22.47,22.58,22.21,22.48,608000,22.48
2012-12-12,22.65,22.73,22.45,22.47,536600,22.47
2012-12-11,22.72,22.73,22.41,22.54,1000400,22.54
2012-12-10,22.51,22.65,22.43,22.61,759500,22.61
2012-12-07,22.15,22.56,22.12,22.56,825900,22.56
2012-12-06,22.16,22.28,22.07,22.28,573900,22.28
2012-12-05,22.33,22.42,22.13,22.20,858400,22.20
2012-12-04,22.30,22.43,22.23,22.35,524900,22.35
2012-12-03,22.38,22.48,22.26,22.31,858500,22.31
2012-11-30,22.21,22.40,22.14,22.37,941700,22.37
2012-11-29,22.19,22.34,22.14,22.25,682700,22.25
2012-11-28,21.62,22.07,21.46,22.02,423500,22.02
2012-11-27,21.85,21.93,21.65,21.74,661300,21.74
2012-11-26,21.66,21.98,21.63,21.87,685300,21.87
2012-11-23,21.52,21.74,21.45,21.67,120500,21.67
2012-11-21,21.42,21.49,21.25,21.45,368900,21.45
2012-11-20,21.33,21.40,21.12,21.36,657100,21.36
2012-11-19,21.15,21.37,21.07,21.34,956600,21.34
2012-11-16,20.97,21.10,20.70,20.93,882500,20.93
2012-11-15,20.96,21.18,20.71,20.99,902700,20.99
2012-11-14,21.64,21.75,21.08,21.16,1314900,21.07
2012-11-13,21.58,21.83,21.55,21.57,617100,21.48
2012-11-12,21.71,21.87,21.61,21.73,844400,21.64
2012-11-09,21.60,21.89,21.35,21.72,1011500,21.63
2012-11-08,21.73,21.88,21.59,21.63,1266600,21.54
2012-11-07,22.00,22.17,21.62,21.72,1563700,21.63
