Date,Open,High,Low,Close,Volume,Adj Close
2009-12-24,47.74,48.09,47.61,47.96,613100,43.94
2009-12-23,47.70,47.81,47.34,47.61,1843600,43.62
2009-12-22,47.68,47.89,47.48,47.63,2108700,43.64
2009-12-21,47.98,48.01,47.57,47.59,2864200,43.60
2009-12-18,47.68,47.90,47.31,47.57,3067700,43.58
2009-12-17,48.18,48.41,47.61,47.61,4141300,43.62
2009-12-16,49.01,49.03,48.38,48.45,2562500,44.39
2009-12-15,49.06,49.22,48.74,48.89,2397900,44.79
2009-12-14,49.43,49.43,48.84,49.28,3576500,45.15
2009-12-11,47.73,48.29,47.11,47.99,3294900,43.97
2009-12-10,48.20,48.48,47.54,47.76,2485100,43.76
2009-12-09,47.58,48.06,47.00,47.86,3659200,43.85
2009-12-08,48.01,48.03,47.31,47.58,3062100,43.59
2009-12-07,48.04,48.69,47.88,48.55,2065900,44.48
2009-12-04,48.93,49.33,47.98,48.49,3001300,44.43
2009-12-03,48.84,49.17,48.27,48.30,2181900,44.25
2009-12-02,48.80,49.33,48.39,48.78,2670100,44.69
2009-12-01,48.93,49.51,48.61,48.73,3599000,44.65
2009-11-30,48.51,48.77,47.77,48.64,3298200,44.56
2009-11-27,48.05,49.02,47.73,48.66,1139800,44.58
2009-11-25,49.48,49.49,49.06,49.36,1746700,45.22
2009-11-24,49.58,50.07,48.91,49.39,2581400,45.25
2009-11-23,50.19,50.48,49.65,49.78,2266900,45.61
2009-11-20,49.42,49.65,49.15,49.51,2455500,45.36
2009-11-19,50.19,50.43,49.30,49.72,2785600,45.55
2009-11-18,50.23,50.70,50.20,50.60,2133100,46.36
2009-11-17,51.10,51.11,50.25,50.60,2916000,46.36
2009-11-16,49.70,51.16,49.58,51.02,4375300,46.74
2009-11-13,48.34,49.25,48.02,48.98,1911300,44.87
2009-11-12,49.05,49.57,48.28,48.33,2919400,44.28
2009-11-11,49.82,49.90,48.93,49.16,3264100,45.04
2009-11-10,49.60,50.00,49.19,49.43,2766300,45.29
2009-11-09,48.85,49.81,48.67,49.72,2677900,45.55
2009-11-06,48.08,48.87,47.41,48.39,2893900,44.33
2009-11-05,46.84,48.29,46.82,48.27,2862800,44.22
2009-11-04,47.29,47.53,46.40,46.50,3930400,42.60
2009-11-03,45.94,47.07,45.94,47.01,2543500,43.07
2009-11-02,45.84,46.82,45.55,46.32,3951500,42.44
2009-10-30,46.75,47.24,45.60,45.92,4313300,42.07
2009-10-29,46.40,47.14,46.24,46.94,3285800,43.01
2009-10-28,46.85,47.05,46.05,46.12,3590000,42.25
2009-10-27,47.34,47.85,47.03,47.06,2882000,43.12
2009-10-26,47.88,48.36,46.70,47.11,3202200,43.16
2009-10-23,48.91,49.01,47.44,47.78,3991300,43.78
2009-10-22,48.07,48.96,47.36,48.75,4464200,44.66
2009-10-21,48.34,49.72,47.85,47.97,7887900,43.95
2009-10-20,46.45,48.61,46.18,48.52,9094100,44.45
2009-10-19,45.49,46.36,45.31,46.22,4061000,42.35
2009-10-16,45.13,45.55,44.76,45.33,3596600,41.53
2009-10-15,45.04,45.38,44.91,45.36,4317700,41.56
2009-10-14,45.05,45.35,44.63,45.28,4432300,41.49
2009-10-13,45.03,45.26,44.21,44.49,4364800,40.76
2009-10-12,45.31,45.53,45.11,45.21,3405000,41.42
2009-10-09,45.06,45.06,44.63,45.02,5420700,41.25
2009-10-08,44.54,45.29,44.46,44.95,6750700,41.18
2009-10-07,43.31,44.19,43.05,44.17,5300200,40.47
2009-10-06,42.61,43.96,42.57,43.31,4467200,39.68
2009-10-05,41.79,42.52,41.32,42.40,3028600,38.85
2009-10-02,41.19,41.86,40.77,41.69,5015800,38.20
2009-10-01,42.43,42.71,41.49,41.53,3832200,38.05
2009-09-30,43.01,43.30,42.13,42.71,4025800,39.13
2009-09-29,43.14,43.49,42.92,43.09,2713300,39.48
2009-09-28,42.39,43.28,42.35,43.11,3980700,39.50
2009-09-25,42.23,42.76,41.97,42.30,3921800,38.47
2009-09-24,43.02,43.25,42.17,42.39,3157800,38.55
2009-09-23,44.16,44.28,42.97,43.01,3361800,39.12
2009-09-22,44.07,44.29,43.37,43.98,2796500,40.00
2009-09-21,43.89,44.16,43.69,43.85,2631700,39.88
2009-09-18,44.57,44.91,44.28,44.37,4513000,40.35
2009-09-17,43.96,44.50,43.63,44.45,4515800,40.43
2009-09-16,44.11,44.16,43.13,43.91,5220500,39.94
2009-09-15,44.71,44.71,43.52,43.87,5309300,39.90
2009-09-14,43.67,44.46,43.44,44.20,3080800,40.20
2009-09-11,43.72,44.47,43.72,44.02,3645200,40.04
2009-09-10,43.01,43.92,43.00,43.85,5033400,39.88
2009-09-09,43.06,44.00,42.53,43.93,5901300,39.95
2009-09-08,42.03,42.19,41.40,41.85,2306000,38.06
2009-09-04,40.91,41.77,40.86,41.77,1949500,37.99
2009-09-03,41.11,41.26,40.60,41.05,2530900,37.33
2009-09-02,41.22,41.48,40.85,40.93,2727500,37.22
2009-09-01,41.66,42.43,41.13,41.25,2594600,37.52
2009-08-31,41.78,42.06,41.43,41.82,1780000,38.03
2009-08-28,43.19,43.26,42.01,42.27,2130100,38.44
2009-08-27,42.32,42.83,41.90,42.70,2366200,38.83
2009-08-26,42.83,42.89,42.13,42.28,2664100,38.45
2009-08-25,42.38,43.25,42.07,43.05,4042500,39.15
2009-08-24,42.53,42.75,41.90,42.03,3810700,38.23
2009-08-21,41.79,42.45,41.52,42.29,3694500,38.46
2009-08-20,41.31,41.93,41.06,41.66,3605800,37.89
2009-08-19,40.77,41.63,40.54,41.06,2309300,37.34
2009-08-18,40.26,41.23,40.06,41.17,2960300,37.44
2009-08-17,40.42,40.79,39.84,40.18,2441600,36.54
2009-08-14,42.00,42.00,40.77,41.29,2425100,37.55
2009-08-13,41.04,42.00,40.83,42.00,3439800,38.20
2009-08-12,39.85,41.39,39.80,40.88,2888900,37.18
2009-08-11,40.05,40.13,39.50,39.96,2274300,36.34
2009-08-10,40.86,40.86,39.80,40.06,2780400,36.43
2009-08-07,40.80,41.21,40.52,40.96,1835800,37.25
2009-08-06,40.38,40.78,40.23,40.41,2753000,36.75
2009-08-05,41.22,41.34,39.76,40.39,2976400,36.73
2009-08-04,40.60,41.10,40.40,41.05,2372100,37.33
2009-08-03,41.24,41.24,40.30,40.69,3435500,37.01
2009-07-31,40.35,40.83,40.16,40.55,3064900,36.88
2009-07-30,40.56,41.07,40.31,40.38,2603800,36.72
2009-07-29,39.90,40.26,39.50,39.94,2247100,36.32
2009-07-28,40.36,40.61,39.89,40.25,2339000,36.61
2009-07-27,40.90,41.00,40.26,40.64,2589700,36.96
2009-07-24,40.30,40.94,39.95,40.94,2762600,37.23
2009-07-23,40.27,40.99,40.03,40.83,4094000,37.13
2009-07-22,39.85,40.27,39.17,40.17,5877700,36.53
2009-07-21,40.30,40.32,38.96,39.74,3981400,36.14
2009-07-20,38.88,39.95,38.88,39.94,3175300,36.32
2009-07-17,38.17,38.93,38.17,38.75,2543400,35.24
2009-07-16,38.05,38.70,37.96,38.54,2715100,35.05
2009-07-15,37.54,38.36,37.45,38.24,3960000,34.78
2009-07-14,36.80,37.26,36.34,37.19,2434200,33.82
2009-07-13,35.94,36.75,35.68,36.72,3189100,33.40
2009-07-10,34.99,35.87,34.90,35.77,2772000,32.53
2009-07-09,34.99,35.38,34.87,35.11,2878600,31.93
2009-07-08,34.98,35.15,34.47,34.86,3778600,31.70
2009-07-07,35.59,35.80,34.80,34.90,3214800,31.74
