Date,Open,High,Low,Close,Volume,Adj Close
2013-01-07,31.44,31.77,31.36,31.53,3466000,31.53
2013-01-04,31.91,31.91,31.19,31.39,7409300,31.39
2013-01-03,31.47,32.00,31.20,31.80,5495700,31.80
2013-01-02,31.52,31.62,31.12,31.49,4585400,31.49
2012-12-31,29.88,30.74,29.87,30.67,5596400,30.67
2012-12-28,30.12,30.35,30.03,30.11,3214400,30.11
2012-12-27,30.25,30.46,29.90,30.38,4392600,30.38
2012-12-26,30.14,30.42,30.02,30.23,2330700,30.23
2012-12-24,30.03,30.24,29.71,30.15,1609000,30.15
2012-12-21,29.72,30.13,29.48,30.12,6360700,30.12
2012-12-20,29.80,30.03,29.58,30.01,4581600,30.01
2012-12-19,29.61,30.25,29.50,29.76,6916500,29.76
2012-12-18,28.75,29.34,28.74,29.22,4159300,29.22
2012-12-17,28.37,28.70,28.28,28.69,3887400,28.69
2012-12-14,28.28,28.54,28.10,28.20,3433200,28.20
2012-12-13,28.62,28.81,28.24,28.37,2705000,28.37
2012-12-12,28.79,29.00,28.61,28.65,3622600,28.65
2012-12-11,28.66,28.95,28.62,28.74,4718900,28.74
2012-12-10,28.02,28.64,28.00,28.59,4338800,28.59
2012-12-07,27.74,28.16,27.63,28.14,4684400,28.14
2012-12-06,27.39,27.60,27.26,27.58,2658200,27.58
2012-12-05,27.51,27.60,27.11,27.41,3024700,27.41
2012-12-04,27.26,27.66,27.26,27.61,3485700,27.42
2012-12-03,27.61,27.75,27.27,27.28,3762300,27.09
2012-11-30,27.63,27.79,27.38,27.54,4748200,27.35
2012-11-29,27.63,27.87,27.33,27.67,3992100,27.48
2012-11-28,26.85,27.61,26.74,27.56,5517800,27.37
2012-11-27,27.01,27.16,26.74,26.97,5969100,26.78
2012-11-26,27.05,27.25,26.82,27.08,3378800,26.89
2012-11-23,26.96,27.29,26.82,27.22,1705400,27.03
2012-11-21,26.27,26.87,26.22,26.76,3791300,26.58
2012-11-20,25.96,26.29,25.88,26.19,3833400,26.01
2012-11-19,25.45,26.07,25.44,26.03,5073800,25.85
2012-11-16,25.11,25.20,24.75,25.09,6452600,24.92
2012-11-15,24.95,25.32,24.86,25.11,4311400,24.94
2012-11-14,25.28,25.49,24.87,24.94,3903600,24.77
2012-11-13,25.28,25.52,25.17,25.17,3236000,25.00
2012-11-12,25.61,25.63,25.38,25.54,2278400,25.36
2012-11-09,25.45,25.95,25.44,25.52,4050400,25.34
2012-11-08,25.95,26.16,25.59,25.59,4797100,25.41
2012-11-07,26.43,26.46,25.91,25.92,5104000,25.74
2012-11-06,26.60,26.99,26.58,26.72,4003800,26.54
2012-11-05,25.98,26.54,25.93,26.50,3382000,26.32
2012-11-02,26.19,26.43,26.00,26.25,5660500,26.07
2012-11-01,25.85,26.16,25.63,26.04,8420700,25.86
2012-10-31,25.60,26.06,25.10,25.75,7701400,25.57
2012-10-26,26.19,26.35,25.70,25.81,4122700,25.63
2012-10-25,26.19,26.45,25.95,26.16,4059700,25.98
2012-10-24,26.32,26.38,25.75,25.86,5457500,25.68
2012-10-23,25.98,26.21,25.71,26.17,5556000,25.99
2012-10-22,26.18,26.45,26.03,26.42,5702400,26.24
2012-10-19,26.82,26.82,26.09,26.19,4581800,26.01
2012-10-18,26.30,26.90,26.23,26.75,3952900,26.57
2012-10-17,26.33,26.46,26.02,26.33,4085400,26.15
2012-10-16,26.08,26.31,25.92,26.28,4789100,26.10
2012-10-15,26.02,26.11,25.66,26.00,5270900,25.82
2012-10-12,26.31,26.37,25.75,25.87,7962000,25.69
2012-10-11,26.12,26.38,25.88,26.23,6552500,26.05
2012-10-10,26.40,26.48,26.00,26.07,6899800,25.89
2012-10-09,27.40,27.60,26.75,26.85,4342100,26.67
2012-10-08,27.74,27.85,27.46,27.61,3078600,27.42
2012-10-05,28.12,28.41,27.79,27.85,4515900,27.66
2012-10-04,27.63,28.15,27.51,27.88,3890400,27.69
2012-10-03,27.69,27.77,27.38,27.55,3459500,27.36
2012-10-02,27.85,28.01,27.24,27.55,4397800,27.36
2012-10-01,27.58,28.10,27.57,27.65,3726900,27.46
2012-09-28,27.43,27.52,27.19,27.40,3960900,27.21
2012-09-27,27.58,27.72,27.34,27.62,4334900,27.43
2012-09-26,27.45,27.67,27.15,27.42,4250100,27.23
2012-09-25,28.62,28.62,27.46,27.49,4586400,27.30
2012-09-24,28.38,28.52,28.13,28.49,3358500,28.29
2012-09-21,29.00,29.03,28.39,28.45,4899100,28.25
2012-09-20,28.80,28.80,28.37,28.69,4107100,28.49
2012-09-19,28.40,29.28,28.23,29.08,4561200,28.88
2012-09-18,28.63,28.63,28.26,28.43,4377400,28.23
2012-09-17,29.14,29.16,28.58,28.71,3920500,28.51
2012-09-14,28.93,29.59,28.93,29.20,6671100,29.00
2012-09-13,28.55,28.93,27.95,28.78,5058800,28.58
2012-09-12,28.18,28.54,28.18,28.51,5312600,28.31
2012-09-11,27.73,28.30,27.72,28.14,2887400,27.95
2012-09-10,27.78,28.07,27.68,27.71,3296600,27.52
2012-09-07,27.53,27.80,27.51,27.77,5513300,27.58
2012-09-06,26.98,27.80,26.90,27.49,5619600,27.30
2012-09-05,26.68,26.85,26.48,26.70,4814100,26.52
2012-09-04,27.24,27.35,26.69,26.85,5945000,26.49
2012-08-31,27.34,27.55,27.06,27.21,4724200,26.84
2012-08-30,27.00,27.26,26.88,27.15,4933200,26.78
2012-08-29,27.17,27.37,26.91,27.15,3433300,26.78
2012-08-28,26.87,27.29,26.83,27.03,4053800,26.66
