Date,Open,High,Low,Close,Volume,Adj Close
2009-12-24,8.31,8.56,8.29,8.51,2067600,8.51
2009-12-23,8.20,8.29,8.11,8.25,2462200,8.25
2009-12-22,7.99,8.25,7.92,8.23,4175200,8.23
2009-12-21,7.77,8.01,7.75,7.99,2892600,7.99
2009-12-18,7.81,7.91,7.75,7.83,4529100,7.83
2009-12-17,7.70,7.84,7.60,7.78,2737000,7.78
2009-12-16,7.93,8.00,7.86,7.88,2925000,7.88
2009-12-15,7.92,8.02,7.78,7.83,2730300,7.83
2009-12-14,7.96,8.04,7.86,8.02,2935300,8.02
2009-12-11,8.20,8.20,7.86,7.91,3457100,7.91
2009-12-10,8.07,8.30,8.00,8.15,4712800,8.15
2009-12-09,7.91,8.22,7.88,8.14,8079400,8.14
2009-12-08,7.77,7.98,7.71,7.87,3739700,7.87
2009-12-07,7.85,7.97,7.73,7.82,3313100,7.82
2009-12-04,7.71,7.94,7.57,7.87,5951700,7.87
2009-12-03,7.62,7.68,7.55,7.58,2386200,7.58
2009-12-02,7.56,7.72,7.56,7.61,2267400,7.61
2009-12-01,7.50,7.67,7.45,7.60,3475900,7.60
2009-11-30,7.41,7.55,7.30,7.39,4434700,7.39
2009-11-27,7.33,7.61,7.26,7.43,2282300,7.43
2009-11-25,7.66,7.83,7.57,7.71,5311000,7.71
2009-11-24,7.39,7.44,7.25,7.40,2761200,7.40
2009-11-23,7.33,7.48,7.32,7.40,3402900,7.40
2009-11-20,7.31,7.40,7.21,7.29,4112500,7.29
2009-11-19,7.61,7.66,7.32,7.39,4143100,7.39
2009-11-18,7.69,7.69,7.59,7.65,3220200,7.65
2009-11-17,7.84,7.85,7.60,7.73,5339000,7.73
2009-11-16,7.85,7.91,7.69,7.83,5900300,7.83
2009-11-13,7.74,7.82,7.47,7.63,9296800,7.63
2009-11-12,7.74,8.16,7.61,7.71,28973800,7.71
2009-11-11,6.97,7.25,6.95,7.20,5493100,7.20
2009-11-10,6.95,6.97,6.71,6.88,4820100,6.88
2009-11-09,6.60,6.97,6.60,6.94,6360900,6.94
2009-11-06,6.39,6.56,6.26,6.46,7378500,6.46
2009-11-05,5.88,6.14,5.88,6.07,4800400,6.07
2009-11-04,5.87,6.04,5.76,5.78,3911400,5.78
2009-11-03,5.41,5.85,5.35,5.76,4711900,5.76
2009-11-02,5.67,5.70,5.37,5.52,2912100,5.52
2009-10-30,5.79,5.81,5.45,5.59,4435600,5.59
2009-10-29,5.91,5.98,5.70,5.80,4458200,5.80
2009-10-28,6.14,6.22,5.80,5.81,3387700,5.81
2009-10-27,6.24,6.28,6.02,6.11,3209100,6.11
2009-10-26,6.45,6.56,6.21,6.27,3072300,6.27
2009-10-23,6.85,6.86,6.35,6.40,3307400,6.40
2009-10-22,6.53,6.76,6.47,6.75,1999200,6.75
2009-10-21,6.57,6.78,6.56,6.60,2363400,6.60
2009-10-20,6.79,6.84,6.53,6.65,3274500,6.65
2009-10-19,6.85,6.97,6.77,6.79,2145200,6.79
2009-10-16,6.98,7.02,6.76,6.87,2525200,6.87
2009-10-15,7.04,7.07,6.76,7.05,3379700,7.05
2009-10-14,7.00,7.12,6.88,7.08,2285300,7.08
2009-10-13,6.84,6.94,6.77,6.87,1489100,6.87
2009-10-12,6.88,7.02,6.78,6.86,2207100,6.86
2009-10-09,6.90,7.02,6.82,6.96,1471500,6.96
2009-10-08,6.94,7.03,6.89,6.92,1895300,6.92
2009-10-07,6.75,6.95,6.71,6.90,2540300,6.90
2009-10-06,6.90,7.03,6.78,6.82,3653900,6.82
2009-10-05,6.80,6.89,6.66,6.85,3571900,6.85
2009-10-02,6.60,6.78,6.58,6.66,2470500,6.66
2009-10-01,7.01,7.10,6.73,6.73,5214100,6.73
2009-09-30,7.01,7.25,6.80,7.11,7432100,7.11
2009-09-29,7.22,7.23,6.82,6.89,5872400,6.89
2009-09-28,7.04,7.40,7.04,7.23,3570000,7.23
2009-09-25,7.21,7.39,6.96,7.01,4795400,7.01
2009-09-24,7.58,7.65,7.15,7.26,4361000,7.26
2009-09-23,7.96,7.96,7.54,7.55,5045900,7.55
2009-09-22,7.55,8.38,7.44,7.90,11748600,7.90
2009-09-21,7.44,7.57,7.35,7.39,3126700,7.39
2009-09-18,7.51,7.68,7.46,7.54,3908700,7.54
2009-09-17,7.63,7.65,7.44,7.61,2681100,7.61
2009-09-16,7.70,7.70,7.53,7.62,2140400,7.62
2009-09-15,7.45,7.69,7.36,7.63,2407800,7.63
2009-09-14,7.43,7.53,7.33,7.47,1894500,7.47
2009-09-11,7.63,7.68,7.35,7.46,2993500,7.46
2009-09-10,7.40,7.70,7.38,7.60,3363400,7.60
2009-09-09,7.22,7.50,7.21,7.37,2397400,7.37
2009-09-08,7.05,7.41,7.05,7.23,4215200,7.23
2009-09-04,6.90,7.04,6.84,7.02,2150900,7.02
2009-09-03,6.80,6.92,6.66,6.90,4483900,6.90
2009-09-02,6.68,6.80,6.58,6.72,2976900,6.72
2009-09-01,6.82,7.01,6.62,6.68,3978200,6.68
2009-08-31,6.91,6.93,6.81,6.87,2923900,6.87
