Date,Open,High,Low,Close,Volume,Adj Close
2009-12-24,13.35,13.54,13.30,13.50,360900,12.75
2009-12-23,13.39,13.50,13.15,13.31,1017700,12.57
2009-12-22,13.38,13.49,13.35,13.42,1014200,12.68
2009-12-21,13.18,13.41,13.13,13.36,1415500,12.62
2009-12-18,13.02,13.17,12.87,13.17,1897900,12.44
2009-12-17,13.11,13.19,12.94,12.95,1648500,12.23
2009-12-16,12.94,13.28,12.92,13.21,1818100,12.48
2009-12-15,12.81,12.96,12.76,12.82,1188900,12.11
2009-12-14,13.00,13.07,12.76,12.97,1384000,12.25
2009-12-11,12.73,13.05,12.73,13.01,1556300,12.29
2009-12-10,12.78,12.96,12.71,12.80,1448800,12.09
2009-12-09,12.63,12.78,12.45,12.71,1927600,12.01
2009-12-08,12.66,12.71,12.49,12.66,2202700,11.96
2009-12-07,12.88,13.04,12.71,12.76,1543700,12.05
2009-12-04,12.91,13.17,12.54,12.97,3226700,12.25
2009-12-03,12.90,13.07,12.56,12.60,2679200,11.90
2009-12-02,13.21,13.23,12.77,12.87,2806100,12.16
2009-12-01,13.28,13.28,12.82,13.10,3194000,12.37
2009-11-30,12.77,13.14,12.60,13.09,3210400,12.37
2009-11-27,12.78,12.92,12.42,12.70,1197700,12.00
2009-11-25,13.46,13.46,13.07,13.27,1608100,12.54
2009-11-24,13.28,13.35,13.00,13.27,2108700,12.54
2009-11-23,13.46,13.59,13.08,13.35,2878800,12.61
2009-11-20,13.35,13.42,13.06,13.21,1653600,12.48
2009-11-19,13.69,13.76,13.26,13.47,1547500,12.72
2009-11-18,14.04,14.11,13.77,13.80,1349500,13.04
2009-11-17,13.93,14.09,13.85,14.04,1240400,13.26
2009-11-16,13.91,14.17,13.87,14.01,2640600,13.23
2009-11-13,13.66,13.90,13.48,13.72,1656100,12.96
2009-11-12,14.01,14.24,13.60,13.61,2441600,12.86
2009-11-11,13.93,14.20,13.90,14.01,2427200,13.23
2009-11-10,13.94,14.12,13.66,13.77,1858500,13.01
2009-11-09,13.52,14.11,13.49,13.98,2833800,13.21
2009-11-06,13.01,13.34,12.87,13.32,2476300,12.58
2009-11-05,13.20,13.33,12.89,13.26,4483300,12.53
2009-11-04,13.41,13.45,12.96,13.07,3151600,12.35
2009-11-03,12.81,13.25,12.71,13.22,3002000,12.49
2009-11-02,13.20,13.33,12.63,13.01,3594100,12.29
2009-10-30,13.66,13.67,12.93,13.12,3642300,12.39
2009-10-29,13.13,13.90,13.13,13.70,5607700,12.94
2009-10-28,13.88,14.02,12.93,12.93,5166300,12.21
2009-10-27,14.63,14.71,13.92,13.93,3802600,13.16
2009-10-26,14.87,15.35,14.48,14.55,3622700,13.74
2009-10-23,14.82,15.00,14.71,14.83,4082300,14.01
2009-10-22,14.83,15.22,13.94,14.76,15216200,13.94
2009-10-21,15.76,16.06,15.50,15.75,3541600,14.88
2009-10-20,15.83,15.92,15.55,15.80,3208200,14.93
2009-10-19,15.35,16.01,15.28,15.82,3384800,14.94
2009-10-16,15.17,15.41,15.02,15.24,2679700,14.40
2009-10-15,15.34,15.64,15.11,15.59,3032200,14.73
2009-10-14,14.65,15.50,14.63,15.42,3155900,14.57
2009-10-13,14.44,14.55,14.05,14.33,1866600,13.54
2009-10-12,14.67,14.72,14.42,14.50,2014500,13.70
2009-10-09,14.52,14.58,14.34,14.52,1718200,13.72
2009-10-08,14.33,14.71,14.21,14.55,2399600,13.74
2009-10-07,13.78,14.26,13.76,14.26,2497900,13.47
2009-10-06,14.09,14.18,13.48,13.87,4407000,13.10
2009-10-05,13.21,14.11,13.21,13.96,4086000,13.19
2009-10-02,13.24,13.50,12.97,13.19,4147900,12.46
2009-10-01,14.09,14.23,13.43,13.43,3400800,12.69
2009-09-30,14.32,14.47,13.81,14.18,2120500,13.39
2009-09-29,14.53,14.81,14.24,14.28,2024500,13.49
2009-09-28,13.75,14.63,13.74,14.52,2980300,13.72
2009-09-25,14.10,14.19,13.59,13.66,3539300,12.90
2009-09-24,14.55,14.72,13.48,13.84,3073400,13.07
2009-09-23,14.87,14.98,14.48,14.48,2436700,13.68
2009-09-22,14.45,15.09,14.45,14.90,3640800,14.08
2009-09-21,14.26,14.42,14.03,14.27,1909600,13.48
2009-09-18,14.27,14.61,14.00,14.47,2972600,13.67
2009-09-17,14.58,14.77,14.18,14.22,2804600,13.43
2009-09-16,13.79,14.74,13.78,14.58,4811700,13.77
2009-09-15,13.59,13.94,13.23,13.75,3520900,12.99
2009-09-14,13.54,13.57,13.14,13.55,3126600,12.80
2009-09-11,13.51,13.77,13.35,13.63,3461600,12.88
2009-09-10,13.10,13.42,12.84,13.42,2167800,12.68
2009-09-09,12.79,13.23,12.69,13.10,2627400,12.37
2009-09-08,12.58,12.92,12.48,12.80,2735300,12.09
2009-09-04,12.39,12.48,12.24,12.44,2276200,11.75
2009-09-03,12.25,12.44,12.01,12.39,4472600,11.70
2009-09-02,11.99,12.35,11.76,12.14,4250600,11.47
2009-09-01,12.57,12.96,11.86,11.93,6381800,11.27
2009-08-31,12.70,12.83,12.34,12.72,3404600,12.02
2009-08-28,12.88,13.20,12.72,12.87,2673900,12.16
2009-08-27,13.06,13.26,12.56,12.80,3967600,12.09
2009-08-26,13.22,13.38,13.05,13.11,2189900,12.38
2009-08-25,13.63,13.69,13.12,13.28,3031900,12.54
2009-08-24,13.86,14.05,13.25,13.46,2855300,12.71
2009-08-21,13.56,13.77,13.41,13.69,2433900,12.93
2009-08-20,13.11,13.35,12.97,13.34,2233100,12.60
2009-08-19,12.93,13.17,12.66,13.08,3827200,12.36
2009-08-18,13.15,13.38,13.02,13.08,2857500,12.36
2009-08-17,13.30,13.53,13.02,13.06,3038200,12.34
2009-08-14,14.38,14.38,13.56,13.88,2250100,13.11
2009-08-13,14.44,14.54,14.08,14.35,2663300,13.56
2009-08-12,13.43,14.53,13.43,14.33,3147900,13.54
2009-08-11,13.87,13.98,13.48,13.53,3331200,12.78
2009-08-10,14.36,14.40,13.86,13.95,2324300,13.18
2009-08-07,14.33,14.57,13.99,14.40,2884400,13.60
2009-08-06,14.70,14.70,13.99,14.07,2784000,13.29
2009-08-05,14.67,14.67,14.04,14.46,3640400,13.66
2009-08-04,14.76,14.84,14.11,14.46,6763700,13.66
2009-08-03,14.32,14.34,13.89,14.03,5126300,13.25
2009-07-31,13.40,13.80,13.10,13.66,4870000,12.90
2009-07-30,12.92,13.85,12.83,13.48,5093300,12.73
2009-07-29,12.92,12.98,12.41,12.72,3415300,12.02
2009-07-28,12.96,13.24,12.80,13.04,3152700,12.32
2009-07-27,12.95,13.26,12.86,12.96,4063000,12.24
2009-07-24,12.87,13.11,12.42,12.98,3314800,12.26
2009-07-23,12.28,13.05,12.10,13.01,5782400,12.29
2009-07-22,11.95,12.25,11.86,12.20,5516800,11.52
2009-07-21,12.56,12.77,11.66,12.18,6355600,11.51
2009-07-20,12.17,12.53,12.15,12.51,5603000,11.82
2009-07-17,12.15,12.25,11.77,12.03,6160900,11.36
2009-07-16,11.35,12.19,11.34,12.15,27560500,11.48
2009-07-15,10.21,11.96,10.16,11.39,26845400,10.76
2009-07-14,10.97,11.26,10.85,11.17,3309200,10.55
2009-07-13,10.38,10.80,10.07,10.75,2119900,10.15
2009-07-10,10.05,10.40,10.00,10.15,2608900,9.59
2009-07-09,10.12,10.29,10.00,10.14,2530100,9.58
2009-07-08,10.37,10.55,9.63,9.84,4091400,9.30
2009-07-07,10.84,11.10,10.37,10.41,2640400,9.83
2009-07-06,11.46,11.47,10.77,10.92,2819000,10.32
2009-07-02,11.89,11.90,11.38,11.38,1849800,10.75
2009-07-01,11.46,12.31,11.44,12.05,2980700,11.38
2009-06-30,11.69,11.72,11.26,11.40,1951300,10.77
2009-06-29,11.70,11.78,11.38,11.66,1215300,11.01
2009-06-26,11.07,11.80,11.07,11.71,2824400,11.06
2009-06-25,10.97,11.55,10.82,11.29,3428600,10.66
2009-06-24,11.04,11.34,10.67,11.02,3542700,10.41
2009-06-23,10.43,10.92,10.25,10.72,3888100,10.13
2009-06-22,11.68,11.68,10.37,10.37,4242100,9.80
2009-06-19,11.63,12.48,11.59,11.69,2427800,11.04
2009-06-18,11.35,11.95,11.22,11.46,3371800,10.83
2009-06-17,11.47,11.68,11.01,11.28,2603500,10.66
2009-06-16,12.30,12.43,11.24,11.54,4279900,10.90
2009-06-15,12.03,12.24,11.78,12.20,2361800,11.52
2009-06-12,12.33,12.46,11.95,12.28,2806400,11.60
2009-06-11,11.89,12.48,11.89,12.37,3008400,11.69
2009-06-10,11.80,11.95,11.45,11.76,4309800,11.11
2009-06-09,11.43,11.77,11.42,11.62,1571100,10.98
2009-06-08,11.55,11.77,11.17,11.43,2288400,10.80
2009-06-05,11.37,12.13,11.24,11.80,4730000,11.15
2009-06-04,10.60,11.39,10.50,11.36,3422000,10.73
2009-06-03,10.59,10.69,10.24,10.50,2326500,9.92
2009-06-02,10.75,11.04,10.49,10.72,2219000,10.13
2009-06-01,10.28,11.00,10.27,10.82,3050200,10.22
2009-05-29,9.77,10.15,9.58,10.14,2393100,9.58
2009-05-28,9.56,9.77,9.25,9.69,3169900,9.15
2009-05-27,9.60,9.79,9.27,9.33,4271300,8.81
2009-05-26,9.22,9.59,8.88,9.55,3697500,9.02
2009-05-22,9.60,9.68,9.24,9.31,2349800,8.79
2009-05-21,9.35,9.76,9.13,9.52,2810100,8.99
2009-05-20,10.35,10.50,9.56,9.63,4512800,9.10
2009-05-19,10.24,10.59,9.99,10.09,4961200,9.53
2009-05-18,8.85,10.25,8.82,10.16,6466800,9.60
2009-05-15,9.03,9.20,8.55,8.62,4042300,8.14
2009-05-14,8.96,9.50,8.84,9.21,4974300,8.70
2009-05-13,9.70,9.77,8.80,8.96,5740400,8.46
2009-05-12,10.39,10.74,9.54,10.09,5075300,9.49
2009-05-11,11.50,11.50,10.74,10.81,5030300,10.17
2009-05-08,10.43,11.93,10.43,11.93,4682700,11.22
2009-05-07,11.45,11.50,10.26,10.35,3489700,9.74
2009-05-06,11.06,11.33,10.70,11.19,4365100,10.53
2009-05-05,11.24,11.61,10.60,10.72,5863800,10.09
2009-05-04,9.90,11.31,9.78,11.28,7026600,10.61
2009-05-01,10.82,11.00,9.53,9.61,4361500,9.04
2009-04-30,10.11,10.80,9.98,10.03,3879000,9.44
