Date,Open,High,Low,Close,Volume,Adj Close
2012-12-24,43.72,44.02,43.71,43.92,8621200,43.92
2012-12-21,43.82,44.20,43.34,44.00,38973500,44.00
2012-12-20,43.69,44.54,43.41,44.53,25014900,44.53
2012-12-19,43.99,44.39,43.42,43.53,34348500,43.53
2012-12-18,43.83,43.94,43.31,43.87,33858600,43.87
2012-12-17,43.00,43.51,42.81,43.48,23879800,43.48
2012-12-14,42.77,43.11,42.71,42.81,16208600,42.81
2012-12-13,42.65,42.92,42.50,42.78,18457000,42.78
2012-12-12,43.00,43.38,42.70,42.77,23110600,42.77
2012-12-11,42.60,43.09,42.42,42.64,21955000,42.64
2012-12-10,42.54,42.67,42.01,42.31,22394500,42.31
2012-12-07,41.84,42.57,41.73,42.56,34552900,42.56
2012-12-06,41.25,41.55,41.11,41.47,20541700,41.47
2012-12-05,40.69,41.49,40.50,41.20,25515600,41.20
2012-12-04,40.78,40.92,40.20,40.57,24031100,40.57
2012-12-03,41.27,41.37,40.75,40.81,18955500,40.81
2012-11-30,40.99,41.34,40.85,41.08,20066600,41.08
2012-11-29,41.15,41.35,40.91,41.22,18915000,41.22
2012-11-28,40.49,40.88,39.88,40.83,26106900,40.83
2012-11-27,40.87,41.20,40.64,40.75,19875000,40.75
2012-11-26,40.79,40.88,40.09,40.88,20376600,40.88
2012-11-23,41.10,41.22,40.97,41.09,8316700,41.09
2012-11-21,40.94,40.98,40.35,40.73,13030200,40.73
2012-11-20,40.33,41.18,40.25,40.70,19375900,40.70
2012-11-19,40.09,40.70,40.09,40.59,26781200,40.59
2012-11-16,39.43,39.67,38.83,39.53,32458000,39.53
2012-11-15,39.06,39.72,38.97,39.39,24858700,39.39
2012-11-14,40.21,40.37,39.13,39.29,30986600,39.29
2012-11-13,40.18,40.52,40.00,40.04,19793500,40.04
2012-11-12,40.85,40.91,40.30,40.58,12816000,40.58
2012-11-09,40.31,41.23,39.86,40.62,27553200,40.62
2012-11-08,41.28,41.50,40.40,40.40,27830900,40.40
2012-11-07,42.01,42.01,40.31,40.48,47631200,40.48
2012-11-06,42.57,43.05,42.41,42.88,17190900,42.88
2012-11-05,42.33,42.36,41.86,42.27,13252500,42.27
2012-11-02,43.04,43.07,42.33,42.42,17029200,42.42
2012-11-01,41.70,42.90,41.58,42.84,23325400,42.84
2012-10-31,41.45,41.79,41.15,41.68,19423500,41.68
2012-10-26,41.42,41.66,40.87,41.16,21892700,41.16
2012-10-25,42.24,42.28,41.40,41.67,17311700,41.67
2012-10-24,41.68,41.88,41.34,41.71,18918900,41.71
2012-10-23,41.47,41.74,41.05,41.33,22896400,41.33
2012-10-22,42.25,42.52,41.50,42.09,27993000,42.09
2012-10-19,42.80,42.82,42.06,42.32,29747500,42.32
2012-10-18,43.09,43.35,42.75,43.01,23630400,43.01
2012-10-17,42.93,43.54,42.77,43.32,26177500,43.32
2012-10-16,42.79,43.11,42.27,42.83,28588100,42.83
2012-10-15,41.91,42.41,41.73,42.38,26268000,42.38
2012-10-12,41.60,42.43,41.15,41.62,44564000,41.62
2012-10-11,42.37,42.64,41.85,42.10,27755000,42.10
2012-10-10,41.55,42.00,41.33,41.77,25797600,41.77
2012-10-09,41.77,41.95,41.30,41.38,19947500,41.38
2012-10-08,41.33,41.84,41.11,41.66,18631300,41.66
2012-10-05,42.04,42.44,41.46,41.71,22774400,41.71
2012-10-04,41.16,41.99,40.91,41.82,24326500,41.82
2012-10-03,40.83,41.00,40.42,40.86,22419100,40.86
2012-10-02,41.14,41.24,40.56,40.92,26946100,40.62
2012-10-01,40.88,41.50,40.80,40.97,21956400,40.67
2012-09-28,40.42,40.63,40.16,40.48,21380700,40.18
2012-09-27,40.40,40.99,40.21,40.68,20843400,40.38
2012-09-26,40.15,40.63,39.70,40.24,23782700,39.94
2012-09-25,41.55,41.55,40.53,40.55,21988200,40.25
2012-09-24,40.61,41.47,40.59,41.23,20499500,40.93
2012-09-21,41.53,41.70,40.77,40.88,28287400,40.58
2012-09-20,40.96,41.28,40.55,41.25,20997400,40.95
2012-09-19,41.33,41.76,41.04,41.34,22887200,41.04
2012-09-18,41.05,41.33,40.66,41.26,25186600,40.96
2012-09-17,41.00,41.44,40.95,41.19,19740100,40.89
2012-09-14,41.96,42.09,41.23,41.57,43471600,41.27
2012-09-13,39.84,41.58,39.59,41.40,47018600,41.10
2012-09-12,39.88,40.25,39.79,39.92,29882200,39.63
2012-09-11,38.80,39.63,38.73,39.60,22378900,39.31
2012-09-10,39.23,39.78,38.73,38.76,20853500,38.48
2012-09-07,39.04,39.53,39.00,39.30,28082400,39.01
2012-09-06,37.58,38.87,37.50,38.69,41346800,38.41
2012-09-05,37.08,37.29,36.94,37.11,13537500,36.84
2012-09-04,36.98,37.24,36.78,37.01,13631400,36.74
2012-08-31,37.14,37.40,36.86,37.14,16771600,36.87
2012-08-30,37.06,37.13,36.71,36.90,13700700,36.63
2012-08-29,37.32,37.49,37.06,37.30,13681900,37.03
2012-08-28,37.10,37.49,36.90,37.13,18050500,36.86
2012-08-27,37.31,37.44,36.90,37.23,17618200,36.96
2012-08-24,36.94,37.44,36.67,37.17,20019300,36.90
2012-08-23,37.81,37.89,37.20,37.23,16429500,36.96
2012-08-22,37.88,38.18,37.56,37.83,16899400,37.55
2012-08-21,37.63,38.86,37.56,38.04,36880600,37.76
2012-08-20,36.92,37.50,36.80,37.37,17922100,37.10
2012-08-17,37.20,37.20,36.80,36.98,17079800,36.71
2012-08-16,37.18,37.35,36.80,37.10,15894100,36.83
2012-08-15,37.07,37.41,36.95,37.07,17521300,36.80
2012-08-14,37.42,37.64,36.98,37.10,18065100,36.83
2012-08-13,36.87,37.09,36.65,36.99,14453500,36.72
2012-08-10,36.76,37.00,36.40,36.97,15492700,36.70
2012-08-09,36.72,37.26,36.59,36.92,23406700,36.65
2012-08-08,36.85,37.48,36.75,37.16,18672400,36.89
2012-08-07,36.57,37.87,36.57,37.01,37225800,36.74
2012-08-06,36.24,36.80,36.11,36.30,18979200,36.03
2012-08-03,35.82,36.29,35.50,36.09,24516300,35.83
2012-08-02,35.62,35.84,34.76,35.17,36675000,34.91
2012-08-01,36.19,36.40,35.82,36.00,22180200,35.74
2012-07-31,36.11,36.33,35.91,36.00,19681600,35.74
2012-07-30,36.50,36.52,35.94,36.14,30698200,35.88
2012-07-27,36.01,37.20,35.51,36.89,63636200,36.62
2012-07-26,35.78,35.94,35.34,35.81,28900500,35.55
2012-07-25,34.98,35.45,34.79,35.17,32127700,34.91
2012-07-24,34.58,34.89,34.22,34.73,29920400,34.48
2012-07-23,33.24,34.50,33.10,34.44,41248300,34.19
