Date,Open,High,Low,Close,Volume,Adj Close
2012-12-24,56.26,56.26,55.87,56.14,488200,56.14
2012-12-21,56.53,56.58,55.87,56.18,2213100,56.18
2012-12-20,56.20,56.68,56.13,56.59,1311900,56.59
2012-12-19,56.80,56.81,56.11,56.15,1332200,56.15
2012-12-18,56.98,56.98,56.29,56.60,2944100,56.60
2012-12-17,56.75,57.00,56.72,56.86,1485100,56.86
2012-12-14,56.53,57.10,56.43,56.72,1950300,56.72
2012-12-13,56.67,56.84,56.45,56.75,1077900,56.75
2012-12-12,56.75,57.21,56.54,56.60,1856000,56.60
2012-12-11,56.15,56.70,56.05,56.66,1732000,56.66
2012-12-10,55.94,56.50,55.85,56.13,1642100,56.13
2012-12-07,55.74,55.98,55.49,55.97,1355700,55.97
2012-12-06,55.61,55.75,55.50,55.74,1339700,55.74
2012-12-05,55.21,55.86,55.19,55.65,1881700,55.65
2012-12-04,55.05,55.25,54.53,55.23,1780300,55.23
2012-12-03,55.57,55.59,55.06,55.26,1595500,55.26
2012-11-30,55.55,55.70,55.27,55.46,2378800,55.46
2012-11-29,55.32,55.70,55.14,55.60,1630800,55.60
2012-11-28,55.39,55.83,55.34,55.78,4212600,55.34
2012-11-27,55.39,55.88,55.24,55.45,2185700,55.01
2012-11-26,55.28,55.45,55.14,55.39,2427200,54.95
2012-11-23,55.23,55.34,55.10,55.26,893000,54.82
2012-11-21,54.81,55.14,54.69,55.05,1763300,54.62
2012-11-20,54.66,54.90,54.49,54.82,1734100,54.39
2012-11-19,54.35,54.75,54.10,54.74,1982100,54.31
2012-11-16,54.08,54.17,53.72,54.17,2264700,53.74
2012-11-15,53.60,53.98,53.35,53.89,1931100,53.46
2012-11-14,53.82,54.19,53.53,53.68,1861900,53.26
2012-11-13,53.56,54.15,53.56,53.82,1938000,53.40
2012-11-12,53.50,53.75,53.24,53.67,1321800,53.25
2012-11-09,53.56,53.98,53.39,53.48,2717000,53.06
2012-11-08,52.25,54.15,52.22,53.67,3823100,53.25
2012-11-07,54.35,54.48,53.62,54.16,3157500,53.73
2012-11-06,53.98,54.79,53.74,54.76,3281100,54.33
2012-11-05,53.57,53.99,53.11,53.99,3497000,53.56
2012-11-02,53.56,54.10,53.46,53.69,3710000,53.27
2012-11-01,52.72,53.62,52.16,53.50,2670400,53.08
2012-10-31,52.91,53.00,52.23,52.32,3860000,51.91
2012-10-26,52.63,53.06,52.10,52.90,2257000,52.48
2012-10-25,52.05,52.70,52.05,52.56,1727100,52.15
2012-10-24,52.02,52.18,51.73,51.82,1402400,51.41
2012-10-23,51.75,51.80,51.36,51.65,720800,51.24
2012-10-22,52.03,52.18,51.66,52.01,883000,51.60
2012-10-19,52.50,52.59,51.87,52.09,1504200,51.68
2012-10-18,52.81,52.83,52.36,52.50,1737200,52.09
2012-10-17,52.15,52.86,52.15,52.85,1653300,52.43
2012-10-16,51.81,52.17,51.80,52.07,1353800,51.66
2012-10-15,51.79,51.80,51.52,51.70,1078000,51.29
2012-10-12,51.76,52.01,51.58,51.73,979900,51.32
2012-10-11,51.76,51.90,51.59,51.60,888000,51.19
2012-10-10,51.73,51.88,51.27,51.43,1024800,51.02
2012-10-09,51.92,51.99,51.50,51.58,913400,51.17
2012-10-08,51.87,51.95,51.64,51.88,707100,51.47
2012-10-05,52.15,52.25,51.82,51.95,1144700,51.54
2012-10-04,51.82,52.00,51.73,51.88,735900,51.47
2012-10-03,52.03,52.04,51.63,51.81,1017300,51.40
2012-10-02,52.08,52.30,51.65,51.90,1354000,51.49
2012-10-01,51.49,52.26,51.45,51.93,2140000,51.52
2012-09-28,51.50,51.69,51.25,51.66,1635000,51.25
2012-09-27,51.70,51.81,51.45,51.65,1371000,51.24
2012-09-26,51.91,52.15,51.62,51.70,1497300,51.29
2012-09-25,52.00,52.15,51.80,51.86,2996500,51.45
2012-09-24,51.48,51.81,51.28,51.73,2109500,51.32
2012-09-21,51.33,51.52,51.16,51.45,2803800,51.04
2012-09-20,50.91,51.45,50.91,51.27,2286700,50.87
2012-09-19,50.43,51.15,50.40,50.94,2071700,50.54
2012-09-18,50.53,50.53,50.25,50.30,1289800,49.90
2012-09-17,50.21,50.51,50.21,50.47,1363700,50.07
2012-09-14,50.75,50.77,49.93,50.19,2874000,49.79
2012-09-13,50.22,50.94,50.03,50.82,1912200,50.42
2012-09-12,50.49,50.59,50.19,50.37,978000,49.97
