Date,Open,High,Low,Close,Volume,Adj Close
2009-12-24,14.15,14.15,14.02,14.08,1491000,13.28
2009-12-23,14.05,14.46,13.82,14.05,6212900,13.25
2009-12-22,13.01,13.98,12.91,13.80,6517200,13.01
2009-12-21,13.20,13.20,12.74,12.91,5356600,12.17
2009-12-18,13.26,13.45,12.54,13.09,20480200,12.34
2009-12-17,13.40,13.54,13.16,13.29,4996300,12.53
2009-12-16,12.86,13.76,12.81,13.59,8862500,12.82
2009-12-15,13.06,13.15,12.77,12.82,4482100,12.09
2009-12-14,13.35,13.35,13.05,13.21,2809500,12.46
2009-12-11,12.98,13.29,12.86,13.27,3838700,12.51
2009-12-10,13.14,13.23,12.89,12.94,1762100,12.20
2009-12-09,13.15,13.18,12.90,13.06,2288500,12.32
2009-12-08,13.11,13.37,12.97,13.05,2533700,12.31
2009-12-07,13.66,13.68,13.10,13.19,3605900,12.44
2009-12-04,13.69,13.85,13.32,13.60,4192700,12.83
2009-12-03,13.81,13.81,13.37,13.41,5377200,12.65
2009-12-02,14.18,14.22,13.64,13.77,5136000,12.99
2009-12-01,13.65,14.02,13.56,13.69,4030100,12.91
2009-11-30,13.67,13.77,13.37,13.55,2447900,12.78
2009-11-27,13.48,13.85,13.41,13.62,1406500,12.84
2009-11-25,13.78,14.00,13.67,13.87,2238800,13.08
2009-11-24,14.07,14.07,13.64,13.73,3585200,12.95
2009-11-23,14.32,14.57,13.80,14.01,4588900,13.21
2009-11-20,14.27,14.44,13.97,14.12,4369000,13.32
2009-11-19,14.84,14.84,14.21,14.62,3848300,13.79
2009-11-18,14.79,15.30,14.71,14.89,3090500,14.04
2009-11-17,15.05,15.23,14.78,14.93,2756400,14.08
2009-11-16,15.19,15.47,15.09,15.23,2735800,14.36
2009-11-13,15.13,15.35,14.84,14.99,3056800,14.14
2009-11-12,15.73,15.73,14.95,15.07,4629800,14.21
2009-11-11,15.13,15.74,15.05,15.66,7342300,14.77
2009-11-10,15.19,15.34,14.54,14.68,4514400,13.84
2009-11-09,15.01,15.21,14.81,15.18,4634900,14.31
2009-11-06,14.88,15.53,14.64,14.91,5521600,14.06
2009-11-05,15.31,15.95,14.85,15.14,4454800,14.28
2009-11-04,15.11,15.66,14.91,15.05,5509700,14.19
2009-11-03,14.02,14.97,14.00,14.93,4436200,14.08
2009-11-02,14.29,14.72,13.62,14.29,5489300,13.42
2009-10-30,14.75,14.93,14.00,14.18,4729200,13.31
2009-10-29,14.28,15.06,14.14,14.67,5447000,13.77
2009-10-28,14.98,15.02,13.95,14.02,6451900,13.16
2009-10-27,15.51,15.82,15.05,15.11,4856800,14.19
2009-10-26,15.89,16.21,15.16,15.45,4375800,14.51
2009-10-23,16.26,16.82,15.29,15.80,7233300,14.83
2009-10-22,15.08,16.49,14.86,16.17,7431100,15.18
2009-10-21,15.26,15.72,15.00,15.04,3197600,14.12
2009-10-20,15.30,15.69,15.02,15.32,3541000,14.38
2009-10-19,16.00,16.05,15.37,15.46,3824700,14.51
2009-10-16,15.96,16.08,15.60,15.82,3406700,14.85
2009-10-15,16.06,16.12,15.86,16.09,3532700,15.11
2009-10-14,16.06,16.24,15.52,16.08,5143500,15.10
2009-10-13,15.15,15.98,15.06,15.63,7105600,14.67
2009-10-12,15.65,15.94,15.10,15.17,12927000,14.24
2009-10-09,16.04,16.54,15.63,16.46,5644500,15.45
2009-10-08,15.43,16.73,15.25,16.05,10019400,15.07
2009-10-07,15.42,15.43,14.84,15.19,6120900,14.26
2009-10-06,15.25,15.83,15.08,15.43,5002400,14.49
2009-10-05,15.43,15.60,14.93,15.22,4685400,14.29
2009-10-02,15.22,15.57,14.90,15.19,6278300,14.26
2009-10-01,16.15,16.22,15.39,15.44,7369100,14.50
2009-09-30,17.27,17.33,16.35,16.61,5350400,15.59
2009-09-29,17.06,17.45,17.05,17.17,4757800,16.12
2009-09-28,17.11,17.25,16.78,16.90,4868700,15.87
2009-09-25,17.50,17.97,16.69,16.96,11409500,15.92
2009-09-24,19.14,19.27,18.13,18.54,6736100,17.41
2009-09-23,19.73,19.81,18.78,18.83,5391300,17.68
2009-09-22,20.08,20.20,19.52,19.85,3847400,18.64
2009-09-21,20.08,20.10,19.14,19.77,3268300,18.56
2009-09-18,20.30,20.54,19.82,20.21,8177400,18.97
2009-09-17,20.58,20.70,19.28,19.69,4705500,18.49
2009-09-16,20.02,20.65,20.02,20.51,4252300,19.26
2009-09-15,19.01,19.85,19.01,19.82,3247700,18.61
2009-09-14,18.47,19.03,18.22,18.99,3003500,17.83
2009-09-11,19.46,19.50,18.50,18.70,4483100,17.56
2009-09-10,18.60,19.51,18.28,19.45,4186100,18.26
2009-09-09,18.42,18.70,18.10,18.55,2559500,17.42
2009-09-08,17.78,18.50,17.52,18.45,3738600,17.32
2009-09-04,17.49,17.74,17.06,17.70,2158500,16.62
2009-09-03,17.07,17.39,16.57,17.33,3327200,16.27
2009-09-02,17.36,17.62,16.88,16.93,3988900,15.89
2009-09-01,18.06,18.83,17.36,17.47,2779400,16.40
2009-08-31,17.92,18.31,17.84,18.21,3423700,17.10
2009-08-28,18.08,18.41,17.77,18.20,2140800,17.09
2009-08-27,18.00,18.19,17.21,18.00,3195800,16.90
2009-08-26,18.15,18.78,17.81,18.23,3631200,17.12
2009-08-25,17.85,18.51,17.74,18.08,3877700,16.97
2009-08-24,17.93,18.00,17.35,17.50,3001100,16.43
2009-08-21,17.45,17.99,17.34,17.73,3497200,16.65
2009-08-20,16.70,17.42,16.69,17.22,1919200,16.17
2009-08-19,16.50,17.08,16.44,16.83,1781000,15.80
2009-08-18,16.57,17.07,16.14,17.00,2917700,15.96
2009-08-17,16.67,16.69,16.31,16.42,2557900,15.42
2009-08-14,17.62,17.71,16.91,17.08,2995100,16.04
2009-08-13,18.10,18.13,17.27,17.83,3898400,16.74
2009-08-12,18.52,19.00,18.03,18.28,3181700,17.16
2009-08-11,17.57,17.87,17.03,17.77,3152900,16.68
2009-08-10,18.36,18.45,17.47,17.60,2747800,16.52
2009-08-07,17.57,18.83,17.54,18.47,4359800,17.34
2009-08-06,18.09,18.24,17.08,17.22,3938800,16.17
2009-08-05,17.66,18.08,17.19,17.94,3223900,16.84
2009-08-04,17.06,18.04,16.48,17.66,3762700,16.58
2009-08-03,16.96,17.47,16.69,17.23,3850900,16.12
2009-07-31,16.54,16.89,16.32,16.69,2537900,15.61
2009-07-30,16.71,16.84,16.16,16.46,3286100,15.40
2009-07-29,16.43,16.81,16.21,16.44,2527700,15.38
2009-07-28,16.39,17.04,16.38,16.76,4411100,15.68
2009-07-27,16.44,17.04,16.01,16.75,6591400,15.67
2009-07-24,15.70,16.37,15.58,16.21,6054000,15.16
2009-07-23,15.14,16.39,15.01,16.00,6002500,14.97
2009-07-22,14.21,15.31,13.92,15.03,5012100,14.06
2009-07-21,14.25,14.47,13.86,14.16,2428600,13.25
2009-07-20,14.27,14.73,14.03,14.28,4139800,13.36
2009-07-17,13.86,14.58,13.85,14.26,4940500,13.34
2009-07-16,13.24,13.79,13.00,13.68,2623100,12.80
2009-07-15,13.07,13.37,12.95,13.27,2518700,12.41
2009-07-14,12.44,12.88,12.13,12.75,4176700,11.93
2009-07-13,12.48,12.58,12.15,12.54,5015100,11.73
2009-07-10,12.26,12.50,12.00,12.35,4022200,11.55
2009-07-09,11.65,12.57,11.65,12.44,6184200,11.64
2009-07-08,11.79,11.89,11.15,11.38,6153400,10.65
2009-07-07,12.10,12.25,11.71,11.82,4868100,11.06
2009-07-06,12.79,12.79,11.92,12.14,6659400,11.36
2009-07-02,13.21,13.23,12.75,12.93,3966900,12.10
2009-07-01,13.81,13.82,13.27,13.31,6830500,12.45
2009-06-30,14.12,14.40,13.64,13.68,5243300,12.80
2009-06-29,13.85,14.40,13.37,14.11,7090800,13.20
2009-06-26,14.84,14.84,13.30,13.42,12786100,12.55
2009-06-25,13.79,14.89,13.79,14.77,5960900,13.82
2009-06-24,13.90,14.41,13.49,13.64,5211100,12.76
2009-06-23,13.75,14.12,13.29,13.74,5687200,12.85
2009-06-22,13.17,13.89,13.17,13.60,5398200,12.72
2009-06-19,13.44,13.63,13.27,13.41,3142100,12.54
2009-06-18,13.48,13.57,12.98,13.19,5062700,12.34
2009-06-17,13.30,13.75,12.71,13.56,4981200,12.68
2009-06-16,13.74,13.84,13.00,13.25,4737800,12.39
2009-06-15,13.63,13.72,13.13,13.24,4969900,12.39
2009-06-12,14.36,14.50,13.82,14.09,3030700,13.18
2009-06-11,14.90,14.96,14.35,14.45,2613300,13.52
2009-06-10,15.51,15.51,14.56,14.88,3718300,13.92
2009-06-09,14.35,15.34,14.35,15.19,4013100,14.21
2009-06-08,14.06,14.55,13.82,14.35,3384600,13.42
2009-06-05,14.59,14.84,14.00,14.12,4059400,13.21
2009-06-04,14.55,14.65,13.89,14.36,4541000,13.43
2009-06-03,15.44,15.45,14.32,14.54,3134400,13.60
2009-06-02,15.01,15.78,14.79,15.51,3964400,14.51
2009-06-01,15.38,15.60,14.85,15.10,3759000,14.12
2009-05-29,14.74,15.78,14.53,15.00,6268500,14.03
2009-05-28,15.32,15.71,13.89,14.33,6203300,13.40
2009-05-27,15.64,16.52,15.15,15.22,6195300,14.24
2009-05-26,14.43,15.63,14.34,15.50,3976200,14.50
2009-05-22,15.04,15.07,14.51,14.64,2596800,13.69
2009-05-21,15.31,15.38,14.78,15.01,3992600,14.04
2009-05-20,16.56,17.12,15.46,15.58,4388300,14.57
2009-05-19,16.41,17.05,16.18,16.29,4300100,15.24
2009-05-18,16.34,17.02,16.00,16.83,4434300,15.74
2009-05-15,15.86,16.58,15.46,15.56,4055000,14.56
2009-05-14,15.32,16.71,14.84,15.82,5354800,14.80
2009-05-13,15.44,15.60,15.10,15.31,5889900,14.32
2009-05-12,16.68,16.68,15.34,15.86,3993400,14.84
2009-05-11,16.90,17.10,16.27,16.36,3597400,15.30
2009-05-08,16.44,17.11,15.44,17.11,5131100,16.01
2009-05-07,18.18,18.44,15.86,16.09,6949700,15.05
2009-05-06,19.56,19.56,17.25,18.04,5760800,16.88
2009-05-05,19.37,19.61,18.72,19.13,4488000,17.89
2009-05-04,17.89,19.57,17.89,19.50,5077500,18.18
2009-05-01,18.13,18.46,17.19,17.47,3777200,16.29
2009-04-30,19.22,19.24,18.01,18.07,5227600,16.85
2009-04-29,18.42,19.19,18.15,18.73,4523800,17.46
2009-04-28,17.85,18.65,17.50,18.12,3924600,16.90
2009-04-27,17.97,19.09,17.65,18.12,5505000,16.90
2009-04-24,17.43,18.59,17.03,18.38,6455200,17.14
2009-04-23,17.52,18.16,16.45,17.39,4934800,16.21
2009-04-22,16.92,18.17,16.69,17.50,6297700,16.32
2009-04-21,15.72,17.21,15.32,17.13,5277700,15.97
2009-04-20,17.02,17.05,15.69,15.81,4706900,14.74
2009-04-17,16.22,17.57,16.22,17.45,7193000,16.27
2009-04-16,15.80,16.50,15.27,16.28,4766600,15.18
2009-04-15,14.05,16.27,14.05,15.75,8912000,14.69
2009-04-14,14.67,15.02,13.90,14.25,3457400,13.29
2009-04-13,14.34,14.99,14.22,14.83,3369500,13.83
2009-04-09,14.01,14.77,13.68,14.77,4072500,13.77
2009-04-08,14.50,14.51,13.11,13.51,5445000,12.60
2009-04-07,14.11,14.38,13.43,13.50,3678600,12.59
2009-04-06,14.51,14.56,14.08,14.44,4343000,13.46
2009-04-03,14.39,14.96,13.95,14.76,4907500,13.76
2009-04-02,13.51,15.09,13.51,14.55,7490700,13.57
2009-04-01,12.75,14.17,12.66,13.55,6623600,12.63
2009-03-31,14.11,14.14,12.72,13.18,7022300,12.29
2009-03-30,14.41,14.52,13.22,13.75,9206300,12.82
2009-03-27,14.32,15.86,14.21,15.05,16067600,14.03
2009-03-26,13.46,14.40,13.46,14.16,7079100,13.20
2009-03-25,13.05,14.61,12.68,13.38,9741900,12.48
2009-03-24,12.76,13.37,12.58,12.87,4048400,12.00
2009-03-23,11.74,13.04,11.44,12.98,5464400,12.10
2009-03-20,11.91,12.11,11.17,11.25,4012000,10.49
2009-03-19,12.75,12.77,11.65,11.78,5334500,10.98
2009-03-18,11.02,12.75,10.59,12.28,7764200,11.45
2009-03-17,10.56,11.14,10.16,11.12,4372800,10.37
2009-03-16,10.98,11.19,10.07,10.17,3816200,9.48
2009-03-13,10.99,11.20,10.21,10.85,4524500,10.12
2009-03-12,9.67,10.94,9.42,10.85,4775000,10.12
2009-03-11,9.74,10.09,9.46,9.70,3828100,9.04
2009-03-10,8.80,9.73,8.43,9.65,5084300,9.00
2009-03-09,8.01,8.98,8.00,8.35,5829100,7.79
2009-03-06,8.10,8.43,7.85,8.27,5268200,7.71
2009-03-05,8.13,8.39,7.89,8.14,4411300,7.59
2009-03-04,8.38,8.55,8.03,8.33,3871300,7.77
2009-03-03,8.70,8.88,8.03,8.11,4077300,7.56
2009-03-02,8.68,9.18,8.33,8.53,4444500,7.95
2009-02-27,9.25,9.66,8.80,8.90,6464000,8.30
2009-02-26,10.26,10.40,9.38,9.54,4367500,8.90
2009-02-25,9.98,10.30,9.30,9.83,5859700,9.17
2009-02-24,9.33,10.78,9.20,10.16,6624000,9.47
2009-02-23,9.46,9.70,8.93,9.19,4366800,8.57
2009-02-20,8.84,9.51,8.70,9.29,10363300,8.66
2009-02-19,10.75,11.04,9.13,9.20,7634500,8.58
2009-02-18,11.34,11.68,10.43,10.63,4826200,9.91
2009-02-17,11.25,11.50,10.70,11.28,4008600,10.52
2009-02-13,11.51,11.91,11.13,11.76,5032600,10.97
2009-02-12,12.00,12.00,10.75,11.59,6337800,10.81
2009-02-11,12.28,12.78,11.73,12.26,5059700,11.43
2009-02-10,13.12,13.87,11.87,12.07,6093700,11.25
2009-02-09,13.53,13.95,12.96,13.50,4015700,12.59
2009-02-06,12.12,14.58,12.12,13.99,9053600,13.04
2009-02-05,11.99,12.66,11.75,12.32,5456400,11.49
2009-02-04,12.45,12.69,11.84,11.98,4306000,11.17
2009-02-03,11.50,12.49,11.22,12.28,6992300,11.45
2009-02-02,10.68,11.58,10.40,11.17,5639100,10.36
2009-01-30,11.28,11.44,10.58,10.67,4365100,9.89
2009-01-29,12.26,12.49,11.14,11.26,5611400,10.44
2009-01-28,11.21,12.65,11.18,12.42,6398800,11.52
2009-01-27,11.66,11.87,10.91,10.95,4641100,10.15
2009-01-26,11.41,12.17,11.14,11.52,5428600,10.68
2009-01-23,10.87,11.63,10.61,11.42,5726300,10.59
2009-01-22,11.40,11.85,10.91,11.25,6368800,10.43
2009-01-21,12.03,12.13,10.70,11.79,6118800,10.93
2009-01-20,12.99,13.32,11.72,11.79,6338100,10.93
2009-01-16,12.56,13.25,11.96,12.91,6657300,11.97
2009-01-15,12.57,13.14,11.79,12.39,7220600,11.49
