Date,Open,High,Low,Close,Volume,Adj Close
2012-12-24,8.48,8.48,8.39,8.44,2053300,8.44
2012-12-21,8.44,8.50,8.37,8.44,12458400,8.44
2012-12-20,8.45,8.56,8.45,8.56,8435700,8.56
2012-12-19,8.56,8.57,8.45,8.45,8763100,8.45
2012-12-18,8.49,8.55,8.41,8.53,16314900,8.53
2012-12-17,8.18,8.40,8.16,8.39,10725500,8.39
2012-12-14,8.15,8.18,8.11,8.14,6573600,8.14
2012-12-13,8.21,8.23,8.10,8.14,12977600,8.14
2012-12-12,8.26,8.38,8.15,8.20,22134400,8.20
2012-12-11,8.19,8.26,8.18,8.23,10442400,8.23
2012-12-10,8.06,8.19,8.03,8.15,13956600,8.15
2012-12-07,7.95,8.12,7.93,8.11,13095000,8.11
2012-12-06,7.90,7.96,7.86,7.93,17072600,7.93
2012-12-05,7.94,7.98,7.82,7.92,14298100,7.92
2012-12-04,8.00,8.04,7.81,7.90,17498200,7.90
2012-12-03,8.15,8.16,7.98,7.99,17218500,7.99
2012-11-30,8.14,8.16,8.03,8.08,13364400,8.08
2012-11-29,8.23,8.28,8.08,8.12,14010700,8.12
2012-11-28,8.19,8.22,8.05,8.18,22054400,8.18
2012-11-27,8.43,8.46,8.23,8.23,13689000,8.23
2012-11-26,8.39,8.48,8.30,8.48,9714800,8.48
2012-11-23,8.33,8.45,8.30,8.45,2214700,8.45
2012-11-21,8.37,8.38,8.28,8.34,6875800,8.29
2012-11-20,8.20,8.36,8.14,8.36,10555700,8.31
2012-11-19,8.18,8.27,8.15,8.17,11547100,8.12
2012-11-16,8.04,8.12,7.96,8.03,14468300,7.98
2012-11-15,8.00,8.13,7.97,8.01,10455700,7.96
2012-11-14,8.20,8.26,8.01,8.04,10836500,7.99
2012-11-13,8.24,8.38,8.16,8.17,11135900,8.12
2012-11-12,8.31,8.36,8.27,8.29,5536000,8.24
2012-11-09,8.23,8.41,8.21,8.29,10897100,8.24
2012-11-08,8.30,8.44,8.25,8.25,10803100,8.20
2012-11-07,8.45,8.50,8.25,8.29,19228100,8.24
2012-11-06,8.49,8.64,8.45,8.59,12223600,8.54
2012-11-05,8.33,8.47,8.24,8.46,15334600,8.41
2012-11-02,8.56,8.57,8.35,8.37,14143300,8.32
2012-11-01,8.42,8.51,8.37,8.50,7366100,8.45
2012-10-31,8.42,8.51,8.35,8.42,8046800,8.37
2012-10-26,8.51,8.54,8.35,8.39,12780000,8.34
2012-10-25,8.48,8.55,8.38,8.53,10599000,8.48
2012-10-24,8.50,8.56,8.40,8.41,8345400,8.36
2012-10-23,8.49,8.57,8.42,8.43,20077800,8.38
2012-10-22,8.66,8.75,8.44,8.60,16501000,8.55
2012-10-19,8.76,8.80,8.67,8.74,13559500,8.69
2012-10-18,8.85,8.97,8.71,8.78,41255800,8.73
2012-10-17,8.29,8.45,8.26,8.41,21036600,8.36
2012-10-16,8.37,8.40,8.18,8.26,19459100,8.21
2012-10-15,8.41,8.42,8.27,8.35,17542400,8.30
2012-10-12,8.58,8.58,8.25,8.33,23431200,8.28
2012-10-11,8.68,8.70,8.61,8.63,13164500,8.58
2012-10-10,8.64,8.68,8.52,8.59,11191000,8.54
2012-10-09,8.76,8.77,8.61,8.61,11486600,8.56
2012-10-08,8.79,8.85,8.68,8.75,13095000,8.70
2012-10-05,8.98,9.01,8.85,8.88,9677100,8.83
2012-10-04,8.78,8.91,8.77,8.91,13375400,8.86
2012-10-03,8.73,8.80,8.68,8.75,20500200,8.70
2012-10-02,8.77,8.80,8.65,8.69,12329700,8.64
2012-10-01,8.78,8.88,8.70,8.71,10037500,8.66
2012-09-28,8.78,8.82,8.72,8.74,13587300,8.69
2012-09-27,8.77,8.89,8.72,8.81,6868100,8.76
2012-09-26,8.80,8.83,8.70,8.70,9969300,8.65
2012-09-25,8.96,8.99,8.77,8.77,11660700,8.72
2012-09-24,8.90,9.00,8.85,8.92,11983200,8.87
2012-09-21,9.10,9.12,8.91,8.91,10001400,8.86
2012-09-20,8.99,9.00,8.86,8.98,12817700,8.93
2012-09-19,8.94,9.09,8.89,9.04,15124400,8.99
2012-09-18,8.90,8.92,8.85,8.89,12330400,8.84
2012-09-17,9.05,9.06,8.90,8.91,14593200,8.86
2012-09-14,8.87,9.08,8.87,9.04,27297000,8.99
2012-09-13,8.69,8.87,8.60,8.83,14060200,8.78
2012-09-12,8.68,8.74,8.63,8.69,8673900,8.64
2012-09-11,8.63,8.69,8.58,8.65,9666500,8.60
2012-09-10,8.57,8.72,8.55,8.63,12866600,8.58
2012-09-07,8.57,8.73,8.54,8.61,17869100,8.56
2012-09-06,8.39,8.56,8.37,8.51,18833500,8.46
2012-09-05,8.38,8.40,8.30,8.31,8585900,8.26
2012-09-04,8.40,8.45,8.33,8.40,8779600,8.35
2012-08-31,8.44,8.45,8.35,8.43,10818800,8.38
2012-08-30,8.31,8.43,8.28,8.40,8580700,8.35
2012-08-29,8.31,8.39,8.30,8.36,6197500,8.31
2012-08-28,8.29,8.35,8.27,8.31,9655000,8.26
2012-08-27,8.40,8.40,8.28,8.31,9038200,8.26
2012-08-24,8.28,8.38,8.24,8.35,6453900,8.30
2012-08-23,8.33,8.40,8.30,8.34,11541000,8.24
2012-08-22,8.32,8.42,8.30,8.34,8831500,8.24
2012-08-21,8.36,8.45,8.32,8.33,9013900,8.23
2012-08-20,8.32,8.39,8.30,8.35,18473700,8.25
2012-08-17,8.38,8.40,8.34,8.36,14007500,8.26
2012-08-16,8.23,8.37,8.23,8.33,14958500,8.23
2012-08-15,8.23,8.28,8.16,8.23,8014900,8.13
2012-08-14,8.35,8.38,8.19,8.22,9118000,8.12
2012-08-13,8.31,8.34,8.23,8.25,6098900,8.15
2012-08-10,8.26,8.34,8.25,8.34,7344400,8.24
2012-08-09,8.29,8.35,8.27,8.33,8974300,8.23
2012-08-08,8.20,8.36,8.19,8.34,8601600,8.24
2012-08-07,8.26,8.33,8.23,8.25,7974600,8.15
2012-08-06,8.25,8.30,8.22,8.23,11693200,8.13
2012-08-03,8.05,8.26,8.03,8.24,14986000,8.14
