Date,Open,High,Low,Close,Volume,Adj Close
2012-12-26,19.52,19.57,19.37,19.46,1686300,19.46
2012-12-24,19.45,19.53,19.34,19.50,857900,19.50
2012-12-21,19.55,19.66,19.43,19.45,4632900,19.45
2012-12-20,19.39,19.66,19.31,19.66,2347700,19.66
2012-12-19,19.49,19.53,19.33,19.36,4746000,19.36
2012-12-18,19.34,19.49,19.28,19.48,3854800,19.48
2012-12-17,19.37,19.38,19.18,19.29,2964300,19.29
2012-12-14,19.18,19.33,19.16,19.29,4109200,19.29
2012-12-13,19.32,19.33,19.10,19.21,3622000,19.21
2012-12-12,19.45,19.49,19.24,19.33,3886000,19.33
2012-12-11,19.48,19.55,19.34,19.41,2395400,19.41
2012-12-10,19.60,19.60,19.35,19.42,3434000,19.42
2012-12-07,19.74,19.83,19.59,19.60,5188600,19.60
2012-12-06,19.51,19.81,19.46,19.71,6718500,19.71
2012-12-05,19.44,19.66,19.35,19.54,4903500,19.54
2012-12-04,19.24,19.56,19.24,19.48,3445200,19.48
2012-12-03,19.34,19.41,19.21,19.28,2423000,19.28
2012-11-30,19.00,19.26,19.00,19.26,4146800,19.26
2012-11-29,18.95,19.04,18.82,19.00,2555300,19.00
2012-11-28,18.81,18.96,18.67,18.84,2795500,18.84
2012-11-27,19.04,19.12,18.78,18.89,3376800,18.89
2012-11-26,19.05,19.33,18.97,19.17,2682200,19.17
2012-11-23,19.10,19.24,18.99,19.17,790800,19.17
2012-11-21,18.90,19.03,18.74,19.01,2358500,19.01
2012-11-20,18.75,18.91,18.62,18.91,2309700,18.91
2012-11-19,18.73,19.00,18.70,18.81,3929700,18.81
2012-11-16,18.27,18.60,18.19,18.56,3614700,18.56
2012-11-15,18.31,18.46,18.11,18.27,2346900,18.27
2012-11-14,18.73,18.75,18.26,18.32,2665200,18.32
2012-11-13,18.75,18.85,18.61,18.70,3468400,18.70
2012-11-12,18.92,19.01,18.76,18.87,2176600,18.87
2012-11-09,18.87,19.14,18.81,18.94,4236900,18.94
2012-11-08,19.31,19.38,18.93,18.94,3495900,18.94
2012-11-07,19.45,19.48,19.21,19.36,4448200,19.36
2012-11-06,19.49,19.63,19.31,19.47,3200900,19.47
2012-11-05,19.61,19.62,19.20,19.43,2994700,19.43
2012-11-02,19.68,19.78,19.58,19.59,5466200,19.59
2012-11-01,19.51,19.63,19.37,19.51,4653100,19.51
2012-10-31,19.63,19.74,19.40,19.52,5379100,19.52
2012-10-26,19.80,19.82,19.46,19.63,2956600,19.63
2012-10-25,20.08,20.16,19.56,19.78,3013800,19.78
2012-10-24,20.11,20.23,19.87,19.94,2830600,19.94
2012-10-23,20.27,20.30,19.98,20.00,3927500,20.00
2012-10-22,20.52,20.62,20.24,20.47,2089900,20.47
2012-10-19,20.81,20.95,20.51,20.58,2625900,20.58
2012-10-18,20.59,20.87,20.56,20.85,2533000,20.85
2012-10-17,20.57,20.63,20.42,20.61,3316000,20.61
2012-10-16,20.54,20.62,20.50,20.57,2525900,20.57
2012-10-15,20.29,20.44,20.10,20.44,2373700,20.44
2012-10-12,20.29,20.49,20.23,20.27,2824100,20.27
2012-10-11,20.42,20.48,20.32,20.32,2743900,20.32
2012-10-10,20.21,20.31,20.10,20.25,2283400,20.25
2012-10-09,20.19,20.32,20.17,20.20,2468800,20.20
2012-10-08,20.15,20.24,20.08,20.19,2155400,20.19
2012-10-05,20.18,20.42,20.12,20.25,3548100,20.25
2012-10-04,20.24,20.28,20.00,20.11,3251600,20.11
2012-10-03,19.92,20.22,19.91,20.13,3809300,20.13
2012-10-02,19.86,19.99,19.76,19.88,2616000,19.88
2012-10-01,20.24,20.29,19.64,19.82,3627000,19.82
2012-09-28,20.24,20.42,20.11,20.27,4977600,20.08
2012-09-27,20.31,20.58,20.26,20.34,2650700,20.15
2012-09-26,20.29,20.44,20.20,20.23,2847800,20.04
2012-09-25,20.61,20.69,20.25,20.25,3681300,20.06
2012-09-24,20.61,20.74,20.44,20.59,2004600,20.40
