Date,Open,High,Low,Close,Volume,Adj Close
2013-01-07,48.65,48.72,47.88,48.63,1548000,48.63
2013-01-04,49.16,49.34,48.77,48.98,1332300,48.98
2013-01-03,50.00,50.18,48.88,49.14,2237900,49.14
2013-01-02,48.81,49.70,48.73,49.57,1837500,49.57
2012-12-31,47.13,47.76,46.76,47.76,1032300,47.76
2012-12-28,47.20,47.64,46.97,47.02,937900,47.02
2012-12-27,47.70,47.80,46.75,47.43,1491400,47.43
2012-12-26,48.00,48.25,47.54,47.68,798700,47.68
2012-12-24,48.08,48.79,47.73,47.81,570400,47.81
2012-12-21,47.90,48.40,47.07,48.37,2375900,48.37
2012-12-20,48.06,48.70,47.71,48.51,1367400,48.51
2012-12-19,47.92,48.29,47.73,47.92,1066100,47.92
2012-12-18,47.37,47.89,47.12,47.84,1258000,47.84
2012-12-17,47.27,47.75,46.72,47.35,1464600,47.35
2012-12-14,46.67,47.55,46.35,47.18,1866700,47.18
2012-12-13,47.04,47.34,46.25,46.61,1334700,46.61
2012-12-12,47.67,47.72,46.99,47.08,1275200,47.08
2012-12-11,47.69,47.90,47.30,47.42,1561100,47.42
2012-12-10,47.14,47.81,47.14,47.42,1441900,47.42
2012-12-07,47.09,47.28,46.66,47.19,1208700,47.19
2012-12-06,46.42,47.06,46.42,46.96,1168500,46.96
2012-12-05,47.19,47.33,46.28,46.40,2219400,46.40
2012-12-04,45.42,47.23,45.22,47.19,3157200,47.19
2012-12-03,45.72,45.88,45.14,45.39,1897600,45.39
2012-11-30,45.66,45.70,44.96,45.47,2263600,45.47
2012-11-29,45.64,45.88,45.21,45.57,1329800,45.57
2012-11-28,44.56,45.55,43.85,45.53,2332200,45.53
2012-11-27,45.09,45.20,44.66,44.74,1664700,44.74
2012-11-26,44.96,45.37,44.69,45.12,1695100,45.12
2012-11-23,44.50,45.35,44.47,45.17,732100,45.17
2012-11-21,44.33,44.36,44.02,44.13,979000,44.13
2012-11-20,44.16,44.54,43.79,44.33,1924500,44.33
2012-11-19,44.42,44.78,43.99,44.25,2543100,44.25
2012-11-16,44.14,44.49,43.21,44.33,3017500,44.33
2012-11-15,44.81,45.07,43.75,43.97,3959500,43.97
2012-11-14,46.50,46.68,45.06,45.13,3009300,44.73
2012-11-13,47.23,47.44,46.05,46.07,2721400,45.66
2012-11-12,47.05,48.00,46.84,47.60,2710700,47.18
2012-11-09,45.65,46.60,45.60,46.24,3419400,45.83
2012-11-08,46.83,46.92,45.52,45.66,3518800,45.26
2012-11-07,48.36,48.51,46.74,46.92,2557900,46.50
2012-11-06,48.48,48.90,48.19,48.90,2942200,48.47
2012-11-05,47.71,48.48,47.48,48.23,1909500,47.80
2012-11-02,48.61,48.71,47.53,47.90,2824400,47.48
2012-11-01,46.92,48.79,46.68,48.72,2340900,48.29
2012-10-31,46.71,47.00,45.88,46.55,2608900,46.14
2012-10-26,46.83,48.30,46.20,46.63,4279000,46.22
2012-10-25,47.29,47.48,46.22,47.14,4546500,46.72
2012-10-24,46.75,47.34,46.58,47.13,2775300,46.71
2012-10-23,46.28,46.88,45.81,46.60,2808400,46.19
2012-10-22,45.77,47.01,45.72,46.94,2574000,46.52
2012-10-19,46.58,46.64,45.42,45.58,2255900,45.18
2012-10-18,45.88,46.63,45.56,46.57,3292500,46.16
2012-10-17,46.02,47.12,45.60,45.73,3419900,45.32
2012-10-16,45.88,46.59,45.53,46.31,2363100,45.90
2012-10-15,45.38,45.96,45.17,45.76,2523800,45.35
2012-10-12,44.90,45.77,44.70,45.15,2205000,44.75
2012-10-11,45.62,45.75,44.88,44.90,2813000,44.50
2012-10-10,46.38,46.44,45.44,45.55,2455500,45.15
2012-10-09,46.82,47.06,46.20,46.47,2200900,46.06
2012-10-08,46.87,46.97,46.48,46.84,1336800,46.42
2012-10-05,47.41,48.02,47.06,47.12,1245900,46.70
2012-10-04,47.39,47.67,47.06,47.15,1670100,46.73
2012-10-03,47.63,47.77,47.10,47.18,1892600,46.76
2012-10-02,47.33,47.57,46.86,47.55,1993300,47.13
2012-10-01,48.00,48.94,47.21,47.29,3307800,46.87
2012-09-28,47.58,48.10,47.04,47.71,3175700,47.29
2012-09-27,47.06,47.98,46.62,47.90,3198300,47.48
2012-09-26,46.96,46.98,46.42,46.84,3244900,46.42
2012-09-25,47.50,47.79,46.66,46.85,2951300,46.43
2012-09-24,47.53,47.61,46.89,47.13,1987500,46.71
2012-09-21,47.42,47.94,47.41,47.66,2592600,47.24
2012-09-20,48.19,48.19,47.39,47.59,3402400,47.17
2012-09-19,49.19,49.35,48.28,48.43,6282400,48.00
2012-09-18,51.86,51.86,50.75,50.85,2325100,50.40
2012-09-17,51.86,52.21,51.40,51.85,1864600,51.39
2012-09-14,51.73,52.99,51.48,52.48,1771900,52.01
2012-09-13,51.48,51.64,50.74,51.48,2710700,51.02
2012-09-12,52.19,52.68,51.44,51.49,1814300,51.03
