Date,Open,High,Low,Close,Volume,Adj Close
2009-12-24,21.81,21.99,21.52,21.93,481900,21.93
2009-12-23,21.50,21.70,21.14,21.57,867000,21.57
2009-12-22,21.19,21.60,21.05,21.56,1688300,21.56
2009-12-21,20.75,21.17,20.75,21.09,1816500,21.09
2009-12-18,20.30,20.74,20.14,20.66,7886900,20.66
2009-12-17,20.61,20.63,20.11,20.48,2127500,20.48
2009-12-16,20.72,21.19,20.72,20.93,1612400,20.93
2009-12-15,21.15,21.18,20.61,20.66,1661500,20.66
2009-12-14,21.36,21.44,20.88,21.08,1626400,21.08
2009-12-11,21.24,21.62,21.10,21.11,1922300,21.11
2009-12-10,21.17,21.50,20.98,21.39,2426300,21.39
2009-12-09,20.80,21.07,20.50,20.91,1807400,20.91
2009-12-08,20.74,21.09,20.50,20.86,1653200,20.86
2009-12-07,20.63,21.15,20.57,20.96,2976800,20.96
2009-12-04,19.91,20.60,19.91,20.53,3194900,20.53
2009-12-03,19.93,20.45,19.86,19.87,1917900,19.87
2009-12-02,19.48,19.80,19.38,19.77,2916100,19.77
2009-12-01,19.35,19.77,19.06,19.31,3255400,19.31
2009-11-30,19.40,19.70,18.75,19.29,4082700,19.29
2009-11-27,19.67,20.14,19.52,19.78,912200,19.78
2009-11-25,20.13,20.44,19.87,20.17,2152300,20.17
2009-11-24,20.60,20.68,19.79,20.13,3346200,20.13
2009-11-23,21.00,21.24,20.57,20.63,1511600,20.63
2009-11-20,20.67,20.92,20.34,20.39,1985200,20.39
2009-11-19,21.30,21.37,20.74,20.95,1947800,20.95
2009-11-18,21.43,21.48,21.20,21.46,2895000,21.46
2009-11-17,21.79,21.87,21.35,21.53,2788200,21.53
2009-11-16,21.42,22.00,21.34,21.80,4078600,21.80
2009-11-13,20.75,21.54,20.31,21.26,15413300,21.26
2009-11-12,23.48,23.72,22.89,23.10,1501400,23.10
2009-11-11,23.15,23.84,23.11,23.54,1329200,23.54
2009-11-10,22.59,23.12,22.55,23.03,1417900,23.03
2009-11-09,21.79,22.55,21.79,22.55,1555200,22.55
2009-11-06,21.63,22.01,21.40,21.77,1108100,21.77
2009-11-05,21.36,22.13,21.22,21.82,1709300,21.82
2009-11-04,20.82,21.64,20.80,21.01,1631200,21.01
2009-11-03,20.43,20.85,20.03,20.81,1832200,20.81
2009-11-02,20.48,20.99,20.19,20.61,2206700,20.61
2009-10-30,21.28,21.34,20.28,20.53,2101900,20.53
2009-10-29,20.90,21.66,20.78,21.34,1162400,21.34
2009-10-28,21.43,21.59,20.66,20.74,1602000,20.74
2009-10-27,21.41,22.05,21.39,21.55,1635100,21.55
2009-10-26,21.77,22.35,21.30,21.35,1224600,21.35
2009-10-23,22.70,22.76,21.76,21.80,1713400,21.80
2009-10-22,22.38,22.84,22.01,22.76,1322500,22.76
2009-10-21,22.72,23.11,22.27,22.33,1328800,22.33
2009-10-20,22.85,22.94,22.44,22.76,1120400,22.76
2009-10-19,22.83,23.04,22.45,22.94,1781900,22.94
2009-10-16,23.00,23.00,22.36,22.69,1675600,22.69
2009-10-15,22.61,23.19,22.41,23.17,2053600,23.17
2009-10-14,22.91,22.91,22.51,22.73,1872500,22.73
2009-10-13,22.13,22.61,21.91,22.44,1018100,22.44
2009-10-12,22.53,22.79,21.97,22.21,1356400,22.21
2009-10-09,21.94,22.64,21.74,22.64,1620900,22.64
2009-10-08,21.87,22.56,21.86,21.95,2199500,21.95
2009-10-07,21.49,21.65,21.12,21.56,1045400,21.56
2009-10-06,21.59,22.06,21.35,21.52,1436200,21.52
2009-10-05,20.83,21.58,20.83,21.54,1678800,21.54
2009-10-02,20.70,21.15,20.41,20.84,2023800,20.84
2009-10-01,22.22,22.23,20.80,20.89,4782800,20.89
2009-09-30,23.17,23.28,22.42,22.57,2491000,22.57
2009-09-29,24.06,24.24,22.88,23.14,1729200,23.14
2009-09-28,23.48,24.01,23.45,24.00,1157400,24.00
2009-09-25,23.20,23.55,22.98,23.39,1406100,23.39
2009-09-24,24.01,24.13,23.04,23.25,2097400,23.25
2009-09-23,24.60,24.88,23.81,23.83,3126800,23.83
2009-09-22,24.76,25.01,24.40,24.46,935300,24.46
2009-09-21,24.39,24.72,24.24,24.58,837900,24.58
2009-09-18,24.65,24.93,24.35,24.49,1478600,24.49
