Date,Open,High,Low,Close,Volume,Adj Close
2009-12-24,20.43,20.49,20.33,20.45,179400,17.67
2009-12-23,20.57,20.57,20.20,20.42,512000,17.64
2009-12-22,20.25,20.49,20.10,20.47,815100,17.69
2009-12-21,20.01,20.15,19.85,20.12,1043200,17.39
2009-12-18,20.09,20.17,19.64,19.97,2458400,17.26
2009-12-17,20.00,20.19,19.94,20.01,862900,17.29
2009-12-16,19.95,20.27,19.88,20.16,1234200,17.42
2009-12-15,20.05,20.05,19.72,19.80,867200,17.11
2009-12-14,20.49,20.49,19.94,20.10,1705900,17.37
2009-12-11,19.88,20.32,19.59,20.25,2194000,17.50
2009-12-10,20.10,20.18,19.77,19.82,1631300,16.90
2009-12-09,19.78,20.01,19.70,19.97,936800,17.03
2009-12-08,19.83,19.94,19.59,19.83,945500,16.91
2009-12-07,20.07,20.16,19.85,19.96,820700,17.02
2009-12-04,19.91,20.15,19.72,20.03,1298200,17.08
2009-12-03,20.02,20.18,19.68,19.74,1151100,16.83
2009-12-02,20.05,20.16,19.93,20.04,1382500,17.09
2009-12-01,19.67,20.05,19.55,19.98,2279900,17.04
2009-11-30,19.65,19.65,19.15,19.46,1382400,16.59
2009-11-27,19.52,19.72,19.34,19.57,662600,16.69
2009-11-25,19.89,20.01,19.75,20.00,1161100,17.06
2009-11-24,19.72,19.83,19.49,19.78,1301300,16.87
2009-11-23,19.68,19.98,19.63,19.70,1536100,16.80
2009-11-20,19.50,19.63,19.42,19.53,1315400,16.65
2009-11-19,19.98,19.98,19.52,19.62,1192000,16.73
2009-11-18,19.99,20.19,19.94,20.07,1434400,17.11
2009-11-17,20.25,20.25,19.91,20.12,1585500,17.16
2009-11-16,20.02,20.17,19.93,20.12,1941800,17.16
2009-11-13,19.69,19.93,19.43,19.85,2074700,16.93
2009-11-12,19.83,20.05,19.56,19.68,2691000,16.78
2009-11-11,20.02,20.13,19.81,19.83,1640400,16.91
2009-11-10,19.52,19.90,19.50,19.81,1822400,16.89
2009-11-09,19.54,19.74,19.51,19.57,1888100,16.69
2009-11-06,19.50,19.73,19.23,19.44,1255000,16.58
2009-11-05,19.42,19.71,19.36,19.56,1621700,16.68
2009-11-04,19.57,19.71,19.21,19.29,1727700,16.45
2009-11-03,19.12,19.61,19.12,19.43,1751900,16.57
2009-11-02,19.46,19.76,19.10,19.27,2019200,16.43
2009-10-30,19.69,19.74,19.07,19.33,3164200,16.48
2009-10-29,19.72,19.85,19.51,19.75,3533700,16.84
2009-10-28,20.60,20.60,19.45,19.47,3105500,16.60
2009-10-27,20.83,21.07,20.57,20.59,2172200,17.56
2009-10-26,20.78,21.44,20.73,20.76,2903000,17.70
2009-10-23,20.24,21.28,20.12,20.82,6073900,17.75
2009-10-22,19.21,20.17,19.00,19.41,3242900,16.55
2009-10-21,19.29,19.88,19.26,19.26,1374300,16.42
2009-10-20,19.93,19.94,19.24,19.35,1614400,16.50
2009-10-19,19.82,20.03,19.65,19.97,835800,17.03
2009-10-16,19.79,19.90,19.51,19.73,1302300,16.82
