Date,Open,High,Low,Close,Volume,Adj Close
2012-12-26,77.75,77.87,76.66,76.99,613300,76.99
2012-12-24,77.61,77.74,76.93,77.59,246500,77.59
2012-12-21,76.60,77.79,76.60,77.77,1251300,77.77
2012-12-20,76.22,77.91,76.17,77.91,727000,77.91
2012-12-19,76.95,77.00,76.21,76.33,739900,76.33
2012-12-18,76.01,77.04,75.88,77.03,835900,77.03
2012-12-17,75.33,75.90,74.86,75.88,767700,75.88
2012-12-14,75.38,75.65,74.95,75.28,717500,75.28
2012-12-13,76.09,76.15,75.48,75.51,612800,75.51
2012-12-12,76.93,77.00,76.01,76.14,969400,76.14
2012-12-11,76.79,77.03,76.30,76.61,723000,76.61
2012-12-10,76.56,77.05,76.12,76.65,1041300,76.65
2012-12-07,76.65,76.81,75.89,76.65,839900,76.65
2012-12-06,75.96,76.48,75.35,76.26,811400,76.26
2012-12-05,75.90,76.65,75.24,76.18,647200,76.18
2012-12-04,76.38,76.64,75.65,75.99,797500,75.99
2012-12-03,77.05,77.20,75.92,76.44,614300,76.44
2012-11-30,77.31,77.69,76.67,76.85,1030500,76.85
2012-11-29,77.49,77.70,76.68,77.45,458000,77.45
2012-11-28,76.13,77.33,75.66,77.21,543600,77.21
2012-11-27,76.48,77.34,75.88,76.47,606300,76.47
2012-11-26,76.00,76.85,75.68,76.74,614000,76.74
2012-11-23,75.92,76.33,75.38,76.33,196600,76.33
2012-11-21,75.51,76.05,75.22,75.63,352900,75.63
2012-11-20,74.90,75.45,74.32,75.45,366800,75.45
2012-11-19,74.89,74.96,74.04,74.85,625600,74.85
2012-11-16,72.60,74.01,71.91,73.97,1899700,73.97
2012-11-15,72.40,73.06,72.10,72.35,804900,72.35
2012-11-14,74.26,74.42,72.43,72.67,653400,72.17
2012-11-13,73.75,75.38,73.75,74.40,458400,73.89
2012-11-12,74.57,74.71,74.21,74.28,429100,73.77
2012-11-09,73.51,75.07,73.51,74.47,562800,73.96
2012-11-08,73.95,74.90,73.73,73.73,797900,73.22
2012-11-07,76.14,76.56,72.27,74.40,1920300,73.89
2012-11-06,76.05,77.68,76.05,77.46,954800,76.93
2012-11-05,75.64,75.96,74.93,75.85,799300,75.33
2012-11-02,74.88,76.19,74.51,75.85,877700,75.33
2012-11-01,73.94,75.00,73.04,74.85,728700,74.34
2012-10-31,73.65,74.40,72.81,73.80,336500,73.29
2012-10-26,73.62,74.14,73.04,73.42,328500,72.91
2012-10-25,73.58,74.12,73.11,73.79,481300,73.28
2012-10-24,72.78,73.83,72.67,73.10,453900,72.60
2012-10-23,71.89,72.89,71.89,72.61,466800,72.11
2012-10-22,73.46,74.24,72.96,73.33,409400,72.83
2012-10-19,74.47,74.75,73.48,73.61,579300,73.10
2012-10-18,74.25,75.00,73.75,74.84,348500,74.33
2012-10-17,73.72,74.51,73.60,74.42,497600,73.91
2012-10-16,73.03,73.78,72.99,73.65,303600,73.14
2012-10-15,72.33,72.81,72.24,72.75,387700,72.25
2012-10-12,72.35,73.16,71.98,72.32,482500,71.82
2012-10-11,72.62,72.96,72.10,72.10,426300,71.60
2012-10-10,72.70,72.70,72.04,72.14,297200,71.64
2012-10-09,73.25,73.68,72.63,72.72,300100,72.22
2012-10-08,73.41,73.41,73.01,73.20,422100,72.70
2012-10-05,73.57,73.94,73.23,73.46,371200,72.95
2012-10-04,73.35,73.87,72.95,73.23,581500,72.73
2012-10-03,73.22,73.64,72.86,72.99,461400,72.49
2012-10-02,73.53,73.70,73.06,73.11,445500,72.61
2012-10-01,71.96,73.52,71.73,73.38,634000,72.88
2012-09-28,72.15,72.46,71.55,71.71,650200,71.22
2012-09-27,72.42,72.75,72.11,72.47,492000,71.97
2012-09-26,71.88,72.73,71.55,72.21,454200,71.71
2012-09-25,72.24,72.51,71.90,71.97,426800,71.47
2012-09-24,72.15,72.50,71.54,72.21,387100,71.71
2012-09-21,72.31,72.91,72.27,72.46,621500,71.96
2012-09-20,71.90,72.30,71.37,72.23,419500,71.73
2012-09-19,72.38,72.60,71.83,72.35,440600,71.85
2012-09-18,73.05,73.05,72.41,72.41,520300,71.91
2012-09-17,72.83,73.61,72.81,73.00,454900,72.50
2012-09-14,72.48,73.45,72.24,73.10,575900,72.60
2012-09-13,72.07,72.97,71.29,72.56,436800,72.06
2012-09-12,71.78,72.38,71.25,72.10,469500,71.60
2012-09-11,71.43,71.69,71.25,71.52,582300,71.03
2012-09-10,70.99,71.79,70.90,71.46,383700,70.97
2012-09-07,70.61,71.49,70.49,71.40,321100,70.91
2012-09-06,69.81,70.93,69.71,70.91,425300,70.42
2012-09-05,69.18,69.74,69.06,69.38,492800,68.90
2012-09-04,70.12,70.27,68.84,69.06,614300,68.58
2012-08-31,70.26,70.74,69.89,70.24,342700,69.76
2012-08-30,69.72,70.09,69.40,69.88,372400,69.40
2012-08-29,69.60,70.08,69.40,70.06,315300,69.58
2012-08-28,69.24,69.98,68.72,69.48,510600,69.00
2012-08-27,69.95,70.22,69.45,69.54,415000,69.06
2012-08-24,69.45,70.07,68.79,69.98,725100,69.50
2012-08-23,70.07,70.07,69.41,69.71,705100,69.23
2012-08-22,69.47,69.84,69.25,69.55,742700,69.07
2012-08-21,69.61,69.92,69.11,69.62,717400,69.14
2012-08-20,68.39,69.48,68.00,69.44,544700,68.96
2012-08-17,69.06,69.26,68.51,69.17,459000,68.69
2012-08-16,68.85,69.39,68.45,69.04,531200,68.56
2012-08-15,68.99,69.09,68.36,68.74,497200,68.27
2012-08-14,69.63,69.75,69.06,69.29,588700,68.32
2012-08-13,70.12,70.29,69.08,69.29,662700,68.32
2012-08-10,70.26,70.53,69.15,70.39,476000,69.40
2012-08-09,69.50,70.48,69.35,70.41,510600,69.42
2012-08-08,69.25,69.84,69.03,69.76,684700,68.78
2012-08-07,69.03,69.70,69.00,69.38,728900,68.41
2012-08-06,69.96,69.96,68.67,68.79,538200,67.82
2012-08-03,69.43,70.23,69.38,69.79,373700,68.81
2012-08-02,69.47,69.68,68.00,68.58,486800,67.62
2012-08-01,71.16,71.16,69.59,69.87,488000,68.89
2012-07-31,70.28,71.29,69.89,70.89,604400,69.89
2012-07-30,69.63,70.59,69.21,70.35,991300,69.36
2012-07-27,69.83,70.58,69.26,69.86,1438000,68.88
2012-07-26,69.34,70.49,68.76,69.55,1100200,68.57
2012-07-25,67.01,69.69,67.01,69.62,1557200,68.64
2012-07-24,68.58,68.83,67.05,68.27,962900,67.31
2012-07-23,69.63,69.93,68.61,68.63,1104500,67.67
2012-07-20,71.10,71.63,70.42,70.64,444300,69.65
2012-07-19,71.19,71.76,70.91,71.51,560500,70.51
2012-07-18,69.60,71.65,69.48,71.03,749200,70.03
2012-07-17,71.96,72.68,71.67,72.64,514900,71.62
2012-07-16,72.08,72.47,71.57,71.84,494900,70.83
2012-07-13,71.33,72.97,71.19,72.31,420900,71.29
2012-07-12,71.18,71.89,70.66,71.32,620200,70.32
2012-07-11,71.59,71.94,71.30,71.57,651700,70.56
2012-07-10,72.60,73.32,71.27,71.65,447600,70.64
2012-07-09,72.18,72.70,71.49,72.38,661800,71.36
2012-07-06,73.03,73.14,72.57,72.73,306100,71.71
2012-07-05,73.84,74.31,73.58,73.94,412700,72.90
2012-07-03,74.02,74.52,73.73,74.45,388400,73.40
2012-07-02,74.08,74.33,73.20,74.05,504100,73.01
2012-06-29,72.56,74.05,72.50,74.01,821500,72.97
2012-06-28,71.55,71.67,70.82,71.45,524700,70.45
2012-06-27,71.53,72.47,71.34,71.93,496900,70.92
2012-06-26,72.02,72.07,70.59,71.31,687000,70.31
2012-06-25,72.89,72.90,71.80,71.83,546200,70.82
2012-06-22,72.89,73.53,72.51,73.21,798500,72.18
2012-06-21,73.49,73.93,72.35,72.43,658700,71.41
2012-06-20,73.27,73.94,73.04,73.45,475100,72.42
2012-06-19,73.09,73.73,72.95,73.26,707400,72.23
2012-06-18,71.44,73.50,71.44,73.11,872000,72.08
2012-06-15,71.69,71.86,71.31,71.74,718600,70.73
2012-06-14,69.72,71.67,69.57,71.35,789900,70.35
2012-06-13,70.10,70.57,69.33,69.57,582100,68.59
2012-06-12,69.51,70.38,69.36,70.26,443600,69.27
2012-06-11,70.11,70.20,69.13,69.19,495500,68.22
2012-06-08,69.41,69.76,69.20,69.62,514000,68.64
2012-06-07,69.74,70.54,69.49,69.65,797700,68.67
2012-06-06,67.42,69.36,67.42,69.36,508900,68.39
2012-06-05,67.00,67.49,66.87,67.43,842900,66.48
2012-06-04,67.40,67.40,66.83,67.20,732500,66.26
