Date,Open,High,Low,Close,Volume,Adj Close
2009-12-24,30.40,30.77,30.28,30.77,915300,27.85
2009-12-23,30.18,30.37,30.04,30.36,2338800,27.48
2009-12-22,29.91,30.35,29.77,30.23,2983000,27.36
2009-12-21,29.32,29.98,29.28,29.76,2777200,26.93
2009-12-18,29.28,29.42,28.92,29.25,4776000,26.47
2009-12-17,29.27,29.42,28.96,29.16,5361600,26.39
2009-12-16,28.77,29.40,28.59,29.30,5544600,26.52
2009-12-15,28.55,29.04,28.45,28.63,2747500,25.91
2009-12-14,28.38,28.65,28.25,28.57,2401700,25.86
2009-12-11,28.43,28.58,28.05,28.12,2071600,25.45
2009-12-10,28.35,28.60,28.25,28.28,1829100,25.59
2009-12-09,28.09,28.34,27.90,28.30,3958000,25.61
2009-12-08,28.07,28.33,27.69,28.19,3944500,25.51
2009-12-07,27.95,28.34,27.88,28.24,2654100,25.56
2009-12-04,28.05,28.33,27.65,27.99,3652300,25.33
2009-12-03,27.77,28.14,27.66,27.84,2864500,25.20
2009-12-02,27.49,28.04,27.47,27.67,2515300,25.04
2009-12-01,27.20,27.54,27.16,27.40,2893500,24.80
2009-11-30,26.92,27.03,26.54,26.97,2699100,24.41
2009-11-27,26.39,27.09,26.21,26.91,1708900,24.35
2009-11-25,27.35,27.44,27.16,27.21,1435000,24.63
2009-11-24,26.90,27.42,26.83,27.30,3222700,24.71
2009-11-23,26.66,26.98,26.57,26.83,3174100,24.28
2009-11-20,26.69,26.77,26.32,26.44,3922100,23.93
2009-11-19,27.15,27.17,26.65,26.86,4010500,24.31
2009-11-18,27.54,27.63,27.25,27.40,1825000,24.80
2009-11-17,27.46,27.62,27.26,27.61,1636400,24.99
2009-11-16,27.20,27.77,27.14,27.59,3486800,24.97
2009-11-13,27.02,27.28,26.92,27.16,2540200,24.58
2009-11-12,27.37,27.58,26.99,27.05,3190500,24.48
2009-11-11,27.36,27.67,27.10,27.29,3200700,24.70
2009-11-10,27.31,27.43,26.94,27.18,3008300,24.60
2009-11-09,26.85,27.57,26.79,27.37,3968600,24.57
2009-11-06,26.77,27.11,26.52,26.72,2424100,23.99
2009-11-05,26.59,27.15,26.41,26.88,3438800,24.13
2009-11-04,26.32,26.70,26.25,26.31,3411800,23.62
2009-11-03,25.87,26.36,25.77,26.25,5925500,23.57
2009-11-02,25.81,26.14,25.56,25.98,4045100,23.32
2009-10-30,26.47,26.65,25.82,25.88,4745700,23.23
2009-10-29,26.28,26.76,26.20,26.56,2915300,23.84
2009-10-28,26.37,26.74,26.06,26.09,3676500,23.42
2009-10-27,26.74,27.02,26.34,26.51,3768100,23.80
2009-10-26,26.55,27.25,26.52,26.74,4369600,24.01
2009-10-23,27.18,27.27,26.51,26.60,3786000,23.88
2009-10-22,27.22,27.41,26.83,27.23,6045500,24.45
2009-10-21,27.84,28.24,27.24,27.36,3534800,24.56
2009-10-20,27.89,28.21,27.60,27.87,3762300,25.02
2009-10-19,27.76,28.17,27.59,28.00,3906300,25.14
2009-10-16,27.50,27.77,27.06,27.59,4358600,24.77
2009-10-15,27.54,27.66,27.34,27.63,5003100,24.81
2009-10-14,28.67,28.90,27.65,27.87,11209300,25.02
2009-10-13,28.64,28.84,28.16,28.49,6347400,25.58
2009-10-12,28.06,28.99,27.99,28.63,6827000,25.70
2009-10-09,26.84,27.85,26.74,27.82,4128800,24.98
2009-10-08,27.27,27.27,26.62,26.88,4312300,24.13
2009-10-07,27.14,27.16,26.79,27.08,2796600,24.31
2009-10-06,26.78,27.32,26.77,27.17,3813800,24.39
2009-10-05,26.27,26.74,26.12,26.69,5537300,23.96
2009-10-02,26.55,26.84,26.22,26.29,5582500,23.60
2009-10-01,27.59,27.71,26.65,26.70,5196700,23.97
2009-09-30,27.53,27.95,27.18,27.63,4531100,24.81
2009-09-29,28.04,28.11,27.43,27.50,3198100,24.69
2009-09-28,27.58,28.11,27.52,27.94,3398100,25.08
2009-09-25,27.34,27.74,27.10,27.50,5665900,24.69
2009-09-24,27.64,27.68,26.86,27.37,6301700,24.57
2009-09-23,26.90,27.86,26.90,27.52,6162800,24.71
2009-09-22,27.03,27.28,26.76,26.85,2800800,24.11
2009-09-21,26.76,27.16,26.45,27.02,3562700,24.26
2009-09-18,26.58,26.98,26.57,26.69,3488400,23.96
2009-09-17,27.09,27.23,26.55,26.62,3527700,23.90
2009-09-16,27.31,27.50,26.78,27.14,3554300,24.37
2009-09-15,27.29,27.75,27.25,27.34,2813000,24.55
2009-09-14,27.05,27.51,27.05,27.48,3339600,24.67
2009-09-11,28.01,28.08,27.13,27.24,4406500,24.46
2009-09-10,27.48,28.09,27.32,28.05,3851500,25.18
2009-09-09,27.62,27.74,27.23,27.50,3475100,24.69
2009-09-08,27.27,27.64,27.03,27.61,3272600,24.79
2009-09-04,26.93,27.27,26.81,27.24,3651500,24.46
2009-09-03,26.22,26.78,25.92,26.76,4669700,24.02
2009-09-02,25.94,26.24,25.71,26.12,3244900,23.45
2009-09-01,26.50,26.98,26.00,26.03,4207900,23.37
2009-08-31,27.21,27.30,26.50,26.57,3583800,23.85
2009-08-28,27.52,27.90,27.10,27.29,2685800,24.50
2009-08-27,26.65,27.12,26.28,27.10,3542400,24.33
2009-08-26,26.82,27.02,26.38,26.77,2877900,24.03
2009-08-25,26.68,27.10,26.50,26.66,2925100,23.93
2009-08-24,27.06,27.37,26.62,26.70,2428900,23.97
2009-08-21,26.53,27.04,26.28,27.02,3165600,24.26
2009-08-20,26.44,26.65,26.16,26.47,2250500,23.76
2009-08-19,26.24,26.68,25.91,26.54,3357000,23.83
2009-08-18,26.01,26.52,26.00,26.41,4048400,23.71
2009-08-17,26.37,26.47,25.91,25.96,3010900,23.31
2009-08-14,26.88,26.88,26.30,26.64,4020900,23.92
2009-08-13,26.57,27.10,26.26,27.05,4030200,24.28
2009-08-12,26.07,26.76,26.03,26.51,3572100,23.80
2009-08-11,26.49,26.65,26.05,26.28,3694700,23.40
2009-08-10,26.69,27.06,26.39,26.48,3571100,23.57
2009-08-07,27.32,27.39,26.68,26.88,4280700,23.93
2009-08-06,27.61,27.94,26.90,27.10,5193000,24.13
2009-08-05,27.18,27.64,27.11,27.62,5983400,24.59
2009-08-04,26.80,27.45,26.80,27.19,4543400,24.21
2009-08-03,27.00,27.24,26.76,27.01,3201500,24.05
2009-07-31,26.88,27.07,26.60,26.87,3468400,23.92
2009-07-30,27.06,27.47,26.70,26.79,3608400,23.85
2009-07-29,26.63,26.85,26.38,26.74,3558700,23.81
2009-07-28,26.90,27.05,26.37,26.76,3252100,23.82
2009-07-27,26.88,27.00,26.41,26.95,3371500,23.99
2009-07-24,27.00,27.00,26.42,26.93,4850700,23.97
2009-07-23,27.01,27.55,26.79,27.21,8696300,24.22
2009-07-22,26.08,27.29,25.76,27.11,13572400,24.13
2009-07-21,25.16,25.22,24.50,25.04,7827400,22.29
2009-07-20,25.05,25.25,24.84,25.06,5741800,22.31
2009-07-17,25.04,25.25,24.78,25.02,5489300,22.27
2009-07-16,24.61,25.26,24.45,25.16,4406600,22.40
2009-07-15,24.22,24.81,24.19,24.71,6102200,22.00
2009-07-14,23.54,23.79,23.49,23.77,3804600,21.16
2009-07-13,23.25,23.57,22.77,23.56,3663200,20.97
2009-07-10,23.14,23.56,22.93,23.24,3481600,20.69
2009-07-09,22.98,23.43,22.85,23.23,5010900,20.68
2009-07-08,22.72,22.81,22.24,22.55,4932600,20.08
2009-07-07,23.44,23.75,22.63,22.64,4185200,20.16
2009-07-06,23.46,23.82,23.02,23.42,4616700,20.85
2009-07-02,23.20,23.76,23.04,23.60,5879600,21.01
2009-07-01,23.19,23.96,23.19,23.38,5158200,20.81
2009-06-30,23.14,23.58,23.10,23.35,5225300,20.79
2009-06-29,23.46,23.67,23.12,23.16,4690600,20.62
2009-06-26,22.73,23.85,22.64,23.51,9702000,20.93
2009-06-25,22.18,22.93,22.01,22.84,4834200,20.33
2009-06-24,21.94,22.49,21.85,22.24,4815000,19.80
2009-06-23,21.96,22.14,21.52,21.86,6133900,19.46
2009-06-22,21.97,22.44,21.84,21.85,5112400,19.45
2009-06-19,22.49,22.78,22.19,22.28,6226400,19.83
2009-06-18,22.49,22.78,22.13,22.35,4618900,19.90
2009-06-17,22.59,22.83,21.92,22.60,7387500,20.12
2009-06-16,23.16,23.23,22.44,22.51,5853500,20.04
2009-06-15,23.25,23.33,22.63,23.09,3935900,20.56
2009-06-12,23.80,23.80,23.03,23.58,3893800,20.99
2009-06-11,23.81,24.23,23.67,23.72,3974300,21.12
2009-06-10,24.28,24.28,23.35,23.92,4723600,21.29
2009-06-09,23.75,24.23,23.59,23.95,3972400,21.32
2009-06-08,23.40,23.50,22.90,23.32,3659900,20.76
2009-06-05,23.86,23.99,23.12,23.33,3573700,20.77
2009-06-04,23.45,23.90,23.30,23.66,3090700,21.06
2009-06-03,23.11,23.39,22.84,23.27,4637000,20.72
2009-06-02,23.97,24.21,23.40,23.65,4823900,21.05
2009-06-01,23.65,24.40,23.55,24.24,5659800,21.58
2009-05-29,22.96,23.42,22.56,23.38,5152000,20.81
2009-05-28,22.55,23.11,22.19,23.00,5520300,20.48
2009-05-27,22.38,22.87,22.25,22.40,4377300,19.94
2009-05-26,21.10,22.52,21.10,22.36,5505600,19.91
2009-05-22,21.78,21.89,21.37,21.65,3803000,19.27
2009-05-21,22.11,22.15,21.45,21.71,5138600,19.33
2009-05-20,22.10,23.31,22.10,22.35,9372500,19.90
2009-05-19,20.41,21.73,20.33,21.44,6887000,19.09
2009-05-18,20.53,20.85,20.26,20.83,5014400,18.54
2009-05-15,21.25,21.25,20.53,20.66,6107500,18.39
2009-05-14,20.81,21.40,20.81,21.25,4617100,18.92
2009-05-13,21.30,21.30,20.82,20.82,4260600,18.54
2009-05-12,21.65,21.86,20.87,21.18,5478900,18.66
2009-05-11,21.22,22.20,21.20,21.69,4918300,19.11
2009-05-08,21.59,21.77,20.73,21.37,8404000,18.83
2009-05-07,22.75,22.78,21.23,21.57,6545500,19.00
2009-05-06,22.78,22.81,22.19,22.65,4263800,19.95
2009-05-05,22.51,22.56,22.04,22.43,3465100,19.76
2009-05-04,21.74,22.51,21.60,22.46,7324100,19.79
2009-05-01,21.62,21.90,21.33,21.62,5274200,19.05
2009-04-30,21.63,22.22,21.53,21.78,6555000,19.19
2009-04-29,21.81,22.02,21.50,21.64,5588400,19.07
2009-04-28,21.90,22.19,21.62,21.83,2954000,19.23
2009-04-27,22.01,22.53,22.00,22.11,3755400,19.48
2009-04-24,22.33,22.63,21.74,22.45,5912300,19.78
2009-04-23,22.30,22.43,21.63,22.22,6295800,19.58
2009-04-22,21.54,23.06,21.31,22.46,8051900,19.79
2009-04-21,21.75,22.14,21.23,21.74,7012000,19.15
2009-04-20,22.26,22.47,21.74,21.75,7776100,19.16
2009-04-17,22.60,22.95,22.24,22.57,5333300,19.88
