Date,Open,High,Low,Close,Volume,Adj Close
2012-12-26,49.10,49.24,48.62,49.06,3680400,49.06
2012-12-24,49.46,49.46,48.80,49.04,2765100,49.04
2012-12-21,48.87,49.69,48.75,49.55,12842500,49.55
2012-12-20,48.89,49.35,48.71,49.25,6572200,49.25
2012-12-19,49.42,49.62,48.91,48.92,7036700,48.92
2012-12-18,48.57,49.54,48.35,49.52,13440200,49.52
2012-12-17,47.80,48.55,47.78,48.34,7445300,48.34
2012-12-14,48.05,48.09,47.61,47.79,6357400,47.79
2012-12-13,49.18,49.27,47.97,48.23,10167100,48.23
2012-12-12,49.25,50.00,48.81,49.00,18763400,49.00
2012-12-11,50.21,50.76,50.14,50.60,5401500,50.60
2012-12-10,49.61,50.31,49.20,50.12,4296900,50.12
2012-12-07,49.47,49.66,49.20,49.63,2972400,49.63
2012-12-06,49.63,49.65,49.25,49.40,5151100,49.40
2012-12-05,49.22,49.70,48.98,49.58,5268300,49.58
2012-12-04,48.91,49.47,48.85,49.22,5488200,49.22
2012-12-03,49.21,49.61,48.80,48.92,5651800,48.92
2012-11-30,48.61,49.15,48.39,49.04,6859200,49.04
2012-11-29,48.29,48.77,48.23,48.58,4395700,48.58
2012-11-28,47.63,48.05,47.25,48.04,3654200,48.04
2012-11-27,47.82,48.27,47.51,47.68,5380000,47.68
2012-11-26,47.35,47.93,46.89,47.93,7630800,47.93
2012-11-23,47.48,47.76,47.41,47.74,2254200,47.74
2012-11-21,47.33,47.44,46.96,47.42,3922900,47.42
2012-11-20,47.03,47.29,46.75,47.19,4547600,47.19
2012-11-19,46.30,47.07,46.15,47.03,8489500,47.03
2012-11-16,46.00,46.25,45.43,45.91,8915600,45.91
2012-11-15,46.17,46.41,44.88,45.96,6867700,45.96
2012-11-14,47.24,47.60,46.01,46.22,9323100,46.22
2012-11-13,47.66,47.96,47.12,47.14,7142600,47.14
2012-11-12,47.50,48.64,47.39,48.30,7293700,47.81
2012-11-09,47.14,48.00,47.14,47.47,15307500,46.99
2012-11-08,48.12,48.22,47.45,47.47,23062400,46.99
2012-11-07,48.51,49.01,47.54,48.18,9276000,47.69
2012-11-06,48.80,49.13,48.58,48.78,5705500,48.29
2012-11-05,48.37,48.90,48.31,48.78,4246100,48.29
2012-11-02,49.39,49.48,48.55,48.55,10584600,48.06
2012-11-01,48.89,49.69,48.16,49.10,8200800,48.60
2012-10-31,50.81,50.81,48.13,48.63,13386400,48.14
2012-10-26,50.96,51.00,50.13,50.21,6047600,49.70
2012-10-25,50.61,51.19,50.43,51.08,7109800,50.56
2012-10-24,49.98,51.57,49.73,50.50,14232600,49.99
2012-10-23,51.87,52.04,50.56,51.91,10998200,51.38
2012-10-22,53.38,53.47,51.93,52.28,9336600,51.75
2012-10-19,53.88,53.88,52.55,52.86,6781500,52.32
2012-10-18,53.46,53.86,53.03,53.81,7926300,53.26
2012-10-17,53.78,53.99,53.21,53.67,5918400,53.13
2012-10-16,52.84,53.88,52.80,53.66,11263700,53.12
2012-10-15,50.90,53.17,50.81,52.53,12886200,52.00
2012-10-12,50.07,50.74,50.00,50.45,6823400,49.94
2012-10-11,50.55,50.87,50.30,50.60,6467400,50.09
2012-10-10,51.72,51.87,50.08,50.23,11520300,49.72
2012-10-09,51.42,53.55,50.97,51.81,29784100,51.28
2012-10-08,48.05,50.94,47.76,50.78,28624000,50.26
2012-10-05,48.73,48.90,47.98,48.23,7089400,47.74
2012-10-04,48.46,48.95,48.42,48.76,7990400,48.27
2012-10-03,48.06,48.39,47.93,48.31,5763600,47.82
2012-10-02,47.81,48.14,47.79,47.94,4948300,47.45
2012-10-01,47.49,48.04,47.46,47.57,5301900,47.09
2012-09-28,47.37,47.52,47.00,47.41,5941800,46.93
2012-09-27,47.36,47.72,47.10,47.64,5020300,47.16
2012-09-26,47.45,47.70,46.84,47.20,4792400,46.72
2012-09-25,47.52,47.84,47.41,47.45,4395100,46.97
2012-09-24,47.50,47.63,47.16,47.40,4873400,46.92
2012-09-21,47.17,47.76,47.10,47.46,8368200,46.98
2012-09-20,46.77,47.10,46.75,47.02,4905700,46.54
2012-09-19,46.77,47.18,46.68,46.86,5176800,46.38
2012-09-18,46.52,47.07,46.52,46.91,4155500,46.43
2012-09-17,46.54,46.94,46.53,46.83,7230400,46.35
2012-09-14,47.01,47.01,46.51,46.72,6510400,46.25
2012-09-13,46.62,47.26,46.31,47.15,5501100,46.67
2012-09-12,46.48,46.86,46.46,46.55,3977600,46.08
2012-09-11,46.65,46.70,46.41,46.49,4263300,46.02
2012-09-10,46.74,46.85,46.52,46.52,4721800,46.05
2012-09-07,46.71,46.87,46.29,46.65,9900100,46.18
2012-09-06,45.98,46.86,45.98,46.81,8553600,46.34
2012-09-05,45.87,46.36,45.72,45.81,11305000,45.35
2012-09-04,44.97,45.41,44.71,45.29,6948400,44.83
2012-08-31,45.07,45.29,44.68,44.91,6397500,44.45
2012-08-30,45.00,45.00,44.63,44.90,5234500,44.44
2012-08-29,44.60,45.26,44.38,45.17,8328900,44.71
2012-08-28,44.63,45.45,44.21,44.71,13256500,44.26
2012-08-27,43.75,44.98,43.75,44.59,15116900,44.14
2012-08-24,44.81,45.01,43.36,43.86,48000900,43.42
2012-08-23,42.16,42.48,42.12,42.40,4589600,41.97
2012-08-22,42.17,42.38,42.12,42.17,4709000,41.74
2012-08-21,42.49,42.49,42.10,42.21,4195400,41.78
2012-08-20,42.42,42.42,42.21,42.34,3892400,41.91
2012-08-17,42.85,42.85,42.27,42.42,4521500,41.99
2012-08-16,42.96,43.02,42.64,42.75,3271500,42.32
