Date,Open,High,Low,Close,Volume,Adj Close
2012-12-24,26.16,26.44,25.89,26.39,541500,26.39
2012-12-21,26.02,26.27,25.94,26.18,2977400,26.18
2012-12-20,26.37,26.61,26.28,26.60,1522500,26.60
2012-12-19,26.39,26.63,26.27,26.34,1748300,26.34
2012-12-18,25.84,26.53,25.77,26.39,1512400,26.39
2012-12-17,25.07,25.78,25.07,25.77,1329200,25.77
2012-12-14,25.04,25.20,24.98,25.08,1171100,25.08
2012-12-13,25.55,25.67,24.91,25.08,3158300,25.08
2012-12-12,25.83,25.83,25.29,25.45,2247500,25.45
2012-12-11,25.70,25.96,25.60,25.76,1058600,25.76
2012-12-10,25.67,25.80,25.44,25.62,822800,25.62
2012-12-07,26.04,26.17,25.73,25.90,899200,25.79
2012-12-06,25.62,25.99,25.53,25.87,1262600,25.76
2012-12-05,25.42,25.68,25.34,25.60,1050400,25.49
2012-12-04,25.48,25.49,25.19,25.34,923900,25.23
2012-12-03,25.60,25.71,25.40,25.48,771100,25.37
2012-11-30,25.70,25.78,25.45,25.53,1275500,25.42
2012-11-29,25.76,25.89,25.61,25.69,781400,25.58
2012-11-28,25.43,25.74,25.29,25.66,693100,25.55
2012-11-27,25.76,25.93,25.36,25.58,1718700,25.47
2012-11-26,25.85,26.07,25.76,25.92,931200,25.81
2012-11-23,25.73,26.03,25.62,26.03,379300,25.92
2012-11-21,25.51,25.71,25.46,25.56,648700,25.45
2012-11-20,25.36,25.64,24.76,25.54,559300,25.43
2012-11-19,25.44,25.55,25.23,25.38,1384000,25.27
2012-11-16,25.20,25.22,24.76,25.08,2869800,24.97
2012-11-15,24.94,25.28,24.89,25.16,2117300,25.05
2012-11-14,25.10,25.36,24.87,24.94,3004500,24.83
2012-11-13,25.00,25.25,24.97,25.00,1738900,24.89
2012-11-12,25.08,25.25,24.97,25.15,1582200,25.04
2012-11-09,24.60,25.24,24.60,25.00,1360900,24.89
2012-11-08,24.84,25.21,24.73,24.73,1292800,24.62
2012-11-07,25.46,25.55,24.81,24.81,1670700,24.70
2012-11-06,25.37,26.13,25.23,25.79,1685200,25.68
2012-11-05,24.84,25.23,24.75,25.14,993200,25.03
2012-11-02,25.86,25.86,24.95,24.99,1553400,24.88
2012-11-01,25.59,25.99,25.48,25.62,1665800,25.51
2012-10-31,24.91,25.80,24.89,25.48,1969800,25.37
2012-10-26,25.25,25.51,24.71,24.93,2572800,24.82
2012-10-25,24.83,24.94,24.48,24.70,971800,24.60
2012-10-24,24.94,24.95,24.52,24.55,728200,24.45
2012-10-23,24.58,25.06,24.53,24.86,1318600,24.75
2012-10-22,25.24,25.35,24.86,25.06,875200,24.95
2012-10-19,25.38,25.42,25.09,25.28,988100,25.17
2012-10-18,25.78,25.83,25.22,25.47,1687300,25.36
2012-10-17,25.21,25.88,25.09,25.84,1386400,25.73
2012-10-16,24.89,25.29,24.85,25.09,830000,24.98
2012-10-15,24.52,24.87,24.43,24.81,1208900,24.70
2012-10-12,24.63,24.81,24.19,24.39,951000,24.29
2012-10-11,24.93,25.04,24.62,24.73,1367600,24.62
2012-10-10,24.09,24.74,23.88,24.65,2123600,24.55
2012-10-09,24.22,24.33,24.00,24.11,1308000,24.01
2012-10-08,24.24,24.30,24.08,24.28,1002800,24.18
2012-10-05,24.68,24.78,24.24,24.35,1108900,24.25
2012-10-04,24.27,24.59,24.21,24.57,1025200,24.47
2012-10-03,24.35,24.46,24.03,24.16,1386400,24.06
2012-10-02,24.33,24.58,24.27,24.32,1555100,24.22
2012-10-01,24.68,24.70,24.15,24.30,2204300,24.09
2012-09-28,24.76,24.77,24.37,24.68,970300,24.46
2012-09-27,24.84,24.92,24.48,24.84,805500,24.62
2012-09-26,24.79,24.94,24.37,24.67,1328400,24.45
2012-09-25,25.61,25.70,24.83,24.84,1236000,24.62
2012-09-24,25.35,25.73,25.20,25.59,971000,25.37
2012-09-21,25.80,25.93,25.29,25.42,1943300,25.20
2012-09-20,25.74,25.85,25.55,25.65,1665200,25.43
2012-09-19,26.27,26.34,25.90,25.92,1339200,25.69
2012-09-18,26.29,26.42,26.08,26.22,1971200,25.99
2012-09-17,26.67,26.78,26.12,26.25,1878000,26.02
2012-09-14,27.03,27.05,26.56,26.95,1819500,26.71
2012-09-13,26.59,26.68,25.48,26.59,4581400,26.36
2012-09-12,26.85,27.14,26.36,26.62,2484000,26.39
2012-09-11,25.79,27.07,25.79,26.85,5129500,26.61
2012-09-10,25.91,26.15,25.47,25.47,1088800,25.25
2012-09-07,25.66,26.06,25.58,25.89,1118300,25.66
2012-09-06,25.01,25.59,24.96,25.53,1357300,25.31
2012-09-05,24.80,24.98,24.68,24.75,1272800,24.53
2012-09-04,24.59,24.86,24.43,24.75,1271000,24.53
2012-08-31,24.91,25.06,24.48,24.58,1668100,24.36
2012-08-30,24.90,24.94,24.58,24.71,1017300,24.49
2012-08-29,25.29,25.38,25.03,25.03,767300,24.81
2012-08-28,25.02,25.40,24.89,25.21,1376100,24.99
2012-08-27,25.57,25.70,25.00,25.06,1369900,24.84
2012-08-24,25.11,25.59,24.81,25.53,1261200,25.31
2012-08-23,25.60,25.76,25.14,25.24,914300,25.02
2012-08-22,25.64,25.82,25.30,25.59,1362200,25.37
2012-08-21,25.66,26.23,25.65,25.73,963300,25.50
2012-08-20,25.63,25.78,25.47,25.65,761500,25.43
2012-08-17,25.74,26.05,25.62,25.71,1117600,25.48
2012-08-16,25.41,25.77,25.41,25.69,1403100,25.47
2012-08-15,25.45,25.70,25.30,25.46,1018100,25.24
2012-08-14,25.94,25.99,25.42,25.50,822000,25.28
2012-08-13,25.68,25.88,25.30,25.73,1298800,25.50
2012-08-10,26.05,26.24,25.55,25.75,1579100,25.52
2012-08-09,25.94,26.12,25.83,26.00,1131200,25.77
2012-08-08,25.95,26.09,25.54,25.97,2120400,25.74
2012-08-07,26.30,26.69,25.98,26.01,1931300,25.78
2012-08-06,25.76,26.23,25.72,26.12,1317500,25.89
2012-08-03,25.01,25.79,24.84,25.70,1793900,25.48
2012-08-02,24.46,24.82,24.13,24.56,2624200,24.34
2012-08-01,24.62,24.89,24.37,24.65,2027900,24.43
2012-07-31,24.40,24.77,24.14,24.52,3124800,24.31
2012-07-30,24.63,24.96,24.02,24.77,2107200,24.55
2012-07-27,25.07,25.19,23.31,24.86,5278900,24.64
2012-07-26,25.36,25.55,24.70,25.13,1533000,24.91
2012-07-25,25.11,25.31,24.73,24.77,1812900,24.55
2012-07-24,25.24,25.29,24.56,25.14,1831600,24.92
2012-07-23,25.07,25.48,24.80,25.28,875800,25.06
2012-07-20,25.97,26.11,25.55,25.61,1092000,25.39
2012-07-19,26.57,26.69,25.95,26.10,1581300,25.87
2012-07-18,26.30,26.70,26.24,26.58,1089600,26.35
2012-07-17,26.39,26.48,25.87,26.47,635300,26.24
2012-07-16,26.59,26.63,25.98,26.25,1271600,26.02
2012-07-13,26.11,26.80,25.97,26.75,755200,26.52
2012-07-12,26.00,26.22,25.73,25.96,1545900,25.73
2012-07-11,25.84,26.45,25.77,26.11,1513700,25.88
2012-07-10,26.36,26.58,25.68,25.87,1228400,25.64
2012-07-09,26.27,26.36,25.79,26.20,1044900,25.97
2012-07-06,26.10,26.45,26.10,26.32,843900,26.09
2012-07-05,26.69,26.92,26.41,26.56,946900,26.33
2012-07-03,26.62,27.00,26.56,26.89,490400,26.65
2012-07-02,26.40,26.75,26.40,26.64,1216000,26.41
2012-06-29,25.82,26.37,25.69,26.37,1777200,26.14
2012-06-28,24.69,25.18,24.59,25.15,1002000,24.93
2012-06-27,24.65,25.14,24.50,24.97,1030400,24.75
2012-06-26,24.53,24.71,24.31,24.57,1170500,24.35
2012-06-25,24.64,24.71,24.29,24.42,1171100,24.21
2012-06-22,24.98,25.18,24.78,25.16,2285100,24.94
2012-06-21,25.73,25.81,24.67,24.77,1415600,24.55
2012-06-20,25.85,26.10,25.42,25.62,1212400,25.40
2012-06-19,25.65,26.03,25.56,25.85,1243000,25.62
2012-06-18,25.28,25.62,25.12,25.45,1003500,25.23
2012-06-15,25.04,25.57,24.99,25.46,2105100,25.24
2012-06-14,25.15,25.23,24.78,24.95,2306000,24.73
2012-06-13,25.26,25.46,25.01,25.12,1204900,24.90
2012-06-12,24.93,25.62,24.90,25.44,2670200,25.22
2012-06-11,25.93,25.95,24.76,24.78,2538200,24.56
2012-06-08,25.44,25.60,25.05,25.60,1117000,25.38
2012-06-07,25.92,26.28,25.50,25.60,1883000,25.27
2012-06-06,24.86,25.48,24.81,25.43,1843100,25.10
2012-06-05,24.05,24.73,24.05,24.64,1480800,24.32
2012-06-04,24.47,24.55,23.93,24.14,1516300,23.83
2012-06-01,24.57,24.88,24.16,24.27,3401600,23.95
2012-05-31,25.57,25.76,25.05,25.45,3795900,25.12
