Date,Open,High,Low,Close,Volume,Adj Close
2012-12-24,23.83,24.07,23.71,23.95,361200,23.95
2012-12-21,23.80,24.11,23.69,23.84,2536000,23.84
2012-12-20,24.03,24.20,23.90,24.20,1651500,24.20
2012-12-19,24.35,24.35,23.84,23.97,1918100,23.97
2012-12-18,23.92,24.27,23.68,24.26,1941700,24.26
2012-12-17,23.41,23.76,23.36,23.68,1656200,23.68
2012-12-14,23.19,23.42,23.19,23.27,989700,23.27
2012-12-13,23.74,23.74,23.13,23.22,1544000,23.22
2012-12-12,23.50,23.97,23.43,23.81,2065400,23.56
2012-12-11,23.40,23.59,23.28,23.38,1196400,23.13
2012-12-10,23.18,23.28,23.00,23.25,1371600,23.01
2012-12-07,23.27,23.30,22.98,23.20,1196700,22.96
2012-12-06,23.22,23.29,22.98,23.11,1728200,22.87
2012-12-05,23.02,23.33,22.92,23.19,2823000,22.95
2012-12-04,22.23,23.10,22.23,23.00,2905600,22.76
2012-12-03,22.24,22.53,22.21,22.44,2832300,22.20
2012-11-30,21.60,22.17,21.60,22.15,2983400,21.92
2012-11-29,21.41,21.68,21.26,21.64,2495500,21.41
2012-11-28,20.82,21.35,20.75,21.27,3311700,21.05
2012-11-27,20.86,20.98,20.81,20.91,3500800,20.69
2012-11-26,21.02,21.15,20.82,20.88,2693100,20.66
2012-11-23,21.20,21.28,21.00,21.10,1562700,20.88
2012-11-21,20.98,21.10,20.94,21.02,2218900,20.80
2012-11-20,20.87,20.97,20.71,20.97,1891200,20.75
2012-11-19,21.13,21.13,20.79,20.87,2632300,20.65
2012-11-16,20.52,20.82,19.99,20.48,2082700,20.26
2012-11-15,20.71,20.74,20.26,20.50,1802800,20.28
2012-11-14,21.00,21.08,20.61,20.70,2487600,20.48
2012-11-13,20.99,21.28,20.68,20.75,3149600,20.53
2012-11-12,22.73,22.73,20.55,21.14,12248400,20.92
2012-11-09,21.33,22.04,21.28,21.80,661000,21.57
2012-11-08,21.81,22.09,21.41,21.44,755000,21.21
2012-11-07,22.58,22.73,21.69,21.75,1299900,21.52
2012-11-06,22.88,23.14,22.78,23.10,636800,22.86
2012-11-05,22.45,22.93,22.45,22.77,416400,22.53
2012-11-02,23.15,23.15,22.54,22.61,696000,22.37
2012-11-01,22.78,23.11,22.63,22.97,1663000,22.73
2012-10-31,22.67,22.86,22.56,22.70,895200,22.46
2012-10-26,22.76,22.86,22.40,22.51,666400,22.27
2012-10-25,22.51,22.83,22.42,22.81,648500,22.57
2012-10-24,22.28,22.38,22.05,22.18,545400,21.95
2012-10-23,22.43,22.50,22.05,22.24,715000,22.01
2012-10-22,22.61,22.91,22.39,22.71,489200,22.47
2012-10-19,23.02,23.15,22.63,22.64,897100,22.40
2012-10-18,22.88,23.13,22.77,23.08,921300,22.84
2012-10-17,22.53,23.04,22.42,22.98,729900,22.74
2012-10-16,22.41,22.55,22.13,22.44,537400,22.20
2012-10-15,22.34,22.36,21.99,22.28,546800,22.05
2012-10-12,22.21,22.34,21.95,22.12,565900,21.89
2012-10-11,22.47,22.50,22.16,22.25,645300,22.02
2012-10-10,22.40,22.52,22.05,22.14,589500,21.91
2012-10-09,22.84,22.93,22.40,22.41,736700,22.17
2012-10-08,22.82,22.92,22.66,22.84,524600,22.60
2012-10-05,23.36,23.50,22.91,22.94,746200,22.70
2012-10-04,23.08,23.29,22.99,23.18,676700,22.94
2012-10-03,23.02,23.20,22.85,22.90,687200,22.66
2012-10-02,22.97,23.21,22.71,22.97,648100,22.73
2012-10-01,22.92,23.35,22.83,22.89,916600,22.65
2012-09-28,22.97,23.09,22.65,22.75,884500,22.51
2012-09-27,23.23,23.39,23.09,23.12,996800,22.88
2012-09-26,23.03,23.27,22.85,23.03,604200,22.79
2012-09-25,24.11,24.13,23.02,23.03,930400,22.79
2012-09-24,23.30,24.07,23.30,23.90,1334400,23.65
2012-09-21,23.97,24.00,23.39,23.57,1544700,23.32
2012-09-20,23.63,23.88,23.27,23.74,769000,23.49
2012-09-19,23.44,24.05,23.29,23.91,915800,23.66
2012-09-18,23.33,23.52,23.18,23.39,602400,23.14
2012-09-17,23.88,23.89,23.24,23.39,589400,23.14
2012-09-14,23.00,23.94,23.00,23.89,984000,23.64
2012-09-13,22.23,22.97,22.06,22.90,949500,22.66
2012-09-12,22.13,22.43,22.09,22.25,764100,22.02
2012-09-11,21.90,22.22,21.87,22.04,431900,21.81
2012-09-10,22.01,22.18,21.81,21.85,806200,21.62
2012-09-07,21.67,22.06,21.57,22.04,920300,21.81
2012-09-06,21.13,21.76,21.13,21.51,1002300,21.28
2012-09-05,21.20,21.27,20.81,20.93,1015200,20.71
2012-09-04,21.38,21.38,21.02,21.11,1132400,20.89
2012-08-31,21.47,21.69,21.25,21.38,878000,21.16
2012-08-30,21.86,21.93,21.29,21.29,807500,21.07
2012-08-29,21.82,22.12,21.82,22.03,500300,21.80
2012-08-28,21.75,21.95,21.71,21.82,609300,21.59
2012-08-27,22.00,22.16,21.72,21.86,471000,21.63
2012-08-24,21.72,22.12,21.60,21.94,554100,21.71
2012-08-23,22.17,22.33,21.75,21.78,524100,21.55
2012-08-22,22.25,22.57,21.97,22.21,502300,21.98
2012-08-21,22.34,22.81,22.25,22.29,555100,22.06
2012-08-20,22.49,22.66,22.15,22.22,535200,21.99
2012-08-17,22.30,22.55,22.24,22.52,504000,22.28
2012-08-16,21.95,22.38,21.88,22.22,477200,21.99
2012-08-15,21.77,22.04,21.73,21.95,359600,21.72
2012-08-14,21.98,22.01,21.56,21.76,483800,21.53
2012-08-13,22.10,22.36,21.73,21.85,437600,21.62
2012-08-10,22.10,22.29,21.92,22.19,400500,21.96
2012-08-09,22.19,22.59,22.14,22.22,606300,21.99
2012-08-08,22.14,22.54,22.04,22.23,565200,22.00
2012-08-07,21.76,22.40,21.75,22.24,583900,22.01
2012-08-06,21.20,21.87,21.20,21.63,681700,21.40
2012-08-03,21.06,21.35,20.86,21.11,685900,20.89
2012-08-02,21.27,21.42,20.42,20.56,1483800,20.34
2012-08-01,21.81,22.05,21.65,21.78,690100,21.55
2012-07-31,22.05,22.25,21.63,21.68,574500,21.45
2012-07-30,22.24,22.47,22.11,22.21,606900,21.98
2012-07-27,21.88,22.51,21.82,22.35,1038500,22.12
2012-07-26,21.46,21.75,21.34,21.58,605600,21.35
2012-07-25,21.30,21.42,20.94,21.00,667800,20.78
2012-07-24,21.34,21.49,20.96,21.14,882800,20.92
2012-07-23,21.03,21.37,21.03,21.31,556600,21.09
2012-07-20,21.80,21.89,21.46,21.49,598400,21.26
2012-07-19,21.96,22.18,21.81,21.95,618100,21.72
2012-07-18,22.01,22.32,21.82,21.93,678900,21.70
2012-07-17,22.34,22.43,21.80,22.11,761900,21.88
2012-07-16,22.27,22.33,21.85,22.16,670600,21.93
2012-07-13,21.46,22.39,21.43,22.33,918400,22.10
2012-07-12,21.41,21.60,21.07,21.43,852500,21.20
2012-07-11,20.91,21.74,20.90,21.63,1060900,21.40
2012-07-10,21.46,21.60,20.81,20.92,782500,20.70
2012-07-09,21.20,21.59,21.00,21.32,946700,21.10
2012-07-06,21.09,21.36,21.09,21.32,564500,21.10
2012-07-05,22.18,22.22,21.35,21.40,1001400,21.18
2012-07-03,21.51,22.29,21.44,22.28,566300,22.05
2012-07-02,21.33,21.58,21.00,21.53,1066400,21.30
2012-06-29,21.23,21.37,21.04,21.27,977000,21.05
2012-06-28,20.50,20.69,20.12,20.68,644200,20.46
2012-06-27,20.37,20.84,20.26,20.72,596700,20.50
2012-06-26,20.41,20.64,20.15,20.27,923800,20.06
2012-06-25,20.82,20.87,20.26,20.33,1014800,20.12
2012-06-22,20.79,21.23,20.69,21.18,1390900,20.96
2012-06-21,21.58,21.69,20.74,20.75,824600,20.53
2012-06-20,21.73,21.83,21.30,21.53,756500,21.30
2012-06-19,21.28,21.84,21.21,21.69,1022800,21.46
2012-06-18,21.23,21.25,21.03,21.08,773600,20.86
2012-06-15,20.88,21.43,20.61,21.41,1571700,21.19
2012-06-14,20.64,20.81,20.47,20.74,814400,20.52
2012-06-13,20.77,20.89,20.48,20.57,1391300,20.35
2012-06-12,20.40,20.85,20.25,20.84,1141000,20.62
2012-06-11,21.00,21.00,20.27,20.30,854200,20.09
2012-06-08,20.35,20.76,20.05,20.76,926100,20.54
2012-06-07,20.93,21.12,20.41,20.51,983800,20.29
2012-06-06,20.22,20.66,20.16,20.66,1017200,20.44
2012-06-05,19.76,20.21,19.75,20.02,1063600,19.81
2012-06-04,20.05,20.14,19.58,19.84,2793100,19.63
2012-06-01,19.90,20.11,19.89,19.99,2336900,19.78
2012-05-31,20.79,20.88,20.05,20.32,3183300,20.11
2012-05-30,21.16,21.22,20.75,20.80,949900,20.58
2012-05-29,21.23,21.53,21.03,21.48,1505300,21.25
2012-05-25,20.97,21.26,20.93,21.03,1123100,20.81
2012-05-24,21.35,21.38,20.75,20.94,1539100,20.72
2012-05-23,20.93,21.43,20.54,21.25,4387300,21.03
2012-05-22,21.23,21.58,21.00,21.15,1391900,20.93
2012-05-21,21.00,21.13,20.90,21.08,2636400,20.86
2012-05-18,21.59,21.59,20.84,20.99,2588400,20.77
2012-05-17,21.52,21.56,20.84,21.41,6216300,21.19
2012-05-16,22.13,22.24,21.45,21.47,1919300,21.24
2012-05-15,22.34,22.39,21.79,21.99,2338600,21.76
2012-05-14,23.02,23.12,22.25,22.31,2107800,22.08
2012-05-11,23.16,23.71,23.01,23.30,1095400,23.06
2012-05-10,24.00,24.12,23.30,23.39,1447200,23.14
2012-05-09,23.50,23.79,23.20,23.69,2039000,23.44
2012-05-08,24.32,24.46,23.75,23.88,2386700,23.63
2012-05-07,24.61,24.88,24.34,24.52,1372200,24.26
2012-05-04,24.70,24.86,24.53,24.61,1029200,24.35
2012-05-03,25.26,25.40,24.79,24.91,1117700,24.65
2012-05-02,25.25,25.42,25.03,25.30,1141600,25.03
2012-05-01,24.79,25.81,24.72,25.50,894600,25.23
2012-04-30,24.96,25.02,24.72,24.86,790900,24.60
2012-04-27,25.15,25.26,24.70,25.09,618000,24.83
2012-04-26,24.63,25.20,24.56,25.04,1103300,24.78
2012-04-25,24.79,24.96,24.46,24.78,653600,24.52
2012-04-24,24.10,24.58,24.04,24.44,878500,24.18
2012-04-23,23.97,24.14,23.75,24.03,856600,23.78
2012-04-20,24.46,24.59,24.36,24.41,944100,24.15
2012-04-19,24.20,24.55,24.10,24.32,955200,24.06
2012-04-18,24.15,24.27,24.00,24.15,852100,23.90
2012-04-17,24.22,24.50,24.21,24.29,681800,24.03
2012-04-16,24.35,24.49,23.88,23.94,726900,23.69
2012-04-13,24.78,24.80,24.01,24.15,1053900,23.90
2012-04-12,23.90,24.89,23.90,24.85,981300,24.59
2012-04-11,24.23,24.33,23.79,23.86,757900,23.61
2012-04-10,24.26,24.35,23.78,23.85,1224700,23.60
2012-04-09,24.32,24.55,24.19,24.33,1018300,24.07
2012-04-05,24.65,25.25,24.65,24.87,843600,24.61
2012-04-04,25.31,25.40,24.79,24.79,1381200,24.53
2012-04-03,25.99,26.08,25.47,25.63,1023300,25.36
2012-04-02,25.99,26.33,25.94,25.99,1238100,25.72
2012-03-30,26.51,26.71,25.99,26.10,912900,25.83
2012-03-29,26.59,26.62,25.89,26.34,823000,26.06
2012-03-28,26.99,27.17,26.41,26.80,778200,26.52
2012-03-27,27.43,27.50,26.98,26.99,759400,26.71
2012-03-26,27.31,27.53,27.18,27.41,928200,27.12
2012-03-23,26.45,27.25,26.41,26.88,864300,26.60
2012-03-22,27.44,27.48,26.69,26.69,1132900,26.41
2012-03-21,28.42,28.42,27.79,27.79,701900,27.50
2012-03-20,28.34,28.59,28.01,28.31,799400,28.01
2012-03-19,27.90,28.65,27.88,28.51,788400,28.21
2012-03-16,27.28,28.03,27.28,27.96,1354900,27.67
2012-03-15,27.15,27.41,26.98,27.24,948800,26.95
2012-03-14,27.50,27.63,27.09,27.11,779700,26.83
2012-03-13,27.03,27.51,26.95,27.50,1148800,27.21
2012-03-12,27.05,27.11,26.62,26.74,494400,26.46
2012-03-09,26.77,27.10,26.73,26.96,685000,26.68
2012-03-08,26.93,27.00,26.60,26.77,847700,26.49
2012-03-07,26.76,26.92,26.58,26.64,868300,26.36
2012-03-06,27.30,27.33,26.51,26.60,886600,26.32
2012-03-05,28.17,28.32,27.59,27.84,740500,27.55
2012-03-02,28.38,28.72,28.15,28.17,959300,27.87
2012-03-01,28.63,28.75,28.17,28.38,1149500,28.08
2012-02-29,29.01,29.05,28.37,28.49,1074200,28.19
2012-02-28,29.14,29.39,28.74,28.95,688000,28.65
2012-02-27,28.51,29.21,28.39,29.05,658000,28.74
2012-02-24,29.46,29.57,28.77,28.80,576300,28.50
2012-02-23,28.49,29.44,28.40,29.36,946700,29.05
2012-02-22,28.90,29.24,28.48,28.49,639900,28.19
2012-02-21,29.42,29.58,28.90,28.98,736900,28.68
2012-02-17,29.30,29.70,29.11,29.36,875800,29.05
2012-02-16,28.44,29.29,28.43,29.08,825200,28.77
2012-02-15,28.74,28.98,28.36,28.45,752500,28.15
2012-02-14,29.50,29.51,28.50,28.63,975100,28.33
2012-02-13,29.56,29.79,29.37,29.72,549100,29.41
2012-02-10,29.04,29.30,28.88,29.18,469800,28.87
2012-02-09,29.52,29.70,29.05,29.42,604400,29.11
2012-02-08,29.39,29.74,29.21,29.46,457800,29.15
2012-02-07,29.36,29.48,29.07,29.36,554800,29.05
2012-02-06,29.45,29.56,29.23,29.54,524500,29.23
