Date,Open,High,Low,Close,Volume,Adj Close
2012-12-24,10.47,10.53,10.37,10.43,1901700,10.43
2012-12-21,10.44,10.55,10.35,10.46,9204100,10.46
2012-12-20,10.58,10.58,10.43,10.54,7193000,10.54
2012-12-19,10.43,10.61,10.39,10.56,6348800,10.56
2012-12-18,10.36,10.51,10.34,10.50,6126500,10.50
2012-12-17,10.25,10.43,10.24,10.36,11031800,10.36
2012-12-14,10.18,10.41,10.13,10.19,9643300,10.19
2012-12-13,10.03,10.23,10.00,10.14,5494600,10.14
2012-12-12,10.13,10.17,9.96,10.02,8867600,10.02
2012-12-11,9.88,10.20,9.85,10.12,9535400,10.12
2012-12-10,9.75,9.92,9.70,9.84,4429900,9.84
2012-12-07,9.87,9.89,9.73,9.81,4993900,9.81
2012-12-06,9.79,9.88,9.77,9.88,6328500,9.88
2012-12-05,9.60,9.82,9.59,9.79,13716800,9.79
2012-12-04,9.47,9.68,9.47,9.63,8287300,9.63
2012-12-03,9.58,9.58,9.42,9.44,4550700,9.43
2012-11-30,9.50,9.58,9.46,9.53,6930100,9.52
2012-11-29,9.46,9.55,9.43,9.50,7567600,9.49
2012-11-28,9.29,9.48,9.24,9.43,7062000,9.42
2012-11-27,9.37,9.44,9.29,9.29,6636400,9.28
2012-11-26,9.30,9.40,9.16,9.40,6263000,9.39
2012-11-23,9.24,9.37,9.21,9.37,2651200,9.36
2012-11-21,9.11,9.28,9.06,9.23,5718500,9.22
2012-11-20,9.12,9.15,8.99,9.11,7274600,9.10
2012-11-19,9.00,9.11,8.92,9.10,5355400,9.09
2012-11-16,8.82,8.94,8.70,8.93,8671800,8.92
2012-11-15,8.74,8.95,8.74,8.84,6886300,8.83
2012-11-14,9.03,9.10,8.75,8.76,8789100,8.75
2012-11-13,9.01,9.21,9.00,9.03,4394100,9.02
2012-11-12,9.08,9.13,8.97,9.07,5183200,9.06
2012-11-09,9.14,9.32,9.03,9.06,9317900,9.05
2012-11-08,9.01,9.22,8.99,9.18,5744200,9.17
2012-11-07,9.06,9.13,8.93,9.01,4980800,9.00
2012-11-06,9.04,9.16,8.98,9.15,7381000,9.14
2012-11-05,9.03,9.09,8.99,9.04,4066700,9.03
2012-11-02,9.07,9.10,8.95,9.03,6426000,9.02
2012-11-01,8.82,9.07,8.82,9.05,6272600,9.04
2012-10-31,8.75,8.92,8.74,8.82,3979000,8.81
2012-10-26,8.84,8.90,8.69,8.74,4881500,8.73
2012-10-25,8.80,8.92,8.74,8.83,5779000,8.82
2012-10-24,8.81,8.88,8.71,8.75,5078000,8.74
2012-10-23,8.78,8.83,8.68,8.79,10538000,8.78
2012-10-22,8.90,8.95,8.70,8.83,7207400,8.82
2012-10-19,9.03,9.10,8.86,8.88,5228100,8.87
2012-10-18,8.98,9.10,8.95,8.98,12259700,8.97
2012-10-17,8.89,9.03,8.85,8.95,4527100,8.94
2012-10-16,8.91,9.00,8.86,8.88,5643100,8.87
2012-10-15,8.87,8.92,8.81,8.89,4097600,8.88
2012-10-12,8.68,8.88,8.68,8.84,5991100,8.83
2012-10-11,8.80,8.83,8.71,8.71,4266100,8.70
2012-10-10,8.78,8.87,8.70,8.77,5146800,8.76
2012-10-09,8.85,8.89,8.74,8.75,4408600,8.74
2012-10-08,8.99,9.03,8.86,8.86,5250100,8.85
2012-10-05,9.06,9.17,8.84,8.97,9287700,8.96
2012-10-04,9.16,9.16,9.05,9.10,6377900,9.09
2012-10-03,9.00,9.14,8.93,9.14,11925600,9.13
2012-10-02,8.85,8.98,8.85,8.98,8975200,8.97
2012-10-01,8.78,8.94,8.75,8.86,6385400,8.85
2012-09-28,8.87,8.87,8.75,8.77,6275500,8.76
2012-09-27,8.93,8.96,8.80,8.88,5300500,8.87
2012-09-26,8.82,8.98,8.82,8.92,4661200,8.91
2012-09-25,8.87,8.95,8.82,8.84,5386500,8.83
2012-09-24,8.82,8.99,8.79,8.89,5014800,8.88
2012-09-21,9.02,9.04,8.80,8.84,7461100,8.83
2012-09-20,9.00,9.05,8.87,8.94,3927200,8.93
2012-09-19,8.99,9.14,8.96,9.06,7464900,9.05
2012-09-18,9.05,9.06,8.86,8.92,5694200,8.91
2012-09-17,9.01,9.11,8.90,9.05,8382400,9.04
2012-09-14,9.11,9.13,9.02,9.07,5267200,9.06
2012-09-13,9.15,9.18,9.01,9.11,6266800,9.10
2012-09-12,8.97,9.26,8.96,9.18,8283500,9.17
2012-09-11,9.13,9.13,8.95,8.95,7131700,8.94
2012-09-10,9.23,9.28,9.13,9.15,5706100,9.14
2012-09-07,9.15,9.26,9.03,9.19,8915200,9.18
2012-09-06,9.13,9.32,9.05,9.21,6760300,9.20
2012-09-05,8.82,9.11,8.82,9.09,6485800,9.08
2012-09-04,8.93,8.93,8.77,8.85,5893800,8.84
2012-08-31,9.02,9.10,8.92,8.94,4725800,8.93
2012-08-30,8.85,9.04,8.83,8.96,4138400,8.95
2012-08-29,8.97,8.99,8.81,8.89,4875400,8.88
2012-08-28,9.05,9.10,8.93,8.98,7867700,8.97
2012-08-27,9.21,9.24,9.06,9.07,5350600,9.06
2012-08-24,9.26,9.32,9.20,9.21,5957300,9.20
2012-08-23,9.33,9.38,9.28,9.30,8823100,9.29
2012-08-22,9.44,9.46,9.29,9.32,8256300,9.31
2012-08-21,9.42,9.53,9.41,9.46,13899600,9.45
2012-08-20,9.10,9.49,9.08,9.44,14482400,9.43
2012-08-17,9.11,9.15,9.06,9.13,5748700,9.12
2012-08-16,9.03,9.09,9.00,9.07,7062800,9.06
2012-08-15,8.96,9.04,8.95,9.02,5134600,9.01
2012-08-14,9.02,9.11,8.91,9.01,9670800,9.00
2012-08-13,9.03,9.12,8.97,9.12,6648500,9.10
2012-08-10,9.00,9.07,8.92,9.07,4176200,9.05
