Date,Open,High,Low,Close,Volume,Adj Close
2012-12-24,23.46,23.67,23.36,23.48,404700,23.48
2012-12-21,23.52,23.58,22.73,23.52,1911100,23.52
2012-12-20,24.05,24.09,23.76,23.88,644800,23.88
2012-12-19,23.96,24.37,23.85,23.90,947600,23.90
2012-12-18,23.32,23.97,23.20,23.84,1364400,23.84
2012-12-17,23.15,23.69,23.01,23.22,953500,23.22
2012-12-14,23.34,23.75,23.05,23.18,1101400,23.18
2012-12-13,23.17,23.88,23.13,23.49,2992300,23.49
2012-12-12,25.46,25.67,24.97,25.08,1012000,25.08
2012-12-11,25.66,25.99,25.28,25.45,845700,25.45
2012-12-10,25.00,25.59,24.96,25.55,797500,25.55
2012-12-07,25.06,25.29,24.65,24.96,712900,24.96
2012-12-06,24.30,25.11,24.22,25.03,1161300,25.03
2012-12-05,24.37,24.66,24.20,24.27,1695300,24.27
2012-12-04,24.13,24.57,24.04,24.36,1216300,24.36
2012-12-03,24.55,24.62,24.00,24.10,1336000,24.10
2012-11-30,24.52,24.63,24.15,24.33,1655300,24.33
2012-11-29,24.22,24.72,23.81,24.47,2459800,24.47
2012-11-28,24.01,24.34,23.54,24.09,2487800,24.09
2012-11-27,24.84,25.00,24.47,24.50,1658300,24.20
2012-11-26,25.49,25.96,24.67,24.85,3213500,24.55
2012-11-23,24.37,25.70,24.37,25.61,850200,25.30
2012-11-21,24.03,24.34,23.88,24.22,1014800,23.92
2012-11-20,23.99,24.11,23.72,23.99,1371500,23.70
2012-11-19,23.11,24.70,22.99,24.04,2456100,23.75
2012-11-16,23.20,23.38,22.71,23.10,2785100,22.82
2012-11-15,22.08,23.60,22.03,23.32,3044900,23.03
2012-11-14,21.83,23.00,21.83,22.12,2529200,21.85
2012-11-13,21.38,21.99,21.10,21.84,1904900,21.57
2012-11-12,21.80,22.00,21.35,21.45,956500,21.19
2012-11-09,21.40,21.90,21.40,21.72,1455800,21.45
2012-11-08,21.41,21.72,21.22,21.52,1143700,21.26
2012-11-07,21.52,21.71,21.24,21.43,1468000,21.17
2012-11-06,21.62,21.87,21.38,21.78,1097800,21.51
2012-11-05,21.36,21.79,21.25,21.47,930400,21.21
2012-11-02,22.18,22.43,21.25,21.40,1453100,21.14
2012-11-01,21.46,22.12,21.07,22.06,1386400,21.79
2012-10-31,21.60,21.60,21.13,21.26,1324700,21.00
2012-10-26,21.83,21.86,21.16,21.38,1585500,21.12
2012-10-25,21.46,22.16,21.44,21.73,2223600,21.46
2012-10-24,22.77,22.83,20.93,21.33,3462200,21.07
2012-10-23,21.52,22.96,21.52,22.52,4105700,22.24
2012-10-22,21.65,21.79,21.34,21.65,1991100,21.38
2012-10-19,21.90,22.09,21.38,21.68,1265800,21.41
2012-10-18,21.60,22.01,21.21,21.92,1536100,21.65
2012-10-17,21.48,21.78,21.03,21.59,1325200,21.33
2012-10-16,21.16,21.66,20.89,21.50,1317800,21.24
2012-10-15,21.01,21.20,20.70,21.08,858000,20.82
2012-10-12,20.92,21.20,20.57,20.88,1248600,20.62
2012-10-11,20.91,21.21,20.75,20.79,1283000,20.54
2012-10-10,21.11,21.11,20.66,20.73,1524600,20.48
2012-10-09,21.94,22.08,20.83,21.07,2188800,20.81
2012-10-08,21.51,22.28,21.31,22.10,1830000,21.83
2012-10-05,21.37,22.30,21.31,21.55,3638100,21.29
2012-10-04,21.22,21.23,20.63,21.23,3141800,20.97
2012-10-03,22.00,22.24,20.97,21.13,2907500,20.87
2012-10-02,21.80,22.16,21.39,21.80,2554100,21.53
2012-10-01,22.44,22.44,21.63,21.66,3981600,21.39
2012-09-28,22.84,23.01,21.66,22.25,21940400,21.98
2012-09-27,22.40,23.09,22.22,22.87,1843600,22.59
2012-09-26,22.35,22.42,21.88,22.19,2336000,21.92
2012-09-25,22.66,23.07,22.27,22.35,3155700,22.08
2012-09-24,23.44,23.44,22.74,22.76,1744400,22.48
2012-09-21,23.94,24.00,23.28,23.44,1884100,23.15
2012-09-20,23.82,23.88,23.32,23.76,1468700,23.47
2012-09-19,23.81,24.14,23.69,23.86,1639400,23.57
2012-09-18,23.74,23.93,23.55,23.84,1378000,23.55
2012-09-17,24.03,24.16,23.56,23.72,1277800,23.43
2012-09-14,22.76,24.19,22.73,23.99,3133600,23.70
2012-09-13,22.13,22.64,21.82,22.53,1717800,22.25
2012-09-12,22.03,22.40,21.97,22.31,1473800,22.04
2012-09-11,21.71,22.08,21.52,21.98,1578300,21.71
2012-09-10,21.74,21.93,21.56,21.67,1749600,21.40
2012-09-07,21.70,21.90,21.61,21.64,1432100,21.38
2012-09-06,21.36,21.82,21.21,21.70,1485400,21.43
2012-09-05,21.06,21.75,20.94,21.32,2099500,21.06
2012-09-04,21.89,21.93,21.00,21.14,1801100,20.88
2012-08-31,21.76,21.95,21.37,21.71,2993600,21.44
2012-08-30,21.05,21.86,20.92,21.53,4193100,21.27
2012-08-29,21.43,21.49,20.47,21.07,4615900,20.81
2012-08-28,18.86,22.75,18.86,21.62,13204200,21.06
2012-08-27,19.46,19.55,18.93,19.01,2486900,18.52
2012-08-24,19.44,19.87,19.35,19.45,2531600,18.95
2012-08-23,19.75,19.75,19.10,19.44,2311600,18.94
2012-08-22,20.65,20.83,19.71,19.87,2546800,19.35
2012-08-21,20.85,21.36,20.55,20.75,1659700,20.21
2012-08-20,20.54,20.76,20.36,20.75,962100,20.21
2012-08-17,20.36,20.54,20.25,20.51,1230600,19.98
2012-08-16,19.92,20.48,19.90,20.31,1291900,19.78
2012-08-15,19.46,19.85,19.35,19.81,998900,19.30
2012-08-14,19.71,19.74,19.33,19.43,1297100,18.93
2012-08-13,19.92,20.05,19.40,19.58,1743500,19.07
