Date,Open,High,Low,Close,Volume,Adj Close
2013-01-07,36.23,36.49,35.80,36.02,3056700,36.02
2013-01-04,37.00,37.03,36.28,36.45,3408300,36.45
2013-01-03,37.02,37.11,36.50,36.72,4091600,36.72
2013-01-02,37.18,37.48,36.70,36.80,4359700,36.80
2012-12-31,35.79,36.62,35.60,36.62,1784100,36.62
2012-12-28,35.71,36.13,35.69,35.84,2250400,35.84
2012-12-27,36.07,36.24,35.55,36.14,3135700,36.14
2012-12-26,36.67,36.85,36.07,36.21,1361300,36.21
2012-12-24,37.36,37.53,36.44,36.60,1247200,36.60
2012-12-21,37.20,37.20,36.77,36.89,5145900,36.89
2012-12-20,37.51,37.59,37.09,37.34,2007400,37.34
2012-12-19,37.61,37.93,37.36,37.38,2145400,37.38
2012-12-18,37.16,37.72,37.00,37.53,2282300,37.53
2012-12-17,36.97,37.20,36.87,37.20,2110200,37.20
2012-12-14,36.82,37.21,36.75,36.94,1802000,36.94
2012-12-13,37.25,37.40,36.83,36.85,1740700,36.85
2012-12-12,37.42,37.56,37.13,37.19,1563900,37.19
2012-12-11,37.14,37.50,37.07,37.33,1359000,37.33
2012-12-10,37.09,37.42,36.96,37.07,1683100,37.07
2012-12-07,37.18,37.24,36.62,37.07,1377400,37.07
2012-12-06,36.75,37.12,36.64,37.11,1406200,37.11
2012-12-05,36.73,37.04,36.48,36.71,1680400,36.71
2012-12-04,36.94,37.00,36.60,36.79,1727100,36.79
2012-12-03,37.75,37.79,36.84,36.90,1634800,36.90
2012-11-30,37.20,37.59,37.12,37.51,2371300,37.51
2012-11-29,36.93,37.15,36.77,37.02,1409100,37.02
2012-11-28,36.40,36.83,36.27,36.80,1837300,36.80
2012-11-27,36.60,36.86,36.40,36.44,1488500,36.44
2012-11-26,36.67,36.74,36.48,36.72,1589100,36.72
2012-11-23,36.46,36.96,36.39,36.87,773500,36.56
2012-11-21,36.33,36.38,36.03,36.27,1018300,35.97
2012-11-20,35.83,36.30,35.66,36.19,1405400,35.89
2012-11-19,35.77,35.89,35.31,35.84,1881000,35.54
2012-11-16,35.07,35.35,34.85,35.31,2134200,35.01
2012-11-15,35.04,35.34,34.85,35.12,1855600,34.82
2012-11-14,35.65,35.65,35.01,35.11,1937500,34.81
2012-11-13,35.58,35.99,35.50,35.50,1879800,35.20
2012-11-12,35.95,36.68,35.68,35.80,978200,35.50
2012-11-09,35.74,36.14,35.67,35.99,1682600,35.69
2012-11-08,35.95,36.26,35.85,35.90,1841600,35.60
2012-11-07,36.47,36.60,36.09,36.25,1970500,35.95
2012-11-06,36.62,37.00,36.48,36.81,1504600,36.50
2012-11-05,36.29,36.55,36.08,36.48,1599900,36.17
2012-11-02,37.21,37.25,36.44,36.46,2308300,36.15
2012-11-01,37.00,37.17,36.82,37.16,2636100,36.85
2012-10-31,36.92,37.00,36.65,36.78,1783300,36.47
2012-10-26,36.89,36.96,36.59,36.85,2073600,36.54
