Date,Open,High,Low,Close,Volume,Adj Close
2009-12-24,63.34,63.71,63.25,63.42,2577300,57.76
2009-12-23,62.97,63.68,62.57,63.36,5889700,57.71
2009-12-22,62.68,63.09,62.66,62.97,3418500,57.35
2009-12-21,62.24,63.08,62.14,62.66,4625700,57.07
2009-12-18,61.99,62.43,61.97,62.17,9854100,56.62
2009-12-17,62.24,62.48,61.92,61.92,5418500,56.39
2009-12-16,62.32,62.74,61.93,62.42,5647100,56.85
2009-12-15,62.24,62.43,61.89,62.00,4952700,56.47
2009-12-14,62.25,62.40,61.82,62.14,5632900,56.59
2009-12-11,61.37,61.91,61.19,61.66,5864400,56.16
2009-12-10,60.98,61.35,60.69,61.05,8035900,55.60
2009-12-09,60.73,61.03,60.33,60.60,10911800,55.19
2009-12-08,60.45,60.90,60.04,60.61,14696700,55.20
2009-12-07,61.66,62.26,61.29,61.93,9036800,56.40
2009-12-04,62.46,62.70,61.14,61.59,9497500,56.09
2009-12-03,62.63,62.85,61.95,61.97,10761500,56.44
2009-12-02,63.50,63.85,62.49,62.50,10518400,56.92
2009-12-01,63.64,64.05,63.51,63.54,9614400,57.87
2009-11-30,63.76,63.76,63.03,63.25,6566200,57.61
2009-11-27,62.98,63.86,62.98,63.60,3557900,57.92
2009-11-25,64.41,64.60,64.27,64.45,7602400,58.20
2009-11-24,64.01,64.29,63.27,64.22,8274400,57.99
2009-11-23,64.30,64.30,63.68,63.99,6871700,57.78
2009-11-20,63.36,64.19,63.25,63.97,8850700,57.76
2009-11-19,63.94,63.94,63.05,63.41,5848400,57.26
2009-11-18,63.61,63.98,63.22,63.98,6986500,57.77
2009-11-17,64.34,64.48,63.45,63.57,8589300,57.40
2009-11-16,63.92,64.75,63.71,64.53,12109900,58.27
2009-11-13,62.23,63.80,62.17,63.58,9692300,57.41
2009-11-12,62.72,62.81,61.99,62.17,6417500,56.14
2009-11-11,62.68,63.10,62.45,62.83,6643100,56.73
2009-11-10,62.49,62.76,61.98,62.28,7408400,56.24
2009-11-09,62.27,62.88,62.13,62.64,10517300,56.56
2009-11-06,61.05,62.18,61.03,61.72,10795100,55.73
2009-11-05,60.46,61.50,60.29,61.48,11000400,55.52
2009-11-04,59.50,60.85,59.20,60.29,12294800,54.44
2009-11-03,58.82,59.54,58.82,59.24,6562000,53.49
2009-11-02,58.84,59.54,58.60,59.16,7583300,53.42
2009-10-30,59.09,59.50,58.56,58.61,9878800,52.92
2009-10-29,58.98,59.22,58.60,59.14,6950800,53.40
2009-10-28,58.65,59.32,58.60,58.64,8752500,52.95
2009-10-27,59.22,59.28,58.44,59.02,8336600,53.29
2009-10-26,59.51,59.96,59.12,59.20,9020300,53.46
2009-10-23,59.50,59.61,59.02,59.43,7629500,53.66
2009-10-22,59.87,60.60,59.09,59.50,24641000,53.73
2009-10-21,58.80,59.11,58.00,58.33,9619500,52.67
2009-10-20,59.60,59.65,58.62,58.92,7608600,53.20
2009-10-19,58.97,59.45,58.82,59.28,7560600,53.53
2009-10-16,58.08,59.23,58.06,58.78,9980400,53.08
2009-10-15,57.27,58.25,57.27,58.20,8141000,52.55
2009-10-14,57.40,57.93,57.39,57.50,7580200,51.92
2009-10-13,56.71,57.30,56.68,57.05,6164500,51.52
2009-10-12,56.93,57.54,56.57,56.68,8550100,51.18
2009-10-09,56.54,56.77,56.03,56.70,10227800,51.20
2009-10-08,57.47,57.62,56.81,56.87,8713600,51.35
2009-10-07,57.23,57.56,56.72,57.14,7284400,51.60
2009-10-06,56.72,57.64,56.72,57.44,7164800,51.87
2009-10-05,56.90,57.00,56.29,56.61,8040800,51.12
2009-10-02,56.27,57.18,56.09,56.71,8862000,51.21
2009-10-01,56.99,57.14,56.46,56.74,10006000,51.24
2009-09-30,56.96,57.33,56.22,57.07,9826300,51.53
2009-09-29,57.18,57.66,57.05,57.17,7542100,51.62
2009-09-28,57.24,57.67,57.08,57.17,7784200,51.62
2009-09-25,56.48,57.46,56.42,56.95,11279900,51.43
2009-09-24,55.68,56.39,55.54,56.12,9271400,50.68
2009-09-23,55.88,56.27,55.50,55.54,8589400,50.15
2009-09-22,56.50,56.50,55.58,55.81,8013300,50.40
2009-09-21,56.54,56.75,55.83,56.14,9820100,50.69
2009-09-18,56.60,57.00,56.30,57.00,14364400,51.47
2009-09-17,56.41,56.73,56.05,56.46,9719900,50.98
2009-09-16,55.29,56.64,55.00,56.47,17384000,50.99
2009-09-15,54.59,55.29,54.17,54.98,14272000,49.65
2009-09-14,54.10,54.34,53.88,54.23,10273400,48.97
2009-09-11,55.11,55.12,54.23,54.39,12205600,49.11
2009-09-10,55.25,55.39,54.75,54.85,12450400,49.53
2009-09-09,55.12,55.52,54.69,55.09,17822200,49.75
2009-09-08,56.40,56.62,56.00,56.22,7479600,50.77
2009-09-04,55.60,56.24,55.40,56.14,4877700,50.69
2009-09-03,55.55,55.60,55.06,55.57,5680000,50.18
2009-09-02,55.64,55.70,54.69,55.37,6959000,50.00
2009-09-01,56.05,56.40,55.46,55.64,7785000,50.24
2009-08-31,55.75,56.24,55.65,56.24,7888500,50.78
2009-08-28,57.02,57.05,55.76,56.07,8683600,50.63
2009-08-27,57.06,57.18,56.59,57.16,8462900,51.16
2009-08-26,56.47,57.22,56.30,57.00,8253300,51.02
2009-08-25,56.18,56.75,56.15,56.45,7442300,50.53
2009-08-24,56.38,56.38,55.70,55.91,6638900,50.04
2009-08-21,56.50,56.62,56.05,56.27,7671200,50.37
2009-08-20,55.76,56.25,55.65,56.14,5522000,50.25
2009-08-19,55.21,55.99,55.11,55.65,7963800,49.81
2009-08-18,54.57,55.27,54.43,55.26,10305500,49.46
2009-08-17,54.77,55.24,54.50,54.50,10440700,48.78
2009-08-14,55.69,55.80,54.83,55.27,7705200,49.47
2009-08-13,56.45,56.65,55.56,55.78,9925900,49.93
2009-08-12,55.91,56.63,55.76,56.26,7223000,50.36
2009-08-11,56.06,56.37,55.85,56.02,8713800,50.14
2009-08-10,55.80,56.49,55.75,56.27,11008600,50.37
2009-08-07,55.08,55.40,54.79,55.20,8137200,49.41
2009-08-06,55.20,55.25,54.67,54.84,10248700,49.09
2009-08-05,55.13,55.24,54.80,55.09,9426200,49.31
2009-08-04,55.32,55.49,54.91,55.01,11782200,49.24
2009-08-03,55.11,55.39,54.68,55.13,10607000,49.35
2009-07-31,55.50,55.79,54.92,55.06,13519700,49.28
2009-07-30,56.61,56.69,55.55,55.59,13845700,49.76
2009-07-29,56.25,56.96,56.20,56.41,8002500,50.49
2009-07-28,55.90,56.70,55.80,56.47,8744700,50.55
2009-07-27,56.22,56.31,55.70,55.97,7792100,50.10
2009-07-24,56.39,56.47,55.75,56.08,12337100,50.20
2009-07-23,56.99,57.19,55.62,56.09,34243500,50.21
2009-07-22,58.53,59.59,58.48,58.82,9146200,52.65
2009-07-21,58.52,58.67,57.91,58.63,7748400,52.48
2009-07-20,58.22,58.50,57.98,58.28,8093200,52.17
2009-07-17,57.34,58.05,57.26,57.84,9767400,51.77
2009-07-16,57.19,57.33,56.92,57.22,10080300,51.22
2009-07-15,57.48,57.49,56.71,57.08,11899500,51.09
2009-07-14,57.24,57.52,56.86,57.46,6670400,51.43
2009-07-13,57.07,57.53,56.56,57.27,7057400,51.26
2009-07-10,56.56,57.72,56.56,57.05,6739400,51.07
2009-07-09,57.25,57.29,56.28,56.77,7793600,50.81
2009-07-08,57.10,57.19,56.44,57.04,10771500,51.06
2009-07-07,58.00,58.00,56.75,56.80,8192600,50.84
2009-07-06,57.08,58.24,56.80,57.99,7533100,51.91
2009-07-02,57.69,57.83,57.25,57.45,6970800,51.42
2009-07-01,57.65,58.55,57.65,58.22,5733500,52.11
2009-06-30,57.30,58.14,57.21,57.49,7334500,51.46
2009-06-29,57.19,57.35,56.60,57.23,6641600,51.23
2009-06-26,57.39,57.40,56.75,57.00,8195100,51.02
2009-06-25,56.21,57.70,56.15,57.46,7841400,51.43
2009-06-24,57.07,57.10,56.04,56.30,7297500,50.39
2009-06-23,57.54,57.61,56.64,56.76,7329300,50.81
2009-06-22,57.80,58.02,57.13,57.20,7651100,51.20
2009-06-19,58.41,58.83,58.00,58.17,9602400,52.07
2009-06-18,57.55,58.82,57.21,58.16,6944300,52.06
2009-06-17,57.21,58.12,57.21,57.37,7216600,51.35
2009-06-16,57.91,57.91,56.82,57.07,8714200,51.08
2009-06-15,58.10,58.15,57.24,57.78,7538200,51.72
2009-06-12,57.72,58.48,57.50,58.36,7063000,52.24
2009-06-11,58.32,58.71,57.63,57.67,9316200,51.62
2009-06-10,59.60,59.62,57.87,58.36,9999800,52.24
2009-06-09,59.02,59.55,58.75,59.08,7947200,52.88
2009-06-08,58.58,59.18,57.75,58.72,14756100,52.56
2009-06-05,60.40,60.49,59.35,59.87,10285700,53.59
2009-06-04,60.65,60.65,59.80,60.24,10236900,53.92
2009-06-03,59.85,61.01,59.75,60.99,10424500,54.14
2009-06-02,59.57,60.77,59.48,60.38,9332000,53.60
2009-06-01,59.18,59.99,58.92,59.85,7746100,53.13
2009-05-29,58.28,59.03,57.69,58.99,8060100,52.37
2009-05-28,57.89,58.60,57.40,58.13,8402400,51.61
2009-05-27,58.68,58.95,57.77,57.82,10434900,51.33
2009-05-26,56.97,58.92,56.78,58.84,12256200,52.24
2009-05-22,55.92,57.69,55.69,57.08,10726600,50.67
2009-05-21,55.68,56.25,55.22,55.69,10264600,49.44
2009-05-20,55.18,57.00,55.02,56.25,15246900,49.94
2009-05-19,54.34,54.46,53.72,53.87,6328800,47.82
2009-05-18,53.51,54.27,53.04,54.20,8250700,48.12
2009-05-15,53.47,54.54,53.04,53.46,8267800,47.46
2009-05-14,53.36,54.12,53.24,53.57,8224700,47.56
2009-05-13,53.52,53.92,53.14,53.49,8666900,47.49
2009-05-12,54.74,54.81,53.25,53.97,8466800,47.91
2009-05-11,54.83,54.83,54.04,54.40,9664600,48.29
2009-05-08,55.10,55.45,54.51,54.92,13643700,48.76
2009-05-07,54.02,54.37,52.94,53.39,11227100,47.40
2009-05-06,53.55,54.60,53.39,53.69,12329300,47.66
2009-05-05,53.00,53.65,52.97,53.16,12381900,47.19
2009-05-04,52.89,53.97,52.50,52.77,12988600,46.85
2009-05-01,53.21,53.21,51.76,52.40,11163900,46.52
2009-04-30,54.71,55.24,53.10,53.29,11167400,47.31
2009-04-29,55.09,55.18,54.20,54.41,8888000,48.30
2009-04-28,54.05,55.33,54.00,54.53,7438000,48.41
2009-04-27,53.90,54.89,53.77,54.49,8146900,48.37
2009-04-24,55.17,55.45,54.05,54.31,9941100,48.21
2009-04-23,54.75,55.50,54.01,55.30,9877400,49.09
2009-04-22,55.78,56.51,54.20,54.25,12701000,48.16
2009-04-21,55.55,56.15,54.95,55.63,8925900,49.39
2009-04-20,55.51,55.79,55.14,55.33,7181800,49.12
2009-04-17,55.09,56.41,54.80,56.09,11687400,49.79
2009-04-16,54.15,54.85,53.80,54.70,8563500,48.56
2009-04-15,54.05,54.18,53.03,53.95,12180300,47.89
2009-04-14,55.80,55.90,54.52,54.82,8601200,48.67
2009-04-13,56.34,56.66,55.90,56.11,5506400,49.81
2009-04-09,56.29,57.27,56.16,56.67,7291800,50.31
2009-04-08,55.46,55.83,55.05,55.56,5825800,49.32
2009-04-07,55.64,55.77,54.60,55.40,7128900,49.18
2009-04-06,56.47,56.61,55.60,55.94,6494800,49.66
2009-04-03,56.20,56.64,55.56,56.64,7175700,50.28
2009-04-02,55.94,57.06,55.63,56.35,8797600,50.02
2009-04-01,54.30,55.33,53.87,55.24,8279200,49.04
2009-03-31,54.30,55.35,54.27,54.57,9044500,48.44
2009-03-30,54.00,54.17,53.03,53.92,8702800,47.87
2009-03-27,55.46,55.90,54.84,55.01,6636500,48.84
2009-03-26,55.49,56.09,54.78,56.06,11095700,49.77
2009-03-25,54.06,55.04,53.25,55.01,10880900,48.84
2009-03-24,55.00,55.00,53.38,53.56,9836100,47.55
2009-03-23,53.97,55.17,53.10,55.16,10846700,48.97
