Date,Open,High,Low,Close,Volume,Adj Close
2009-12-24,29.20,29.31,29.10,29.25,609100,25.73
2009-12-23,29.09,29.20,28.93,29.08,1344800,25.58
2009-12-22,28.96,29.20,28.87,28.96,2783500,25.48
2009-12-21,28.53,28.87,28.50,28.84,2690100,25.37
2009-12-18,28.62,28.65,28.11,28.42,4790300,25.00
2009-12-17,28.71,28.87,28.41,28.41,2684800,24.99
2009-12-16,28.68,29.39,28.66,28.81,3431200,25.34
2009-12-15,28.60,29.05,28.45,28.51,3210400,25.08
2009-12-14,28.51,28.83,28.36,28.68,1866600,25.23
2009-12-11,28.46,28.49,28.01,28.25,2392000,24.85
2009-12-10,28.02,28.65,28.02,28.31,3299900,24.90
2009-12-09,27.83,28.07,27.59,28.00,2789700,24.63
2009-12-08,27.75,28.00,27.30,27.81,2133700,24.46
2009-12-07,27.86,28.04,27.58,27.77,2059700,24.43
2009-12-04,27.92,28.15,27.35,27.77,2827400,24.43
2009-12-03,27.25,27.79,27.16,27.67,3839200,24.34
2009-12-02,26.96,27.25,26.88,27.17,3317200,23.90
2009-12-01,26.37,26.86,26.23,26.83,4365300,23.60
2009-11-30,25.93,26.25,25.82,26.24,2287700,23.08
2009-11-27,25.82,26.25,25.77,26.05,959100,22.92
2009-11-25,26.56,26.56,26.29,26.41,1917400,23.23
2009-11-24,25.90,26.51,25.86,26.47,3551100,23.29
2009-11-23,25.84,26.14,25.71,25.86,2464700,22.75
2009-11-20,25.51,25.63,25.36,25.53,2016000,22.46
2009-11-19,26.09,26.12,25.27,25.69,3970600,22.60
2009-11-18,27.03,27.08,26.72,26.77,2003900,23.55
2009-11-17,26.89,27.14,26.65,27.11,2377400,23.85
2009-11-16,26.68,27.13,26.60,26.89,2643900,23.65
2009-11-13,26.42,26.90,26.42,26.76,2413300,23.24
2009-11-12,26.65,27.00,26.47,26.50,2818400,23.02
2009-11-11,26.56,26.92,26.50,26.71,2642200,23.20
2009-11-10,26.12,26.30,25.73,26.22,3087200,22.77
2009-11-09,25.78,26.19,25.71,26.08,2681700,22.65
2009-11-06,25.13,25.86,25.13,25.59,2394400,22.23
2009-11-05,25.77,25.82,24.77,25.37,8270500,22.03
2009-11-04,24.26,24.65,24.17,24.41,4121400,21.20
2009-11-03,23.99,24.27,23.55,24.15,4517900,20.97
2009-11-02,23.92,24.33,23.70,24.09,3238800,20.92
2009-10-30,24.67,24.73,23.85,23.96,6571900,20.81
2009-10-29,24.65,24.92,24.48,24.87,2659300,21.60
2009-10-28,24.84,25.03,24.32,24.36,2751900,21.16
2009-10-27,25.05,25.26,24.62,24.77,2577200,21.51
2009-10-26,25.31,25.66,24.86,25.05,2674300,21.76
2009-10-23,25.81,25.81,25.18,25.29,2284000,21.96
2009-10-22,25.65,25.85,25.33,25.83,2738000,22.43
2009-10-21,26.10,26.51,25.63,25.70,3644800,22.32
2009-10-20,26.42,26.55,26.07,26.23,3127400,22.78
