Date,Open,High,Low,Close,Volume,Adj Close
2012-12-26,50.36,50.42,50.00,50.15,808300,50.15
2012-12-24,50.28,50.46,49.83,50.19,675400,50.19
2012-12-21,50.70,50.70,50.17,50.25,2717200,50.25
2012-12-20,51.53,51.63,50.88,51.23,3651100,51.23
2012-12-19,50.76,51.57,50.55,51.54,3429500,51.54
2012-12-18,49.48,50.84,49.14,50.79,1908200,50.79
2012-12-17,48.39,49.67,48.32,49.67,1472900,49.67
2012-12-14,48.33,48.81,48.00,48.17,1096600,48.17
2012-12-13,49.32,49.32,48.37,48.41,1027200,48.41
2012-12-12,49.36,49.65,49.13,49.25,1117000,49.25
2012-12-11,49.49,49.66,49.12,49.16,1166800,49.16
2012-12-10,49.20,49.46,48.87,49.12,1126300,49.12
2012-12-07,49.61,49.66,49.01,49.36,1826600,49.36
2012-12-06,49.49,49.74,49.00,49.42,1498300,49.42
2012-12-05,46.09,49.95,46.09,49.74,2143500,49.74
2012-12-04,48.81,49.19,48.40,48.97,1858200,48.97
2012-12-03,48.79,49.27,48.59,48.98,2407300,48.98
2012-11-30,48.13,48.82,47.92,48.58,4687700,48.58
2012-11-29,47.53,48.66,47.49,48.13,1785500,48.13
2012-11-28,46.67,47.66,46.38,47.36,1267500,47.36
2012-11-27,47.23,47.39,46.75,46.81,1480400,46.81
2012-11-26,46.97,47.46,46.78,47.37,1647500,47.37
2012-11-23,46.40,47.36,46.32,47.32,487800,47.32
2012-11-21,46.22,46.37,45.92,46.18,895900,46.18
2012-11-20,46.11,46.22,45.61,46.14,1133300,46.14
2012-11-19,46.14,46.61,45.57,46.21,2106800,46.21
2012-11-16,43.90,46.10,43.90,45.00,2295100,45.00
2012-11-15,45.74,46.59,45.73,46.05,1428800,45.89
2012-11-14,46.20,46.39,45.64,45.74,1399600,45.58
2012-11-13,46.11,46.65,45.89,46.09,1128900,45.93
2012-11-12,46.04,46.93,45.60,46.42,1423400,46.26
2012-11-09,45.94,46.42,45.51,45.87,3138300,45.71
2012-11-08,46.30,46.63,45.96,45.98,1201700,45.82
2012-11-07,47.15,47.15,45.83,46.27,1146500,46.11
2012-11-06,46.76,47.20,46.53,47.06,1582500,46.90
2012-11-05,47.69,48.05,45.92,46.60,4321100,46.44
2012-11-02,49.34,49.36,47.98,48.02,1544000,47.85
2012-11-01,48.44,49.26,48.00,48.92,1457700,48.75
2012-10-31,47.88,48.33,46.67,48.16,1603200,47.99
2012-10-26,46.79,49.50,46.75,47.89,5209000,47.72
2012-10-25,45.59,46.00,45.24,45.72,2025700,45.56
2012-10-24,45.18,45.51,44.71,45.19,1387200,45.03
