Date,Open,High,Low,Close,Volume,Adj Close
2012-12-24,25.69,25.80,25.60,25.67,2637100,25.67
2012-12-21,25.75,25.81,25.47,25.76,24628600,25.76
2012-12-20,25.95,26.08,25.86,26.07,10786400,26.07
2012-12-19,25.88,26.08,25.79,25.94,13070700,25.94
2012-12-18,26.03,26.16,25.74,25.89,19277200,25.89
2012-12-17,26.01,26.16,25.91,26.05,12684300,26.05
2012-12-14,26.10,26.12,25.98,26.04,8553300,26.04
2012-12-13,26.00,26.17,25.75,26.10,10704200,26.10
2012-12-12,26.07,26.20,25.81,26.04,10581600,26.04
2012-12-11,26.02,26.23,25.98,26.13,11868700,26.13
2012-12-10,25.62,26.10,25.61,25.94,11433500,25.94
2012-12-07,25.66,25.74,25.30,25.58,10690300,25.58
2012-12-06,25.55,25.65,25.40,25.52,7797000,25.52
2012-12-05,25.71,25.90,25.46,25.49,13243700,25.49
2012-12-04,25.71,25.88,25.60,25.75,9934900,25.75
2012-12-03,26.02,26.02,25.58,25.67,8887200,25.67
2012-11-30,25.71,25.99,25.71,25.89,12208500,25.89
2012-11-29,25.77,25.80,25.53,25.78,13019600,25.78
2012-11-28,25.16,25.70,25.16,25.66,14792600,25.66
2012-11-27,25.55,25.61,25.25,25.27,9704600,25.27
2012-11-26,25.50,25.59,25.39,25.51,10869300,25.51
2012-11-23,25.42,25.65,25.29,25.62,6080800,25.62
2012-11-21,25.71,25.90,25.27,25.41,14172400,25.41
2012-11-20,26.01,26.04,25.50,25.54,11552900,25.54
2012-11-19,25.82,25.91,25.52,25.83,10612900,25.83
2012-11-16,25.11,25.60,25.03,25.56,18817800,25.56
2012-11-15,25.03,25.18,24.50,25.11,19003700,25.11
2012-11-14,25.76,25.81,25.10,25.15,18479200,25.15
2012-11-13,25.84,26.05,25.74,25.74,13056200,25.74
2012-11-12,26.08,26.17,25.90,25.96,9070100,25.96
2012-11-09,26.00,26.23,25.76,26.02,19361700,26.02
2012-11-08,25.80,26.59,25.76,26.11,33180400,26.11
2012-11-07,26.25,26.42,26.07,26.25,13178500,26.25
2012-11-06,26.02,26.63,26.00,26.49,14611800,26.49
2012-11-05,26.20,26.46,26.05,26.41,12723700,26.41
2012-11-02,26.80,26.80,26.24,26.28,27262900,26.28
2012-11-01,26.68,26.85,26.50,26.80,10718900,26.80
2012-10-31,26.75,26.79,26.30,26.55,11829900,26.55
2012-10-26,26.43,26.64,26.18,26.60,17172200,26.60
2012-10-25,26.68,26.79,26.38,26.47,11890100,26.47
2012-10-24,26.76,26.76,26.45,26.53,10768000,26.53
2012-10-23,26.77,26.94,26.54,26.68,11255400,26.68
2012-10-22,27.02,27.13,26.85,27.00,14178300,27.00
2012-10-19,27.40,27.44,26.92,27.01,16446900,27.01
2012-10-18,27.50,27.56,27.35,27.42,8754000,27.42
2012-10-17,27.04,27.50,27.04,27.45,11405200,27.45
2012-10-16,27.46,27.50,26.95,27.17,16349300,27.17
2012-10-15,27.48,27.50,27.19,27.22,12916300,27.22
2012-10-12,27.36,27.40,27.16,27.22,12058100,27.22
2012-10-11,27.30,27.41,27.15,27.24,13761100,27.24
2012-10-10,27.53,27.53,27.10,27.25,24674800,27.25
2012-10-09,27.55,27.62,27.28,27.36,16782600,27.36
2012-10-08,27.85,27.90,27.48,27.55,17364000,27.55
2012-10-05,28.25,28.37,27.74,27.81,17568000,27.81
2012-10-04,27.87,28.21,27.87,28.06,16878000,28.06
2012-10-03,28.18,28.29,27.73,27.83,37901300,27.83
2012-10-02,28.42,28.48,27.39,28.01,31590300,28.01
2012-10-01,41.08,42.54,41.08,42.52,24527600,28.35
2012-09-28,41.21,41.44,40.90,41.35,13988800,27.57
2012-09-27,41.16,41.34,41.00,41.20,14123700,27.47
2012-09-26,41.52,41.81,41.18,41.27,15227300,27.51
2012-09-25,41.50,41.95,41.31,41.36,20446100,27.57
2012-09-24,41.58,41.74,41.45,41.63,16956800,27.75
2012-09-21,41.76,42.19,41.65,41.78,57608700,27.85
2012-09-20,40.65,41.75,40.59,41.60,35456700,27.73
2012-09-19,40.50,40.92,40.47,40.84,22678000,27.23
2012-09-18,39.50,40.43,39.44,40.43,22574300,26.95
2012-09-17,39.48,39.71,39.33,39.70,17594400,26.47
2012-09-14,39.93,40.17,39.73,39.93,23143700,26.43
2012-09-13,39.53,40.25,39.53,40.13,13060000,26.56
2012-09-12,39.80,39.92,39.50,39.58,11657400,26.20
2012-09-11,40.17,40.29,39.62,39.77,16840600,26.32
2012-09-10,40.37,40.76,40.18,40.21,21248200,26.61
2012-09-07,40.84,40.91,39.70,39.99,46355400,26.47
2012-09-06,41.78,42.44,41.70,42.31,13803700,28.00
2012-09-05,41.85,42.00,41.39,41.67,8790500,27.58
2012-09-04,41.30,41.95,41.26,41.84,12288700,27.69
2012-08-31,41.74,41.93,41.42,41.51,9800000,27.47
2012-08-30,41.44,41.60,41.23,41.35,8132700,27.37
2012-08-29,41.87,41.95,41.64,41.67,7606300,27.58
2012-08-28,41.77,42.00,41.71,41.86,9452100,27.70
2012-08-27,41.84,41.90,41.66,41.73,8057900,27.62
2012-08-24,41.10,41.90,41.10,41.87,12104900,27.71
2012-08-23,40.93,41.39,40.81,41.28,14286500,27.32
2012-08-22,41.18,41.60,40.75,41.01,9655300,27.14
2012-08-21,40.71,41.40,40.68,41.11,10521400,27.21
2012-08-20,40.31,40.79,40.25,40.77,6388900,26.98
2012-08-17,40.74,40.74,40.32,40.50,10181200,26.80
2012-08-16,40.52,40.77,40.42,40.70,7857700,26.94
2012-08-15,40.89,40.94,40.55,40.70,8592600,26.94
2012-08-14,41.03,41.14,40.78,40.90,7012500,27.07
