Date,Open,High,Low,Close,Volume,Adj Close
2009-12-24,31.09,31.16,30.73,31.00,153000,27.56
2009-12-23,30.88,31.20,30.62,31.02,148700,27.57
2009-12-22,30.92,31.23,30.71,30.94,386700,27.50
2009-12-21,30.78,31.38,30.73,30.96,237900,27.52
2009-12-18,30.78,30.92,30.09,30.70,463700,27.29
2009-12-17,31.15,31.15,30.58,30.72,410900,27.31
2009-12-16,30.97,31.34,30.89,31.31,317800,27.83
2009-12-15,30.37,30.88,30.26,30.87,320900,27.44
2009-12-14,30.00,30.62,29.61,30.60,345500,27.20
2009-12-11,29.66,29.77,29.01,29.70,456500,26.40
2009-12-10,29.74,29.93,29.42,29.45,185400,26.18
2009-12-09,29.02,29.45,28.64,29.43,222900,26.16
2009-12-08,27.39,29.77,26.24,28.88,738800,25.67
2009-12-07,28.39,28.95,28.27,28.68,457400,25.49
2009-12-04,27.37,28.51,27.37,28.44,397600,25.28
2009-12-03,27.22,27.55,27.05,27.19,292900,24.17
2009-12-02,26.26,27.21,26.26,27.13,369900,24.12
2009-12-01,26.57,26.70,25.83,26.27,786600,23.35
2009-11-30,27.27,27.44,26.25,26.35,685900,23.42
2009-11-27,27.15,27.65,26.98,27.27,108500,24.24
2009-11-25,27.89,28.20,27.64,27.93,236500,24.83
2009-11-24,28.30,28.30,27.65,27.98,383800,24.67
2009-11-23,28.04,28.75,27.97,28.27,231200,24.93
2009-11-20,28.25,28.30,27.41,27.75,229100,24.47
2009-11-19,28.87,28.98,27.99,28.44,141600,25.08
2009-11-18,29.34,29.34,28.61,29.13,223500,25.69
2009-11-17,29.03,29.43,28.76,29.40,199100,25.92
2009-11-16,28.39,29.09,28.39,29.09,202600,25.65
2009-11-13,27.66,28.25,27.27,28.23,307500,24.89
2009-11-12,28.53,28.78,27.67,27.75,319200,24.47
2009-11-11,28.82,28.97,28.37,28.55,106800,25.17
2009-11-10,28.74,29.06,28.24,28.36,225900,25.01
2009-11-09,28.17,28.83,27.93,28.80,215000,25.39
2009-11-06,28.09,28.21,27.52,27.86,235900,24.57
2009-11-05,27.63,28.33,27.47,28.24,255000,24.90
2009-11-04,27.47,27.98,27.24,27.39,386100,24.15
2009-11-03,26.41,27.56,26.41,27.47,479800,24.22
2009-11-02,27.25,27.61,26.31,26.70,648800,23.54
2009-10-30,28.08,28.28,26.73,27.06,604900,23.86
2009-10-29,30.01,30.01,28.02,28.12,969700,24.79
2009-10-28,30.64,30.87,29.31,29.44,736700,25.96
2009-10-27,31.14,31.26,30.55,30.67,353800,27.04
2009-10-26,31.43,32.43,30.90,31.16,317300,27.48
2009-10-23,31.73,32.15,30.97,31.30,404200,27.60
2009-10-22,30.62,31.53,30.38,31.43,422600,27.71
2009-10-21,30.63,31.41,30.48,30.61,526900,26.99
2009-10-20,31.35,31.53,30.33,30.65,384400,27.03
2009-10-19,30.98,31.69,30.69,31.43,329600,27.71
2009-10-16,31.29,31.42,30.00,30.87,416800,27.22
2009-10-15,31.53,31.86,30.90,31.55,228800,27.82
2009-10-14,30.87,31.60,30.87,31.58,316200,27.85
2009-10-13,30.21,30.68,29.70,30.65,352400,27.03
2009-10-12,30.48,30.64,30.20,30.41,118700,26.81
2009-10-09,30.23,30.54,30.07,30.27,150500,26.69
2009-10-08,29.27,30.54,29.25,30.26,424100,26.68
2009-10-07,29.21,29.44,28.80,29.00,217000,25.57
2009-10-06,28.65,29.41,28.60,29.25,329100,25.79
2009-10-05,28.31,28.55,27.79,28.50,371700,25.13
2009-10-02,28.29,28.56,27.64,27.95,620000,24.64
2009-10-01,29.76,29.76,28.19,28.60,518500,25.22
2009-09-30,29.96,30.13,29.38,29.94,481800,26.40
2009-09-29,30.18,31.10,29.83,29.96,703200,26.42
2009-09-28,29.29,30.30,29.23,30.14,354900,26.58
2009-09-25,29.98,29.98,28.67,28.97,655900,25.54
2009-09-24,30.54,30.81,29.48,29.93,369600,26.39
2009-09-23,31.48,31.48,30.48,30.54,469200,26.93
2009-09-22,31.68,32.00,31.27,31.47,229900,27.75
2009-09-21,31.54,31.62,30.86,31.54,415000,27.81
2009-09-18,31.97,32.45,31.69,31.77,567300,28.01
2009-09-17,30.91,33.17,30.61,31.70,1328200,27.95
2009-09-16,29.11,30.97,28.95,30.83,604100,27.18
2009-09-15,28.29,29.11,28.29,29.06,312100,25.62
2009-09-14,27.27,28.22,26.92,28.21,231900,24.87
2009-09-11,27.88,27.99,27.33,27.56,285900,24.30
2009-09-10,27.51,27.84,27.10,27.84,307300,24.55
2009-09-09,26.50,27.86,26.38,27.45,523300,24.20
2009-09-08,26.65,26.78,26.12,26.37,286200,23.25
2009-09-04,25.74,26.52,25.74,26.49,200400,23.36
2009-09-03,26.53,26.53,25.46,25.87,501100,22.81
2009-09-02,26.76,26.97,26.07,26.39,378800,23.27
2009-09-01,27.63,28.09,26.56,26.83,765500,23.66
2009-08-31,27.87,28.40,27.43,27.68,317900,24.41
2009-08-28,28.40,28.62,27.82,28.04,308600,24.72
2009-08-27,28.25,28.33,27.36,28.25,273600,24.91
2009-08-26,27.89,28.59,27.65,28.35,343400,24.80
2009-08-25,28.34,28.34,27.93,28.00,601800,24.49
2009-08-24,28.00,28.53,27.79,28.00,419200,24.49
2009-08-21,27.84,28.15,27.58,27.95,371800,24.45
2009-08-20,27.27,27.51,27.05,27.49,171000,24.05
2009-08-19,26.65,27.33,26.49,27.21,342000,23.80
2009-08-18,26.63,27.12,26.48,26.75,238600,23.40
2009-08-17,27.08,27.22,26.36,26.67,251200,23.33
2009-08-14,28.40,28.40,27.52,27.71,181900,24.24
2009-08-13,28.39,28.48,27.48,28.33,229800,24.78
2009-08-12,28.41,28.77,28.01,28.36,455800,24.81
2009-08-11,28.25,28.96,27.85,28.60,601100,25.02
2009-08-10,27.86,28.25,27.37,28.20,473400,24.67
2009-08-07,26.92,27.87,26.69,27.80,408500,24.32
2009-08-06,26.54,26.99,26.42,26.60,394200,23.27
2009-08-05,27.02,27.37,26.46,26.52,337400,23.20
2009-08-04,27.00,27.00,26.41,26.83,386600,23.47
2009-08-03,26.91,27.07,26.04,27.04,364600,23.65
2009-07-31,26.54,27.04,26.21,26.47,505200,23.15
2009-07-30,26.69,26.89,25.93,26.38,1138800,23.08
2009-07-29,28.45,30.45,25.80,26.26,1430900,22.97
2009-07-28,29.64,30.80,29.48,30.13,1180200,26.36
2009-07-27,28.84,29.86,28.52,29.81,498900,26.08
2009-07-24,28.63,28.95,28.19,28.81,327600,25.20
2009-07-23,27.30,28.67,27.10,28.63,436400,25.04
2009-07-22,26.92,27.66,26.72,27.40,524900,23.97
2009-07-21,27.65,28.24,26.28,26.85,737100,23.49
2009-07-20,27.09,28.29,26.80,28.22,746000,24.69
2009-07-17,26.98,27.02,26.44,26.75,312800,23.40
2009-07-16,26.29,27.15,26.25,27.04,480600,23.65
2009-07-15,25.55,26.42,25.24,26.39,418800,23.08
2009-07-14,24.90,25.45,24.52,25.42,395500,22.24
2009-07-13,24.26,24.74,23.61,24.66,392200,21.57
2009-07-10,24.04,24.50,23.92,24.23,321300,21.20
2009-07-09,24.28,24.61,23.84,24.26,403200,21.22
2009-07-08,24.20,24.28,23.79,24.08,1046100,21.06
2009-07-07,24.62,24.90,23.91,23.93,443800,20.93
2009-07-06,24.29,24.79,24.14,24.74,536700,21.64
2009-07-02,25.33,25.33,24.42,24.48,559300,21.41
2009-07-01,25.52,26.23,25.31,25.67,704200,22.45
2009-06-30,25.78,26.04,25.14,25.55,545400,22.35
2009-06-29,26.14,26.25,25.49,25.86,454600,22.62
2009-06-26,25.60,25.93,24.96,25.87,729600,22.63
2009-06-25,25.36,25.85,24.83,25.81,1610400,22.58
2009-06-24,25.53,25.85,25.11,25.28,620400,22.11
2009-06-23,25.81,26.02,25.19,25.35,658400,22.17
2009-06-22,26.23,26.30,25.63,25.65,726600,22.44
2009-06-19,26.05,26.88,25.91,26.50,1176400,23.18
2009-06-18,25.69,25.84,25.32,25.61,346100,22.40
2009-06-17,26.08,26.18,25.30,25.50,781200,22.31
2009-06-16,27.09,27.10,26.16,26.26,361500,22.97
2009-06-15,27.84,27.95,26.86,27.07,301000,23.68
2009-06-12,28.33,28.47,27.33,28.20,307900,24.67
2009-06-11,28.80,28.95,28.32,28.60,351300,25.02
2009-06-10,29.79,29.88,28.40,28.79,384000,25.18
2009-06-09,29.20,29.65,28.68,29.51,352500,25.81
2009-06-08,29.16,29.51,28.43,29.15,599000,25.50
2009-06-05,29.60,30.10,28.91,29.17,541000,25.52
2009-06-04,28.39,29.49,28.39,29.41,809800,25.73
2009-06-03,28.20,28.71,27.61,28.71,856600,25.11
2009-06-02,28.04,28.65,27.97,28.25,976200,24.71
2009-06-01,27.20,28.45,27.20,28.05,671100,24.54
2009-05-29,27.17,27.34,26.35,26.96,777400,23.58
2009-05-28,27.57,27.84,26.41,27.19,647300,23.78
2009-05-27,27.96,28.41,27.23,27.30,590800,23.88
2009-05-26,26.27,28.21,26.26,28.00,656300,24.30
2009-05-22,26.76,26.76,25.96,26.39,518200,22.90
2009-05-21,27.15,27.49,26.25,26.72,638400,23.19
2009-05-20,27.85,28.83,27.63,27.72,834600,24.05
2009-05-19,26.87,28.06,26.87,27.61,777200,23.96
2009-05-18,25.96,26.89,25.63,26.87,786100,23.32
2009-05-15,25.63,26.41,25.35,25.45,846000,22.08
2009-05-14,25.89,26.31,25.45,25.64,933600,22.25
2009-05-13,27.20,27.67,25.56,25.61,601900,22.22
2009-05-12,28.57,28.81,27.00,27.85,654900,24.17
2009-05-11,27.93,28.71,27.86,28.28,594600,24.54
2009-05-08,28.05,28.51,27.66,28.51,577900,24.74
2009-05-07,27.52,27.89,27.08,27.77,893800,24.10
2009-05-06,27.06,27.40,26.61,27.37,780000,23.75
2009-05-05,26.62,27.04,26.36,26.82,468200,23.27
2009-05-04,25.78,26.72,25.55,26.67,583300,23.14
