Date,Open,High,Low,Close,Volume,Adj Close
2012-09-28,24.95,24.95,24.85,24.90,51100,24.90
2012-09-27,24.88,24.97,24.87,24.92,41300,24.92
2012-09-26,24.92,24.93,24.87,24.92,29800,24.92
2012-09-25,24.93,24.94,24.90,24.90,63800,24.90
2012-09-24,24.93,24.96,24.91,24.91,37800,24.91
2012-09-21,24.92,24.95,24.91,24.92,45200,24.92
2012-09-20,24.93,24.95,24.91,24.91,57600,24.91
2012-09-19,25.03,25.03,24.91,24.91,119800,24.91
2012-09-18,24.93,25.04,24.91,25.03,71100,25.03
2012-09-17,24.83,24.99,24.82,24.97,77300,24.97
2012-09-14,24.83,24.89,24.78,24.87,90500,24.87
2012-09-13,24.76,24.84,24.76,24.82,69600,24.82
2012-09-12,24.61,24.76,24.61,24.76,197800,24.76
2012-09-11,25.00,25.03,24.96,24.99,109600,24.99
2012-09-10,25.00,25.03,24.95,25.01,96300,25.01
2012-09-07,24.99,25.02,24.98,25.00,63800,25.00
2012-09-06,24.97,25.01,24.96,25.01,69200,25.01
2012-09-05,24.95,25.01,24.94,24.96,37600,24.96
2012-09-04,24.90,25.00,24.90,24.99,68500,24.99
2012-08-31,24.92,24.96,24.85,24.94,87600,24.94
2012-08-30,24.94,24.98,24.90,24.94,45800,24.94
2012-08-29,24.96,24.99,24.95,24.95,40000,24.95
2012-08-28,24.92,24.96,24.90,24.96,23400,24.96
2012-08-27,24.96,25.00,24.90,24.94,44400,24.94
2012-08-24,24.95,24.96,24.92,24.96,34300,24.96
2012-08-23,24.94,25.02,24.92,24.95,45900,24.95
2012-08-22,24.95,24.95,24.91,24.92,34100,24.92
2012-08-21,24.88,24.98,24.84,24.95,95300,24.95
2012-08-20,24.87,24.92,24.84,24.85,69500,24.85
2012-08-17,24.95,24.96,24.86,24.86,62100,24.86
2012-08-16,24.94,24.97,24.90,24.90,44800,24.90
2012-08-15,24.95,25.01,24.93,24.99,64300,24.99
2012-08-14,25.00,25.00,24.93,24.94,36000,24.94
2012-08-13,24.98,25.05,24.94,25.03,75600,25.03
2012-08-10,24.94,24.99,24.90,24.95,51400,24.95
2012-08-09,24.90,24.94,24.88,24.91,35500,24.91
2012-08-08,24.93,24.95,24.87,24.87,30200,24.87
2012-08-07,24.90,24.97,24.86,24.91,51000,24.91
2012-08-06,24.88,24.93,24.87,24.90,51500,24.90
2012-08-03,24.89,24.96,24.88,24.90,78300,24.90
2012-08-02,24.85,24.97,24.84,24.87,68400,24.87
2012-08-01,24.86,24.94,24.81,24.81,106900,24.81
2012-07-31,24.84,24.94,24.84,24.90,108200,24.90
2012-07-30,24.88,24.95,24.86,24.91,155800,24.91
2012-07-27,24.95,24.99,24.88,24.98,60100,24.98
2012-07-26,24.87,24.95,24.86,24.93,94100,24.93
2012-07-25,24.89,24.94,24.77,24.86,153400,24.86
2012-07-24,24.97,25.00,24.82,24.88,119800,24.88
2012-07-23,24.86,25.05,24.85,25.04,104800,25.04
2012-07-20,24.86,25.01,24.85,24.99,109500,24.99
2012-07-19,24.88,25.00,24.88,24.91,98700,24.91
2012-07-18,24.82,24.93,24.82,24.86,55500,24.86
2012-07-17,24.92,24.92,24.85,24.88,84800,24.88
2012-07-16,24.78,24.97,24.77,24.90,115800,24.90
2012-07-13,24.73,24.82,24.68,24.76,156400,24.76
2012-07-12,24.70,24.75,24.66,24.74,73600,24.74
2012-07-11,24.59,24.72,24.59,24.71,109800,24.71
2012-07-10,24.71,24.72,24.60,24.70,109600,24.70
2012-07-09,24.63,24.73,24.63,24.69,59100,24.69
2012-07-06,24.69,24.72,24.63,24.66,55600,24.66
2012-07-05,24.68,24.75,24.60,24.69,102100,24.69
2012-07-03,24.63,24.70,24.59,24.64,59500,24.64
2012-07-02,24.61,24.73,24.61,24.65,94600,24.65
2012-06-29,24.69,24.70,24.56,24.60,210400,24.60
2012-06-28,24.53,24.69,24.53,24.55,191900,24.55
2012-06-27,24.56,24.60,24.40,24.60,121600,24.60
2012-06-26,24.41,24.55,24.24,24.48,267300,24.48
2012-06-25,24.07,24.38,24.06,24.29,297700,24.29
2012-06-22,23.96,24.11,23.96,24.05,149200,24.05
2012-06-21,24.14,24.22,23.97,23.98,103400,23.98
2012-06-20,24.19,24.27,24.10,24.22,146800,24.22
2012-06-19,24.09,24.19,24.05,24.18,141600,24.18
2012-06-18,23.85,24.04,23.77,24.01,133200,24.01
2012-06-15,23.74,23.89,23.60,23.81,115100,23.81
2012-06-14,23.75,23.76,23.61,23.69,118100,23.69
2012-06-13,23.60,23.70,23.51,23.67,112300,23.67
2012-06-12,23.46,23.60,23.40,23.56,89000,23.56
2012-06-11,23.94,23.95,23.82,23.83,46200,23.43
2012-06-08,23.87,23.94,23.81,23.90,50600,23.50
2012-06-07,23.80,23.95,23.79,23.89,79700,23.49
2012-06-06,23.64,23.82,23.64,23.81,79200,23.41
2012-06-05,23.30,23.74,23.30,23.60,40100,23.20
2012-06-04,23.17,23.40,23.15,23.39,51700,22.99
2012-06-01,22.88,23.40,22.88,23.27,54100,22.88
2012-05-31,23.53,23.53,23.22,23.48,68800,23.08
2012-05-30,23.50,23.59,23.43,23.48,75800,23.08
2012-05-29,23.44,23.75,23.43,23.73,61000,23.33
2012-05-25,23.10,23.46,23.10,23.45,61400,23.05
2012-05-24,23.07,23.31,23.07,23.26,86900,22.87
2012-05-23,22.95,23.24,22.83,23.16,81000,22.77
2012-05-22,22.63,23.18,22.63,23.11,81600,22.72
2012-05-21,22.31,22.75,22.22,22.63,87400,22.25
2012-05-18,22.58,23.30,22.25,22.36,133500,21.98
2012-05-17,23.29,23.29,22.74,22.78,68400,22.39
2012-05-16,23.40,23.40,23.17,23.31,65600,22.92
2012-05-15,23.38,23.47,23.33,23.37,46000,22.97
2012-05-14,23.61,23.61,23.37,23.39,51100,22.99
2012-05-11,23.74,23.77,23.62,23.65,48000,23.25
2012-05-10,23.66,23.72,23.66,23.72,75700,23.32
2012-05-09,23.68,23.68,23.61,23.64,50000,23.24
2012-05-08,23.65,23.74,23.60,23.73,54600,23.33
2012-05-07,23.57,23.67,23.56,23.67,32000,23.27
2012-05-04,23.68,23.68,23.58,23.63,42700,23.23
2012-05-03,23.65,23.70,23.63,23.68,40000,23.28
2012-05-02,23.60,23.70,23.60,23.68,149000,23.28
2012-05-01,23.63,23.70,23.58,23.66,52700,23.26
2012-04-30,23.66,23.73,23.55,23.62,61000,23.22
2012-04-27,23.62,23.70,23.55,23.68,115300,23.28
2012-04-26,23.57,23.63,23.49,23.57,113900,23.17
2012-04-25,23.43,23.58,23.43,23.53,219700,23.13
2012-04-24,23.38,23.44,23.32,23.37,90000,22.97
2012-04-23,22.86,23.41,22.80,23.33,129100,22.94
