Date,Open,High,Low,Close,Volume,Adj Close
2012-12-24,54.14,54.43,53.77,53.90,534500,53.90
2012-12-21,54.35,55.02,54.00,54.04,3323300,54.04
2012-12-20,54.58,54.93,54.49,54.90,2840400,54.90
2012-12-19,54.71,54.78,54.28,54.57,2977100,54.57
2012-12-18,54.66,54.70,53.75,54.52,2312800,54.52
2012-12-17,54.06,54.65,53.71,54.59,2465100,54.59
2012-12-14,53.08,54.39,53.08,53.98,2491700,53.98
2012-12-13,56.13,56.50,54.71,54.94,6748400,54.94
2012-12-12,56.82,57.15,55.86,56.05,3320400,56.05
2012-12-11,57.00,57.44,56.25,56.65,4334600,56.65
2012-12-10,55.03,57.39,54.52,56.56,10666900,56.56
2012-12-07,54.52,56.83,54.52,56.53,9297800,56.53
2012-12-06,53.56,54.31,53.52,54.27,1340600,54.27
2012-12-05,53.27,53.59,53.14,53.51,1647700,53.51
2012-12-04,53.15,53.44,52.93,53.21,2248900,53.21
2012-12-03,53.21,53.70,52.93,53.44,3585100,53.44
2012-11-30,51.69,53.27,51.60,53.11,2853700,53.11
2012-11-29,51.68,51.84,51.26,51.71,4057700,51.71
2012-11-28,51.71,51.77,51.29,51.41,3031000,51.41
2012-11-27,51.82,52.15,51.70,51.77,2469800,51.77
2012-11-26,51.37,53.60,51.26,51.89,4758900,51.89
2012-11-23,51.40,51.95,51.04,51.94,436400,51.68
2012-11-21,51.29,51.44,51.00,51.35,704100,51.10
2012-11-20,50.92,51.44,50.76,51.32,1153600,51.07
2012-11-19,51.35,51.35,50.65,50.97,1274000,50.72
2012-11-16,50.17,51.07,49.56,50.73,1763100,50.48
2012-11-15,50.36,50.88,49.88,50.15,1112400,49.90
2012-11-14,51.33,51.39,50.12,50.24,1300600,49.99
2012-11-13,51.13,51.91,51.01,51.27,1409500,51.02
2012-11-12,50.95,51.34,50.59,51.26,1979400,51.01
2012-11-09,50.88,51.39,50.28,50.77,2823400,50.52
2012-11-08,51.84,52.04,51.08,51.11,2680800,50.86
2012-11-07,52.53,52.64,51.67,51.90,2710100,51.65
2012-11-06,51.40,53.15,51.40,52.85,2402500,52.59
2012-11-05,54.37,54.37,50.56,52.24,5674700,51.98
2012-11-02,56.75,56.75,54.27,54.43,2172800,54.16
2012-11-01,55.63,56.70,55.45,56.50,2319000,56.22
2012-10-31,56.01,56.01,55.03,55.28,2351000,55.01
2012-10-26,54.84,56.32,54.84,56.03,2310400,55.75
2012-10-25,55.06,55.19,54.47,54.91,958400,54.64
2012-10-24,54.90,55.13,54.57,54.69,674900,54.42
2012-10-23,55.10,55.24,54.16,54.71,1146400,54.44
2012-10-22,55.93,56.70,55.39,55.67,1713200,55.40
2012-10-19,55.69,56.64,55.05,56.09,3223000,55.81
2012-10-18,55.85,55.95,55.54,55.80,2071600,55.53
2012-10-17,56.23,56.39,55.66,55.88,955300,55.61
2012-10-16,56.00,56.38,55.81,56.09,1013500,55.81
2012-10-15,55.37,55.99,54.92,55.82,1003300,55.55
2012-10-12,55.62,56.04,55.14,55.36,1403600,55.09
2012-10-11,55.96,56.00,55.47,55.47,906100,55.20
