Date,Open,High,Low,Close,Volume,Adj Close
2012-05-22,73.75,73.75,73.75,73.75,000,73.75
2012-05-21,73.75,73.75,73.75,73.75,000,73.75
2012-05-18,73.75,73.75,73.75,73.75,000,73.75
2012-05-17,73.75,73.75,73.75,73.75,000,73.75
2012-05-16,73.75,73.75,73.75,73.75,000,73.75
2012-05-15,73.75,73.75,73.75,73.75,000,73.75
2012-05-14,73.75,73.75,73.75,73.75,000,73.75
2012-05-11,73.75,73.75,73.75,73.75,000,73.75
2012-05-10,73.75,73.75,73.75,73.75,000,73.75
2012-05-09,73.75,73.75,73.75,73.75,000,73.75
2012-05-08,73.75,73.75,73.75,73.75,000,73.75
2012-05-07,73.75,73.75,73.75,73.75,000,73.75
2012-05-04,73.75,73.75,73.75,73.75,000,73.75
2012-05-03,73.75,73.75,73.75,73.75,000,73.75
2012-05-02,73.75,73.75,73.75,73.75,000,73.75
2012-05-01,73.75,73.75,73.75,73.75,000,73.75
2012-04-30,73.75,73.75,73.75,73.75,000,73.75
2012-04-27,73.75,73.75,73.75,73.75,000,73.75
2012-04-26,73.75,73.75,73.75,73.75,000,73.75
2012-04-25,73.75,73.75,73.75,73.75,000,73.75
2012-04-24,73.75,73.75,73.75,73.75,000,73.75
2012-04-23,73.75,73.75,73.75,73.75,000,73.75
2012-04-20,73.75,73.75,73.75,73.75,000,73.75
2012-04-19,73.75,73.75,73.75,73.75,000,73.75
2012-04-18,73.75,73.75,73.75,73.75,000,73.75
2012-04-17,73.75,73.75,73.75,73.75,000,73.75
2012-04-16,73.75,73.75,73.75,73.75,000,73.75
2012-04-13,73.75,73.75,73.75,73.75,000,73.75
2012-04-12,73.75,73.75,73.75,73.75,000,73.75
2012-04-11,73.75,73.75,73.75,73.75,000,73.75
2012-04-10,73.75,73.75,73.75,73.75,000,73.75
2012-04-09,73.75,73.75,73.75,73.75,000,73.75
2012-04-05,73.75,73.75,73.75,73.75,000,73.75
2012-04-04,73.75,73.75,73.75,73.75,000,73.75
2012-04-03,73.75,73.75,73.75,73.75,000,73.75
2012-04-02,70.30,70.30,70.30,70.30,000,70.30
2012-03-30,70.26,70.93,69.54,70.30,14763000,70.30
2012-03-29,70.33,71.50,69.78,70.19,20599700,70.19
2012-03-28,71.84,72.50,70.63,71.20,28051200,71.20
2012-03-27,69.50,69.64,68.99,68.99,3235800,68.99
2012-03-26,69.51,69.51,68.84,69.50,3064700,69.50
2012-03-23,68.61,68.92,68.25,68.49,3815900,68.49
2012-03-22,68.96,69.45,68.74,68.84,2774700,68.84
2012-03-21,68.90,69.50,68.74,69.21,4721200,69.21
2012-03-20,68.61,69.11,68.52,68.80,3132400,68.80
2012-03-19,69.10,69.94,68.87,68.93,8167000,68.93
2012-03-16,70.74,70.75,70.13,70.29,5899800,70.29
2012-03-15,70.83,70.96,70.31,70.43,3751600,70.43
2012-03-14,70.38,70.97,70.25,70.97,6390700,70.97
2012-03-13,69.46,70.75,69.00,70.52,14458400,70.52
2012-03-12,68.61,68.81,67.95,68.35,3569300,68.35
2012-03-09,67.83,69.90,67.56,68.56,12775900,68.56
2012-03-08,67.05,67.74,66.85,67.65,4897400,67.65
2012-03-07,65.76,67.24,65.42,66.92,6772300,66.92
2012-03-06,66.18,66.56,65.50,65.64,6372800,65.64
2012-03-05,67.74,68.16,66.82,66.82,5102100,66.82
2012-03-02,66.68,67.95,66.64,67.90,4160000,67.90
2012-03-01,67.59,67.74,66.61,66.85,7540900,66.85
2012-02-29,67.26,69.10,67.03,67.59,9774600,67.59
2012-02-28,66.46,67.98,66.24,67.64,6863400,67.64
2012-02-27,66.14,68.40,65.86,66.52,13600100,66.52
2012-02-24,63.92,64.37,63.45,64.14,4388700,64.14
2012-02-23,63.21,65.05,63.19,64.05,8641200,64.05
2012-02-22,62.85,63.46,62.45,62.56,5021600,62.56
2012-02-21,64.03,64.70,63.19,63.19,5992900,63.19
2012-02-17,63.84,64.11,63.43,64.01,4733900,64.01
2012-02-16,63.38,64.12,62.74,63.74,5901700,63.74
2012-02-15,63.10,63.89,62.84,63.40,6416500,63.40
2012-02-14,60.93,63.04,60.92,62.90,8179400,62.90
2012-02-13,60.84,61.17,60.32,60.94,7143400,60.94
2012-02-10,60.00,60.88,59.28,60.82,7436600,60.82
2012-02-09,60.98,60.99,60.21,60.49,2469000,60.49
2012-02-08,60.48,60.96,60.02,60.82,4409600,60.82
2012-02-07,59.57,60.73,59.21,60.62,9444300,60.62
