Date,Open,High,Low,Close,Volume,Adj Close
2012-12-24,8.37,8.45,8.37,8.44,31300,8.44
2012-12-21,8.42,8.43,8.36,8.41,46600,8.41
2012-12-20,8.40,8.48,8.36,8.46,73600,8.46
2012-12-19,8.42,8.50,8.37,8.42,46500,8.42
2012-12-18,8.38,8.48,8.34,8.42,57100,8.42
2012-12-17,8.42,8.46,8.35,8.40,43100,8.40
2012-12-14,8.40,8.49,8.40,8.47,26800,8.47
2012-12-13,8.48,8.51,8.35,8.38,47000,8.38
2012-12-12,8.57,8.63,8.49,8.53,61200,8.53
2012-12-11,8.53,8.72,8.49,8.57,100400,8.57
2012-12-10,8.59,8.65,8.52,8.55,36800,8.55
2012-12-07,8.59,8.65,8.53,8.62,28000,8.62
2012-12-06,8.62,8.77,8.54,8.60,58900,8.60
2012-12-05,8.67,8.76,8.61,8.65,36300,8.65
2012-12-04,8.65,8.76,8.64,8.72,81000,8.72
2012-12-03,8.67,8.74,8.50,8.72,144600,8.72
2012-11-30,8.59,8.70,8.55,8.67,23700,8.67
2012-11-29,8.64,8.72,8.51,8.58,88500,8.58
2012-11-28,8.50,8.59,8.33,8.51,74500,8.51
2012-11-27,8.38,8.55,8.38,8.53,105500,8.53
2012-11-26,8.25,8.48,8.25,8.42,56200,8.42
2012-11-23,8.16,8.24,8.11,8.21,12100,8.21
2012-11-21,8.15,8.22,8.07,8.14,29200,8.14
2012-11-20,8.06,8.21,7.95,8.12,46100,8.12
2012-11-19,8.05,8.21,8.03,8.07,54000,8.07
2012-11-16,8.04,8.12,7.92,8.05,172000,8.05
2012-11-15,8.20,8.23,8.05,8.07,62200,8.07
2012-11-14,8.20,8.40,8.13,8.19,206200,8.19
2012-11-13,8.19,8.19,8.05,8.09,93900,8.09
2012-11-12,8.20,8.27,8.14,8.21,79600,8.21
2012-11-09,8.09,8.21,8.05,8.19,50900,8.19
2012-11-08,8.10,8.29,8.06,8.06,51900,8.06
2012-11-07,8.13,8.24,8.09,8.23,72100,8.23
2012-11-06,8.20,8.27,8.14,8.17,70700,8.17
2012-11-05,8.09,8.22,8.07,8.19,43800,8.19
2012-11-02,8.23,8.26,8.09,8.12,26900,8.12
