Date,Open,High,Low,Close,Volume,Adj Close
2013-01-07,65.42,65.42,64.56,65.08,347000,65.08
2013-01-04,64.85,65.25,64.85,65.25,358500,65.25
2013-01-03,65.06,65.13,64.71,65.01,515500,65.01
2013-01-02,64.31,65.23,64.13,65.23,554300,65.23
2012-12-31,62.61,63.54,62.44,63.53,399100,63.53
2012-12-28,62.86,63.32,62.64,62.64,457800,62.64
2012-12-27,63.34,63.35,62.56,63.11,400200,63.11
2012-12-26,64.30,64.33,63.44,63.46,429700,63.12
2012-12-24,64.03,64.32,63.64,64.24,234500,63.90
2012-12-21,64.76,64.80,63.86,64.07,890900,63.73
2012-12-20,64.62,64.95,64.33,64.80,652000,64.45
2012-12-19,65.32,65.59,64.52,64.56,419700,64.21
2012-12-18,66.08,66.11,65.18,65.33,557800,64.98
2012-12-17,64.64,65.99,64.18,65.98,822000,65.63
2012-12-14,64.58,64.81,64.31,64.42,425400,64.07
2012-12-13,64.87,64.87,64.52,64.68,359200,64.33
2012-12-12,64.49,65.04,64.25,64.77,517800,64.42
2012-12-11,64.27,64.68,64.01,64.42,548100,64.07
2012-12-10,64.12,64.33,63.84,64.20,523700,63.86
2012-12-07,64.24,64.33,63.80,64.20,454300,63.86
2012-12-06,64.26,64.32,63.77,64.09,500400,63.75
2012-12-05,64.58,64.67,64.07,64.23,559900,63.89
2012-12-04,64.56,64.72,64.42,64.55,594700,64.20
2012-12-03,64.90,64.99,64.48,64.67,596300,64.32
2012-11-30,64.63,64.64,64.16,64.56,1436600,64.21
2012-11-29,64.53,64.95,64.18,64.60,1349300,64.25
2012-11-28,64.74,64.75,64.30,64.56,1051400,64.21
2012-11-27,65.25,65.45,64.69,64.80,840200,64.45
2012-11-26,65.93,66.10,64.86,65.11,644900,64.76
2012-11-23,65.49,66.37,65.44,66.37,155500,66.01
2012-11-21,65.63,65.63,64.85,65.43,651300,65.08
2012-11-20,64.43,65.41,64.31,65.41,623800,65.06
2012-11-19,63.77,64.56,63.67,64.56,519500,64.21
2012-11-16,63.50,63.77,63.02,63.55,746800,63.21
2012-11-15,62.64,63.53,62.48,63.46,894200,63.12
2012-11-14,63.18,63.33,62.61,62.73,453900,62.39
2012-11-13,62.20,63.62,62.07,63.20,651400,62.86
2012-11-12,62.00,62.50,61.50,62.42,484300,62.09
2012-11-09,61.75,62.32,61.63,62.00,575700,61.67
2012-11-08,61.38,62.16,61.16,61.85,884700,61.52
2012-11-07,61.60,61.90,61.07,61.60,651400,61.27
2012-11-06,61.32,62.23,61.32,61.93,342400,61.60
2012-11-05,61.23,61.59,60.79,61.34,223100,61.01
2012-11-02,61.49,62.00,61.14,61.48,535400,61.15
2012-11-01,61.63,61.80,61.15,61.20,459800,60.87
2012-10-31,61.89,62.38,61.21,61.62,472700,61.29
2012-10-26,61.96,61.96,61.24,61.51,355600,61.18
2012-10-25,61.95,62.39,61.66,61.94,442100,61.61
2012-10-24,61.62,61.86,61.19,61.86,602500,61.53
2012-10-23,61.30,61.49,60.75,61.39,376300,61.06
2012-10-22,61.50,61.74,60.97,61.69,379400,61.36
2012-10-19,62.74,62.94,61.34,61.64,731900,61.31
2012-10-18,62.65,62.99,62.37,62.84,281100,62.50
2012-10-17,62.42,62.83,62.13,62.73,266600,62.39
2012-10-16,62.01,62.20,61.71,62.13,230400,61.80
2012-10-15,61.81,62.00,61.43,61.84,466000,61.51
2012-10-12,62.14,62.38,61.63,61.76,314500,61.43
2012-10-11,62.12,62.36,61.74,62.00,331400,61.67
2012-10-10,62.10,62.61,61.75,61.87,476400,61.54
2012-10-09,62.71,62.79,62.12,62.13,395100,61.80
2012-10-08,62.60,62.77,62.18,62.71,256700,62.37
2012-10-05,63.07,63.21,62.56,62.64,476300,62.30
2012-10-04,62.90,63.07,62.53,62.71,293800,62.37
2012-10-03,62.88,62.98,62.10,62.79,664100,62.45
2012-10-02,62.68,63.23,62.62,62.96,624100,62.31
2012-10-01,62.11,62.63,61.81,62.54,824900,61.90
2012-09-28,61.76,62.07,61.07,62.04,594900,61.40
2012-09-27,61.80,62.40,60.06,61.75,1216300,61.12
2012-09-26,63.34,63.75,62.73,62.89,578900,62.25
2012-09-25,63.58,63.71,63.10,63.16,469300,62.51
2012-09-24,63.19,63.67,63.03,63.52,473700,62.87
2012-09-21,63.54,63.74,63.12,63.16,742800,62.51
2012-09-20,63.20,63.85,63.15,63.37,454500,62.72
2012-09-19,63.54,63.75,63.19,63.29,454200,62.64
2012-09-18,63.00,63.66,62.93,63.60,406500,62.95
2012-09-17,63.00,63.18,62.65,62.94,412800,62.29
2012-09-14,63.63,63.63,62.70,62.99,394100,62.34
2012-09-13,62.24,63.30,62.14,63.22,438200,62.57
2012-09-12,63.00,63.91,62.19,62.35,580500,61.71
2012-09-11,63.09,63.34,62.83,63.00,497400,62.35
2012-09-10,63.88,63.88,62.73,62.98,495400,62.33
2012-09-07,63.86,63.86,62.85,63.00,402500,62.35
2012-09-06,62.85,63.66,62.50,63.41,685700,62.76
2012-09-05,62.39,62.69,62.06,62.40,619300,61.76
2012-09-04,61.55,62.40,61.23,62.31,514700,61.67
2012-08-31,61.30,61.63,60.95,61.44,392500,60.81
2012-08-30,61.28,61.41,60.88,60.96,272700,60.33
2012-08-29,61.38,61.51,61.14,61.40,262400,60.77
2012-08-28,61.30,61.67,61.22,61.35,258900,60.72
2012-08-27,61.17,61.62,61.01,61.37,277800,60.74
