Date,Open,High,Low,Close,Volume,Adj Close
2012-12-24,34.90,35.02,34.70,34.82,738500,34.82
2012-12-21,35.06,35.23,34.70,35.03,4111100,35.03
2012-12-20,34.70,35.28,34.67,35.26,2968600,35.26
2012-12-19,34.60,35.14,34.54,34.76,4079400,34.76
2012-12-18,34.58,34.65,34.30,34.60,3769200,34.60
2012-12-17,34.38,34.68,34.34,34.49,2729300,34.49
2012-12-14,34.37,34.45,34.20,34.21,1672900,34.21
2012-12-13,34.73,34.83,34.42,34.44,1692700,34.44
2012-12-12,34.89,35.07,34.67,34.74,2521500,34.74
2012-12-11,34.99,35.00,34.66,34.79,1892600,34.79
2012-12-10,35.03,35.03,34.74,34.88,1902500,34.88
2012-12-07,35.19,35.24,34.90,35.11,1523400,35.11
2012-12-06,35.22,35.24,35.01,35.11,1889400,35.11
2012-12-05,34.94,35.29,34.81,35.20,2130800,35.20
2012-12-04,34.95,35.17,34.72,34.91,2244500,34.91
2012-12-03,35.28,35.44,35.06,35.11,2000100,35.11
2012-11-30,35.20,35.39,35.10,35.22,5028900,35.22
2012-11-29,35.31,35.41,35.13,35.20,2225600,35.20
2012-11-28,35.12,35.27,34.90,35.12,3089200,35.12
2012-11-27,35.39,35.54,35.24,35.25,2330500,35.25
2012-11-26,35.52,35.71,35.43,35.53,2494200,35.53
2012-11-23,35.59,35.78,35.44,35.78,854000,35.78
2012-11-21,35.46,35.60,35.27,35.46,2278900,35.46
2012-11-20,35.01,35.42,34.94,35.41,2412400,35.41
2012-11-19,34.86,35.22,34.56,35.08,3870600,35.08
2012-11-16,33.99,34.54,33.99,34.54,5589300,34.54
2012-11-15,34.11,34.40,33.96,34.28,2990400,34.28
2012-11-14,34.17,34.35,34.00,34.06,3925600,34.06
2012-11-13,34.00,34.27,33.88,34.10,2710800,34.10
2012-11-12,34.23,34.28,33.99,34.17,1281400,34.17
2012-11-09,34.07,34.48,33.96,34.16,2361100,34.16
2012-11-08,34.39,34.65,34.14,34.14,1858700,34.14
2012-11-07,34.60,34.79,34.09,34.50,3082700,34.50
2012-11-06,34.23,34.94,34.09,34.92,2610500,34.92
2012-11-05,34.24,34.40,34.07,34.25,2568700,34.25
2012-11-02,34.75,34.94,34.26,34.28,4098200,34.28
2012-11-01,34.02,34.63,34.00,34.62,2493000,34.62
2012-10-31,33.80,34.23,33.53,34.03,3135800,34.03
2012-10-26,33.34,33.91,33.29,33.74,3647500,33.74
2012-10-25,33.43,33.61,33.09,33.39,2257100,33.39
2012-10-24,33.57,33.65,33.17,33.19,2338300,33.19
2012-10-23,33.73,33.82,33.46,33.56,2180800,33.56
2012-10-22,34.20,34.40,33.90,34.11,1543100,34.11
2012-10-19,34.88,34.93,34.24,34.35,2030900,34.35
2012-10-18,34.91,35.19,34.91,34.98,2331900,34.98
2012-10-17,34.95,34.99,34.82,34.92,1405100,34.92
2012-10-16,34.65,34.95,34.59,34.85,2346600,34.85
2012-10-15,34.37,34.66,34.10,34.54,2103000,34.54
2012-10-12,34.37,34.60,34.18,34.34,1810000,34.34
2012-10-11,34.41,34.49,34.31,34.38,1586800,34.38
2012-10-10,34.32,34.57,34.20,34.30,2032800,34.30
2012-10-09,34.56,34.73,34.20,34.37,2090300,34.37
2012-10-08,34.59,34.78,34.51,34.73,1495900,34.50
2012-10-05,34.76,34.90,34.59,34.77,2560000,34.54
2012-10-04,34.40,34.56,34.27,34.55,1899400,34.32
2012-10-03,34.49,34.49,34.09,34.22,3013600,33.99
2012-10-02,34.32,34.47,34.23,34.44,1715500,34.21
2012-10-01,34.05,34.49,34.05,34.27,2479300,34.04
2012-09-28,33.62,34.04,33.61,33.93,2536800,33.71
2012-09-27,33.99,34.01,33.65,33.81,3021500,33.59
2012-09-26,33.94,34.32,33.79,33.87,2763200,33.65
2012-09-25,34.46,34.50,33.87,33.91,2532600,33.69
2012-09-24,34.33,34.50,34.16,34.34,1511500,34.11
2012-09-21,34.59,34.69,34.45,34.50,2676800,34.27
2012-09-20,34.34,34.37,34.08,34.37,1646100,34.14
2012-09-19,34.91,34.94,34.39,34.50,2638800,34.27
2012-09-18,34.92,34.99,34.75,34.91,2617500,34.68
2012-09-17,34.83,34.98,34.72,34.80,1347500,34.57
2012-09-14,34.67,34.90,34.50,34.90,3684700,34.67
2012-09-13,34.05,34.73,33.90,34.68,2679400,34.45
2012-09-12,34.10,34.17,33.98,34.04,2660800,33.81
2012-09-11,34.06,34.14,33.88,33.97,2227100,33.75
2012-09-10,34.26,34.35,34.06,34.06,2122000,33.83
2012-09-07,34.35,34.43,34.09,34.32,2829600,34.09
2012-09-06,34.01,34.38,34.01,34.35,2150800,34.12
2012-09-05,34.15,34.17,33.75,33.85,1797500,33.63
2012-09-04,34.12,34.25,33.87,34.11,1590700,33.88
2012-08-31,33.94,34.23,33.88,34.17,2425200,33.94
2012-08-30,33.83,33.94,33.55,33.82,1134400,33.60
2012-08-29,34.03,34.19,33.84,34.03,1335500,33.80
2012-08-28,34.11,34.21,33.87,34.03,1601000,33.80
2012-08-27,34.06,34.38,33.79,34.26,2329000,34.03
2012-08-24,33.67,34.10,33.67,34.05,1358500,33.82
2012-08-23,33.76,33.89,33.64,33.74,1583200,33.52
2012-08-22,33.70,33.92,33.65,33.82,2056200,33.60
2012-08-21,34.14,34.19,33.76,33.83,1650500,33.61
2012-08-20,34.15,34.21,33.89,34.14,1190700,33.91
2012-08-17,34.24,34.25,34.15,34.24,1352000,34.01
2012-08-16,33.96,34.24,33.87,34.16,1987400,33.93
2012-08-15,33.91,34.16,33.86,33.99,1992000,33.76
2012-08-14,33.99,34.13,33.82,33.90,1330100,33.68
2012-08-13,33.89,34.07,33.74,33.86,1791600,33.64
2012-08-10,33.90,34.03,33.80,34.02,2519900,33.79
2012-08-09,33.95,34.12,33.63,33.84,1997100,33.62
2012-08-08,34.01,34.09,33.84,33.97,1659900,33.75
2012-08-07,33.73,34.31,33.53,34.11,3972700,33.88
2012-08-06,33.63,33.85,33.33,33.39,2264800,33.17
2012-08-03,33.39,33.59,33.23,33.41,2377000,33.19
2012-08-02,32.85,33.09,32.66,32.94,1974900,32.72
2012-08-01,33.35,33.35,32.96,33.04,2392700,32.82
2012-07-31,33.61,33.68,33.20,33.21,2862000,32.99
2012-07-30,33.26,33.85,33.22,33.72,3428100,33.50
2012-07-27,32.51,33.50,32.46,33.36,6864400,33.14
2012-07-26,32.22,32.48,32.03,32.28,1612200,32.07
2012-07-25,31.83,31.98,31.54,31.82,2130700,31.61
2012-07-24,32.09,32.16,31.42,31.65,1727700,31.44
2012-07-23,32.01,32.16,31.67,32.11,1689900,31.90
2012-07-20,32.65,32.76,32.29,32.37,3789900,32.16
2012-07-19,32.71,32.91,32.47,32.80,3671200,32.58
2012-07-18,32.33,32.65,32.27,32.60,1622100,32.38
2012-07-17,32.30,32.52,32.17,32.48,1931500,32.26
2012-07-16,32.38,32.41,32.11,32.23,1639500,32.02
2012-07-13,31.99,32.35,31.80,32.35,2048300,32.14
2012-07-12,31.84,32.04,31.63,31.88,1623900,31.67
2012-07-11,32.13,32.14,31.90,32.05,2225900,31.84
2012-07-10,32.60,32.65,32.01,32.06,2567400,31.85
2012-07-09,32.52,32.61,32.23,32.42,4640200,32.21
2012-07-06,32.44,32.76,32.28,32.66,2948500,32.22
2012-07-05,32.38,32.86,32.22,32.68,3094700,32.23
2012-07-03,32.38,32.58,32.31,32.40,1581200,31.96
2012-07-02,32.47,32.62,32.28,32.47,2773000,32.03
2012-06-29,32.00,32.23,31.72,32.23,3741800,31.79
2012-06-28,30.90,31.53,30.90,31.52,3141500,31.09
2012-06-27,31.05,31.29,30.86,31.14,3586300,30.72
2012-06-26,30.92,31.04,30.84,30.97,2257200,30.55
2012-06-25,30.90,31.03,30.78,30.89,3302800,30.47
2012-06-22,31.01,31.30,30.74,31.22,12897400,30.79
2012-06-21,31.49,31.51,30.80,30.80,2491700,30.38
2012-06-20,31.35,31.42,31.12,31.39,2785600,30.96
2012-06-19,31.39,31.47,31.24,31.30,3426700,30.87
2012-06-18,31.80,31.80,31.16,31.20,5438900,30.78
2012-06-15,31.97,32.00,31.64,31.78,4191700,31.35
2012-06-14,31.69,31.96,31.59,31.86,1631500,31.43
2012-06-13,31.98,32.06,31.60,31.67,2575300,31.24
2012-06-12,31.60,32.14,31.55,32.12,2323500,31.68
2012-06-11,32.17,32.24,31.51,31.52,2930000,31.09
2012-06-08,32.02,32.44,31.78,31.98,3407700,31.54
2012-06-07,32.80,32.88,32.11,32.16,6191000,31.72
2012-06-06,31.89,32.48,31.76,32.48,2720200,32.04
2012-06-05,31.50,31.97,31.44,31.83,3398100,31.40
