Date,Open,High,Low,Close,Volume,Adj Close
2012-12-24,52.07,52.45,51.50,52.42,458300,52.42
2012-12-21,51.59,52.41,50.81,52.09,2580100,52.09
2012-12-20,53.19,53.41,51.91,52.12,1344800,52.12
2012-12-19,53.45,53.68,52.22,53.06,1273000,53.06
2012-12-18,52.90,53.88,52.11,53.51,2014900,53.51
2012-12-17,53.48,53.84,52.68,52.76,2486300,52.76
2012-12-14,54.63,54.68,53.27,53.38,2369600,53.38
2012-12-13,56.65,56.96,54.57,54.69,2405000,54.69
2012-12-12,55.38,57.36,55.00,56.80,3980100,56.80
2012-12-11,54.60,56.46,53.82,54.91,3935300,54.91
2012-12-10,53.03,53.98,52.43,52.84,2038200,52.84
2012-12-07,51.93,52.90,51.21,52.78,1371700,52.78
2012-12-06,51.90,52.03,51.00,51.85,2169100,51.85
2012-12-05,51.85,52.55,51.51,51.63,1679500,51.63
2012-12-04,51.88,52.18,50.83,51.66,1745800,51.66
2012-12-03,52.37,52.56,51.54,51.88,1621100,51.88
2012-11-30,51.90,52.31,51.31,52.05,2140400,52.05
2012-11-29,52.06,52.39,51.11,51.69,1797000,51.69
2012-11-28,51.82,51.84,50.02,51.36,4228600,51.36
2012-11-27,45.86,53.19,45.56,51.97,13181000,51.97
2012-11-26,45.92,46.24,45.67,45.88,1405100,45.88
2012-11-23,45.78,46.00,45.24,45.94,582200,45.94
2012-11-21,45.12,45.88,44.67,45.74,1299800,45.74
2012-11-20,45.14,45.77,44.10,44.89,2214100,44.89
2012-11-19,46.05,46.43,44.61,45.23,2181800,45.23
2012-11-16,44.81,46.71,44.55,45.47,3263400,45.47
2012-11-15,42.64,44.94,42.44,44.81,4408200,44.81
2012-11-14,46.42,46.42,44.68,44.74,1781600,44.74
2012-11-13,45.28,46.75,45.17,46.39,2110800,46.39
2012-11-12,45.63,45.64,44.97,45.16,2020000,45.16
2012-11-09,44.21,45.59,44.05,45.26,2335100,45.26
2012-11-08,40.29,45.00,39.99,44.40,8167300,44.40
2012-11-07,44.50,45.74,44.09,44.97,3639400,44.97
2012-11-06,45.19,45.71,44.41,45.09,2013100,45.09
2012-11-05,44.00,45.30,43.78,45.04,1990300,45.04
2012-11-02,43.80,44.95,42.87,44.03,2549400,44.03
2012-11-01,44.71,45.58,43.11,44.99,2787200,44.99
2012-10-31,45.81,45.97,44.06,44.65,2590800,44.65
2012-10-26,46.77,47.09,44.40,45.86,3764800,45.86
2012-10-25,47.81,48.07,46.22,47.09,5128000,47.09
2012-10-24,42.98,48.15,42.60,47.97,12763100,47.97
2012-10-23,44.55,44.60,40.06,41.08,19261700,41.08
2012-10-22,53.46,53.54,43.60,45.73,21830400,45.73
2012-10-19,55.99,56.00,52.52,53.32,3356200,53.32
2012-10-18,57.39,57.40,55.81,56.03,2031100,56.03
2012-10-17,58.59,58.76,57.09,57.18,1371100,57.18
2012-10-16,58.65,59.07,58.25,58.42,1825900,58.42
2012-10-15,57.50,58.39,57.24,58.31,2604200,58.31
2012-10-12,54.45,57.25,54.41,57.08,3729400,57.08
2012-10-11,54.49,54.76,54.10,54.44,2145900,54.44
2012-10-10,53.62,55.05,53.50,53.63,3575000,53.63
2012-10-09,56.68,57.24,56.50,56.74,1684300,56.74
2012-10-08,56.79,57.16,56.66,56.99,1382000,56.99
2012-10-05,55.69,57.25,55.38,57.03,1916000,57.03
2012-10-04,54.50,55.73,54.19,55.38,1308900,55.38
2012-10-03,54.82,55.32,54.10,54.38,1371100,54.38
2012-10-02,55.30,55.34,54.34,54.69,1431100,54.69
2012-10-01,54.29,55.96,54.02,55.03,2338300,55.03
