Date,Open,High,Low,Close,Volume,Adj Close
2012-12-26,27.14,27.35,27.02,27.04,359500,27.04
2012-12-24,27.11,27.48,27.02,27.10,197800,27.10
2012-12-21,27.40,27.40,27.02,27.13,1313300,27.13
2012-12-20,27.39,27.71,27.16,27.67,663600,27.67
2012-12-19,27.34,27.45,27.21,27.21,477500,27.21
2012-12-18,26.86,27.31,26.71,27.28,765100,27.28
2012-12-17,26.71,26.97,26.63,26.91,757100,26.91
2012-12-14,26.93,27.02,26.57,26.70,573800,26.70
2012-12-13,27.08,27.27,26.81,26.96,514600,26.96
2012-12-12,27.17,27.34,27.02,27.14,412000,27.14
2012-12-11,27.24,27.24,27.02,27.16,713400,27.16
2012-12-10,27.05,27.14,26.91,27.05,393100,27.05
2012-12-07,26.85,27.01,26.74,27.00,407400,27.00
2012-12-06,26.36,26.79,26.32,26.77,506100,26.77
2012-12-05,26.45,26.61,26.18,26.45,885700,26.45
2012-12-04,26.64,26.82,26.12,26.41,857700,26.41
2012-12-03,26.63,26.70,26.22,26.57,859600,26.57
2012-11-30,26.42,26.63,26.33,26.38,659200,26.38
2012-11-29,26.49,26.62,26.22,26.40,486000,26.40
2012-11-28,25.95,26.40,25.75,26.37,427200,26.37
2012-11-27,26.38,26.55,26.26,26.29,379700,26.07
2012-11-26,26.54,26.63,26.33,26.44,374100,26.22
2012-11-23,26.29,26.62,26.05,26.62,134900,26.40
2012-11-21,26.03,26.17,25.90,26.06,223100,25.84
2012-11-20,25.85,26.08,25.74,25.98,282100,25.76
2012-11-19,25.90,26.05,25.74,25.93,438300,25.71
2012-11-16,25.25,25.61,25.04,25.46,869800,25.25
2012-11-15,25.20,25.49,24.99,25.21,804000,25.00
2012-11-14,25.70,25.81,25.00,25.04,465500,24.83
2012-11-13,25.52,25.94,25.52,25.56,387300,25.35
2012-11-12,25.81,25.98,25.52,25.65,272100,25.44
2012-11-09,25.60,25.97,25.31,25.75,804400,25.53
2012-11-08,25.68,26.28,25.50,25.61,398600,25.40
2012-11-07,26.52,26.59,25.77,25.98,640600,25.76
2012-11-06,26.41,27.16,26.33,26.92,608300,26.69
2012-11-05,25.88,26.34,25.82,26.27,478800,26.05
2012-11-02,26.50,26.55,25.99,26.05,326300,25.83
2012-11-01,25.99,26.58,25.77,26.33,544100,26.11
2012-10-31,25.75,26.10,25.50,25.96,685800,25.74
2012-10-26,25.81,25.92,25.64,25.71,574700,25.49
2012-10-25,25.98,25.99,25.60,25.86,435500,25.64
2012-10-24,25.86,25.90,25.48,25.67,637600,25.46
2012-10-23,26.22,26.28,25.47,25.80,969900,25.58
2012-10-22,26.48,26.84,26.21,26.65,932400,26.43
2012-10-19,26.67,26.96,26.47,26.57,800600,26.35
2012-10-18,26.92,27.04,26.61,26.87,599500,26.65
2012-10-17,26.67,27.08,26.67,26.92,467000,26.69
2012-10-16,25.84,26.63,25.81,26.60,685900,26.38
2012-10-15,25.74,25.82,25.50,25.71,869500,25.49
2012-10-12,25.81,26.00,25.62,25.69,427000,25.48
2012-10-11,25.93,26.09,25.78,25.89,445800,25.67
2012-10-10,25.62,25.92,25.56,25.74,596600,25.52
2012-10-09,25.97,26.17,25.68,25.76,742300,25.54
2012-10-08,25.98,26.26,25.98,26.04,455800,25.82
2012-10-05,25.99,26.80,25.99,26.19,473800,25.97
2012-10-04,26.19,26.26,25.95,26.15,662800,25.93
2012-10-03,26.33,26.47,26.01,26.10,430000,25.88
2012-10-02,26.13,26.39,25.93,26.22,652700,26.00
2012-10-01,26.34,26.40,25.87,25.98,678700,25.76
2012-09-28,26.19,26.48,26.11,26.28,560400,26.06
2012-09-27,26.30,26.41,26.10,26.38,369600,26.16
2012-09-26,26.53,26.75,25.93,26.09,640500,25.87
2012-09-25,27.26,27.29,26.65,26.69,657700,26.25
2012-09-24,27.15,27.38,27.05,27.20,389600,26.75
2012-09-21,27.70,27.89,27.48,27.51,776700,27.05
2012-09-20,27.64,27.79,27.47,27.66,371500,27.20
2012-09-19,28.04,28.14,27.75,27.79,363600,27.33
2012-09-18,28.03,28.29,27.83,27.95,637700,27.49
2012-09-17,28.06,28.28,27.79,28.20,515000,27.73
2012-09-14,27.87,28.27,27.79,27.95,714600,27.49
2012-09-13,27.33,27.99,27.07,27.87,471100,27.41
2012-09-12,27.31,27.44,27.23,27.35,359000,26.90
2012-09-11,27.10,27.54,27.10,27.26,449500,26.81
2012-09-10,27.32,27.50,27.08,27.11,383000,26.66
2012-09-07,26.94,27.37,26.87,27.36,428600,26.91
2012-09-06,26.40,27.04,26.10,26.97,608300,26.52
2012-09-05,26.42,26.58,26.11,26.19,887600,25.76
2012-09-04,26.55,26.56,26.13,26.48,790400,26.04
2012-08-31,26.62,26.77,26.36,26.55,364300,26.11
2012-08-30,26.75,26.78,26.20,26.40,576800,25.96
2012-08-29,26.96,27.21,26.79,26.95,339500,26.50
2012-08-28,26.97,27.09,26.90,26.92,276700,26.47
2012-08-27,27.17,27.26,26.84,27.01,457100,26.56
2012-08-24,26.84,27.19,26.67,27.14,249400,26.69
2012-08-23,26.98,27.15,26.82,26.92,498000,26.47
2012-08-22,27.29,27.34,26.86,27.05,553000,26.60
2012-08-21,27.44,27.62,27.18,27.28,453700,26.83
2012-08-20,27.38,27.49,27.07,27.31,304700,26.86
2012-08-17,27.23,27.48,27.05,27.39,470900,26.94
2012-08-16,26.75,27.29,26.70,27.16,502100,26.71
2012-08-15,26.61,26.78,26.42,26.64,464300,26.20
2012-08-14,26.64,26.85,26.42,26.53,722800,26.09
2012-08-13,26.20,26.48,26.11,26.47,393300,26.03
2012-08-10,26.00,26.27,25.66,26.26,573000,25.83
2012-08-09,25.91,26.36,25.88,26.06,724600,25.63
2012-08-08,26.09,26.19,24.89,25.90,1467100,25.47
2012-08-07,26.38,27.00,26.35,26.70,840000,26.26
2012-08-06,26.16,26.45,25.98,26.28,745400,25.85
2012-08-03,25.43,26.01,25.29,25.99,570400,25.56
2012-08-02,25.02,25.28,24.66,24.89,537200,24.48
2012-08-01,25.32,25.47,25.12,25.21,801900,24.79
2012-07-31,25.13,25.41,24.99,25.12,615400,24.70
2012-07-30,25.29,25.49,24.94,25.14,385000,24.72
2012-07-27,24.75,25.36,24.45,25.30,682900,24.88
2012-07-26,24.40,24.62,24.26,24.53,643400,24.12
2012-07-25,23.93,24.32,23.85,23.92,575400,23.52
2012-07-24,24.02,24.10,23.57,23.87,697400,23.48
2012-07-23,23.75,24.06,23.42,23.97,335900,23.57
2012-07-20,24.52,24.52,23.91,24.24,545600,23.84
2012-07-19,24.51,25.07,24.48,24.70,987900,24.29
2012-07-18,23.41,24.52,23.28,24.37,1082300,23.97
2012-07-17,23.25,23.43,22.89,23.19,527700,22.81
2012-07-16,22.94,23.29,22.86,23.10,592700,22.72
2012-07-13,22.88,23.32,22.86,23.10,509200,22.72
2012-07-12,22.60,22.87,22.35,22.78,739900,22.40
2012-07-11,22.76,22.89,22.59,22.74,649400,22.36
2012-07-10,23.44,23.58,22.67,22.78,870600,22.40
2012-07-09,23.53,23.69,23.29,23.55,510800,23.16
2012-07-06,24.15,24.19,23.46,23.62,751000,23.23
2012-07-05,24.13,24.49,24.11,24.46,672500,24.06
2012-07-03,23.78,24.30,23.78,24.30,212900,23.90
2012-07-02,23.98,24.05,23.70,23.87,519600,23.48
2012-06-29,23.74,24.00,23.69,23.94,571300,23.54
2012-06-28,23.30,23.42,22.86,23.23,657000,22.85
2012-06-27,23.39,23.71,23.39,23.49,470900,23.10
2012-06-26,23.63,23.75,23.33,23.62,742200,23.01
2012-06-25,23.86,23.98,23.48,23.60,636800,22.99
2012-06-22,23.97,24.36,23.91,24.23,1439000,23.61
2012-06-21,24.95,25.14,23.83,23.86,1377900,23.25
2012-06-20,25.16,25.17,24.77,25.00,791900,24.36
2012-06-19,24.76,25.26,24.76,25.12,695300,24.47
2012-06-18,24.50,24.87,24.39,24.78,775700,24.14
2012-06-15,24.41,24.78,24.17,24.72,858500,24.08
2012-06-14,24.25,24.53,24.10,24.29,940300,23.67
2012-06-13,24.20,24.63,24.10,24.30,1044100,23.68
2012-06-12,24.04,24.54,23.99,24.34,1159000,23.71
2012-06-11,24.52,24.68,23.93,23.97,1180600,23.35
2012-06-08,23.99,24.34,23.72,24.28,1332800,23.66
2012-06-07,23.91,24.17,23.69,23.75,996500,23.14
2012-06-06,22.92,23.64,22.91,23.58,1224000,22.97
2012-06-05,22.13,22.76,22.12,22.73,1096800,22.15
2012-06-04,22.44,22.52,21.89,22.19,926400,21.62
2012-06-01,22.63,22.73,22.27,22.31,987100,21.74
2012-05-31,23.23,23.24,22.85,23.07,1137400,22.48
2012-05-30,23.31,23.38,22.99,23.17,1426700,22.57
2012-05-29,23.52,23.75,23.37,23.56,906900,22.95
2012-05-25,23.29,23.51,23.21,23.31,580400,22.71
2012-05-24,23.61,23.69,23.05,23.25,705600,22.65
2012-05-23,23.42,23.57,23.14,23.47,1133700,22.87
2012-05-22,23.55,23.80,23.36,23.58,841600,22.97
2012-05-21,23.16,23.56,23.04,23.52,734600,22.92
2012-05-18,23.57,23.63,23.03,23.08,1249000,22.49
2012-05-17,24.13,24.21,23.46,23.48,962800,22.88
2012-05-16,24.74,24.86,24.08,24.11,852200,23.49
2012-05-15,24.79,25.02,24.50,24.54,892100,23.91
2012-05-14,25.06,25.16,24.81,24.94,486100,24.30
2012-05-11,25.29,25.71,25.13,25.36,372300,24.71
2012-05-10,25.71,25.74,25.27,25.37,504000,24.72
2012-05-09,25.16,25.65,25.04,25.46,737700,24.81
2012-05-08,25.40,25.60,25.10,25.56,612900,24.90
2012-05-07,25.84,26.12,25.56,25.65,1136300,24.99
2012-05-04,26.79,26.79,26.06,26.09,802300,25.42
2012-05-03,27.50,27.50,26.86,26.89,592100,26.20
2012-05-02,27.29,27.49,27.08,27.46,838700,26.75
2012-05-01,27.57,27.70,27.24,27.51,917900,26.80
2012-04-30,27.67,27.95,27.44,27.59,659700,26.88
2012-04-27,27.73,27.99,27.45,27.90,587300,27.18
2012-04-26,26.87,27.75,26.73,27.65,763300,26.94
2012-04-25,26.72,27.28,26.53,26.86,1093500,26.17
2012-04-24,26.68,26.95,26.64,26.85,662500,26.16
2012-04-23,26.59,26.67,26.23,26.60,584200,25.92
2012-04-20,27.06,27.35,26.95,27.00,672600,26.31
2012-04-19,27.05,27.42,26.74,26.99,466200,26.30
2012-04-18,27.27,27.35,26.97,27.12,707700,26.42
2012-04-17,27.19,27.63,27.18,27.47,715300,26.76
2012-04-16,27.16,27.25,26.86,26.95,707900,26.26
2012-04-13,27.07,27.14,26.87,26.88,479800,26.19
2012-04-12,26.83,27.31,26.80,27.25,546700,26.55
2012-04-11,26.91,27.00,26.65,26.78,594700,26.09
2012-04-10,27.02,27.24,26.50,26.55,573600,25.87
2012-04-09,27.02,27.39,26.76,27.17,576000,26.47
2012-04-05,27.34,27.50,27.28,27.47,473700,26.76
2012-04-04,27.71,27.74,27.45,27.52,514400,26.81
2012-04-03,28.18,28.46,27.82,28.03,450800,27.31
2012-04-02,28.02,28.34,27.80,28.28,579800,27.55
2012-03-30,28.06,28.19,27.72,28.12,420600,27.40
2012-03-29,27.75,27.98,27.52,27.90,306000,27.18
2012-03-28,28.09,28.15,27.68,27.95,692800,27.23
2012-03-27,28.33,28.46,28.22,28.38,613200,27.46
2012-03-26,27.95,28.25,27.85,28.24,472700,27.32
2012-03-23,27.90,27.90,27.28,27.65,469600,26.75
2012-03-22,27.59,27.67,27.28,27.56,371500,26.66
2012-03-21,27.73,27.97,27.52,27.85,350100,26.94
2012-03-20,27.63,27.78,27.34,27.68,445700,26.78
2012-03-19,27.27,27.95,27.27,27.83,419700,26.92
2012-03-16,27.98,28.05,27.78,27.83,743000,26.92
2012-03-15,27.65,28.07,27.58,27.95,623900,27.04
2012-03-14,27.99,28.16,27.48,27.68,700400,26.78
2012-03-13,27.51,28.00,27.46,27.99,437300,27.08
2012-03-12,27.30,27.42,27.18,27.40,304700,26.51
