Date,Open,High,Low,Close,Volume,Adj Close
2012-12-26,93.00,94.43,92.70,94.10,2255500,94.10
2012-12-24,90.94,93.14,90.90,92.80,1053100,92.80
2012-12-21,91.71,92.86,91.69,92.55,3700000,92.55
2012-12-20,91.55,92.57,90.95,92.54,2500700,92.54
2012-12-19,92.00,92.50,91.67,91.68,2039600,91.68
2012-12-18,90.95,92.73,90.72,92.10,2947300,92.10
2012-12-17,89.64,90.76,89.45,90.67,1979500,90.67
2012-12-14,89.15,90.00,88.98,89.13,1819000,89.13
2012-12-13,90.01,90.61,89.09,89.50,1993400,89.50
2012-12-12,91.18,91.48,89.50,89.75,2676900,89.75
2012-12-11,90.56,91.21,90.29,91.07,2149400,91.07
2012-12-10,90.69,91.00,90.30,90.55,1576900,90.55
2012-12-07,90.38,91.14,90.07,90.69,2267200,90.69
2012-12-06,89.63,90.01,88.97,89.97,1757700,89.97
2012-12-05,89.32,90.25,88.90,89.60,1995300,89.60
2012-12-04,89.03,89.73,88.56,89.20,2739500,89.20
2012-12-03,91.98,92.49,89.02,89.43,2894600,89.43
2012-11-30,92.10,92.29,91.14,91.59,2254100,91.59
2012-11-29,91.83,93.00,91.47,92.08,2449100,92.08
2012-11-28,90.04,91.46,89.11,91.31,2393300,91.31
2012-11-27,91.33,91.98,90.75,90.81,2564000,90.81
2012-11-26,90.46,91.31,89.87,91.19,2638800,91.19
2012-11-23,89.50,90.72,89.36,90.58,1133000,90.58
2012-11-21,89.18,89.92,88.47,89.39,2094200,89.39
2012-11-20,88.25,89.35,88.06,89.23,2787300,89.23
2012-11-19,86.56,88.50,86.44,88.33,3505100,88.33
2012-11-16,84.98,85.77,84.36,85.23,3101600,85.23
2012-11-15,83.78,85.43,82.70,84.66,3786100,84.66
2012-11-14,84.99,85.42,83.61,83.84,3058900,83.84
2012-11-13,85.29,86.46,84.32,85.19,3085600,85.19
2012-11-12,86.76,87.54,85.50,85.60,1140600,85.60
2012-11-09,86.02,87.14,86.00,86.43,1437300,86.43
2012-11-08,87.16,88.02,86.07,86.33,1357000,86.33
2012-11-07,88.22,88.59,86.51,87.35,2303600,87.35
2012-11-06,88.14,89.95,87.69,88.95,2638100,88.95
2012-11-05,85.94,88.28,85.63,88.05,3431800,88.05
2012-11-02,87.56,87.60,85.68,85.87,2019400,85.87
2012-11-01,86.11,87.39,86.00,86.85,2149900,86.85
2012-10-31,87.38,87.86,85.54,86.07,2248600,86.07
2012-10-26,86.49,87.09,86.02,86.60,1745200,86.60
2012-10-25,86.96,87.36,85.93,86.49,1731100,86.49
2012-10-24,87.38,87.95,86.08,86.49,2080900,86.49
2012-10-23,87.78,87.80,86.37,86.93,2670300,86.93
2012-10-22,88.35,88.97,87.86,88.87,1784500,88.87
2012-10-19,89.37,89.98,88.15,88.69,3736500,88.69
2012-10-18,89.51,90.72,88.53,89.98,2407500,89.98
2012-10-17,90.22,90.82,88.50,89.63,4484300,89.63
2012-10-16,89.37,90.79,89.31,90.48,2108400,90.48
2012-10-15,89.03,89.79,88.80,89.18,2507200,89.18
2012-10-12,88.61,89.00,88.06,88.57,2074800,88.57
2012-10-11,89.77,90.00,88.28,88.49,3169000,88.49
2012-10-10,90.68,90.99,88.91,89.30,3501800,89.30
2012-10-09,91.44,92.20,90.48,90.51,2918200,90.51
2012-10-08,90.75,92.06,90.62,91.65,2330600,91.65
2012-10-05,91.05,92.18,90.78,91.16,3458300,91.16
2012-10-04,89.06,91.27,88.83,90.64,3880600,90.64
2012-10-03,88.91,89.80,87.57,88.59,7142600,88.59
2012-10-02,90.19,91.22,89.51,90.94,3960800,90.57
2012-10-01,91.71,91.85,90.25,90.39,3291800,90.02
2012-09-28,91.21,91.59,90.27,91.02,2885100,90.64
2012-09-27,90.73,91.78,90.22,91.36,3311800,90.98
2012-09-26,90.27,91.00,89.29,89.49,2512400,89.12
2012-09-25,91.40,91.66,90.45,90.45,2936100,90.08
2012-09-24,90.58,91.43,90.40,91.04,2500200,90.66
2012-09-21,91.60,91.95,90.61,90.92,3713700,90.55
2012-09-20,90.79,91.43,89.72,91.06,3540800,90.68
2012-09-19,90.51,91.75,90.15,91.16,4830100,90.78
2012-09-18,89.08,89.12,88.31,89.06,2084800,88.69
2012-09-17,88.57,89.62,87.77,89.08,3091100,88.71
2012-09-14,90.04,90.12,88.42,88.97,3406000,88.60
2012-09-13,88.06,90.00,88.06,89.90,2615200,89.53
2012-09-12,89.40,89.93,87.92,87.99,4281900,87.63
2012-09-11,89.41,89.82,88.83,89.50,1985000,89.13
2012-09-10,89.65,89.99,89.22,89.42,1901300,89.05
2012-09-07,89.50,89.90,88.88,89.39,2371300,89.02
2012-09-06,88.10,89.69,87.61,89.44,2950000,89.07
2012-09-05,86.37,87.89,86.35,87.55,2309700,87.19
2012-09-04,86.94,87.43,86.07,86.62,2236700,86.26
2012-08-31,87.61,87.92,86.67,87.11,1876100,86.75
2012-08-30,87.38,87.63,86.84,87.17,2258200,86.81
2012-08-29,87.20,88.01,86.46,87.73,2438400,87.37
2012-08-28,85.80,87.27,85.58,86.97,3202300,86.61
2012-08-27,85.68,86.78,85.36,86.13,2383900,85.77
2012-08-24,85.55,85.59,84.86,85.34,2491600,84.99
2012-08-23,87.53,87.72,85.58,85.83,2599300,85.48
2012-08-22,87.50,88.06,86.28,88.06,2887300,87.70
2012-08-21,87.60,88.84,87.11,87.69,2555300,87.33
2012-08-20,88.10,88.17,86.75,87.47,2077700,87.11
2012-08-17,88.65,88.65,87.61,87.87,2537800,87.51
2012-08-16,86.87,88.96,86.61,88.32,3211600,87.96
2012-08-15,86.20,87.29,86.20,86.64,2984700,86.28
2012-08-14,87.36,87.50,85.99,86.20,2385100,85.84
2012-08-13,86.39,87.54,86.24,86.90,2939700,86.54
2012-08-10,88.30,88.69,86.35,86.74,4904300,86.38
2012-08-09,88.48,89.45,88.25,88.62,3628000,88.25
2012-08-08,88.63,88.95,87.81,88.00,2262600,87.64
2012-08-07,88.35,89.73,88.34,88.61,2385000,88.24
2012-08-06,87.60,89.30,87.21,88.46,2871700,88.10
2012-08-03,88.16,88.37,86.87,87.04,3139000,86.68
2012-08-02,85.98,87.97,85.70,87.38,3580100,87.02
2012-08-01,86.28,87.47,86.25,86.41,2689100,86.05
2012-07-31,86.75,87.00,85.38,85.62,3539800,85.27
2012-07-30,87.04,87.55,85.90,86.90,2847100,86.54
2012-07-27,86.12,87.12,86.03,86.88,2532200,86.52
2012-07-26,85.90,86.58,85.16,85.60,2560300,85.25
2012-07-25,85.75,86.11,84.20,84.80,2019800,84.45
2012-07-24,85.52,85.81,84.52,85.06,3265500,84.71
2012-07-23,85.97,86.13,84.09,85.40,3943900,85.05
2012-07-20,86.38,87.77,86.29,87.52,3432300,87.16
2012-07-19,86.46,86.93,86.00,86.78,3259200,86.42
2012-07-18,86.41,86.63,85.60,86.52,2989900,86.16
2012-07-17,85.84,86.93,85.63,86.50,3460700,86.14
2012-07-16,84.02,86.16,83.70,85.50,4842500,85.15
2012-07-13,82.61,84.25,82.37,83.86,2708600,83.51
2012-07-12,82.30,83.50,81.72,82.66,3197200,82.32
2012-07-11,82.80,83.48,81.73,82.77,3888900,82.43
2012-07-10,82.96,83.49,81.49,81.88,2459900,81.54
2012-07-09,82.12,83.16,81.77,82.74,3225000,82.40
2012-07-06,82.16,82.30,81.50,82.09,1669600,81.75
2012-07-05,82.01,83.60,82.01,83.04,1919900,82.70
2012-07-03,83.33,84.02,83.01,83.58,1911400,83.24
2012-07-02,82.98,83.87,82.41,83.48,4556500,82.84
2012-06-29,81.50,82.79,81.05,82.78,4148900,82.14
2012-06-28,80.30,80.67,79.21,80.25,3980700,79.63
2012-06-27,78.85,81.41,78.75,80.89,5741000,80.27
2012-06-26,78.30,79.09,76.89,77.87,4261800,77.27
2012-06-25,77.86,78.65,77.24,77.88,3501400,77.28
2012-06-22,78.12,78.73,77.07,78.45,2036200,77.85
2012-06-21,79.74,79.79,77.67,77.78,2309200,77.18
2012-06-20,79.74,80.53,79.18,79.69,2810900,79.08
2012-06-19,79.70,81.19,79.70,80.45,2776800,79.83
2012-06-18,78.88,79.99,78.72,79.67,2103400,79.06
2012-06-15,79.17,79.52,78.53,78.70,3156500,78.09
2012-06-14,77.79,78.89,77.59,78.69,2565000,78.08
2012-06-13,79.08,79.44,77.47,77.78,3751700,77.18
2012-06-12,78.75,79.78,78.37,79.70,2464200,79.09
2012-06-11,79.80,80.10,78.39,78.56,2232100,77.95
2012-06-08,78.57,79.40,77.85,79.40,2140500,78.79
2012-06-07,79.85,80.32,78.45,78.61,3527200,78.00
2012-06-06,77.60,79.21,77.54,79.20,3402200,78.59
2012-06-05,75.58,77.40,75.58,76.86,2421300,76.27
2012-06-04,76.05,76.95,74.77,76.06,3936800,75.47
2012-06-01,75.35,76.45,75.04,76.17,4157500,75.58
2012-05-31,76.89,77.81,75.40,77.20,4661100,76.61
2012-05-30,76.11,77.35,75.84,76.41,9273900,75.82
2012-05-29,73.75,75.01,73.65,74.75,3447800,74.17
2012-05-25,73.78,74.09,73.17,73.56,3277400,72.99
2012-05-24,72.52,73.99,72.48,73.94,3743600,73.37
2012-05-23,70.43,72.10,69.87,71.82,2100000,71.27
2012-05-22,72.05,72.62,70.81,71.30,2997300,70.75
2012-05-21,70.15,72.20,70.04,72.10,2367800,71.54
2012-05-18,70.35,71.36,69.70,69.89,3207900,69.35
2012-05-17,71.56,71.64,70.02,70.14,2970300,69.60
2012-05-16,72.24,72.37,71.13,71.42,3948700,70.87
