Date,Open,High,Low,Close,Volume,Adj Close
2012-12-24,41.43,41.75,41.31,41.42,6482700,41.42
2012-12-21,42.42,42.46,41.45,41.52,28709200,41.52
2012-12-20,42.45,42.78,42.00,42.16,33648000,42.16
2012-12-19,44.15,44.46,43.61,43.66,11693100,43.66
2012-12-18,43.59,44.40,43.36,44.24,14081000,44.24
2012-12-17,43.63,43.84,43.51,43.63,13280200,43.63
2012-12-14,43.90,43.96,43.41,43.54,13186000,43.54
2012-12-13,44.94,44.94,43.90,43.95,13744400,43.95
2012-12-12,45.21,45.49,45.02,45.26,11250000,44.83
2012-12-11,44.66,45.28,44.50,45.19,13583500,44.76
2012-12-10,44.46,44.83,44.42,44.48,9347500,44.06
2012-12-07,44.53,44.64,44.16,44.63,7869500,44.21
2012-12-06,44.45,44.59,44.38,44.51,8817000,44.09
2012-12-05,44.33,44.76,44.23,44.39,11647000,43.97
2012-12-04,44.38,44.78,44.38,44.40,9996900,43.98
2012-12-03,44.47,44.83,44.42,44.44,11620100,44.02
2012-11-30,44.54,44.71,44.12,44.30,15017200,43.88
2012-11-29,44.95,44.95,44.48,44.71,9559500,44.29
2012-11-28,43.75,44.61,43.54,44.60,10614800,44.18
2012-11-27,44.03,44.19,43.85,43.88,8869200,43.46
2012-11-26,44.00,44.33,43.92,44.20,9381100,43.78
2012-11-23,43.99,44.29,43.92,44.28,4477800,43.86
2012-11-21,43.80,43.93,43.63,43.89,7288000,43.47
2012-11-20,43.42,43.67,43.24,43.56,10905100,43.15
2012-11-19,43.32,43.40,43.09,43.34,9189700,42.93
2012-11-16,42.84,43.23,42.36,43.07,16636500,42.66
2012-11-15,42.96,43.14,42.55,42.80,12283200,42.39
2012-11-14,43.70,43.90,42.91,43.05,14206900,42.64
2012-11-13,43.77,44.46,43.67,43.68,9599100,43.27
2012-11-12,44.47,44.52,43.88,44.02,7329800,43.60
2012-11-09,43.69,44.32,43.62,44.05,13995200,43.63
2012-11-08,44.51,44.77,43.84,43.84,16329900,43.42
2012-11-07,45.55,45.67,44.18,44.46,24067900,44.04
2012-11-06,45.69,46.32,45.68,45.92,8735300,45.48
2012-11-05,45.82,46.00,45.31,45.67,8981200,45.24
2012-11-02,46.25,46.55,45.99,46.00,11050500,45.56
2012-11-01,45.75,46.49,45.68,45.94,12166000,45.50
2012-10-31,46.42,46.71,45.44,45.63,13535000,45.20
2012-10-26,45.79,46.77,45.79,46.15,11940500,45.71
2012-10-25,46.10,46.34,46.01,46.30,10971500,45.86
2012-10-24,45.95,46.19,45.80,45.88,9639700,45.44
2012-10-23,46.19,46.53,45.87,45.89,12504200,45.45
2012-10-22,46.81,47.03,46.19,46.48,14021400,46.04
2012-10-19,47.94,47.99,46.88,47.03,12976500,46.58
2012-10-18,47.29,48.00,47.28,47.96,10986100,47.50
2012-10-17,47.08,47.50,47.08,47.39,10132900,46.94
2012-10-16,46.74,47.27,46.71,47.17,11954200,46.72
2012-10-15,45.74,46.63,45.69,46.59,10281300,46.15
2012-10-12,45.60,46.00,45.56,45.62,6844300,45.19
