Date,Open,High,Low,Close,Volume,Adj Close
2013-01-07,20.02,20.13,19.67,19.80,21445100,19.80
2013-01-04,19.68,20.25,19.58,20.19,31983900,20.19
2013-01-03,19.46,19.61,19.32,19.58,29859500,19.58
2013-01-02,20.16,20.17,19.51,19.62,29812900,19.62
2012-12-31,18.60,19.21,18.52,19.12,19954000,19.12
2012-12-28,18.56,18.77,18.56,18.62,11258500,18.62
2012-12-27,18.94,19.07,18.50,18.77,14656100,18.77
2012-12-26,19.02,19.11,18.84,18.88,9052900,18.88
2012-12-24,18.90,18.98,18.82,18.95,3205700,18.95
2012-12-21,18.74,19.08,18.57,18.92,21669400,18.92
2012-12-20,19.05,19.40,19.00,19.27,19134000,19.27
2012-12-19,19.27,19.45,18.84,19.09,21889300,19.09
2012-12-18,18.62,19.22,18.62,19.12,25465100,19.12
2012-12-17,18.08,18.55,18.07,18.53,16686000,18.53
2012-12-14,17.72,18.09,17.70,18.05,16296500,18.05
2012-12-13,17.66,17.93,17.58,17.80,19220900,17.80
2012-12-12,17.79,17.94,17.61,17.70,27771300,17.70
2012-12-11,17.26,17.89,17.22,17.75,36051800,17.75
2012-12-10,16.91,17.04,16.80,17.01,9740400,17.01
2012-12-07,16.97,17.08,16.87,16.97,11488400,16.97
2012-12-06,16.95,17.05,16.69,16.74,16042600,16.74
2012-12-05,16.70,17.12,16.70,16.98,15736300,16.98
2012-12-04,16.46,16.65,16.35,16.61,14287900,16.61
2012-12-03,17.01,17.01,16.43,16.47,15532000,16.47
2012-11-30,16.87,17.05,16.74,16.87,17198700,16.87
2012-11-29,16.97,17.10,16.65,16.86,19084300,16.86
2012-11-28,16.41,16.94,16.26,16.88,23800600,16.88
2012-11-27,16.53,16.84,16.47,16.63,19041400,16.63
2012-11-26,16.32,16.63,16.23,16.61,13217700,16.61
2012-11-23,16.41,16.56,16.35,16.43,8600700,16.43
2012-11-21,16.46,16.51,16.15,16.25,12734400,16.25
2012-11-20,16.43,16.62,16.26,16.35,15426700,16.35
2012-11-19,16.49,16.80,16.43,16.52,14758800,16.52
2012-11-16,16.30,16.36,15.95,16.18,16940700,16.18
2012-11-15,16.41,16.42,16.10,16.26,16252800,16.26
2012-11-14,16.65,16.71,15.99,16.09,20059100,16.09
2012-11-13,16.50,16.91,16.44,16.52,14431200,16.52
2012-11-12,16.70,16.90,16.59,16.77,10731100,16.77
2012-11-09,16.42,16.98,16.30,16.61,20657200,16.61
2012-11-08,16.77,17.01,16.51,16.52,21125000,16.52
2012-11-07,17.58,17.64,16.63,16.63,42700600,16.63
2012-11-06,17.84,18.24,17.83,18.19,15345900,18.19
2012-11-05,17.65,17.77,17.41,17.75,16147600,17.75
2012-11-02,17.76,17.84,17.52,17.78,19752700,17.78
2012-11-01,17.41,17.61,17.32,17.61,25089900,17.61
2012-10-31,17.19,17.60,17.13,17.38,26046300,17.38
2012-10-26,17.04,17.13,16.86,17.04,13195100,16.99
2012-10-25,17.44,17.55,16.89,17.10,18872800,17.05
2012-10-24,17.25,17.40,17.12,17.18,14264500,17.13
2012-10-23,17.11,17.26,16.94,17.11,24205700,17.06
2012-10-22,17.51,17.67,17.17,17.45,21274000,17.40
2012-10-19,17.59,18.05,17.31,17.53,29226000,17.48
2012-10-18,18.56,18.57,17.70,17.79,51097100,17.74
2012-10-17,17.98,18.50,17.84,18.49,24018500,18.44
2012-10-16,17.88,18.04,17.70,17.87,18636900,17.82
2012-10-15,17.51,17.78,17.40,17.75,17808900,17.70
2012-10-12,17.58,17.74,17.22,17.31,20821400,17.26
2012-10-11,17.75,17.91,17.68,17.86,16506700,17.81
2012-10-10,17.36,17.52,17.16,17.40,15204000,17.35
2012-10-09,17.51,17.61,17.25,17.35,17241700,17.30
2012-10-08,17.17,17.56,17.17,17.45,13635400,17.40
2012-10-05,17.71,17.88,17.32,17.50,21838600,17.45
2012-10-04,17.27,17.58,17.24,17.47,19626200,17.42
2012-10-03,16.98,17.24,16.76,17.03,20785000,16.98
2012-10-02,16.92,17.03,16.81,16.91,17031300,16.86
2012-10-01,16.94,17.20,16.73,16.79,20283300,16.74
2012-09-28,16.85,16.95,16.64,16.74,17753000,16.69
2012-09-27,16.77,16.97,16.54,16.84,19249800,16.79
2012-09-26,16.65,16.70,16.30,16.43,23131300,16.38
2012-09-25,17.18,17.24,16.57,16.60,20483800,16.55
2012-09-24,16.85,17.33,16.77,17.04,19625200,16.99
2012-09-21,17.50,17.50,16.98,17.08,35060300,17.03
2012-09-20,16.96,17.24,16.84,17.21,25015800,17.16
2012-09-19,17.76,17.83,17.51,17.57,20723700,17.52
2012-09-18,17.72,17.80,17.55,17.63,20749400,17.58
2012-09-17,17.99,18.09,17.70,17.80,23210400,17.75
2012-09-14,18.16,18.50,18.10,18.24,36010200,18.19
2012-09-13,17.32,18.06,17.07,17.90,39763900,17.85
2012-09-12,17.41,17.47,17.11,17.42,24508000,17.37
2012-09-11,16.91,17.28,16.69,17.25,24605100,17.20
2012-09-10,16.93,17.05,16.60,16.61,25983100,16.56
2012-09-07,16.51,17.11,16.40,17.08,37944700,17.03
2012-09-06,15.84,16.36,15.80,16.25,33577300,16.20
2012-09-05,15.52,15.81,15.40,15.68,31345100,15.63
2012-09-04,15.29,15.65,15.13,15.51,31820800,15.46
